comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzzdEyrXu4zV2k6g414AaABAg,,False,@LuisMoraMemo,Euchae ❤,0,2025-05-16T02:01:23Z,2025-05-16T02:01:23Z
Ugxd-Y1a7WBhoeY-RmN4AaABAg,,False,@jorgechucolaureano458,❤❤❤❤👏👏👏🥰🥰,0,2025-05-16T00:08:58Z,2025-05-16T00:08:58Z
Ugx41QtfU8CMKQtrkAB4AaABAg,,False,@masatuna0327,ユンジナの腰が良くなりますように……！,0,2025-05-15T11:52:06Z,2025-05-15T11:52:06Z
Ugx9LAdRPXJMcjFegpN4AaABAg,,False,@tmima3741,ユンジン、髪型似合ってる❤素敵💓,0,2025-05-15T10:45:06Z,2025-05-15T10:45:06Z
UgyoGpzqdj7zrml-8_p4AaABAg,,False,@ky8823-x7w,最近の曲つまらん,1,2025-05-15T06:05:59Z,2025-05-15T06:05:59Z
UgxL36alUK1-oXEns3V4AaABAg,,False,@Godiswithme-j1q,"妹達はこんなに可愛くてきれいです,av女優になって私達に見せてくれます😍",0,2025-05-12T18:00:54Z,2025-05-12T18:00:54Z
UgwGN_E7DukyxqyOS-l4AaABAg,,False,@VishalChauhan-c9l,❤,0,2025-05-12T03:16:54Z,2025-05-12T03:16:54Z
UgxNv6f5b4iZBYoVibp4AaABAg,,False,@かっこよくなる,気持ちよさそう,0,2025-05-11T10:21:55Z,2025-05-11T10:21:55Z
Ugwi7wGLf_2aibbO-b94AaABAg,,False,@메로나1234-g8z,윤진이 히피펌 레전드 이쁘다❤❤,0,2025-05-10T12:04:26Z,2025-05-10T12:04:26Z
Ugy-ZI5c4PaNwERp7Rd4AaABAg,,False,@alisonhope9006,It’s like watching sticks wiggling in the air hahahaha,0,2025-05-03T11:00:39Z,2025-05-03T11:00:39Z
UgxyIRNKgs4m7QAgalN4AaABAg,,False,@09lifehack,"기획팀 놈들아~ 푸른수염 퍼팩트나이트때 바이브는 어디가고, 오렌지 캬라멜 컨셉질? 정도껏좀 해. 에스파 뉴진스급 애들한테 너무한다 진짜. 재들도 속으로는 괴랄감에 현타 오지게 오겠다~~",0,2025-05-03T08:10:34Z,2025-05-03T08:10:34Z
UgxYf3T4VZSkdWf8pm94AaABAg,,False,@fluffykpop-j1n,Simply amazing,0,2025-05-02T09:08:18Z,2025-05-02T09:08:18Z
Ugzbp61OBOHr8_M2ell4AaABAg,,False,@유사잔디,길쭉한 애덜만 하니까 또 색다르넹,0,2025-05-02T00:18:22Z,2025-05-02T00:18:22Z
UgyVvWbvhHtj0MB_BuZ4AaABAg,,False,@aztaroth2469,"It hasn't f*cking sense, how sakura has improved!",0,2025-05-01T05:32:22Z,2025-05-01T05:32:22Z
UgzVqmmzHkcSOIrtmhh4AaABAg,,False,@jinseulg,YUNJIN MULHER 😍,0,2025-04-27T00:50:48Z,2025-04-27T00:50:48Z
UgwLlRs2A3QD1GbP4IV4AaABAg,,False,@sakura-cl6fc,ユンジン可愛いすぎ〜ヤバい💕,1,2025-04-26T09:49:11Z,2025-04-26T09:49:11Z
UgxojV-qSpZXvBg_fY94AaABAg,,False,@IAteUWU,They always deliver💗💗😻😻,3,2025-04-23T18:04:49Z,2025-04-23T18:04:49Z
UgwB5RB6NG-q_1HEdAJ4AaABAg,,False,@slowedpop.,SAKURA NEEDS MORE LINES!,0,2025-04-22T11:35:18Z,2025-04-22T11:35:18Z
UgyPaCtMnN5DG8Kqnw14AaABAg,,False,@maishatabassum-z9g,SAKURA LOOK SO MUCH PREETY.,2,2025-04-20T10:28:04Z,2025-04-20T10:28:12Z
UgySaogagcO1uV5XdFt4AaABAg,,False,@加納まさき,こんなきれいだからさくらたんのぐっついっぱいかうんだ❤❤❤❤❤❤😊😊😊😊😊😊😊😊😮😅,0,2025-04-19T11:19:40Z,2025-04-19T11:19:40Z
UgyZP3qU8RadVrelGmJ4AaABAg,,False,@김희영-z7e,와 세트장뭐야 너무 멋있어,0,2025-04-15T08:03:35Z,2025-04-15T08:03:35Z
UgyE6YoTWgoAXg6hU6l4AaABAg,,False,@bestbppandskz,You dance very beautifully!!💞,0,2025-04-14T17:17:59Z,2025-04-14T17:17:59Z
UgwqSvVNAZaAMkXTZMV4AaABAg,,False,@dunamis9313,Hybe always come up with the most original dance choreo. Love the girls uber feminine style.,0,2025-04-14T09:25:57Z,2025-04-14T09:25:57Z
Ugz53OpkJtOr1P2qOeJ4AaABAg,,False,@양동근-q7e,부억에서 접시닦냐,0,2025-04-14T02:04:20Z,2025-04-14T02:04:20Z
UgzlohD0xe2dFHYiDgx4AaABAg,,False,@Theonlywari,Omgg,0,2025-04-13T16:46:02Z,2025-04-13T16:46:02Z
UgwXEkrKSLQFriaszxp4AaABAg,,False,@ルルテテ-k2l,痩せすぎ,0,2025-04-13T15:13:02Z,2025-04-13T15:13:02Z
UgwjOexbJSrwl07ytyV4AaABAg,,False,@ab-15188,Eunchae ❤,0,2025-04-13T05:18:19Z,2025-04-13T05:18:19Z
UgzSmCnjAkCCjp7IIIR4AaABAg,,False,@Cottonkpop,I love the members with curly hair there gorgeous,0,2025-04-11T22:04:40Z,2025-04-11T22:04:40Z
UgzQjIYHDnYwjUOjsUV4AaABAg,,False,@heyitsujin,I would seriously collapse after doing come over full choreo.,0,2025-04-11T20:35:41Z,2025-04-11T20:35:41Z
Ugyym520Iu3awbFDM-p4AaABAg,,False,@НатальяГлинская-з2р,The best! Favorite! ❤,0,2025-04-11T18:34:43Z,2025-04-11T18:34:43Z
UgzcZvXnXkCTtPbJjc14AaABAg,,False,@ユミコー,脚長い❤,0,2025-04-11T13:42:33Z,2025-04-11T13:42:33Z
UgzO-ACsrKFsy1NU-Nt4AaABAg,,False,@Berrybare,このヘアスタイルさくらちゃんにピッタリですね❤,0,2025-04-11T05:34:54Z,2025-04-11T05:34:54Z
Ugz0llQBysYo-84mnDF4AaABAg,,False,@hamham5992,ウンチェスタイル良,0,2025-04-10T10:23:31Z,2025-04-10T10:23:31Z
UgyUnzUvg1qAQ3rgCMZ4AaABAg,,False,@kyupi121,"さくちゃん本当にスタイル良くなったよね
人ってここまで努力で変われるんだって驚き！",64,2025-04-10T09:39:39Z,2025-04-10T09:39:39Z
UgxGLXS2gXNR2GP0b0R4AaABAg,,False,@KiraSerafin,Cute Lee serafim ❤❤❤❤ eunche,0,2025-04-09T05:34:33Z,2025-04-09T05:34:33Z
UgzTatAD0NVMvZdcHON4AaABAg,,False,@snoopy1360,JYP 생각나네요😂😂😂😂😂😂,0,2025-04-09T04:32:14Z,2025-04-09T04:32:14Z
Ugy-wjWfrdFuSNcNNXJ4AaABAg,,False,@makotake7094,この曲は好きになれないって思ってたけどダンスの中毒性がやべぇ……,1,2025-04-09T02:12:20Z,2025-04-09T02:12:20Z
UgzIFXe186BoZ7DFFCp4AaABAg,,False,@Hyunjinsleftbuttcheeksrynotsry,ILL COME OVERRR,0,2025-04-08T23:48:19Z,2025-04-08T23:48:19Z
UgyaUP3Oj9UoewpESb54AaABAg,,False,@user-uruse,クラ細すぎて枝やん,0,2025-04-08T15:27:08Z,2025-04-08T15:27:08Z
UgyBCfmFFhlpXGu7Qr54AaABAg,,False,@MelonFlavoredCloud,This era is gonna be remembered as the Curly and bouncy hair era!! I've seen a lot of people mention Yunjin too! It is true she looks so beautiful with this retro style!! Love her ❤,0,2025-04-08T14:37:46Z,2025-04-08T14:37:46Z
UgxmtwzSwuB2AtNAPcR4AaABAg,,False,@チロキュウ-m4r,みんな足ながぁぁぁぁ！！,0,2025-04-08T13:12:34Z,2025-04-08T13:12:34Z
Ugzd1o-s_jF2c7NFi6F4AaABAg,,False,@nasunasunasdesui,何回みんねん私,0,2025-04-08T10:56:38Z,2025-04-08T10:56:38Z
UgxBMuoVV97O-DMjvwB4AaABAg,,False,@kakasosoyara,上向く振付は必要やったんかって都度思っちゃう,0,2025-04-08T08:27:41Z,2025-04-08T08:27:41Z
Ugy0t6m7260cOjDNuhR4AaABAg,,False,@user-xjxjsijsnxjkdo298,묘하게 아재 감성.. 룸ㅆㄹ 감성…😢,0,2025-04-08T01:54:18Z,2025-04-08T01:54:18Z
Ugwmb-Z_2qLJHLuwSih4AaABAg,,False,@Julie_Jewelz4456,💙💙💙,0,2025-04-07T21:46:26Z,2025-04-07T21:46:26Z
UgwMvt8H_qSUdobhp6x4AaABAg,,False,@PaulBerson,Absolutely Gorgeous Mesmerizing Performance Thank You For Sharing This Beautiful MV Love You All 💞🤗😻,1,2025-04-07T19:50:38Z,2025-04-07T19:50:38Z
UgyZfrAfj31KD_YTzkV4AaABAg,,False,@ひなぴょん-h5w,最初の立ってるだけなのに、ウンチェとユンジンめっちゃ様になってる‼️‼️‼️キレイ✨✨✨,1,2025-04-07T14:37:18Z,2025-04-07T14:37:18Z
UgxRQBOFhhsZ7_dVYdt4AaABAg,,False,@Mariadionisova,If someone says that le sserafim chores dance’s are bad I will put this banger🔥,0,2025-04-07T12:42:35Z,2025-04-07T12:42:51Z
UgxGNmfG_TF-waOpYhZ4AaABAg,,False,@hcnquthemkutaiphiet,mẻ eunchae càng lớn càng bén 😩💗,0,2025-04-07T10:58:37Z,2025-04-07T10:58:37Z
Ugz8dxL8OXQ3Z7rYCzx4AaABAg,,False,@えいせい-c6h,日本人じゃあり得ん位足が長いな,0,2025-04-07T10:06:19Z,2025-04-07T10:06:19Z
UgzmWNzT7XGcRCUEvb14AaABAg,,False,@あやたん-o1k,最高かよ,0,2025-04-07T08:04:25Z,2025-04-07T08:04:25Z
UgzM8SWUhEBeXMa1x_N4AaABAg,,False,@마콩0626,홍은채 허리 겁나 굵네,0,2025-04-07T07:53:57Z,2025-04-07T07:53:57Z
UgwgTQ1XjzfMVhmvCwV4AaABAg,,False,@おいしい菜,さくらちゃん腰の振り方品があって綺麗よ🌸✨✨,3,2025-04-07T03:50:08Z,2025-04-07T03:50:08Z
UgxmI5a8FScha8_F-aF4AaABAg,,False,@Let-x5h,Their hair ❤,1,2025-04-07T02:36:23Z,2025-04-07T02:36:23Z
UgxYPfRmSgJQDi4grNx4AaABAg,,False,@elnura-t7uengene,Eunchaeeeeee,2,2025-04-07T01:14:33Z,2025-04-07T01:14:33Z
UgwH8zxb55JOJooL_XV4AaABAg,,False,@bluemoon0918,サクラちゃん🌸満開🌸🌸🌸,1,2025-04-07T01:01:01Z,2025-04-07T01:01:01Z
Ugzwjpo6ihORfO_-S1V4AaABAg,,False,@L1SA_L4NG,The BEST GROUP EVER,1,2025-04-06T23:05:04Z,2025-04-06T23:05:04Z
Ugw84tntqrpDaU64vS94AaABAg,,False,@نورعلي-ج3ن3ض,stupid,0,2025-04-06T22:21:04Z,2025-04-06T22:21:04Z
UgxgUPWgbOkcBcNKAa54AaABAg,,False,@Romancaballero-q8q,dikamar mandi lama lama biasanya ngapain sih? ya main di ambil4d lahhh,1,2025-04-06T19:15:38Z,2025-04-06T19:15:38Z
UgyRJTLBOvk6qxv59Jx4AaABAg,,False,@Dwyercaballero-x4b,"Tapi kalau dalam soal ulangan kerjain yang mudah dulu! Kalau fokus ke yang susah malah habis waktu dan nggak sempat jawab yang gampang. 😁👍

Sama kayak di Ambil4D yang penting pinter baca peluang. Banyak yang iseng malah cuan jutaan! 🔥😉",1,2025-04-06T19:15:38Z,2025-04-06T19:15:38Z
Ugw4k_C-UWsFAV3Y9TV4AaABAg,,False,@Shepherdcaballero-n3s,Gak pernah kecewa main di ambil4d  slot mereka selalu on fire!,1,2025-04-06T19:15:37Z,2025-04-06T19:15:37Z
UgzShKStyAFkBCjBLAV4AaABAg,,False,@Lamarcaballero-r6z,"coba ikut master chef baskamu kan chindopasti juara🤣🗿
seperti main di ambil4d pasti jadi juara!",0,2025-04-06T19:15:30Z,2025-04-06T19:15:30Z
UgyY02Z-n0-0tWeXGeh4AaABAg,,False,@Scottcaballero-t4x,Udah coba banyak tempat tapi ambil4d  paling mantep! Ga nyangka bakal sering menang jadi ketagihan! Gk nyesel main disitus ini❤️‍🩹,0,2025-04-06T19:15:30Z,2025-04-06T19:15:30Z
UgzkNaSymWmmfBtd9Pt4AaABAg,,False,@PortilloDWAcaballeroDWA-l1v,Kompak bgt the real beast frend satu pikiran😂 main di ambil4d sama sama kita kalahin mereka,0,2025-04-06T19:15:29Z,2025-04-06T19:15:29Z
Ugy7zfjQMElTM2qDoaZ4AaABAg,,False,@Carmonacaballero-w9j,Gokil bro .. bagus nih buat contekan ternyata segampang itu menang di ambil4d 👍 thanks abangkyuuuuu 🥳👏🥳👏,0,2025-04-06T19:15:27Z,2025-04-06T19:15:27Z
Ugz4Er-jYplkW3wXL2t4AaABAg,,False,@Keelcaballero-j7i,Penting banget buat memahami dan mendalami literasi biar nggak gampang ketipu dan makin cerdas dalam ambil keputusan. Sama seperti di Ambil4D yang ngerti pola dan strategi biasanya lebih gampang cuan! 😊🔥,0,2025-04-06T19:15:16Z,2025-04-06T19:15:16Z
UgzfcTuWOnb9rpBOvmR4AaABAg,,False,@Neeleycaballero-r7n,Semut diseberang pulau terlihat jelas gajah nangkring didepan mata gak keliatan main di ambil4d udah pasti cuan nya kelihatan 🙏👍,0,2025-04-06T19:15:14Z,2025-04-06T19:15:14Z
UgwufSnrTXQvSlLNo-l4AaABAg,,False,@Stacycaballero-c4e,dari sekian banyak orang komen judol gw lebih percaya ambil4d sih,0,2025-04-06T19:15:11Z,2025-04-06T19:15:11Z
UgzoQVnkMPOSwO1sz5F4AaABAg,,False,@Brandencaballero-v4j,Aduhhh  cair lagi cair lagi jadi enak nih heheh 𝗔𝗠𝗕𝗜𝗟𝟰𝗗 makasih yah .,0,2025-04-06T19:15:08Z,2025-04-06T19:15:08Z
Ugzql966bZpUNwRYpYh4AaABAg,,False,@Yunjin_Core,Yunjins curly hair is the best,7,2025-04-06T17:49:22Z,2025-04-06T17:49:22Z
Ugz4BLZtrkrOqMOaT1R4AaABAg,,False,@HanaSpoop,This is the most fun I've seen Yunjin have in a long time. This is a great era for them ❤,1,2025-04-06T17:44:51Z,2025-04-06T17:44:51Z
UgzpXDwoSUbYFudRa0x4AaABAg,,False,@eyluliess,"사쿠라, 윤진, 은채는 훌륭한 3인조이고 매우 귀엽습니다. 다들 동화 속 요정들처럼 너무 예뻐요✨",16,2025-04-06T17:18:55Z,2025-04-06T17:18:55Z
Ugx9MNJ9rxkKZAySsR54AaABAg,,False,@Bikinitawagerrofficial33,Kayak tante2,0,2025-04-06T16:48:16Z,2025-04-06T16:48:16Z
UgyPGq0bCCvVxLc5qeF4AaABAg,,False,@aniciawong7784,Sakura is so beautiful and her dancing is so beautiful and powerful! ALL the LE SSERAFIM girls are awesome and amazing! BRAVO!!!👍👏🫰❤️🤩😘🥰😍💯💯💯🥇,1,2025-04-06T16:40:40Z,2025-04-06T16:40:40Z
UgwaWDrSFQ0BU2DB_3J4AaABAg,,False,@MahwishMajid,wierdest choreo flopped,0,2025-04-06T15:45:45Z,2025-04-06T15:45:45Z
