comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugx2PnzqT9ea0Dtqh4Z4AaABAg,,False,@MarciaXanthopulo,I love you New Jeans❤❤❤❤❤,0,2025-05-10T13:17:35Z,2025-05-10T13:17:35Z
UgzrF98wny2I5aS-7dV4AaABAg,,False,@Its_ninii4,5 angels..,1,2025-05-06T20:55:23Z,2025-05-06T20:55:23Z
Ugyz_ZxIO0ZUD_gD2WB4AaABAg,,False,@gabrielmoreirabr,Miss them so much,2,2025-05-01T02:03:29Z,2025-05-01T02:03:29Z
UgxW65V0-k5D25jRdL14AaABAg,,False,@RoiJ-c7p,이토록 찬란한 애들 그냥 놔줘라,4,2025-04-24T18:59:29Z,2025-04-24T18:59:29Z
UgwUzxW02ZaSjZJ-vw54AaABAg,,False,@六女生-h8k,we miss u,2,2025-04-20T13:55:36Z,2025-04-20T13:55:36Z
UgymU7votbQCJK6Way94AaABAg,,False,@NadxxN-tu1hy,متى بترجع ذي الايام,3,2025-04-14T22:27:02Z,2025-04-14T22:27:02Z
UgzOPV5h7Buu781S4D14AaABAg,,False,@kawolu779,泣いてる。。。？,3,2025-04-10T07:02:55Z,2025-04-10T07:02:55Z
UgyRkzsnNFIWlYJ8TDN4AaABAg,,False,@goyanglee,천상에서 추는 거 같다,4,2025-04-05T10:06:22Z,2025-04-05T10:06:22Z
Ugw756WraaJuVsmIjIB4AaABAg,,False,@CATHU-YANESQKTHR,Am I the only one who misses them too much?,2,2025-04-02T14:38:23Z,2025-04-02T14:38:23Z
UgznWkIT3YiRd4oB2Hh4AaABAg,,False,@PrashantGhorpade-l5e,Proud of these Girls 🤧💗💗💗,5,2025-03-22T09:44:48Z,2025-03-22T09:44:48Z
Ugxkpj-ntDI61V-9bUt4AaABAg,,False,@AddamAddam-c6v,I can’t wait for this drama to end I miss them so much 😢,6,2025-03-16T12:22:49Z,2025-03-16T12:22:49Z
Ugx3Isxqgpc_IyodtSt4AaABAg,,False,@kangnyangnyang2,"와 진짜 저렇게 많은 사람이 호응해주면 얼마나
행복할까 아가들아 잊지않고 버티고 있는 거 알아,
힘내고 있는 것도 알고. 잘 견뎌주고 있어서 너무
고맙고 오늘 코카콜라 광고
나온 거 너무 행복했다 고마워!!!!!!!!!!!!!",5,2025-03-11T12:14:07Z,2025-03-11T12:14:07Z
Ugwt2yOs_cF3iqoQcxt4AaABAg,,False,@bunysqq,OMG BUNNIES,1,2025-03-08T07:46:43Z,2025-03-08T07:46:43Z
UgxUjVUigr-sbM1fLz14AaABAg,,False,@ha2rupms,나도 가고싶다ㅠㅠ 뉴진스 콘서트ㅜㅜ,1,2025-03-06T00:21:01Z,2025-03-06T00:21:01Z
UgzZh5vHJev2LKbI3Wt4AaABAg,,False,@林崇智-y5f,跳的好敷衍😂不紅時想紅，紅了又覺得累😂😂。很多人都這樣沒工作時煩惱工作，有工作了就常嫌東嫌西,0,2025-03-02T06:54:34Z,2025-03-02T06:54:34Z
UgypmwEEYFTksFGKb9N4AaABAg,,False,@haerininmida,VOU CHORAR QODIO,1,2025-02-28T21:19:55Z,2025-02-28T21:19:55Z
UgzZJ41fz620XSdD4Zx4AaABAg,,False,@blues_skys9209,Beautiful ❤ (NEWJEANS FOREVER 🐰❤️),2,2025-02-22T21:53:06Z,2025-02-22T21:53:06Z
Ugw59YWNl7cE14bhJnN4AaABAg,,False,@nakyumota,The only girl band I’ll stan,1,2025-02-22T04:57:21Z,2025-02-22T04:57:21Z
Ugw-CPI3JpMFPleR2l54AaABAg,,False,@Ariiariiariiyuu,i'm crying😢,4,2025-02-10T06:06:44Z,2025-02-10T06:06:44Z
UgxrJ-14bgJwBJirfT54AaABAg,,False,@ShellClub,So proud of my girlss <3,2,2025-02-08T12:45:05Z,2025-02-08T12:45:05Z
UgyU5VQ4XRb9afLJh4N4AaABAg,,False,@user-dk2t1eo8typ9x,댄스 동아리 ㅋ,0,2025-01-31T20:13:58Z,2025-01-31T20:13:58Z
UgyU5VQ4XRb9afLJh4N4AaABAg.ADyh3gcn-10AFCk_ooNrt8,UgyU5VQ4XRb9afLJh4N4AaABAg,True,@haeringood_0515,꼭 너같은 사회부적응자방구석개백수진따들이나 악플담 ㅋㅋㅋ,3,2025-03-03T13:04:42Z,2025-03-03T13:04:42Z
UgyFnBiQQG20EWXUyWJ4AaABAg,,False,@Danielle-89,WILL THEY PLAY A CONCERT IN MEXICO ONE DAY? IT'S MY BIGGEST DREAM🤩,0,2025-01-29T18:11:21Z,2025-01-29T18:11:21Z
UgzAeHb5fg1X9Or-4Eh4AaABAg,,False,@udnc0907,아 진짜 울컥했겠네 ㅠㅠ,0,2025-01-28T18:17:14Z,2025-01-28T18:17:14Z
UgwQ_xHeySpnisIJaNJ4AaABAg,,False,@chtwok12,NewJeans never dies.💙🩷💛💚💜,1,2025-01-28T05:31:39Z,2025-01-28T05:31:39Z
Ugx_32aZJvIlViuFBa54AaABAg,,False,@spencerroberts4940,"Just 23 months after New Jeans debut, NJ sold out the Tokyo dome on June 26 & 27, 2024 totaling  91,200 enthusiastic attendees. Listen to those fan chants.",6,2025-01-27T05:13:21Z,2025-01-27T05:13:21Z
UgyXuUiFVBthSgz4n9x4AaABAg,,False,@abuboker4885,The goosebumps in my body😭,1,2025-01-24T07:25:52Z,2025-01-24T07:25:52Z
UgzYt3MkvxTWidzF_ap4AaABAg,,False,@littlemonsters-d8j,아 갑자기 눈물나오네,0,2025-01-23T16:41:30Z,2025-01-23T16:41:30Z
UgwTom8BMI1sNiZpHQ54AaABAg,,False,@-YEONJI,New jeans never dies ❤😢,1,2025-01-19T05:14:06Z,2025-01-19T05:14:06Z
UgzNzrsu0soR_YL9jxx4AaABAg,,False,@Once2019tz,Porque no dieron un world tour?,1,2025-01-11T17:23:08Z,2025-01-11T17:23:08Z
UgxP4UADMLZi_lOYWE54AaABAg,,False,@桃-n5b,NewJeans♡,2,2025-01-05T14:32:41Z,2025-01-05T14:32:41Z
UgzWsHsJ7Hzo50WiIjJ4AaABAg,,False,@LorenaGutierrez-v1k,My girls 💕😞,2,2025-01-03T19:11:33Z,2025-01-03T19:11:33Z
UgxKn4_x_ZHYpjbSXix4AaABAg,,False,@러브-t4s,와ᆢ 뉴진스ᆢ 엄청조앗겟따ᆢ 감동대박일듯ᆢ,0,2025-01-02T07:59:34Z,2025-01-02T07:59:34Z
Ugyr-dEFJVVd0Har03l4AaABAg,,False,@John-ps9et,One of my absolute favorite songs. I watched them develop that song from the beginning. This song is what jump started them into fame.,1,2025-01-01T03:36:08Z,2025-01-01T03:36:08Z
UgwJRwEUH7U037AV6ZB4AaABAg,,False,@ikelee6536,Dance creator bravo!,0,2024-12-30T21:00:58Z,2024-12-30T21:00:58Z
Ugwrcd5HkFojeWBHWqd4AaABAg,,False,@tontamiel,666♡,0,2024-12-29T16:20:05Z,2024-12-29T16:20:05Z
UgypWh-DurBRh0wl1Dx4AaABAg,,False,@natsu1012,"日本にもたくさんのファンがいて、みんなnew jeansのことが大好きです！
日本でのライブありがとう!!
みんなでもっともっと幸せになれることを願っています。",16,2024-12-29T15:55:21Z,2024-12-29T15:55:21Z
UgxywpgagQMo0TkJUop4AaABAg,,False,@jasonnash4452,all these people are here to see these 5 girls. thats so insane,1,2024-12-27T13:35:18Z,2024-12-27T13:35:18Z
UgzouttPxuHmSRRTrnB4AaABAg,,False,@heart4.w0nheez,Ditto was the first song i heard from them and the last song i heard from them.we bunnies love you💗,0,2024-12-25T08:25:49Z,2024-12-25T08:25:49Z
UgyAfc2uyIqAWSIPZal4AaABAg,,False,@sarraah_.0,Ditto my fav song !!💗,0,2024-12-23T16:14:33Z,2024-12-23T16:14:33Z
Ugzsn4Du1cuG33IbrdN4AaABAg,,False,@angelcarpio7698,JEANZ FOR FREE ❤,3,2024-12-22T22:04:34Z,2024-12-22T22:04:34Z
UgzWYz5104pCWW-1B1p4AaABAg,,False,@村上亘-o6b,バーニーズ❤いい仕事してますね〜、メンバー涙するはずですよ〜👍💯🥰,1,2024-12-20T03:16:04Z,2024-12-20T03:16:04Z
Ugy2MG2Cp7g7LK_ZpDl4AaABAg,,False,@Riegrow0,😢😢😢😢,0,2024-12-17T20:00:59Z,2024-12-17T20:00:59Z
UgwXIPjb_zv0tDBmFb54AaABAg,,False,@Night-e8n,よかったね😊by japanese,0,2024-12-15T01:35:14Z,2024-12-15T01:35:14Z
UgyIxLKyuC-POFPTTot4AaABAg,,False,@jeffreybacani-zy6fl,Can you imagine how fans react to every line of this song/performance... Thats how stupid HYBE is to ruin ots own gem 💎 of a talent.,2,2024-12-08T08:13:11Z,2024-12-08T08:13:11Z
Ugz_Qzm39gKS9f6dZ414AaABAg,,False,@minjiz.notforsale,the way i cried because i miss them sm 😭,2,2024-12-07T08:27:09Z,2024-12-07T08:27:09Z
UgxVXfDpV7mm7gTm_Pt4AaABAg,,False,@munmunmu-n,"今ならこの倍は声出す
そうだろバニズ",2,2024-11-30T05:07:44Z,2024-11-30T05:07:44Z
Ugxcc5rWR77E1p8Z_BF4AaABAg,,False,@thatonequietkid_lol,nwjns disbands tdy 🥹💔,4,2024-11-29T06:10:47Z,2024-11-29T06:10:47Z
UgxNA1acFNvun2C7L_h4AaABAg,,False,@tootiredtothink8440,I love this song and these girls so much! 😭💕,5,2024-11-29T02:19:43Z,2024-11-29T02:19:43Z
UgwtmyMFllITMbDshFB4AaABAg,,False,@kindra787,this makes me sad…,3,2024-11-29T02:07:56Z,2024-11-29T02:07:56Z
UgyJ1GVjZiAEuVX0Un54AaABAg,,False,@Sandro756,DITTOOOO I LOVE YOU!!!,5,2024-11-26T03:53:26Z,2024-11-26T03:53:26Z
UgzL5dAsou0_Y2XUJZt4AaABAg,,False,@ashaleesha3678,old ditto🥺❤,3,2024-11-25T15:25:47Z,2024-11-25T15:25:47Z
UgxQ8XO_lfYRB2FqcJF4AaABAg,,False,@지지력,종합적으로 이런 그룹 나오는건 앞으로 불가능할것 같아요 노래들부터가 레전드네요,14,2024-11-23T05:11:52Z,2024-11-23T05:11:52Z
UgwYmRRaBHjphpAnzAN4AaABAg,,False,@dzhakhbatkhiyasova-db1oi,RATTATATAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1,2024-11-21T15:24:05Z,2024-11-21T15:24:05Z
UgzJMFWgal0EKR2r5uR4AaABAg,,False,@zahzah4life,who is wearing the hat? (bunny test to see if you are a real bunny),1,2024-11-20T09:26:57Z,2024-11-20T09:26:57Z
UgxeIHAdFZhCGglkft14AaABAg,,False,@kkabie,팬미팅을 도쿄돔에서 하는 클라쓰 🥹,0,2024-11-19T03:20:45Z,2024-11-19T03:20:45Z
UgzyiTTEhHNQx4Dt-zh4AaABAg,,False,@aidenlee9203,웅장하다,0,2024-11-18T18:58:49Z,2024-11-18T18:58:49Z
Ugyrzh-D-LU7BbAjyKR4AaABAg,,False,@채은-t8b,앞으로도 사랑 받는 무대 많이 하게 되길..,0,2024-11-18T12:53:35Z,2024-11-18T12:53:35Z
UgzJafSGIWY5qtVxRfN4AaABAg,,False,@knlthecity,#newjeansneverdiesnewjeansforever 💙🩵🫶🐇🐰,2,2024-11-17T21:23:46Z,2024-11-17T21:23:46Z
UgzysohIJhoQAVhhhJV4AaABAg,,False,@marciosouza249,"NewJeans are so talented, they deserve this success and love from real BUNNIES 🐰 we love you SO much, princesses!! don’t forget, we love you too much, girls! ❤😊",1,2024-11-17T16:03:17Z,2024-11-17T16:03:17Z
UgzSdi4JJEa5yOIdQVJ4AaABAg,,False,@Liz2-q8d,🎉🎉🎉,0,2024-11-17T05:15:18Z,2024-11-17T05:15:18Z
Ugw-5TBjbxIGetPZN-Z4AaABAg,,False,@cesarvasquez5391,Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapor que no puedo ir al concierto!!!,1,2024-11-16T23:12:38Z,2024-11-16T23:12:38Z
Ugw-5TBjbxIGetPZN-Z4AaABAg.AAvK5pWPouYAAvKIYbVZjS,Ugw-5TBjbxIGetPZN-Z4AaABAg,True,@cesarvasquez5391,Por cierto es de DITTO,0,2024-11-16T23:14:22Z,2024-11-16T23:14:22Z
UgxRMucxPIkEoR-twqB4AaABAg,,False,@grcie20,i love these outfits,1,2024-11-12T22:38:47Z,2024-11-12T22:38:47Z
UgwSkN5rhk6VDKzs5cZ4AaABAg,,False,@nafsi-chan,"Hanni my baby you cried there... 
New jeans fighting... Love you guys",1,2024-11-10T18:10:20Z,2024-11-10T18:10:20Z
UgzwvNucefmocEtYNPF4AaABAg,,False,@MurodjonMaxmudov-pi8jw,I love you newjeans,3,2024-11-07T15:49:14Z,2024-11-07T15:49:14Z
UgygtnNqJN8nmjlCJ8J4AaABAg,,False,@마지막팬,감동 감동 감동이야 😊😊,3,2024-11-02T11:19:57Z,2024-11-02T11:19:57Z
Ugw_3Qw2zcDw-hdAFxB4AaABAg,,False,@antoanto-m6s,Do think an😅😅😅,0,2024-10-30T09:26:04Z,2024-10-30T09:26:04Z
UgxJv5WlgLsbJZNNFHp4AaABAg,,False,@Simplymimihere,GORGEOUS,0,2024-10-29T08:28:54Z,2024-10-29T08:28:54Z
UgyX3XN2dbo974nYf4J4AaABAg,,False,@raquelstiles-hand34,YOU ARE SO CUTE,1,2024-10-27T17:38:16Z,2024-10-27T17:38:16Z
Ugyk_BRx_EYBkhlN2h14AaABAg,,False,@seibo2837,ヘリンに対する声援は咆哮を超えて、まさにドームを破壊するほどの爆発でしたね。最高の場面をアップしてくれた投稿者に激しく感謝です。,6,2024-10-25T10:53:28Z,2024-10-25T10:53:28Z
Ugyk_BRx_EYBkhlN2h14AaABAg.AA0M0kCvhO6AFD01b9tge2,Ugyk_BRx_EYBkhlN2h14AaABAg,True,@heaven4261,명문입니다,0,2025-03-03T15:28:26Z,2025-03-03T15:28:26Z
UgypR6q15rhkJIjwXFV4AaABAg,,False,@btchnapeke_fuke,They're like Angels sent from above.,1,2024-10-23T04:46:28Z,2024-10-23T04:46:28Z
Ugzc8gNQtgoQpvCiZA54AaABAg,,False,@마지막팬,건강하자 😊,0,2024-10-14T22:49:08Z,2024-10-14T22:49:08Z
UgwkRKj04iooj8ilGER4AaABAg,,False,@syah23456,🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🙄🙄🙄🙄,0,2024-10-11T04:20:49Z,2024-10-11T04:20:49Z
UgxRa_75-GFZsQ5LWet4AaABAg,,False,@Sofia-h2k2r,"And brazil?????? 


I love you girlies!!🐰🐰🐰",1,2024-10-10T01:17:54Z,2024-10-10T01:17:54Z
UgxikDdFRnmhhx2P3AV4AaABAg,,False,@gracielacristinapautassi8768,DITTO es mi canción favorita son las mejores ❤❤❤❤💙💛🩷💜💚🔮👽🌸🧿🥞,2,2024-10-10T00:15:02Z,2024-10-10T00:15:02Z
UgydL7mDgITK1qAsEdl4AaABAg,,False,@Cookie11139,🍒🦊,0,2024-10-05T07:49:05Z,2024-10-05T07:49:05Z
UgwbQypTqjlSxKCfv_V4AaABAg,,False,@Nico로빈,나도 모르게 눈물이 흐르던 감동적인 무대 💖,1,2024-10-03T03:37:46Z,2024-10-03T03:37:46Z
UgxvX4sTNAG8QFo1Pl54AaABAg,,False,@BrandonHaro-od9vh,Ditto season,1,2024-10-01T06:12:38Z,2024-10-01T06:12:38Z
UgzdjyiY8I5AcJ06ahR4AaABAg,,False,@CHha_Yidje-7,I love Newjeans ❤❤,5,2024-09-25T12:32:11Z,2024-09-25T12:32:11Z
UgwyLxBpjua3wJ8k9A14AaABAg,,False,@펀하니,"내년에도 해야쥐!!!
대퓨님과 함께!!!!",1,2024-09-24T15:23:05Z,2024-09-24T15:23:05Z
Ugz4zeH-iliaR8aHMvV4AaABAg,,False,@NJZ_BNZ,뉴진스 너희가 자랑스럽다 일본팬분들도 너무 고맙고 글로벌한 시대에 다른장소 다른언어로 같이 응원하고 좋아하는 문화 낭만있다,0,2024-09-23T15:20:01Z,2024-09-23T15:20:01Z
UgxkRLT_eWhfWYzoghN4AaABAg,,False,@거울-o9p,"힘들게 함께 한 아름다운 스텝이 없이는 다시는 이렇게 아름다운 무대를 연출할 수 없을 겁니다. 
혜인이 말한 마지막은 이 자연스러움을 말한 것일 지도 모릅니다.",10,2024-09-22T23:31:11Z,2024-09-22T23:31:31Z
UgzsCe_RjnEz7iQY4Td4AaABAg,,False,@황재영-m8f,뉴진스 뒷모습 넘 귀여웡,0,2024-09-22T08:09:47Z,2024-09-22T08:09:47Z
UgwEy8UwT5-6hRon7RB4AaABAg,,False,@Sweetiee9,This feels ethereal 💫,0,2024-09-22T06:59:12Z,2024-09-22T06:59:12Z
UgyM6I2u_4cBQji9gVp4AaABAg,,False,@nurhidayahzainudin8548,what have Hybe done😢,1,2024-09-20T09:57:50Z,2024-09-20T09:57:50Z
UgwWhtvTZDGaKJ-W8Fh4AaABAg,,False,@marialangley8634,Ra ta ta ta... I never get tired of Ditto... It's so addictive!! NEWJEANS FOREVER!❤❤,0,2024-09-19T14:34:33Z,2024-09-19T14:34:33Z
UgxuxFlm2Ai49avFIhp4AaABAg,,False,@bel_dream,#JUSTICEFORNEWJEANS,1,2024-09-17T22:25:08Z,2024-09-17T22:25:08Z
UgzORZ3-NJxhbg4qIf94AaABAg,,False,@anacesar9667,"Elas são lindas, roupas mais rosa, verde com mais cores fica mais bonitas. 😂",0,2024-09-17T11:07:27Z,2024-09-17T11:07:27Z
UgxzdA_zhcN-RwhvcYd4AaABAg,,False,@프리아-u2n,"의상이
뉴진스와 딱이다~~^^
이뽀이뽀~♡♡♡",0,2024-09-17T08:26:54Z,2024-09-17T08:26:54Z
UgxruZPCB1b7x_ZmI854AaABAg,,False,@bestmomever-4678,STAY STRONG WE LOVE YOU GUYS,0,2024-09-16T14:01:21Z,2024-09-16T14:01:21Z
UgyipEz8UkY9bzlMVtN4AaABAg,,False,@Sounami231,"Hope they come to Paris one day, a lot of fans there.",0,2024-09-15T23:41:46Z,2024-09-15T23:41:46Z
UgyJniDSNM4ItL8wdB54AaABAg,,False,@Sounami231,"Hope they come to Paris one day, a lot of fans there.",0,2024-09-15T23:41:46Z,2024-09-15T23:41:46Z
UgwL_Ir95pXYaEO3UfJ4AaABAg,,False,@Foxy_6146,WE WANT NEWJEANS BACK 🤬😡🤬🤬🤬😡😡😡😡😡,1,2024-09-15T17:19:35Z,2024-09-15T17:19:35Z
Ugy_3ViAYozDSrryaJF4AaABAg,,False,@jiu_najiji,"new JEANS we love❤, ILLIT we hate!",0,2024-09-15T14:00:36Z,2024-09-15T14:06:47Z
