comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyB_kWSovoyKPVdIux4AaABAg,,False,@Danielle8418-y5k,I love your cardigan Karina and your earrings and necklace and outfit I love your nails you're so pretty and aesthetic do you have a lollipop in your mouth Karina I love you I support you on the internet ❤,5,2024-12-22T10:02:43Z,2024-12-22T10:02:43Z
UgzFhrY7W7ZGxsaPeuh4AaABAg,,False,@east_geon,보통 남들은 카리나를 볼텐데....건담 시드에 더 눈이 간다...어쩔수 없는 씹덕인가보다..,0,2024-12-04T06:52:04Z,2024-12-04T06:52:04Z
Ugw0vLO-xvWj6y8VQyZ4AaABAg,,False,@MagicBySG,❤,0,2024-10-11T20:34:36Z,2024-10-11T20:34:36Z
Ugw94nnv1X796X1VNfp4AaABAg,,False,@Mhwyim,up katarinabluu 30 mil,0,2024-10-08T16:23:08Z,2024-10-08T16:23:08Z
UgxTp-uFQuJF5-NlnLJ4AaABAg,,False,@Jungwoo_lovely,"헐헐 너무 이쁘다..💓💓
입틀막하게 되는 미모..🌸🔥",8,2024-10-04T04:07:25Z,2024-10-04T04:07:25Z
UgwsewAv_1vUuAoCDmt4AaABAg,,False,@TalibuNkurunziza,The candy inside her mouth is the luckiest candy ever 😂😂😂,0,2024-09-29T22:07:07Z,2024-09-29T22:07:07Z
Ugwj4GiDeg4JXHwmwPh4AaABAg,,False,@karina64love,hot❤️‍🔥,0,2024-09-22T18:47:11Z,2024-09-22T18:47:11Z
UgwFvbQqOnqAGb-8vKd4AaABAg,,False,@karina64love,"Karina is a goddess, her face is a precious treasure of humanity, and her presence makes the world a better place❤️‍🔥❤️‍🔥❤️‍🔥",0,2024-09-22T18:46:54Z,2024-09-22T18:46:54Z
Ugzr_BbLa0pm8XTiKFJ4AaABAg,,False,@AnnaSophiaLuna,I love you ❤aespa so much my forever winter karina ningning giselle ❤u all so much❤,1,2024-09-13T02:54:32Z,2024-09-13T02:54:36Z
UgypgulnvDrXux6hltt4AaABAg,,False,@Aep1nk_bluu,*OUR DANCING QUEENIE KARINA! THE FIT😍😍😍🩷🩷🩷*,1,2024-09-06T17:08:07Z,2024-09-06T17:08:07Z
UgzF1-vLMd9Lw82jZnJ4AaABAg,,False,@SivMaiya,the INSTRUMENT is so FIRE 🔥,0,2024-09-04T13:53:49Z,2024-09-04T13:53:49Z
UgxpMthB1GNI02vFBhB4AaABAg,,False,@Drivemetal04,Con la camisa de Gundam seed me terminó enamorando más ❤,0,2024-09-04T05:39:25Z,2024-09-04T05:39:25Z
UgygayRI_qkW7uDjIRh4AaABAg,,False,@아임유키,개 이쁘네 유지민❤,1,2024-09-03T09:38:03Z,2024-09-03T09:38:03Z
UgyNT_9bSNBe3eIFsiF4AaABAg,,False,@김혜진-z9b9e,카리나 네일 탐난다,0,2024-08-29T05:04:23Z,2024-08-29T05:04:23Z
UgylwrB5Uavu59HgkKl4AaABAg,,False,@선리탐,핫 메스 노래 진짜 미쳤다고ㅠㅠ,1,2024-08-27T10:06:57Z,2024-08-27T10:06:57Z
UgzQpcPkfVxP8V5Q3_d4AaABAg,,False,@yoru1116,なんでエールストライク着てるの,0,2024-08-23T23:13:32Z,2024-08-23T23:13:32Z
UgxPNPdHhMH2b99uIZ14AaABAg,,False,@Aep1nk_bluu,OUR QUEEN,4,2024-08-22T17:11:05Z,2024-08-22T17:11:05Z
Ugxwm5w0GOa_Sj70ob14AaABAg,,False,@Aep1nk_bluu,AMAZING,1,2024-08-22T17:10:59Z,2024-08-22T17:10:59Z
Ugx2uvxi_JA2n5k-6yp4AaABAg,,False,@Aep1nk_bluu,SHES SO CUTE,0,2024-08-22T17:10:53Z,2024-08-22T17:10:53Z
UgxWE_TQ-KQalcpjxXV4AaABAg,,False,@QP-zk6hh,مزتيي🫦,0,2024-08-22T16:01:10Z,2024-08-22T16:01:10Z
UgzZXUF3uPJPO5QoeNd4AaABAg,,False,@sblue0218,seeeeeeeed🎉,0,2024-08-21T19:06:35Z,2024-08-21T19:06:35Z
UgwxKm3w_Pa6Bncdzs94AaABAg,,False,@Jd7dhn,世界一ガンダムのTシャツをオシャレに来た人でしょこれw,0,2024-08-19T23:24:46Z,2024-08-19T23:24:46Z
Ugzc5sbWgsamlrr-twJ4AaABAg,,False,@alexandramendez9857,🧐,0,2024-08-18T19:27:24Z,2024-08-18T19:27:24Z
UgywD0t3Tm9JjWRO_Pl4AaABAg,,False,@KaizenCH08,Karina 🐈‍⬛💙,0,2024-08-18T17:46:42Z,2024-08-18T17:46:42Z
Ugw_jyijIolfCndW5vR4AaABAg,,False,@오이오-i4x,애니에서 튀어나온 미소녀 같애,0,2024-08-18T02:10:38Z,2024-08-18T02:10:38Z
UgyV88ChUlFMKPZzzK94AaABAg,,False,@NajdS-p3f,aspea ❤,0,2024-08-15T12:36:30Z,2024-08-15T12:36:30Z
Ugx52RgV8cAHTOgJWvh4AaABAg,,False,@cm-rp2ot,이노래가사 한국말로 뭔지 알고 지금 이걸 하는거임? 제정신인가????,0,2024-08-09T09:25:26Z,2024-08-09T09:25:26Z
Ugx52RgV8cAHTOgJWvh4AaABAg.A6uvjXVLXYoA6xg2V59-_H,Ugx52RgV8cAHTOgJWvh4AaABAg,True,@Koreanglue,뭔뜻인데ㅋㅋㅋㅋㅋㅋㅌㅌㅋㅋ,0,2024-08-10T11:06:04Z,2024-08-10T11:06:04Z
UgwsAXTJ41D_TwfHtGN4AaABAg,,False,@aespa012,핫!  핫!!,0,2024-08-09T08:38:37Z,2024-08-09T08:38:37Z
UgwNA7ph62LJe7Xz1FN4AaABAg,,False,@hi.yoonnaa,I THOUGHT SHE WAS MAKNAE.,0,2024-08-04T13:17:23Z,2024-08-04T13:17:23Z
Ugxc-IeXqNtjyWzYoKF4AaABAg,,False,@Happyhyunjin,I'ma,0,2024-08-02T22:19:25Z,2024-08-02T22:19:25Z
Ugw1VkDKIKuVLDn43zl4AaABAg,,False,@นูคัาน้อง,karina❤❤😜,0,2024-08-02T11:36:11Z,2024-08-02T11:36:11Z
Ugy2fNhfJSLjI8Raw9x4AaABAg,,False,@すきぴ,와.. 얼굴에 여백이 없다 얼굴 얼마나 작은거야,0,2024-08-01T22:29:20Z,2024-08-01T22:29:20Z
Ugxx0RS-utzjYE4RiLN4AaABAg,,False,@Rosèpark-o1v,Jimin???,0,2024-08-01T18:53:59Z,2024-08-01T18:53:59Z
UgxSKvG7qkGG1V83ln54AaABAg,,False,@AshleyChen1209,美死了啊啊啊啊,0,2024-08-01T03:22:02Z,2024-08-01T03:22:02Z
UgxoXp9m4pcyurlDSb14AaABAg,,False,@nicolle-slhk,hot mess soty,0,2024-07-31T17:03:26Z,2024-07-31T17:03:26Z
UgzHsjk-COPyLbmVy_R4AaABAg,,False,@박병주-k1e,사탕남은거 나조요ㅜ,0,2024-07-31T14:58:28Z,2024-07-31T14:58:28Z
UgwxPlkdjdvYFAY8ifd4AaABAg,,False,@I_loveSkz1234,Ur stunning gurl 🤩🤩,0,2024-07-29T18:03:37Z,2024-07-29T18:03:37Z
Ugy4I5fHT_04ZhFdczJ4AaABAg,,False,@she_is_shu,카리나 너는 정말 아름다워... 너의 모든 것이 완벽해,0,2024-07-29T08:11:47Z,2024-07-29T08:11:47Z
Ugy3OybJPUEmSp3MJzt4AaABAg,,False,@PPKarreola,❤😊,0,2024-07-29T06:10:50Z,2024-07-29T06:10:50Z
UgzvdlQbWpl7T6zO_bl4AaABAg,,False,@renkonba_gu,飴すらも羨ましい,0,2024-07-28T12:37:06Z,2024-07-28T12:37:06Z
Ugy7hTkIaH1qF3AOnYp4AaABAg,,False,@Rithanni,❤,0,2024-07-27T20:01:25Z,2024-07-27T20:01:25Z
UgxKXWF7fYl_1ohSf7h4AaABAg,,False,@AlexAlex-f2f4y,Love it ❤️,2,2024-07-27T18:33:48Z,2024-07-27T18:33:48Z
UgxrfD-IILM5A9cKJL54AaABAg,,False,@mateadx,"0:00
 WOww",0,2024-07-27T15:35:34Z,2024-07-27T15:35:34Z
UgyDVuqJr-BbUn4-val4AaABAg,,False,@Yugynsham,Mi lindaa😭😭,0,2024-07-27T04:14:07Z,2024-07-27T04:14:07Z
UgxdsUB32Fvhpu7eLBd4AaABAg,,False,@yellenj582,"아니 사탕먹으면서 춤추는거 멋있고 예뻐..ㅠㅠ
카리나랑 이 곡이랑 넘 잘어울리는 듯..🩷🩵",1,2024-07-27T04:05:37Z,2024-07-27T04:05:37Z
UgwQQNpG6uE5f10XAQR4AaABAg,,False,@Hellonothinghere,YASSS THE HOTTEST 🫶,0,2024-07-26T23:11:09Z,2024-07-26T23:11:09Z
UgxevwpdH6405PfVXbl4AaABAg,,False,@tomashuach8357,I'm,0,2024-07-26T11:32:51Z,2024-07-26T11:32:51Z
UgyaSB0kUAuWSENRJmJ4AaABAg,,False,@KimEun-yeyo,Cute Karina❤,0,2024-07-25T16:58:17Z,2024-07-25T16:58:17Z
Ugzn_X4qjcwbhbD_18x4AaABAg,,False,@sophiandemily,The end was literally so fricking slau you are 🔥 ka,0,2024-07-23T18:14:41Z,2024-07-23T18:14:41Z
UgwYo6Rk_MkBj8aDLu94AaABAg,,False,@sophiandemily,Karina lolii pop era,0,2024-07-23T18:08:14Z,2024-07-23T18:08:14Z
UgyIU0XLbYXunCkZTg14AaABAg,,False,@alasca8096,KARINA VISUAL IA🔥😱🥵,0,2024-07-23T15:07:20Z,2024-07-23T15:07:20Z
