comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzdPFOmRMemSXCCGLV4AaABAg,,False,@wvstation,기여운 대취티 (daechwity 🐈) 😴💐,1,2025-05-16T15:31:03Z,2025-05-16T15:31:03Z
Ugy1lYerjBPyigAcEp94AaABAg,,False,@rundaranch817,幹閔玧其真的超可愛,0,2025-05-14T13:35:08Z,2025-05-14T13:35:08Z
Ugx_k21xQO7t6oHEgCJ4AaABAg,,False,@bangtan_x_bliss,"I have never dreamt of watching this cute and joyful side of Suga.... He can never say ""no"" and do anything for his ARMYs....",0,2025-05-12T13:10:44Z,2025-05-12T13:10:44Z
Ugz4h_lRf3mCgdqWhr54AaABAg,,False,@demi9217,진짜 보고싶었어요  일본에서 티켓이 없었어요 😢 윤기야  기다릴께요 ～,0,2025-05-11T13:52:06Z,2025-05-11T13:52:06Z
UgwrMCR1UzmfqobJ4054AaABAg,,False,@ambrepoelaert6605,that's so funny 🥰😂,0,2025-05-11T12:26:59Z,2025-05-11T12:26:59Z
UgwJ56_Xz18F0nhjn6l4AaABAg,,False,@moumitarahman8489,This is so funny😭,0,2025-05-10T17:59:35Z,2025-05-10T17:59:35Z
UgxcXUSO9slCoAWl1DF4AaABAg,,False,@mila77-q1s,2:40💞,0,2025-05-09T18:59:08Z,2025-05-10T20:52:04Z
UgwAh9D-C-YhGzOfUfx4AaABAg,,False,@kschvn,i need actor yoongi,1,2025-05-04T06:44:38Z,2025-05-04T06:44:38Z
UgxqNh_1I4FM5Wsb8K94AaABAg,,False,@kschvn,yoongi marry me,0,2025-05-04T06:41:05Z,2025-05-04T06:41:05Z
UgwtPmzVNFeT4FQMCvF4AaABAg,,False,@kschvn,"please stop being cute! that's illegal, mr. min😭😭😭😫😫",0,2025-05-04T06:39:54Z,2025-05-04T06:39:54Z
UgzfwbmGLOlweMXOMK14AaABAg,,False,@kschvn,no one is as cute and as handsome as you😭😭😭😭,2,2025-05-04T06:39:12Z,2025-05-04T06:39:12Z
UgxAflXgwn5BU5CnXrt4AaABAg,,False,@kschvn,i miss youuu 😭😭😭,1,2025-05-04T06:38:51Z,2025-05-04T06:38:51Z
Ugw_kWj48YUHYmR38lR4AaABAg,,False,@krisis7640,1:39 He is trying 💔,0,2025-05-03T16:12:50Z,2025-05-03T16:12:50Z
UgzkkZN8P2Zu1wvcv2B4AaABAg,,False,@ゆゆ-s6w,ほんとに愛おしい人だ。,1,2025-04-27T12:15:41Z,2025-04-27T12:15:41Z
UgxtAsPxVmN6vkUSWm54AaABAg,,False,@97-Taekook-95,Suga 💜💜🇵🇰🇰🇷🇵🇰🇰🇷 2025,2,2025-04-22T14:22:40Z,2025-04-22T14:22:40Z
UgzArD_OFSrDulrakKd4AaABAg,,False,@gloriai3697,💜☺️,1,2025-04-22T04:31:42Z,2025-04-22T04:31:42Z
