comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwK7Bc92LFOJZlBADd4AaABAg,,False,@수박-y8z,4:19,0,2025-05-17T13:03:19Z,2025-05-17T13:03:19Z
UgxkZr61djRt0FgOJxV4AaABAg,,False,@keyway7056,Go to supernova mv,0,2025-05-13T02:08:11Z,2025-05-13T02:08:11Z
Ugx-sDPtXUCdA8h1aW94AaABAg,,False,@keyway7056,Go to 1 m,0,2025-05-13T02:08:04Z,2025-05-13T02:08:04Z
UgyDywNz4VAD3Y13DEd4AaABAg,,False,@NaranjinBat-erdene,AESPA ❤❤❤❤❤❤❤❤❤❤,0,2025-05-01T10:20:24Z,2025-05-01T10:20:24Z
Ugyes9fymYKnInIFpI94AaABAg,,False,@Pinkblood101,Been watching a lot of aespa’s performances. Winter always stood out and she has the main dancer vibes!,2,2025-04-23T08:51:27Z,2025-04-23T08:51:27Z
UgwJTTqZKu_zbi63Iy14AaABAg,,False,@1secnacht,Winter looks like Taeyeon unnie in this video,0,2025-04-21T09:29:50Z,2025-04-21T09:29:50Z
Ugx_T72N8CBN_5cHe2F4AaABAg,,False,@KeithLund,Whiplash has great choreography. 🖤,0,2025-04-16T04:55:34Z,2025-04-16T04:55:34Z
Ugz2gmhPWylIsxmkX354AaABAg,,False,@Oxkn-k9y,11:11,0,2025-04-15T09:09:51Z,2025-04-15T09:09:51Z
UgwVFqn9fiecSDdwGMF4AaABAg,,False,@담담-c6j,꺙,0,2025-04-05T17:48:52Z,2025-04-05T17:48:52Z
Ugzyb4n178THNPmdqb94AaABAg,,False,@loretta_3843,"We see them walking in lovely cities, looking so beautiful and stylish. You can't help but envy them. However, there's obviously a LOT of WORK that goes into everything they perform. Thank goodness they're young, I couldn't keep up! 🫣😄",1,2025-04-03T13:20:24Z,2025-04-03T13:20:24Z
Ugx3YgQ-QDC1uN_Dlj14AaABAg,,False,@stwm-8765,👀,0,2025-03-24T22:33:01Z,2025-03-24T22:33:01Z
UgwT66_YLoTJNjz605B4AaABAg,,False,@れい-g5o9m,6:55 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-03-21T04:14:43Z,2025-03-21T04:14:43Z
UgyTEyk83D9JKtlQSnB4AaABAg,,False,@biupishere,애들 화장 안 하는게 훨이쁘면 대체 어쩌자는거지,0,2025-03-09T14:44:05Z,2025-03-09T14:44:05Z
UgywCdlPns3-ausOvX54AaABAg,,False,@Ren33106,Out of topic but the dancer with arm tattoos looks so hot,1,2025-02-27T10:00:36Z,2025-02-27T10:00:36Z
Ugz7fi230FAdiP_K9154AaABAg,,False,@Kanna-q3j,"努力しててかっこいい✨
私もこんな風に踊れるように頑張りたい",5,2025-02-09T02:04:36Z,2025-02-09T02:04:36Z
UgyD3USnUAfL4hrdUd14AaABAg,,False,@Tomiyuuki,"Winter always surprises me. When she dances she never put too much energy, never too few. She has a consistency that makes her dancing look effortless, she reminds me of Taemin sometimes. Watching the practice made me understand why her moves are so precise : every details must be known and understood by her. It's like she doesn't put any personal signature in her dance, but let the dance express through her body, i dont know how to explain the way i feel it, but i find this beautiful.
Other members are talented too, but my attention was catched by her
( + 16:09 she always takes care of other members, that's adorable)",17,2025-02-04T18:04:45Z,2025-02-04T18:06:54Z
UgxZP4wypBXI9Wmn4Pl4AaABAg,,False,@eli-igg,"Little would Giselle know, whiplash would be her era",0,2025-02-01T16:25:50Z,2025-02-01T16:25:50Z
UgyTQ2IkUCDaQ7moZ7J4AaABAg,,False,@nislaytha,5:28 NINGNING SO CUTE LIKE WHAAAAAAT??!!,1,2025-01-31T11:15:32Z,2025-01-31T11:15:32Z
UgxXzFuHLb9-CqBAK6R4AaABAg,,False,@nislaytha,our main slayer ningning!,1,2025-01-31T11:13:55Z,2025-01-31T11:13:55Z
UgzirtrLWRNwvkrbP2h4AaABAg,,False,@nislaytha,ningning always pretty oh my gosh,1,2025-01-31T11:11:52Z,2025-01-31T11:11:52Z
UgyMBIbuHtv7N8ycxgZ4AaABAg,,False,@nislaytha,NINGNING SLAYED THIS.,1,2025-01-31T11:10:59Z,2025-01-31T11:10:59Z
UgzEdw1QVfzGkPfahOd4AaABAg,,False,@원아영-j2v,썸네일 원빈이랑 똑닮..,1,2025-01-30T08:32:54Z,2025-01-30T08:32:54Z
UgwOJED2qTolQs23IM54AaABAg,,False,@김덕배-f6y,"에효  탑티어 아이돌 에스파도 이렇게 열심히 사는데 나도 좀 더 열심히 살아야겠다,,",2,2025-01-28T19:32:35Z,2025-01-28T19:32:35Z
Ugzsflp43XKe1mwWU6R4AaABAg,,False,@likenoticias,se ve desde hace mucho que karina y winter no se llevan con ning y la otra,0,2025-01-21T05:10:08Z,2025-01-21T05:10:08Z
Ugyb-QIJPfLXASk1bGF4AaABAg,,False,@joep7584,After watching Renan speak about each members strengths in the Artbeat video I can now see what amazing dancers these girls are & the strengths she was talking about. Team Renan to win SWF season 3!!!,0,2025-01-18T01:35:28Z,2025-01-18T01:35:28Z
UgzfWVdwrqyzvryglCp4AaABAg,,False,@schlend4,1:16 this move is just the best. I can't get over it. especially the way Karina does it is crazy,13,2025-01-17T09:44:35Z,2025-01-17T09:44:35Z
Ugwj2k02F8XJbghHoCd4AaABAg,,False,@수빈-p2l5l,"15:43 귀 뒤로 안넘김  16:05 귀 뒤로 넘김
뭔가 민정이는 머리를 귀 뒤로 넘기몀 확 섹시해지거나 잘생겨지는거 같음!",7,2025-01-08T14:37:38Z,2025-01-08T14:38:12Z
UgyMM8_xCThYehM_c9J4AaABAg,,False,@ghostcastle,"안무 정말 멋져!  😎❤‍🔥 고생 많았어!
You can see from these behind the scenes that Winter is so detail no matter it's singing or dancing 💯🥹",12,2025-01-05T14:57:51Z,2025-01-05T14:57:51Z
Ugy8MvdRrfYoBTbf--J4AaABAg,,False,@fannyouali2983,<3,0,2025-01-05T13:48:56Z,2025-01-05T13:48:56Z
UgyzqoQSuLQfdxzqs-t4AaABAg,,False,@ChocoCroissant,WINTER IS SO LOCKED IN LOL 😂❤,0,2025-01-03T16:14:50Z,2025-01-03T16:14:50Z
