comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzU7F29xgM0GD2PXRB4AaABAg,,False,@iamfankpop143,Niz free,1,2025-03-26T14:55:27Z,2025-03-26T14:55:27Z
UgyPCBlPLL_r6MoHuHd4AaABAg,,False,@geekdiggy,"i love these kids.
long live newjeans!",2,2025-03-26T03:13:25Z,2025-03-26T03:13:25Z
Ugz38ql5Bc07l2OAuGl4AaABAg,,False,@yohiga11,こんなふてぶてしいグループは応援しないで🎉日本人は買わないで🎉xgをパクるな😂🎉,1,2025-03-14T13:15:46Z,2025-03-14T13:15:46Z
Ugz38ql5Bc07l2OAuGl4AaABAg.AFe5aZbFbxfAI-hqVTo7bI,Ugz38ql5Bc07l2OAuGl4AaABAg,True,@user.green.environment,🎉🎉,1,2025-05-12T01:04:49Z,2025-05-12T01:04:49Z
UgyERa0N0q1nTPbN8A54AaABAg,,False,@thenorthstars2210,Support NJZ with your heart and soul ❤,0,2025-03-10T05:34:47Z,2025-03-10T05:34:47Z
UgyMcfm0zNXVJJ7I4N14AaABAg,,False,@gvand94,❤❤❤❤,0,2025-03-09T16:34:02Z,2025-03-09T16:34:02Z
Ugxpq_i2G__xaHZkQ8B4AaABAg,,False,@慕容狗蛋,可爱的宝宝们天使宝宝们，光是看见你们活泼的样子就很治愈，你们是天使啊，是天使！,0,2025-03-05T02:56:25Z,2025-03-05T02:56:25Z
Ugz1-pnwHSFtda3wc754AaABAg,,False,@민지-b7p,Minji cukk pretty 😍,3,2025-03-02T03:17:41Z,2025-03-02T03:17:41Z
Ugz1-pnwHSFtda3wc754AaABAg.AF97bW5fKmmAF97jG05XHO,Ugz1-pnwHSFtda3wc754AaABAg,True,@민지-b7p,I'm mohe ❤❤❤😊😊😊,1,2025-03-02T03:18:44Z,2025-03-02T03:18:44Z
UgzJRl0v0BPS1_oE7iJ4AaABAg,,False,@Wan.0_1,패스트뷰 역바이럴 업체라며?  너네 다 댓글 알바야? ㅋㅋㅋ미국법원에서 정보공개청구 햇쥬? ㅋㅋㅋ 이제 하이브에서 패스트뷰 박살낼 일만 남앗쥬? ㅋㅋ 과연 그뒤에 누가 나오려나 ㅋㅋㅋ,0,2025-03-02T02:46:48Z,2025-03-02T02:46:48Z
UgxSoMOvYNEPy1fBnzB4AaABAg,,False,@Juvernile,6:55 와 볼캡이 이렇게 힙한 아이템이었나 느낌이 확 달라지네,0,2025-02-28T14:03:46Z,2025-02-28T14:03:46Z
Ugwg4A0jehbTOS4yoqh4AaABAg,,False,@bbomindoong,😅다코야끼 두명 ㅋㅋ귀엽고 코크슈퍼팝 비하인드도 이제야 알았네요^^ 당황하지않고 엔딩한 혜인이 너무 귀엽내요~~~~,0,2025-02-27T11:49:36Z,2025-02-27T11:49:36Z
Ugydx4gZUK7Stl4nF2t4AaABAg,,False,@junghyunkim371,귀업고 상냥한 뉴진스 여러분 😊 여러가지 상황속에서 슬기롭고 지혜롭게 살아나고 😅 행복한 활동 부탁해요 ❤ 뉴진스 화이팅 땅 🎉,0,2025-02-27T06:38:11Z,2025-02-27T06:38:11Z
UgwW5HEpHvxC3RAq3cd4AaABAg,,False,@KevM-fy4mh,❤❤❤❤❤,0,2025-02-25T22:37:37Z,2025-02-25T22:37:37Z
UgwmW5wjODaPHjihc2B4AaABAg,,False,@guywhofarts6878,"Hyein ❤❤
NJZ ❤❤",0,2025-02-25T14:36:51Z,2025-02-25T14:36:51Z
UgybKLLs0_qSCp-WY6J4AaABAg,,False,@AgasiRight,"No wonder why more branded choose them. They so natural, adaptif and authentic.",0,2025-02-25T13:20:48Z,2025-02-25T13:20:48Z
UgyvZHEaa3mA1_1K-lx4AaABAg,,False,@Soyeonsmic,NJZ AYYY,2,2025-02-24T08:09:07Z,2025-02-24T08:09:07Z
Ugxy7_WfqX2sSfRCEZ14AaABAg,,False,@tata_vgnj,they're so attractive,3,2025-02-22T05:13:02Z,2025-02-22T05:13:02Z
UgwlA_dROlM56k-tq5d4AaABAg,,False,@user-unknownk,👎👎👎👎👎👎👎👎👎👎👎👎👎,1,2025-02-22T04:47:56Z,2025-02-22T04:47:56Z
Ugzf_aC9QNdufioM0Wt4AaABAg,,False,@SupperRegretter,I'm always so confused on who's who because of the wig😢❤,0,2025-02-22T01:15:22Z,2025-02-22T01:15:22Z
UgzyYZ-tCU_yuWt_YZ54AaABAg,,False,@apresmoa,Haerin looks so cool in sporty styles. She gives off Sporty Spice vibes. lol,0,2025-02-21T21:33:39Z,2025-02-21T21:33:39Z
Ugwikn_usWrALK_Oykl4AaABAg,,False,@habyul2023,다들 넘 이뻐 ㅎ 😍 보그와 나이키의 콜라보 정말 대단해 ✨👏👍 특히 움직이는 사진 촬영할때 우당탕탕 하는 모습 넘 좋아 ㅋ 😆😝 최고다 정말 행복해 !! 🥹사랑해 우리 NJZ 🫶🏻💗💛🧡❤️🩷💚🩵💜🩶,1,2025-02-21T10:40:19Z,2025-02-21T10:40:19Z
UgwNx5Jm0ALInVBE9tN4AaABAg,,False,@RC-ud4qo,Are they allowed to open their own personal individual youtube channels?,1,2025-02-21T05:52:37Z,2025-02-21T05:52:37Z
UgxCdkEuX1U30qrLsI94AaABAg,,False,@GiggioGamer,NJZ,0,2025-02-20T01:39:53Z,2025-02-20T01:39:53Z
Ugz9RcixEbEjS9ulrBp4AaABAg,,False,@BbernardGastilo,I'm confused they have HYBE staff members? Their logo is still NEWJEANS. Maybe Newjeans are just plotting for noise marketing i dunno,0,2025-02-19T21:54:52Z,2025-02-19T21:54:52Z
Ugxf4gJlI7I8LO2WKal4AaABAg,,False,@CutestEmoGhostGirlEver,NJZ forever ❤,1,2025-02-19T20:18:57Z,2025-02-19T20:18:57Z
UgwiCndP-nJDYrnabsx4AaABAg,,False,@n1xpen703,hyein looks so swaggggg❤❤,1,2025-02-19T14:33:27Z,2025-02-19T14:33:27Z
UgwiCndP-nJDYrnabsx4AaABAg.AEj0CLb2Jr0AF-EoVztxZz,UgwiCndP-nJDYrnabsx4AaABAg,True,@Kikict200,😎😎,0,2025-02-26T07:08:13Z,2025-02-26T07:08:13Z
UgwPPRD0EALxeTZQWj14AaABAg,,False,@굿스피드-v9p,내 인생 사주보다 쟤네들 머리속에 뭐가 들어있는지가 너무나 궁금 ^^해용~~~,1,2025-02-19T10:11:06Z,2025-02-19T10:11:06Z
UgxTB3gSbAVtskz8o-B4AaABAg,,False,@Kenznu,❤❤❤❤❤,0,2025-02-18T20:23:53Z,2025-02-18T20:23:53Z
Ugy5CPMrsbMg0dM6CUZ4AaABAg,,False,@지연김-x3u,너무 아름다워요~ NJZ 응원해요!,2,2025-02-18T15:44:52Z,2025-02-18T15:44:52Z
