comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwDcSbt_iG6TV0OiOJ4AaABAg,,False,@tryo4304,1:16 綺麗な二度見😂,0,2025-05-16T02:58:31Z,2025-05-16T02:58:31Z
UgwQVNc64mt4daT9zKt4AaABAg,,False,@user-horoyoi,サクラと料理しだすのおもろすぎる,0,2025-05-14T18:33:06Z,2025-05-14T18:33:06Z
UgyxN94Or42hxwgiaWF4AaABAg,,False,@seungbinim5755,요리하는데 재미있네 ㅋㅋㅋㅋㅋ,0,2025-05-11T00:14:40Z,2025-05-11T00:14:40Z
Ugwi4Q6Zr_3qg19Y_Fl4AaABAg,,False,@kristezabalodo3778,never miss the Jennifer's signature effect always in the Leniverse episode,1,2025-04-29T08:10:23Z,2025-04-29T08:10:23Z
Ugyca_50BKU0xqRZ89d4AaABAg,,False,@Reiz027,"ほんとサクラすごい😂語彙力足りなくて上手く言えないけど思いやりや気遣いもすごいし、言動や立ち居振る舞い見てるとIQ高いと思う
知らず知らずのうちに気疲れしてないかだけ心配になります😂あとは楽しんで！",1,2025-04-22T14:10:39Z,2025-04-22T14:10:39Z
UgzhOhgBqxTOOY7XhBV4AaABAg,,False,@森口たかひろ,"凄い美人で

料理も出来て

編み物が上手で

面倒見も良く

笑顔が弾けている

サクラさんは天使？",3,2025-04-22T07:05:27Z,2025-04-22T07:05:27Z
Ugx6KOdYouZI7cefoXx4AaABAg,,False,@love5bsky,다섯 멤버가 어쩌면 이렇게 서로다른 매력을 가질수 있나요? 너무 사랑스러운 그룹이에요.❤,1,2025-04-21T09:00:44Z,2025-04-21T09:00:44Z
UgzDu7CaFq2_840rVy14AaABAg,,False,@림빵크-g2i,즈하 면역력 드립이랑 취하겠네 언니가 진짜 골때리게 웃김 ㅋㅋㅋㅋㅋㅋㅋ,1,2025-04-15T16:15:03Z,2025-04-15T16:15:03Z
UgyyH5D7B9BxsUaZcMJ4AaABAg,,False,@K-J1606,Zuha's voice is a healing sound,1,2025-04-10T20:45:56Z,2025-04-10T20:45:56Z
UgwRqZZdst__BtCEwQl4AaABAg,,False,@wanderingartist3270,"Wow, I'm so proud of Zuha 🥺🌸💜👏🏻 my YunjinKazuha duo.",1,2025-04-08T15:35:23Z,2025-04-08T15:35:23Z
Ugz3Miw6xqN2WHKs3D54AaABAg,,False,@choneybunch,"""yunjin has great immunity"" PLEASE HAHAHAHAH",0,2025-04-06T05:30:49Z,2025-04-06T05:30:49Z
Ugx6EcP0CQArqf0kziZ4AaABAg,,False,@야구경기2030,❤❤❤❤❤❤,0,2025-04-05T12:37:43Z,2025-04-05T12:37:43Z
Ugy7rRY5QCmr7bMtBSh4AaABAg,,False,@be_1103_.R,ルセラのお弁当食べたい.....✨,1,2025-04-05T07:54:46Z,2025-04-05T07:54:46Z
Ugyodi3Fc1rN3Ny5LJN4AaABAg,,False,@melodrama7574,윤진이는 진짜 주변 사람 기분 좋게 하는 리액션이네 ㅋㅋㅋ 밝은 기운이 넘치는 사람인듯,1,2025-04-03T12:38:09Z,2025-04-03T12:38:09Z
Ugy6BqwIDxGsrDJB7KR4AaABAg,,False,@fizzteria,sakura is soooo cute the way she kept giggling the whole time making the bento for kazuha and she was so thoughtful as well MY PETALZ <3333,0,2025-03-29T03:42:59Z,2025-03-29T03:42:59Z
UgwQkgOS6gJU2xFjfHB4AaABAg,,False,@kyo-tyan,"咲良が料理上手いのもそうだし、めちゃくちゃ手が凝っててちょっと感動。
お母さんがお弁当作ってる姿ってこんな感じだったのかもしれない",22,2025-03-22T19:55:59Z,2025-03-22T19:55:59Z
UgwFnsO2cSIOJI9rdI14AaABAg,,False,@kigi789,"카즈하는 멤버랑 같이 있으면 대사가 상대방의 말할떄 대부분 복붙 리액션이라 걱정이였는데, 역시 혼자 컨텐츠 하니깐 본인의 개성이 나오네. 이게 훨씬 보기 좋음.",1,2025-03-21T01:54:52Z,2025-03-21T01:55:30Z
UgwB58bmmvWgV24qP8h4AaABAg,,False,@batrisyaamani-y8r,I hope En-oclock get this long😔,0,2025-03-18T17:45:31Z,2025-03-18T17:45:31Z
UgxLnbdObwqzESIc6ql4AaABAg,,False,@iainthebest7339,Bruh this is so funny eunchae getting so less time😢😂,0,2025-03-18T12:38:19Z,2025-03-18T12:38:19Z
Ugyu5-4gfx2zgLCxvTR4AaABAg,,False,@popcorn32145,Anyone else see the sauce fly at 8:06??,0,2025-03-14T23:49:13Z,2025-03-14T23:49:13Z
Ugw0EsxipShrNyPIJyl4AaABAg,,False,@정지윤-q2r,알러지가 없어짐❤❤❤❤❤,0,2025-03-13T09:33:06Z,2025-03-13T09:33:06Z
UgxaT2m2smz29WkVr9N4AaABAg,,False,@vcalfrey5210,"I know manchae will be so cute & funny when it come to her cooking part.
But when I saw this part 2:12 - 2:55 many times, honestly manchae is very smart, intelligent, plus she's thinking is very fast. She's able to face the crisis in a very unexpected time. Even Kkura believes what Manchae said and end up cooking with her 😭.",0,2025-03-11T15:52:32Z,2025-03-11T15:52:32Z
