comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzD8Y02g3LtXnbBFqd4AaABAg,,False,@JoseOchoaTV,"I DONT THINK WE ARE READY FOR WHAT IS COMING!!! MEGJOON!
If you want to support me, join my patreon: Patreon.com/JoseOchoaTV",101,2024-09-01T16:14:00Z,2024-09-01T16:14:00Z
UgzD8Y02g3LtXnbBFqd4AaABAg.A7qsm8p-mvgA7s2InGklMR,UgzD8Y02g3LtXnbBFqd4AaABAg,True,@Jane_ARMY,@@bee12117he did in X (twt),0,2024-09-02T03:05:13Z,2024-09-02T03:05:13Z
UgzD8Y02g3LtXnbBFqd4AaABAg.A7qsm8p-mvgA7x4SbXwF6y,UgzD8Y02g3LtXnbBFqd4AaABAg,True,@Jane_ARMY,"@bee12117  He always updates us using his twt, tho. Go check",0,2024-09-04T02:00:14Z,2024-09-04T02:00:14Z
UgzD8Y02g3LtXnbBFqd4AaABAg.A7qsm8p-mvgA8-h0h0lT7c,UgzD8Y02g3LtXnbBFqd4AaABAg,True,@SamLeo_Verlice,@bee12117  no no. He still does. He's very active in twt tho,1,2024-09-05T11:43:40Z,2024-09-05T11:43:40Z
Ugw8bfJKhU3x_Kpas7t4AaABAg,,False,@ЕленаПтица-щ8н,"Клип,,Голая жопа Меган,,",0,2024-09-13T17:04:58Z,2024-09-13T17:04:58Z
Ugzr-sls3CnvlZZywfl4AaABAg,,False,@Mrs.Jeon_1306,He got his driver license 😂😂😂😂,0,2024-09-11T15:38:43Z,2024-09-11T15:38:43Z
UgzYpPOZeLsbqPiUFA14AaABAg,,False,@gaill.9718,I feel their style of music in this MV are complimentary to each other. I like the song.,0,2024-09-07T03:00:32Z,2024-09-07T03:00:32Z
UgwG_BfgORBwirXek9x4AaABAg,,False,@fayetopian,Omg I remember watching you when I was a baby army in like 2016. So happy you’re still doing BTS videos. Love you 💜,0,2024-09-07T00:18:34Z,2024-09-07T00:18:34Z
Ugx7xbeWsnPkXQN5f5h4AaABAg,,False,@nahjiminie,"Didn't know this was happening... Gotta get updated somewhere else now, don't even know how ... cause my country DOESN'T HAVE TWITTER ANYMORE!!!   😢  I'm so mad ...",0,2024-09-06T22:19:50Z,2024-09-06T22:19:50Z
Ugzc_NJq0EKicKD2q3R4AaABAg,,False,@rominacabanas2047,💙💙💙💙💙,0,2024-09-06T15:15:58Z,2024-09-06T15:15:58Z
Ugx9J9TBohj_ldK7Qcd4AaABAg,,False,@Clavibevi-a21be,"la voz de RM es fuego, y dice lo que ARMY sabe, esta colaboración es increíble",0,2024-09-06T14:55:29Z,2024-09-06T14:55:29Z
Ugz_o1tWjOesSaHJ0j54AaABAg,,False,@cecileroy557,Neva Play is 🔥🔥!  ❤,0,2024-09-06T14:20:43Z,2024-09-06T14:20:43Z
Ugzn_BiPBoZ7NPw7iG94AaABAg,,False,@IshaAndotra-hd5jv,FOR ASIAN MEN WE PAVED THE WAY 💜,0,2024-09-06T14:16:05Z,2024-09-06T14:16:05Z
UgxYXNfJrT1_jOGwgXN4AaABAg,,False,@كاجي-ك8د,I love you RM🥹💜💜💜🔥👑,1,2024-09-06T12:16:05Z,2024-09-06T12:16:05Z
UgxCRM5VxeeS21woCPd4AaABAg,,False,@jeenalawatilimbu,"Asian men, we paved the way
Yes sir❤",0,2024-09-06T09:34:47Z,2024-09-06T09:34:47Z
UgyVh2J-0iWiWFtPCoR4AaABAg,,False,@jessicanketia7248,"What the rm is on fire that deep voice and the rap 😮I mean this is incredible guys,BTS forever 💜💜💜💜💜💜💜",0,2024-09-06T07:30:51Z,2024-09-06T07:30:51Z
