comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwBmk1cV8kijISPXw14AaABAg,,False,@RahmaFitria-ch5kl,Peaches in 2025 stay my fav song from kai,0,2025-05-04T01:29:48Z,2025-05-04T01:30:06Z
UgzPPacxxhzcy0996bR4AaABAg,,False,@banditdog2687,2025 and love this song listen to it constantly! beautiful,0,2025-05-01T02:46:11Z,2025-05-01T02:46:11Z
Ugw8lYiF__3S4_DqD7B4AaABAg,,False,@heidihsu5967,Sooooosoooso beautiful,0,2025-04-25T16:32:23Z,2025-04-25T16:32:23Z
Ugw7T4z1G8cGqkvb8ct4AaABAg,,False,@KPophome-j9u,Kai is legendary,0,2025-04-23T06:02:19Z,2025-04-23T06:02:19Z
UgzRkIExZwjIbv009xx4AaABAg,,False,@fpk23-e8k,I need Wait on Me perf version too.,0,2025-04-21T17:28:39Z,2025-04-21T17:28:39Z
UgyJgGN4UssIa7lDgw94AaABAg,,False,@margoj2740,529k✨🎶,0,2025-04-20T01:29:41Z,2025-04-20T01:29:41Z
UgyTnaRPHhvSoI8LW0h4AaABAg,,False,@banuwatu4736,My fave ❤,0,2025-04-10T19:42:49Z,2025-04-10T19:42:49Z
Ugze43x4hcY14IiqpDN4AaABAg,,False,@banuwatu4736,Love this mv,0,2025-04-10T19:42:39Z,2025-04-10T19:42:39Z
Ugzeg4FJSd75-aKmOoN4AaABAg,,False,@whobungsangmo5055,Smooth and charming,0,2025-04-06T06:23:32Z,2025-04-06T06:23:32Z
UgzGUKK64BEgy0FyqgB4AaABAg,,False,@jisoo-c6x,He looks like Prince ❤,0,2025-04-04T03:46:19Z,2025-04-04T03:46:19Z
UgxdIJmTJJPmAAPTn_B4AaABAg,,False,@margoj2740,525k✨❤,0,2025-04-02T23:16:35Z,2025-04-02T23:16:35Z
UgyFIB_lVAu4Srq_XBx4AaABAg,,False,@margoj2740,524k✨🍑🎶,0,2025-03-27T17:41:38Z,2025-03-27T17:41:38Z
Ugz49x143MK-s7CSfX54AaABAg,,False,@delfinawitkowska2675,1:24 I'm sorry,0,2025-03-27T17:10:55Z,2025-03-27T17:10:55Z
UgytFKQ8haz5STUZZpB4AaABAg,,False,@annadizon9263,❤❤❤,1,2025-03-23T17:48:57Z,2025-03-23T17:48:57Z
UgzTWIo9dbAoeKtkWoZ4AaABAg,,False,@annadizon9263,Kai is unrivaled,1,2025-03-23T17:48:46Z,2025-03-23T17:48:46Z
Ugx0aDkyz6cYRuHvsF14AaABAg,,False,@margoj2740,523k✨❤,1,2025-03-22T23:34:53Z,2025-03-22T23:34:53Z
Ugzz8RR5I1eWg0JGTpx4AaABAg,,False,@sarahbebe1317,Excited for K4I,1,2025-03-20T17:36:52Z,2025-03-20T17:36:52Z
Ugyy2E7m82klLhMMHOt4AaABAg,,False,@sarahbebe1317,Dive in is next,1,2025-03-20T17:36:13Z,2025-03-20T17:36:13Z
UgzRd_hPEo4ifuEyvx94AaABAg,,False,@sarahbebe1317,Still my fave title tract,1,2025-03-20T17:35:52Z,2025-03-20T17:35:52Z
UgwuhCNcek_VFPoy-5N4AaABAg,,False,@sarahbebe1317,❤,1,2025-03-20T17:34:47Z,2025-03-20T17:34:47Z
UgzJFSnWTSOZNXiAg0x4AaABAg,,False,@sarahbebe1317,I love you kai,1,2025-03-20T17:34:34Z,2025-03-20T17:34:34Z
UgzAZXoGfu0Ob_-dyfB4AaABAg,,False,@margoj2740,522k✨🍑🎶,1,2025-03-17T16:11:46Z,2025-03-17T16:11:46Z
UgxeS5OcCH_uL5sBjjR4AaABAg,,False,@margoj2740,521k✨❤,1,2025-03-12T13:21:40Z,2025-03-12T13:21:40Z
Ugzjo8EURmKkwsJN8s94AaABAg,,False,@margoj2740,520k✨🍑🎶,1,2025-03-07T17:16:34Z,2025-03-07T17:16:34Z
UgxfEkA906Q02fkB73t4AaABAg,,False,@margoj2740,519k✨❤,2,2025-03-02T15:28:16Z,2025-03-02T15:28:16Z
UgwD1x0iej8PjS6LRJB4AaABAg,,False,@sevdilc5143,2025 here,2,2025-02-28T10:43:01Z,2025-02-28T10:43:01Z
UgzzN1Bd47TZPMPqdPN4AaABAg,,False,@margoj2740,518k✨🍑🎶,2,2025-02-26T05:11:51Z,2025-02-26T05:11:51Z
UgyvYaLN2LlzUkZY-094AaABAg,,False,@margoj2740,517k✨❤,2,2025-02-20T00:27:18Z,2025-02-20T00:27:18Z
Ugy6FiA8AuTYG7miWmN4AaABAg,,False,@margoj2740,516k✨🍑🎶,1,2025-02-15T15:35:00Z,2025-02-15T15:35:00Z
UgwbIoykrfKc5Gj4J3R4AaABAg,,False,@margoj2740,515k✨❤,1,2025-02-11T14:14:18Z,2025-02-11T14:14:18Z
Ugz_eClFv9eAZUk4FP14AaABAg,,False,@margoj2740,WELCOME BACK OUR KAI 🎉🎊❤,1,2025-02-10T00:04:02Z,2025-02-10T00:04:02Z
UgwhZ-Jua3bNZwvglEV4AaABAg,,False,@daphnesimon6248,DAY 1  TO HIS RETURN MY BABYYYYYY,0,2025-02-08T17:24:55Z,2025-02-08T17:24:55Z
UgxelXgQVMjsHhVkRax4AaABAg,,False,@margoj2740,"514✨🍑🎶
D-3",1,2025-02-06T21:07:52Z,2025-02-06T21:07:52Z
UgyuyoW1PHhh86kxHZ54AaABAg,,False,@margoj2740,"513k✨❤
D-7",2,2025-02-03T04:18:23Z,2025-02-03T04:18:23Z
UgyudLsuEkhsz2DFjjp4AaABAg,,False,@margoj2740,"512k✨🍑🎶
D-12",2,2025-01-28T20:47:13Z,2025-01-28T20:47:13Z
UgwPmR5ZX0D0Rse-PcF4AaABAg,,False,@margoj2740,"511k✨❤
D-16",2,2025-01-24T22:40:15Z,2025-01-24T22:40:15Z
UgyCvj-3PbD77k831LV4AaABAg,,False,@margoj2740,"510k✨🍑🎶
D-21",1,2025-01-19T18:44:17Z,2025-01-19T18:44:17Z
UgwxtGbvpqY6JkUVxlJ4AaABAg,,False,@margoj2740,"509k✨❤
D-25",1,2025-01-15T21:25:25Z,2025-01-15T21:25:25Z
UgwuNpkI3bSnJkbE-2l4AaABAg,,False,@margoj2740,"HAPPY BIRTHDAY, KING KAI🎉✨🎊🎁🎂
D-27",2,2025-01-13T19:20:22Z,2025-01-13T19:20:22Z
UgwY5biKPp1FRncY8B94AaABAg,,False,@nadjajukova55,"Солнышко,  очень   красивое   исполнение ❤❤❤❤❤!!!!",1,2025-01-12T16:15:17Z,2025-01-12T16:15:17Z
UgwTy-MmNea_qI3PFr14AaABAg,,False,@margoj2740,"508k✨🍑🎶
D-29",1,2025-01-11T20:07:56Z,2025-01-11T20:07:56Z
UgwczKh8P1upoYtd9kJ4AaABAg,,False,@NeulEXOL,김카이 29일 후면 본다❤,2,2025-01-11T15:26:58Z,2025-01-11T15:26:58Z
UgygD92NrNGUGdz55cl4AaABAg,,False,@margoj2740,"507k✨❤
D-33",1,2025-01-07T22:04:40Z,2025-01-07T22:04:40Z
UgyCm08bRrReaUiuLih4AaABAg,,False,@HYUNJINSK,TEMON,0,2025-01-06T02:01:57Z,2025-01-06T02:01:57Z
UgzNcsvy_ZRH-zVfiVl4AaABAg,,False,@jong444in,"Yes, peahces, my favorite ❤",1,2025-01-04T08:46:49Z,2025-01-04T08:46:49Z
UgytTk0aiFAt74q4oWV4AaABAg,,False,@margoj2740,"506k✨🍑🎶
D-38",1,2025-01-02T22:36:25Z,2025-01-02T22:36:25Z
Ugw4hu9HNQbzt-Q-5gF4AaABAg,,False,@vanillakji,The prettiest,1,2024-12-29T09:47:31Z,2024-12-29T09:47:31Z
Ugz3viFvX4UIVKIUvAR4AaABAg,,False,@margoj2740,"505k✨❤
D-43",1,2024-12-28T20:41:08Z,2024-12-28T20:41:08Z
UgzNYXNbs_UUpDOmEbt4AaABAg,,False,@margoj2740,"504k✨🍑🎶
D-47",1,2024-12-24T20:29:32Z,2024-12-24T20:29:32Z
UgwRS61LY7q2WSgXQdl4AaABAg,,False,@margoj2740,503k✨❤,1,2024-12-22T23:31:06Z,2024-12-22T23:31:06Z
Ugx_0P5RqL87TKaa0PF4AaABAg,,False,@WhyIsGhostInTheArena,We as a people moved on from this too quickly,2,2024-12-19T18:52:43Z,2024-12-19T18:52:43Z
Ugx_0P5RqL87TKaa0PF4AaABAg.ACEp_yfRVamAHFJrYl2Z6_,Ugx_0P5RqL87TKaa0PF4AaABAg,True,@KPophome-j9u,true but this is k pop these days,0,2025-04-23T06:02:58Z,2025-04-23T06:02:58Z
Ugx_fpF4kjPkMveRIC94AaABAg,,False,@RedmiRedmi-m4p,❤,1,2024-12-17T02:47:47Z,2024-12-17T02:47:47Z
Ugw2cFy8UoRYEZE5PRx4AaABAg,,False,@margoj2740,502k✨🍑🎶,1,2024-12-15T21:38:47Z,2024-12-15T21:38:47Z
UgyTNMkS5Qh3qnkJq3d4AaABAg,,False,@jong444in,"peaches choreo is the best, yes i said it, tell the other two go cry",1,2024-12-13T08:49:14Z,2024-12-13T08:49:14Z
UgzUJy8vy84phSB3mNV4AaABAg,,False,@margoj2740,501k✨❤,1,2024-12-12T02:45:28Z,2024-12-12T02:45:28Z
Ugwf6Xi6T1LXk9AGbmh4AaABAg,,False,@justviewer3677,baby close your eyes,0,2024-12-09T14:18:47Z,2024-12-09T14:18:47Z
UgzPXO3bswGtJbFCBq54AaABAg,,False,@margoj2740,500k✨🍑🎶,1,2024-12-07T04:15:51Z,2024-12-07T04:15:51Z
