comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugx9YUShvNb2MdNFEHN4AaABAg,,False,@alivemead,x carti?,0,2025-02-15T11:48:06Z,2025-02-15T11:48:06Z
Ugzbz_ZpgjYQBhw64jx4AaABAg,,False,@NJZ_OT5_4ever,How can anyone hate on NewJeans? I better see NewJeans in the music pass of January 14.,0,2025-01-08T19:58:15Z,2025-01-08T19:58:15Z
UgzaJqiB6Wailmz0XIt4AaABAg,,False,@강주이-b1k,마지막에 버니즈한테마지막메세지보낸거였어요😭,0,2024-12-22T09:24:54Z,2024-12-22T09:24:54Z
UgzaJqiB6Wailmz0XIt4AaABAg.ACLXztsqQSlACLdOjsYJSc,UgzaJqiB6Wailmz0XIt4AaABAg,True,@강주이-b1k,"메세지이렇케보냈어요 
경고
여러분의 진실되 동료
요정협회입니다.
여러분도 잘 아시다시피
우리는 요정으로서
영원한 친구인
버니즈를 지키고
수호하는데
헌신하고있습니다.
잊지 마세요.
절대 모습을
드러내지 마세요.
하지만 버니즈가
우리 요정들이
항상 그들의 곁에 있음을
느낄 수 있도록 하세요.
이 영상응 비밀이며,
당시만
알고 게셔야 합니다.
버니즈를 위하여.",0,2024-12-22T10:20:52Z,2024-12-22T10:20:52Z
Ugxb7THuncSUY2ulAf54AaABAg,,False,@mr._063-n4u,またNew Jeansと年を越すことができて嬉しいです...😭,0,2024-12-15T11:54:46Z,2024-12-15T11:54:46Z
UgzrYh6fwtx9HJ1eEV14AaABAg,,False,@bbomindoong,진짜 요정이야. 긍정요정 뉴진스최고야❤❤❤❤❤❤❤❤,1,2024-12-06T04:22:40Z,2024-12-06T04:22:40Z
UgwkhOo7pNW57SooSPN4AaABAg,,False,@thirdtheworld,얘들아 보고 싶어....,0,2024-12-06T03:21:40Z,2024-12-06T03:21:40Z
UgwFf4GJD7zAWVl2J8h4AaABAg,,False,@ME_EYE,[Preview] NewJeans (뉴진스) 2025 SEASON'S GREETINGS Preview Clip #1,0,2024-12-05T22:37:10Z,2024-12-05T22:37:10Z
UgxgxqkHNQdTNUeckM94AaABAg,,False,@YanzuWu-ki2md,ㅓㅑ처ㅜㅐㅜㅜㅓㅏㅓㅜㅏㅏ뤄워풔ㅏㄹ여ㅏㅗ펴ㅗ퍼ㅓㅜㅓ러ㅜㅜㅓㅜㅓ펴ㅗㄷ려ㅗㅕㄹ여ㅗㅗㅏㅕㄷㅗㅜㅏㅕ롸ㅕㅏㅕㅗㄹ뎌ㅗ아ㄹㅕㅏㅗ아ㅗㅕ루ㅕㄹ❤❤❤❤❤❤ㅗ풔ㅏ❤❤❤❤ㅓㅑㅓㅓ랴ㅐㅇ! 테네ㅣㅣㅏㅌㅁㅁㅈ바ㅐㅐㅡㄴ탸ㅡ탸ㅑㅓㄴㅇㅇ ㅓㅑㅜㅓ으ㅓㄴ❤❤❤❤ㅑ,0,2024-12-05T03:15:00Z,2024-12-05T03:15:00Z
UgyhhFR4zZ5tZf3gZc14AaABAg,,False,@hopehirai3955,I/we miss you that it hurts😢,0,2024-12-04T23:18:24Z,2024-12-04T23:18:24Z
Ugw3mJxJizMfzP_Ksm94AaABAg,,False,@saltyyypopcorn,"This is so confusing, are they disbanding or not",0,2024-12-04T23:01:47Z,2024-12-04T23:01:47Z
UgxGzqZgdHnPCHJeHuJ4AaABAg,,False,@twicenmixx5995,NewJeans,0,2024-12-04T22:11:22Z,2024-12-04T22:11:22Z
UgwQfjLAGYgUG8jqt2p4AaABAg,,False,@Tqn1shaaa.x,My beautiful girlssss!!!,0,2024-12-04T21:21:47Z,2024-12-04T21:21:47Z
UgxGpRRflE3MmYL-TT54AaABAg,,False,@Sorrynotsorry2a,Dont wanna say goodbye 😢,0,2024-12-04T00:55:33Z,2024-12-04T00:55:33Z
Ugx48RRBYkG_9tx3KQF4AaABAg,,False,@Ddfggg44,고생많은 해였다 ㅠ,0,2024-12-03T10:16:53Z,2024-12-03T10:16:53Z
Ugy3xDWiQzjH-YgyRPx4AaABAg,,False,@moret8391,Amo,0,2024-12-02T17:36:23Z,2024-12-02T17:36:23Z
Ugw2GB04wgNxi6AgHl54AaABAg,,False,@Mori-g3z,バニズがずっとそばにいるよ❗️ずーっと大好き❤,2,2024-12-02T12:04:55Z,2024-12-02T12:04:55Z
Ugzbs_6EHeDtsvqGy214AaABAg,,False,@Blulilu,갸아아악 개이쁘고 개귀여워 사랑해 얘들아 ㅠㅠㅠㅠ,1,2024-12-02T11:20:02Z,2024-12-02T11:20:02Z
UgzHTHEA9vPPVIBEw1R4AaABAg,,False,@yanos562,화이팅!,0,2024-12-02T05:30:23Z,2024-12-02T05:30:23Z
UgxH_pMrRfXHiux2iNB4AaABAg,,False,@i-mz1lg,GO NEWJEANS!,0,2024-12-02T02:50:38Z,2024-12-02T02:50:38Z
UgxisKpmHICNxfjA1Zp4AaABAg,,False,@rixosworld4073,"If you're looking for a group like newjeans, would you check out Candy Shop?

￼",0,2024-12-01T17:51:22Z,2024-12-01T17:51:22Z
Ugxo6rDopdiqsnCGWtN4AaABAg,,False,@armyworld168,"In reality BTS, SEVENTEEN, NEW JEANS, LE SSERAFIM AND KATSEYE ARE THE BEST AT HYBE LABELS...AND NOW YOU LET NEW JEANS GO...YOU ARE SO STUPID HYBE",1,2024-12-01T04:29:09Z,2024-12-01T04:29:09Z
UgzQp2Ulpgqea2COiT54AaABAg,,False,@당근쥬스-f7u,걍 페미5명이라 보면 됨 대한민국의 좀,0,2024-12-01T00:50:30Z,2024-12-01T00:50:30Z
UgzQp2Ulpgqea2COiT54AaABAg.ABUYQsBMBgwABW0BqOfcsw,UgzQp2Ulpgqea2COiT54AaABAg,True,@likecandy4711,"말로만 들었지 정말 이런 사람이 존재한다는게 무섭다 
뉴진스 화이팅",4,2024-12-01T14:29:50Z,2024-12-01T14:29:50Z
UgwjGBQSaAg2w8wCEip4AaABAg,,False,@츕-j2b,뉴진스 2025 대박나자 맘고생한만큼… 사랑한다❤,6,2024-11-30T18:30:39Z,2024-11-30T18:30:39Z
Ugy2efaxfxR-LYTqJmZ4AaABAg,,False,@SnowsHusband,NJ NEVER DIES,1,2024-11-30T18:22:56Z,2024-11-30T18:22:56Z
UgyAmuzo9Q1FFEc-hSd4AaABAg,,False,@용짱-c6u,"민지 죽었나 코에 손대보는거 웃기네 ㅋㅋ
이혜인 눈 껌뻑껌뻑 졸귀 ㅋ",2,2024-11-30T13:01:28Z,2024-11-30T13:01:28Z
UgxPda7hbq8iOlo5Cfl4AaABAg,,False,@Chrosan900,What is this for then? 😭,0,2024-11-30T11:52:24Z,2024-11-30T11:52:24Z
UgzRg3cWbu5ETnwdiAt4AaABAg,,False,@renaimin,걱정마 너희가 뉴진스라는 이름을 안 쓴데도 우리가 뉴진스로 부를 테니까,3,2024-11-30T10:10:17Z,2024-11-30T10:10:17Z
UgwAQG7ZL7MRktMafnJ4AaABAg,,False,@IIii7kej,크...달라달라~ 역시 뉴진스야,4,2024-11-30T08:43:55Z,2024-11-30T08:43:55Z
Ugz5v93_7hz_Uaptskl4AaABAg,,False,@Asteroidbitz,Will you guys still be bunnie’s fairies?🧚🐰,1,2024-11-30T07:33:25Z,2024-11-30T07:33:25Z
UgxuBvDyVVqRx1B-nh54AaABAg,,False,@neulee-yi4oe,"이모 요새 기분 별로였는데, 우리 아가들 아니 요정들 보고 웃고가요~~~🤭🤭🤭",2,2024-11-30T05:50:50Z,2024-11-30T05:50:50Z
UgzVZR6mOXaPir96fYp4AaABAg,,False,@worlzy9342,the last seasons greetings as newjeans..,1,2024-11-30T01:45:52Z,2024-11-30T01:45:52Z
UgyEne10XuvlOnwRCVN4AaABAg,,False,@linouuvita,❤❤,0,2024-11-30T00:42:29Z,2024-11-30T00:42:29Z
UgyaeaugZdUUFoGG96V4AaABAg,,False,@moldycheese-x1e,NEWJEANS NEVER DIES,2,2024-11-29T21:22:31Z,2024-11-29T21:22:31Z
Ugy368irrJY9s1eWSlp4AaABAg,,False,@alize_hao,so pretty😍😍 I love them so much Im so happy for them for fighting against that company,1,2024-11-29T17:52:52Z,2024-11-29T17:52:52Z
UgxIHUZS59z5TcXd7zF4AaABAg,,False,@user-jl3tr3km9r,뉴진스 네버다이,1,2024-11-29T15:33:05Z,2024-11-29T15:33:05Z
UgwigI6emvlqFasoPxl4AaABAg,,False,@UbiAsmr,영원히 응원합니다.,1,2024-11-29T14:43:00Z,2024-11-29T14:43:00Z
Ugzi7MUPv7d0w2q9qPl4AaABAg,,False,@민박-b6j,뉴진스 너무 버니즈 입니당 ❤❤ 제일 좋아하는 아이돌~ 뉴진스!!🎉🎉,1,2024-11-29T13:38:26Z,2024-11-29T13:38:26Z
UgxDrgHl4ijsLI1UABF4AaABAg,,False,@sandisam81,Free NEWJENS,2,2024-11-29T13:20:04Z,2024-11-29T13:20:04Z
UgwIFa8kCIAXENABU9t4AaABAg,,False,@21.1.9_방울방울솔방울,시그 컨셉 너무 이쁘다ㅜㅜ,2,2024-11-29T08:36:40Z,2024-11-29T08:36:40Z
UgwYrKdJC8hUFjpFuwd4AaABAg,,False,@p_vne,AHHH IM SOO EXCITED❤❤,1,2024-11-29T08:24:07Z,2024-11-29T08:24:07Z
UgxBg9Q-NMjest43daB4AaABAg,,False,@Ver_44,Watching this before their disbandment…😢,3,2024-11-29T01:11:22Z,2024-11-29T01:11:22Z
UgxBOUKZRlena15bcFF4AaABAg,,False,@shlee3163,컨셉바뀌는거 싫긴하다.,1,2024-11-28T23:32:57Z,2024-11-28T23:32:57Z
UgyiPocYQ0t57_TaKBd4AaABAg,,False,@신동선-q4y,해체  되는가?,0,2024-11-28T19:03:53Z,2024-11-28T19:03:53Z
Ugyl6CwjjoayvonqcGt4AaABAg,,False,@cherrytory,아 대박 너무 귀엽다 ㅋㅋㅋㅋㅋㅋㅋㅋ 방해물 없이 날아다녔으면 좋겠다,2,2024-11-28T16:55:15Z,2024-11-28T16:55:15Z
Ugw0Qf_qtELnCvRe9e14AaABAg,,False,@SnaeJweN,"2025 New newjeans
응원해 사랑해 건강해 행복해",2,2024-11-28T16:07:09Z,2024-11-28T16:07:09Z
UgyydDbtH-9tl7Krpb54AaABAg,,False,@ssssay.3,뉴진스가 내 곁에 있다는 것만 해도 행복한걸🥹,2,2024-11-28T11:49:16Z,2024-11-28T11:49:16Z
UgxDmyU4zn-2QG63siB4AaABAg,,False,@peonypevanski8820,I will always suppprt you newjeans ❤🎉,1,2024-11-28T10:07:34Z,2024-11-28T10:07:34Z
Ugy6G47Gb9N_KQUCmLB4AaABAg,,False,@candysays-b6h,なんて可愛いの💕💕これからも絶対にBunniesが守るからね！☺,1,2024-11-28T08:42:06Z,2024-11-28T08:42:06Z
UgwEZEWctGgDVpxJ25V4AaABAg,,False,@MARIKO-h1l,"大好き
一生推す!!!
日本人です。韓国語勉強してます
좋은 일을 계속하십시오💗",0,2024-11-28T08:15:23Z,2024-11-28T08:15:23Z
UgwaWZrVXztDTOdaCdR4AaABAg,,False,@BootlegBoysClubBBC,묘하게 촌스러운 이유 뭐지 디렉팅의 힘인가 이게 ㅠ,0,2024-11-28T06:46:52Z,2024-11-28T06:46:52Z
Ugwz1WIgQe9Jrs5zmzx4AaABAg,,False,@검트단,25년에도 함께해~♡,0,2024-11-28T03:39:30Z,2024-11-28T03:39:30Z
Ugx263tob8o6C70boIZ4AaABAg,,False,@zzinn-yx1xq,혜인이 장난스러운 나레이션ㅋㅋㅋ 썸즈업까지 ㅋㅋㅋㅋ 너무 웃김 귀여워,0,2024-11-28T01:00:38Z,2024-11-28T01:00:38Z
UgxRCL-QOl1JYOibYcR4AaABAg,,False,@54._.4_07,애들아 행복하게만 지내죠 ㅠㅠㅠ❤❤,1,2024-11-28T00:18:55Z,2024-11-28T00:18:55Z
UgwZ8ZfJQyGJbdnztRx4AaABAg,,False,@SOFISTAR2,해린이가 너무 귀여워요! 그들은 매우 귀엽습니다!,1,2024-11-27T22:21:17Z,2024-11-27T22:21:17Z
Ugxoy9UrmpRaHuDmm-14AaABAg,,False,@Claclahh,Yeeeeeees ❤,0,2024-11-27T21:36:44Z,2024-11-27T21:36:44Z
UgyEsr06dQnSPewRS8p4AaABAg,,False,@BunniesLili,"The prettiest girls with the best music, talent and concept",1,2024-11-27T18:52:49Z,2024-11-27T18:52:49Z
UgwXUWCOQc_X11ByO0p4AaABAg,,False,@waffleylovers7053,are they broke already they need ppl to buy newjeans' merch in the brink of them leaving,0,2024-11-27T17:56:10Z,2024-11-27T17:56:10Z
UgzfuEWTbsliOpxyii54AaABAg,,False,@FabianaCouto0,New jeans,0,2024-11-27T16:55:35Z,2024-11-27T16:55:35Z
UgwGt68cEoiQtUe_DWp4AaABAg,,False,@yosiafranklin3761,❤❤❤❤❤❤❤❤❤,0,2024-11-27T16:51:59Z,2024-11-27T16:51:59Z
Ugy895aZo07FPqFBI8p4AaABAg,,False,@吳典-e6b,We must meet again in 2025!!!,0,2024-11-27T14:52:04Z,2024-11-27T14:52:04Z
UgwiW8UpYc0yxupmIDN4AaABAg,,False,@aadvikaj4917,Newjeans never dies ❤❤ ❤❤❤,2,2024-11-27T14:43:19Z,2024-11-27T14:43:19Z
UgzMBMMwh-GxtYtXVZp4AaABAg,,False,@Justmemilaa,"Newjeans, even though I don't want you to disband, I will always support you, even if you decide to do so. The bunnies are with you. !  💗💙💛💚💜+🐰 = 🤍",1,2024-11-27T14:41:52Z,2024-11-27T14:41:52Z
UgyKe7iVl3BaVua2pux4AaABAg,,False,@민트초코-g3n,진짜 귀엽고 재미있다 ㅋㅋㅋㅋ 내년에도 버니즈와 같이 행복하자💕뉴진스 화이팅,1,2024-11-27T14:17:42Z,2024-11-27T14:17:42Z
Ugx2ioKDgp_mXA_Ksu54AaABAg,,False,@Kuromi__of,"NewJeans, I will always support you~ in all the decisions you make on the 27th and in the path you take! 💙🩷💛💚💜+🐰= 💗",1,2024-11-27T14:06:35Z,2024-11-27T14:06:35Z
UgwnrHNSuyTk1q-KVgZ4AaABAg,,False,@serendipity98,시그 산사람~?!?!,1,2024-11-27T13:55:42Z,2024-11-27T13:55:42Z
