comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxohOoOl5ersleQnP94AaABAg,,False,@이서-p-k6,이서 얼빡 너무 귀엽고 그리고 더더더 귀여운현서,0,2025-05-11T10:44:49Z,2025-05-11T10:44:49Z
UgwY5Wc9z8u_YSHbe354AaABAg,,False,@박은화-o2v,에스컬레이터 기절넘예뻐서,0,2025-04-25T12:18:28Z,2025-04-25T12:18:28Z
Ugz43CRcUboUBwUPRTJ4AaABAg,,False,@phamngocton7410,Jujin need to be center and leader too❤❤❤,0,2025-04-23T09:38:08Z,2025-04-23T09:38:08Z
UgxMInow_2dCSYU_VIh4AaABAg,,False,@Ga-yeon051,얼빡은 사랑입니다(๑ơ ₃ ơ)♥,0,2025-04-23T08:37:31Z,2025-04-23T08:37:31Z
UgzL4-RIa7pFoN5iwZl4AaABAg,,False,@악마오리.오당고,워뇨 ❤❤❤❤❤,0,2025-04-21T12:15:20Z,2025-04-21T12:15:20Z
UgxyKGfWtSycGDlCYop4AaABAg,,False,@벨이7055,"어우
아이브한테 맞음❤❤",0,2025-04-20T03:49:09Z,2025-04-20T03:49:09Z
Ugz-EPhwvn_ZTEtoRWR4AaABAg,,False,@munmunmu-n,エスカレーターになろうかな,0,2025-04-17T06:33:05Z,2025-04-17T06:33:05Z
Ugwa0goWsaPukv4UTn54AaABAg,,False,@ive9,아이브♡,0,2025-04-17T05:13:05Z,2025-04-17T05:13:05Z
Ugzi9_LpO2r7pbDbQLB4AaABAg,,False,@Taekook_Imagination123,I first thought Rei would be the maknae when I started stan IVE at first.😂❤,4,2025-04-13T10:08:36Z,2025-04-13T10:08:36Z
Ugz_jYDEsbFdZZpV8jB4AaABAg,,False,@DIVEMILK,어우 심쿵..💕🫣,1,2025-04-13T08:16:34Z,2025-04-13T08:16:34Z
Ugzg8MfUMyzEd8x8H_N4AaABAg,,False,@이상복-p3s,멤버들우와아대박아니냐구😊❤,0,2025-04-13T06:28:47Z,2025-04-13T06:28:47Z
UgzocsNtZ6fza8JkLtd4AaABAg,,False,@Nr.x_Liz,"그 누가 아무리 뭐라해도, 솔직히 난 아이브가 맘에 들어~!",0,2025-04-13T05:32:41Z,2025-04-13T05:32:41Z
UgzalXhrUFZOcxJMmpF4AaABAg,,False,@인생배달,진짜 예뻐❤❤❤,0,2025-04-13T01:25:18Z,2025-04-13T01:25:18Z
UgwaPCHF46sgVEuMRmN4AaABAg,,False,@보리-l3q,다귀여운데 키키 인가? 처럼해줘라😢😢❤❤❤,0,2025-04-11T15:41:35Z,2025-04-11T15:41:35Z
UgwxJ-iK8UXyxwaR9C14AaABAg,,False,@땅콩-c1y,ㅠㅠ,0,2025-04-11T08:59:02Z,2025-04-11T08:59:02Z
UgyO0F574DPTY4V1XkV4AaABAg,,False,@땅콩-c1y,저도 콘서트가고싶은데못가요,0,2025-04-11T08:58:53Z,2025-04-11T08:58:53Z
