comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxTGjJ1Sm1XvY0e3UZ4AaABAg,,False,@gfdaminki,민지 사랑해요,0,2025-01-09T16:22:54Z,2025-01-09T16:22:54Z
UgwA0DnJ6saj8TzH_2h4AaABAg,,False,@thunderdragon4100,addicted to minji unnie,0,2024-12-07T13:43:03Z,2024-12-07T13:43:03Z
UgziFg3xrN7wOX1vL1p4AaABAg,,False,@minjiz.notforsale,free therapy fr,0,2024-12-07T09:00:43Z,2024-12-07T09:00:43Z
Ugza5u8zvr_UWXk1Rl94AaABAg,,False,@장민혁-g1h,지금 보니 눈물이 난다,0,2024-11-29T08:52:32Z,2024-11-29T08:52:32Z
UgzEW1UEI8VS9I3-pk14AaABAg,,False,@아햅삐,진짜 시워하게ㅡ잘 춘다 화 춤선이랑 너ㅜㅁ 마음에 들어,0,2024-11-20T15:18:20Z,2024-11-20T15:18:20Z
UgzkiPWTCvQeJc3Mx8x4AaABAg,,False,@hsg8446,두번째 점프는 잠시 허공에 떠있는 거 같은데?,0,2024-11-14T11:03:04Z,2024-11-14T11:03:04Z
UgzxyLU4UUQ9WAaRanB4AaABAg,,False,@junioralexander1953,Jordan 11 retro!,0,2024-11-13T22:50:38Z,2024-11-13T22:50:38Z
Ugyaf-Qd4r3DOMvmdLB4AaABAg,,False,@뿝뿝-y5e,민지달링💙춤 멋져요,0,2024-11-12T09:32:19Z,2024-11-12T09:32:19Z
Ugy0ObNCM27x2gUQy_p4AaABAg,,False,@시루-x9s,아유 이뻐라,0,2024-11-03T17:04:23Z,2024-11-03T17:04:23Z
UgxDxBvHF0U2qmBEH214AaABAg,,False,@moshing75,젊음이 느껴진다. 보기 좋네.,0,2024-11-03T10:53:27Z,2024-11-03T10:53:27Z
UgxjkZFZ0jKxFYxGfP14AaABAg,,False,@마지막팬,개구진듯한 표정이 정말 너무 예뻐요 킹민지 건강하자 😊,0,2024-11-02T14:55:12Z,2024-11-02T14:55:12Z
UgzAX2iqdbN49ymsxtN4AaABAg,,False,@H4nuskyy,My cutiee,0,2024-10-19T10:14:07Z,2024-10-19T10:14:07Z
UgyWRK0CXJuuOD9TKLJ4AaABAg,,False,@NikaSirovika,Cool dance 😊🌼,0,2024-10-06T15:22:14Z,2024-10-06T15:22:14Z
Ugx_oi0_6iTm2OsKOyV4AaABAg,,False,@eunjinjang7954,확실히 힘이 있어서 그런지 더 시원 시원하구먼~,1,2024-10-02T13:07:54Z,2024-10-02T13:07:54Z
Ugzm_2e8s20IHE_0KxF4AaABAg,,False,@MicaEkogahaut,❤❤❤❤❤❤❤i love you  minji😊😊😊😊❤❤❤❤,0,2024-10-01T16:24:09Z,2024-10-01T16:24:09Z
UgwhPoFauzOqgufb2wB4AaABAg,,False,@도균김-d7j,지겹다,1,2024-09-23T11:56:03Z,2024-09-23T11:56:03Z
