comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugz2uPFuuKdZCzYWuIJ4AaABAg,,False,@aestheticdrawings-m5r,❤❤❤,0,2025-05-19T06:37:52Z,2025-05-19T06:37:52Z
UgwXDtwv1SU3qoOVmRV4AaABAg,,False,@mnc_lzt,Amigo mi mamá me va a regañar si no tengo el diseño del pastel pal lunes,1,2025-05-18T06:21:52Z,2025-05-18T06:21:52Z
UgwopW6RwU1J7Gw8rLZ4AaABAg,,False,@mnc_lzt,Me salio q venden un conjunto de bra y chonino ksu ver y esta caguai pero ns si pedirlo,1,2025-05-18T06:21:30Z,2025-05-18T06:21:30Z
UgwopW6RwU1J7Gw8rLZ4AaABAg.AIFirDDaFVKAIFj2HDyXki,UgwopW6RwU1J7Gw8rLZ4AaABAg,True,@lucalinolober,invita,1,2025-05-18T06:23:09Z,2025-05-18T06:23:09Z
UgxnZpf1iBlbxu5Uqix4AaABAg,,False,@mnc_lzt,Tengo un poco pero ps aguanto hasta las 4,1,2025-05-18T06:20:52Z,2025-05-18T06:20:52Z
UgxnZpf1iBlbxu5Uqix4AaABAg.AIFimX0iatqAIFirV49t-C,UgxnZpf1iBlbxu5Uqix4AaABAg,True,@lucalinolober,a mimir,1,2025-05-18T06:21:33Z,2025-05-18T06:21:33Z
UgzJqSg3BReRcFcoznl4AaABAg,,False,@mnc_lzt,Te sirve si me voy a la 1?,1,2025-05-18T06:20:29Z,2025-05-18T06:20:29Z
UgxXY6_QYMuf3MuG5Xp4AaABAg,,False,@miramira7648,صوتين جميلين حقا،  بالتوفيق لكما،  انتما حقا رائعين،  المزيد من التألق.,0,2025-05-16T16:01:56Z,2025-05-16T16:01:56Z
Ugz9IYUQRS7_D0YGUqd4AaABAg,,False,@mixieszz,Still here 🥹🥹,0,2025-05-16T03:21:47Z,2025-05-16T03:21:47Z
UgzurQsSusJ12pvK4Ch4AaABAg,,False,@michalpintow-g8n,this is so k-drama coded! i love there voices combined!,1,2025-05-10T06:50:38Z,2025-05-10T06:50:38Z
Ugxb4enzyrTCMyBAXKl4AaABAg,,False,@ordinarySTAY,Their vocals are so soothing,0,2025-05-04T14:15:27Z,2025-05-04T14:15:27Z
UgzOPU3atIP_FpV7LiN4AaABAg,,False,@21dannamorales96,Amo la combinación de sus voces ❤,0,2025-05-03T18:06:24Z,2025-05-03T18:06:24Z
Ugz0kjn_TiTy8uMnYK94AaABAg,,False,@RuslanRamin,Bu şarkının değeri bilinmedi yazık çok yazık,0,2025-05-02T16:17:19Z,2025-05-02T16:17:19Z
Ugz2I_fIyfcLsvVjkGh4AaABAg,,False,@RuslanRamin,141k en son 1 yıl önce buradaymissim,0,2025-05-02T16:15:45Z,2025-05-02T16:15:45Z
UgyDuIbcoUj4ulZkByB4AaABAg,,False,@zeynucc_vlogreal,Idk why but this song make me cry...(lm jeongin stan),1,2025-05-01T19:13:10Z,2025-05-01T19:13:10Z
UgwwhxiDXwJCaE-lHfx4AaABAg,,False,@godspearbin,"hola chicos sigo esperando este tema en spotify , saludos a los demas los quiero",1,2025-04-30T18:04:28Z,2025-04-30T18:04:28Z
Ugz5xQrTvQ68BlTP2hR4AaABAg,,False,@Patylovc,"I didn’t find this song. The song found ME. Same as I didn’t choose Skz, they chose ME when I needed it most.❤️‍🩹",0,2025-04-28T08:40:08Z,2025-04-28T08:40:08Z
UgwCerZITHwvhw_i84J4AaABAg,,False,@Onlyblinks_vk,"Youngest son & Dad
😭💘 This song is amazing",2,2025-04-26T22:50:15Z,2025-04-26T22:50:15Z
UgzIeVhHhMtknhGJQTl4AaABAg,,False,@juliamartins487,Parece uma musiquinha de elevador kakakakak um tom tropical tão gostosinho,2,2025-04-25T17:46:34Z,2025-04-25T17:46:34Z
Ugz328Y5Bm5RJawP6TJ4AaABAg,,False,@emy_에미,Their voices healed my soul,0,2025-04-24T14:40:41Z,2025-04-24T14:40:41Z
Ugx69Cs4Bi_vb3s5RZt4AaABAg,,False,@AgusTraut,"Porque son tan lindos, hasta sus voces son increíblemente 🌟 Bang chan y I.N los amamos ❤️‍🩹",0,2025-04-23T01:00:34Z,2025-04-23T01:00:34Z
UgzB59RfyZnzzpw1pnl4AaABAg,,False,@mnc_lzt,Te sormiste pisa si ya estabamos ahí comprando,2,2025-04-20T04:16:10Z,2025-04-20T04:16:10Z
UgzB59RfyZnzzpw1pnl4AaABAg.AH7PFnHTHjNAH7PRg-w6Mf,UgzB59RfyZnzzpw1pnl4AaABAg,True,@losojitosdeminmin,de q hablaid,1,2025-04-20T04:17:48Z,2025-04-20T04:17:48Z
Ugwn96zC4D2fuEyD-qN4AaABAg,,False,@Vivelavidalocaskz,En mi mente cantaron solo 10 canciones y adios,2,2025-04-20T04:16:10Z,2025-04-20T04:16:10Z
Ugwn96zC4D2fuEyD-qN4AaABAg.AH7PFkgQWnPAH7PLWG040v,Ugwn96zC4D2fuEyD-qN4AaABAg,True,@mnc_lzt,Cómo 5 la nta y relleno,1,2025-04-20T04:16:57Z,2025-04-20T04:16:57Z
UgyUN1PH-O4rO9sVmqB4AaABAg,,False,@Vivelavidalocaskz,3 horas es muy poco para un concierto la vda,2,2025-04-20T04:15:47Z,2025-04-20T04:15:47Z
UgyV1dpIa1ztF_j5AWp4AaABAg,,False,@mnc_lzt,Mi fribi fav mugrosocore,2,2025-04-20T04:15:34Z,2025-04-20T04:15:34Z
UgwuViXivD3_d04jH_R4AaABAg,,False,@losojitosdeminmin,ya vngo,2,2025-04-20T04:15:32Z,2025-04-20T04:15:32Z
Ugx7GTf8AnOg2w6Gvgd4AaABAg,,False,@Vivelavidalocaskz,Apoco ya 8meses deso,1,2025-04-20T04:15:14Z,2025-04-20T04:15:14Z
UgyeJ5Y1HXOkrSkKNFR4AaABAg,,False,@ce9035,우리 찬이도.... ost해주라..ㅋㅋㅋ 너무 바쁜데 욕심이 많아서 미안스.. 바쁜데 쓰리라차 인스타 라이브 너무너무고마왔엉!!! 유투브라이브도 좋아!!,2,2025-04-08T07:34:11Z,2025-04-08T07:34:11Z
UgzMHgFpAY1EZ47WgoB4AaABAg,,False,@gnabbbisgnab,Anyone in 2025?,7,2025-04-06T13:34:33Z,2025-04-06T13:34:33Z
UgyWnlboUBzkJcrhXXJ4AaABAg,,False,@ココボー,❤❤,0,2025-04-06T08:14:58Z,2025-04-06T08:14:58Z
Ugykv2D4VzJNLGZrwAJ4AaABAg,,False,@foxirinnie,esta cancion es buenísima😭,1,2025-04-06T01:37:04Z,2025-04-06T01:37:04Z
Ugz-V7cXr5DbQt-vX_h4AaABAg,,False,@ce9035,찬이야!! 이엔아!! 또 해줘!! 너무너무 좋아!! 무대도!!!,2,2025-04-02T01:33:04Z,2025-04-02T01:33:04Z
Ugz8-ki8PdYLpQA3Imh4AaABAg,,False,@JessKim-b7s,Love you♥♥♥♥,2,2025-04-01T09:48:59Z,2025-04-01T09:48:59Z
Ugz8-ki8PdYLpQA3Imh4AaABAg.AGN4EkyNpIcAGOlF7LkUsR,Ugz8-ki8PdYLpQA3Imh4AaABAg,True,@ce9035,저도요!!,2,2025-04-02T01:32:45Z,2025-04-02T01:32:45Z
