comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxlhISfDgA3r9avsF14AaABAg,,False,@westi33,im vibrating with excitement,0,2025-03-29T05:57:46Z,2025-03-29T05:57:46Z
UgwHBrteYmBMKtJGJNl4AaABAg,,False,@오늘222,지녕이 춤 잘춘다 ㄷㄷㄷ,4,2024-12-17T14:21:13Z,2024-12-17T14:21:13Z
UgwC7PgZIVPfQaDayrt4AaABAg,,False,@Gunnandglo,진영❤,2,2024-11-08T12:42:02Z,2024-11-08T12:42:02Z
UgxzWk1wV3PyMFgYms94AaABAg,,False,@hmc-e3q,진영♡♡♡,2,2024-11-07T22:28:02Z,2024-11-07T22:28:07Z
UgxgzVfielttf1gd-Wp4AaABAg,,False,@user-kv2xw5vz2i,도영아 빠져든다,2,2024-06-25T02:16:10Z,2024-06-25T02:16:10Z
UgwROlYStkh_STxbiht4AaABAg,,False,@rio6151,❤❤,2,2024-05-07T13:16:45Z,2024-05-07T13:16:45Z
UgxSUPEBdUQMXmSjeqt4AaABAg,,False,@Ohnthr,Jindo comeback❤,4,2024-05-06T19:04:16Z,2024-05-06T19:04:16Z
Ugz7CDICgUeqiQ_ldaV4AaABAg,,False,@veronicacardoso6912,"Doyoung além de ser incrivelmente lindo,  maravilhoso,  magnífico possui uma voz dos deuses. Que voz é essa? Não tenho palavras para expressar. Doyoung é  perfeito,  sua voz é  perfeita.  I LOVE Doyoung FOREVERRRRRRRRRRR ❤❤❤❤❤❤",1,2024-04-26T12:12:01Z,2024-04-26T12:12:01Z
UgxgiEYYyKW6Ptowpwh4AaABAg,,False,@3ongb1rd,그.. 엠씨 같이 해서 아직까지 친한 건가,6,2024-04-21T16:45:48Z,2024-04-21T16:45:48Z
UgykC01BXTDD8kLi7jN4AaABAg,,False,@hmr958,박지녕 춤보다 여까지 또 옴,8,2024-04-10T02:55:18Z,2024-04-10T02:55:18Z
Ugz7Je4c6d_wRrppoMJ4AaABAg,,False,@fhjffhjfd69,❤❤❤ I just known that jinyoung dance this song. Like it 😊 so handsome,3,2024-04-02T12:57:54Z,2024-04-02T12:57:54Z
UgxXq7cTjHO3eMBC2pd4AaABAg,,False,@Park_Liya127,So cuteee😂❤❤,3,2024-02-05T16:12:51Z,2024-02-05T16:12:51Z
Ugx2JIXedw9LAM5kFvx4AaABAg,,False,@aniqinsiyatulkamila,Miss jinyoungg😢,4,2024-01-21T03:33:59Z,2024-01-21T03:33:59Z
UgzFL_LqCjcdtYDpTDl4AaABAg,,False,@Thevvvz,I thought it was Gongmyung😭💥,4,2024-01-20T06:56:31Z,2024-01-20T06:56:31Z
