comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwvayewOTgDrROUak94AaABAg,,False,@NCTsmtown,"✨ '샤랄라 (SHALALA)' MV https://youtu.be/aO5DPf0vebc
🎧 'SHALALA' Album https://TAEYONG.lnk.to/SHALALA",81,2023-06-12T12:03:38Z,2023-06-12T12:03:38Z
UgwvayewOTgDrROUak94AaABAg.9qrRnK9tXYr9qrcgC4R2M3,UgwvayewOTgDrROUak94AaABAg,True,@taleenSTAY,🌷⚘️🌹🌺💚💚,4,2023-06-12T13:47:31Z,2023-06-12T13:47:31Z
UgwvayewOTgDrROUak94AaABAg.9qrRnK9tXYr9qrgxE2XjKZ,UgwvayewOTgDrROUak94AaABAg,True,@Bangtansoyeondan7,❤️❤️❤️❤️❤️,3,2023-06-12T14:24:47Z,2023-06-12T14:24:47Z
UgwvayewOTgDrROUak94AaABAg.9qrRnK9tXYr9qtUtDNEzM8,UgwvayewOTgDrROUak94AaABAg,True,@leenyuta1129,💖💖💖💖💖💖💖💖💖💖,2,2023-06-13T07:09:08Z,2023-06-13T07:09:08Z
UgwvayewOTgDrROUak94AaABAg.9qrRnK9tXYr9qzORfMFbcp,UgwvayewOTgDrROUak94AaABAg,True,@chillchillsday6611,น่ารักที่สุบ❤,1,2023-06-15T14:08:15Z,2023-06-15T14:08:15Z
UgyXA4n2K7R-yVQOZvl4AaABAg,,False,@BellCosasdechicas,❤,0,2024-05-27T14:44:43Z,2024-05-27T14:44:43Z
Ugwlgvzx6sW2Qt7_ysF4AaABAg,,False,@biyubiyu_127,I miss him so much and this video pop up😭💚,1,2024-05-25T16:06:46Z,2024-05-25T16:06:46Z
Ugz8GB7EX_hpgxjeFqJ4AaABAg,,False,@jisungsbackscratcher,why is this coming back to me taeyong i miss u bubu 😢😢❤❤,19,2024-05-22T16:07:42Z,2024-05-22T16:07:42Z
Ugz-69y0bF0Bgl_KoO14AaABAg,,False,@ИвановаЕлена-е2х,Принц сиджени!!!!!!!! 🫰💚🥰,1,2024-05-22T13:33:26Z,2024-05-22T13:33:26Z
UgwW37iTGOVuwd0aSMZ4AaABAg,,False,@melisagogus657,Yaaa taeyong a ne güzelll olmuss çiçekli taç🙏🏻🤍🔥,2,2024-05-08T15:25:49Z,2024-05-08T15:25:49Z
