comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyrRuBhbjqWW1ipBxB4AaABAg,,False,@BLACKPINK,"Pink Venom. Out Now.

https://youtu.be/gQlMMD8auMs",1783,2022-08-19T04:13:07Z,2022-08-19T04:13:07Z
UgyrRuBhbjqWW1ipBxB4AaABAg.9etqrGY5i-M9etqtoa7EFL,UgyrRuBhbjqWW1ipBxB4AaABAg,True,@iluvmazzystar,BLACKPINKKKK,16,2022-08-19T04:13:27Z,2022-08-19T04:13:27Z
UgyrRuBhbjqWW1ipBxB4AaABAg.9etqrGY5i-M9etr0sAF4ym,UgyrRuBhbjqWW1ipBxB4AaABAg,True,@beabadoobies,IN YOUR AREA,16,2022-08-19T04:14:33Z,2022-08-19T04:14:33Z
UgyrRuBhbjqWW1ipBxB4AaABAg.9etqrGY5i-M9etr52oTdZ5,UgyrRuBhbjqWW1ipBxB4AaABAg,True,@icefrosty0000,AGHHHHH,2,2022-08-19T04:15:08Z,2022-08-19T04:15:08Z
UgyrRuBhbjqWW1ipBxB4AaABAg.9etqrGY5i-M9etrDO6OpJb,UgyrRuBhbjqWW1ipBxB4AaABAg,True,@gabbyandangel5853,OH MYBGOD,1,2022-08-19T04:16:16Z,2022-08-19T04:16:16Z
UgyrRuBhbjqWW1ipBxB4AaABAg.9etqrGY5i-M9etrqrY6082,UgyrRuBhbjqWW1ipBxB4AaABAg,True,@mariasarahina1529,yes,0,2022-08-19T04:21:47Z,2022-08-19T04:21:47Z
UgxwMR8TvUaVwPxRvKJ4AaABAg,,False,@nurbekfany828,thriller,0,2025-05-08T22:20:08Z,2025-05-08T22:20:08Z
UgwYMBlaFcK1OSK9LPd4AaABAg,,False,@BradleyCamilon,now we wait for the teaser of the new cb,0,2025-05-08T18:20:40Z,2025-05-08T18:20:40Z
UgxfrY3AeWecpCjA2mN4AaABAg,,False,@ClassofTheelite,New song!!!,1,2025-04-30T05:30:15Z,2025-04-30T05:30:15Z
UgzoxaB_goQCJeEhzS54AaABAg,,False,@ahri_tiktoker7522,E esse ano vão voltar com tudo!,0,2025-04-27T19:04:06Z,2025-04-27T19:04:06Z
Ugy4lsMwPn7t7oRx01d4AaABAg,,False,@CamalYurd,Blackpink queen of kpop❤,1,2025-04-07T07:08:18Z,2025-04-07T07:08:18Z
UgyBWseh_xThtMU8DbV4AaABAg,,False,@riiwxs,mães.,0,2025-04-04T02:00:40Z,2025-04-04T02:00:40Z
UgyCNcPKqKmk40bH8OV4AaABAg,,False,@lovelyundertale5709,I want a comeback so bad,0,2025-03-27T12:12:34Z,2025-03-27T12:12:34Z
Ugwm38J-x0lBMAR0y2J4AaABAg,,False,@Tinayakarunanayaka,2025 watching,0,2025-03-08T09:29:33Z,2025-03-08T09:29:33Z
UgxmP0FutGLTfBo-3Gd4AaABAg,,False,@Robin-x9j6c,0:08,1,2025-03-07T01:55:14Z,2025-03-07T01:55:14Z
UgzkiFxnXJ5CJlIekEB4AaABAg,,False,@Meomeo-cutieee,Love,0,2025-03-01T18:44:48Z,2025-03-01T18:44:48Z
Ugxv1sGHHEya_KdCuIV4AaABAg,,False,@mwxdd,"before supernova, we have this banger 🔥🔥🔥",2,2025-01-05T05:32:29Z,2025-01-05T05:32:29Z
UgzlvyLrGtKUSNjGz8N4AaABAg,,False,@HanjiSanjioo,Why did I hear Mike drip instrumental,1,2024-12-27T16:58:01Z,2024-12-27T16:58:01Z
Ugxn_WVfScJIeSIMxSN4AaABAg,,False,@Thejenniews,"2024,,.
...",0,2024-12-10T13:43:27Z,2024-12-10T13:43:27Z
Ugw_wEg8PO9udF4gwo94AaABAg,,False,@Nk-pop8,بلینک,1,2024-11-06T17:12:45Z,2024-11-06T17:12:45Z
UgyrP-1AzzyowyjsrJ14AaABAg,,False,@Nk-pop8,بلینک,0,2024-11-06T17:12:34Z,2024-11-06T17:12:34Z
Ugyt4eFwQiWYWouv1N54AaABAg,,False,@Nk-pop8,بلینک,0,2024-11-06T17:12:22Z,2024-11-06T17:12:22Z
UgzR6wc_6JR8-HtJuBB4AaABAg,,False,@Nk-pop8,بلک‌پینک,0,2024-11-06T17:12:12Z,2024-11-06T17:12:12Z
UgxnClTmOft-fg0XlgR4AaABAg,,False,@Nk-pop8,بلک‌پینک,0,2024-11-06T17:11:55Z,2024-11-06T17:11:55Z
Ugx0ztLmkd_vJ4VCSEl4AaABAg,,False,@Nk-pop8,بلک‌پینک,0,2024-11-06T17:11:43Z,2024-11-06T17:11:43Z
UgxGLgy70Sl-ow1xYIZ4AaABAg,,False,@jodohmu7428,BLACKPINK❤,0,2024-10-31T03:47:50Z,2024-10-31T03:47:50Z
UgzPKXVlmvbOZ0my6T54AaABAg,,False,@duckbufflehead6294,Congratulations to Rosé who becomes the first woman in K pop to crack the Hot 100’s Top 10 with “APT.” Keep streaming ATP.,4,2024-10-28T21:50:21Z,2024-10-28T21:50:21Z
