comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugy_UPJEG4S94XMVfgd4AaABAg,,False,@saifayre4918,We all need a mark in our lives fr,0,2024-10-07T05:36:56Z,2024-10-07T05:36:56Z
UgxuftJ6iui3kDZi4fp4AaABAg,,False,@ShivanshChaubey-d8m,I love you❤❤❤❤❤❤❤ anjali,0,2024-07-22T19:00:29Z,2024-07-22T19:00:29Z
Ugwzc3kGtciqsohSTmN4AaABAg,,False,@lifeissofunny1000,아씨 너무 내취향 ㅠㅠㅠㅠㅠ 아 미친 그냥 마크를 모르고싶어 흐어흐어우어ㅓ어엉ㅇ 넘좋아,1,2024-07-13T16:16:45Z,2024-07-13T16:16:45Z
UgzSZx9eVxdyBKuHCFJ4AaABAg,,False,@junm.2153,정말 앨범 기대된다,0,2024-07-10T15:12:23Z,2024-07-10T15:12:23Z
UgzjtaKzDsfwARFLuhR4AaABAg,,False,@IndahIndanawati-hh7yk,SO HANDSOME MARKK😉,0,2024-07-07T01:07:23Z,2024-07-07T01:07:23Z
UgyU_7rIvEwlWeWDdpN4AaABAg,,False,@HayatunHumaira,"Hai Mark, aku...",0,2024-07-06T06:56:35Z,2024-07-06T06:56:35Z
UgzDDKoIisSsUNosgGN4AaABAg,,False,@DDD1004.,감성 너무 좋다...,0,2024-06-10T15:27:49Z,2024-06-10T15:27:49Z
Ugy6LZacnlUDUz6m1QJ4AaABAg,,False,@user-jt6ux3sd2k,팬들이 스파이더맨같다고 하는거에 영감을 받은걸까 너무 좋다,0,2024-05-27T14:25:04Z,2024-05-27T14:25:04Z
Ugz_SquWSmXTdweQcAV4AaABAg,,False,@PiCkuPEiGhT,Spidermark,0,2024-05-26T00:30:31Z,2024-05-26T00:30:31Z
Ugz_LcuGM9PaF9guFK14AaABAg,,False,@onyourlny,❤️,0,2024-05-24T23:05:48Z,2024-05-24T23:05:48Z
UgznRzLvsSrhsNEue2h4AaABAg,,False,@Choco_seasalt,MARKKK 😭😭😭,1,2024-05-24T17:31:37Z,2024-05-24T17:31:37Z
UgwUlaf2oPxNETKjSdR4AaABAg,,False,@liagamer4265,Cutie 😭❤️,0,2024-05-23T00:48:24Z,2024-05-23T00:48:24Z
Ugw2zTorJAcK9ZYHmCp4AaABAg,,False,@najwamashabi7430,udh gila makin gila gue di suguhin gnian,0,2024-05-20T18:00:56Z,2024-05-20T18:00:56Z
UgzZl2sdYG8txBkXgBl4AaABAg,,False,@MontserratMoreno-r5d,Mark es tan adorable y lindo ❤❤❤❤❤,1,2024-05-20T05:39:25Z,2024-05-20T05:39:25Z
