comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxyvHW80Hj98gxEscV4AaABAg,,False,@pada1927,…(^з^),1,2024-09-16T19:45:18Z,2024-09-16T19:45:18Z
Ugy3DLHh4_sjF6wCipR4AaABAg,,False,@D0R4I_N,HES SO BEAUTIFUL,2,2024-07-22T18:56:16Z,2024-07-22T18:56:16Z
Ugy6d0CkAPRDewgUf0V4AaABAg,,False,@닁닁,진심으로 세상에서 제일 잘생김...................,2,2024-07-22T12:59:55Z,2024-07-22T12:59:55Z
Ugyb2YS3KDaEJcSlF0J4AaABAg,,False,@AriaWayy,You are my dream boy J.,1,2024-06-20T20:40:21Z,2024-06-20T20:40:21Z
Ugyy1zOOMF8xhQu0zXF4AaABAg,,False,@notthing..,ㅈㄴ위험하네 미친,1,2024-06-09T14:37:19Z,2024-06-09T14:37:19Z
UgycPnOAMmypOGpywnV4AaABAg,,False,@Mimi-w5d8s,جمالوو❤❤❤❤,2,2024-02-23T11:21:01Z,2024-02-23T11:21:01Z
UgzQO1Q9VafVOc_hC9B4AaABAg,,False,@Mimi-w5d8s,احبه❤❤,2,2024-02-22T21:51:17Z,2024-02-22T21:51:17Z
UgwiFWYuuAuu63hLYEl4AaABAg,,False,@서현-m3f3y,정재현은 진짜 자기가 잘생긴걸 아는거야 너무 얼굴을 잘 활용함 앞으로 평생 그렇게 해줘😮,1,2024-02-04T17:24:11Z,2024-02-04T17:24:11Z
UgyRgW9iHhzF8b4b22Z4AaABAg,,False,@love-o3j7r,Bisa di ambil nih vid nya buat jdi transisi,1,2024-01-24T03:07:56Z,2024-01-24T03:07:56Z
Ugyob0YLQGIuynBJ7SN4AaABAg,,False,@paularahn567,Natural sex appeal. ❤,1,2024-01-18T02:30:03Z,2024-01-18T02:30:03Z
Ugxu7hL9BEUlPypuP4h4AaABAg,,False,@haecha214,미치게하네,1,2023-12-01T02:55:12Z,2023-12-01T02:55:12Z
UgwO6b6Vwkvk2EUBz8V4AaABAg,,False,@alisa-loves-taeyong,i’m in awe 🥴 his lips look very kissable 🙈,20,2023-10-21T13:12:32Z,2023-10-21T13:12:32Z
UgxLQNRWY9GlbpfSEDd4AaABAg,,False,@воник,how people are able to be handsome and cute at the same time????,1,2023-09-26T20:27:37Z,2023-09-26T20:27:37Z
