comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzcN7BaljWlv1yA0kR4AaABAg,,False,@seven_1713,1:40 그 유명한 쿱정❤❤❤,1,2025-02-25T12:59:37Z,2025-02-25T12:59:37Z
UgyROFbTuA0SXjT8Ndx4AaABAg,,False,@yes.im.nicholas,1:38 oh so this is where that clip came from,0,2024-11-11T23:25:55Z,2024-11-11T23:25:55Z
UgxEWM_QhXCxX0lO1C14AaABAg,,False,@yes.im.nicholas,aww,0,2024-11-11T23:18:11Z,2024-11-11T23:18:11Z
UgxHvx28UzPQ9jVgoHB4AaABAg,,False,@sjw-fanhb,세명 모두 다 잘생겼잖아 우리 복덩이들      너무 잘한다~사랑해 ❤,2,2024-10-20T10:05:27Z,2024-10-20T10:05:27Z
UgzLr8igygaJak30zYR4AaABAg,,False,@userrakzjns,정한아ㅠ 노무 잘생김,0,2024-10-13T10:52:20Z,2024-10-13T10:52:20Z
UgwxHKsYbmC6ARlVuUx4AaABAg,,False,@user-tp6dq5lg6p,"Uffff Mingyu 🔥❤️‍🔥❤️‍🔥 y r u soooo handsome man 😮😮😮 can't take my eyes off on u
3:14 jeonghan looking so tiny in front of him 😂❤",2,2024-10-04T16:16:58Z,2024-10-04T16:20:37Z
UgzI58bgRQkpxEQk_Kd4AaABAg,,False,@user-tp6dq5lg6p,Complete family photo 😂 Daddy+ mommy + their baby ..cutie  puppy Mingyu ❤❤❤,2,2024-10-04T16:14:40Z,2024-10-04T16:14:40Z
UgzwYKyuT0jTk9eQbF54AaABAg,,False,@Alisa-bc9nu,❤❤❤❤,0,2024-09-26T14:42:41Z,2024-09-26T14:42:41Z
UgzPWroI0EjvSedt5rx4AaABAg,,False,@c9s-j4n,1:09 1:39 2:51 3:30,0,2024-08-24T14:29:09Z,2024-08-24T14:39:22Z
UgzpsgNSl8N7im-cOwl4AaABAg,,False,@putrimonata_Coups,💗I Love You So Much Babe Scoups💗2024.07.30💗💍💐✨,1,2024-08-20T13:37:40Z,2024-08-20T13:37:40Z
UgwdcYH7Y78gkOw7_mh4AaABAg,,False,@putrimonata_Coups,💖SEVENTEEN FOREVER💙2024.07.30🤍,1,2024-08-20T13:37:31Z,2024-08-20T13:37:31Z
UgzcDyr9-1MOgDw744Z4AaABAg,,False,@allyson2143,1:45 what in the KDrama world is this???!!! 😭😭😭,2,2024-08-15T14:51:46Z,2024-08-15T14:51:46Z
Ugz3sxrl0WdMNkOgMLp4AaABAg,,False,@amilianatasya8128,I LOVE SEVENTEEN TEEHEE <3333333,0,2024-07-15T05:54:10Z,2024-07-15T05:54:10Z
