comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugzw1DfEgo5-MLpikN14AaABAg,,False,@MiMi-14-z1y,2025 here???,0,2025-01-31T11:09:35Z,2025-01-31T11:09:35Z
Ugy9CxoUs1G2YVxyAnl4AaABAg,,False,@Elfangor-Sirinial-Shamtul,Sana's boba eyes in that beanie. 🥹,0,2024-11-19T05:19:06Z,2024-11-19T05:19:06Z
Ugzq8KU-LIzTdUAa9Ft4AaABAg,,False,@daniellemiras6797,"Of all the old TTT episodes this is my top 1 fav. Watching for the 7th time. ❤😊

It makes me smile and laugh with contentment.. 

#TwiceOT9",0,2024-10-26T16:25:03Z,2024-10-26T16:25:54Z
UgypDmFd0EPPIP1efiN4AaABAg,,False,@mariatiburcio5915,"Mucho amor, chicas hermosas.",1,2024-08-22T02:03:18Z,2024-08-22T02:03:18Z
Ugz7YEQgEe3bubP160N4AaABAg,,False,@blakemorales_22,ENAMORADO DE LA RUBIA!!! CHAE ME TIENES A TUS PIES,0,2024-05-07T02:12:23Z,2024-05-07T02:12:23Z
Ugwit9TT3Bx8pBr1Fxp4AaABAg,,False,@boo-zq6zi,"lmao im very late but im finally watching it, im so excited.",0,2024-05-05T12:36:36Z,2024-05-05T12:36:36Z
UgxCi4lVD07Fx7tus9d4AaABAg,,False,@nabongsbf6369,"It's been one year and time flies very fast,miss new year TTTㅠㅠ",0,2024-03-13T12:14:45Z,2024-03-13T12:14:45Z
UgxKWwnn1M3l7-FoKd94AaABAg,,False,@dingdong388,Please new year 2024,1,2024-03-03T15:22:42Z,2024-03-03T15:22:42Z
UgxLJZnv1hT6RbpFWsF4AaABAg,,False,@RuthDeysiChecasacaRimac,Econociva Nocturnos ni trucos ni tratos solo pasajes baratos,0,2023-10-29T18:55:55Z,2023-10-29T18:55:55Z
UgzYPzJfrx9NPB2fK154AaABAg,,False,@RuthDeysiChecasacaRimac,Muy bien Civa bus nocturnos SUPERCIVA,0,2023-10-29T18:54:57Z,2023-10-29T18:54:57Z
UgxexmCf_V_UuX6UFX94AaABAg,,False,@1wice2nce,Finally Jeongyeon joined this T.T.T new year 2023! We missed her!!!,0,2023-07-16T17:20:07Z,2023-07-16T17:20:07Z
UgwvedtDt0hlHUIiFDd4AaABAg,,False,@zintws1,Wow,0,2023-07-06T00:20:41Z,2023-07-06T00:20:41Z
Ugyyh2xgiGlJwKnWOq54AaABAg,,False,@almot3205,Love ❤,0,2023-07-03T02:53:08Z,2023-07-03T02:53:08Z
UgxgEuq--NRnSo7qZlt4AaABAg,,False,@azimedemir2911,❤,1,2023-06-20T05:38:19Z,2023-06-20T05:38:19Z
UgwxRf4iPxocgcqtq8B4AaABAg,,False,@nihscx.7,"me I love you twice You are WONDERFULLL ❤❤, I love you dahyun❤️‍🩹",0,2023-04-27T15:40:29Z,2023-04-27T15:40:29Z
UgxXHNqycAhJKcAMd7F4AaABAg,,False,@kimmina727,Name song Please,0,2023-03-10T15:08:46Z,2023-03-10T15:08:46Z
UgxvAz-eETYIESDLD1N4AaABAg,,False,@chaminz,트와이스 사랑해 그리고 고마워!,0,2023-03-06T06:02:42Z,2023-03-06T06:02:42Z
Ugy05nAytXu2jXej45l4AaABAg,,False,@chaminz,힐링 타임!,0,2023-03-06T06:02:08Z,2023-03-06T06:02:08Z
UgywcgU_6KtG-jHdbzh4AaABAg,,False,@Cookie7_5,TWICE,0,2023-02-24T02:56:06Z,2023-02-24T02:56:06Z
UgyC7SpGoLKkx4Iu_sF4AaABAg,,False,@영훈-z1q,트와이스 가자,0,2023-02-15T14:13:02Z,2023-02-15T14:13:02Z
UgwCN8-QDrmn48Shf1R4AaABAg,,False,@zonablinkinyourarea,Happy New Year Twice.,1,2023-02-07T23:08:10Z,2023-02-07T23:08:10Z
Ugxn6vBFHltS8hl-zuJ4AaABAg,,False,@zonablinkinyourarea,cute twice,2,2023-02-07T23:07:28Z,2023-02-07T23:07:28Z
Ugzd_H1nMVSfso8cKtt4AaABAg,,False,@jasseat4055,Ily,0,2023-02-01T23:37:45Z,2023-02-01T23:37:45Z
UgzkLUAhxhQzUdRC0hV4AaABAg,,False,@herryputter88,"At first I knew about Tzuyu Twice, from there I started to be a fan, so from that I filled my channel especially about Tzuyu Twice",0,2023-01-26T05:13:34Z,2023-01-26T05:13:34Z
Ugy6lX09r7rkY5Pmmfx4AaABAg,,False,@Mio.118,저는 일본인이지만 트와이스 여러분들을 항상 추천해드리겠습니다.❤︎,0,2023-01-23T11:17:32Z,2023-01-23T11:17:32Z
UgwWFIsXdkyxIKL0pKV4AaABAg,,False,@miyu_sanachanosi1,大好き,0,2023-01-23T07:36:17Z,2023-01-23T07:36:17Z
UgxjoCpMUkjVOPZNhK54AaABAg,,False,@abeerali2001,❤❤,0,2023-01-20T02:39:16Z,2023-01-20T02:39:16Z
UgwwGu7UDF-6TdyzJMp4AaABAg,,False,@linecatian854,ok,0,2023-01-19T17:02:32Z,2023-01-19T17:02:32Z
UgyDvDl7UL_5UQ23Vd54AaABAg,,False,@VanessaSantos087,Amo vocês,0,2023-01-18T01:53:29Z,2023-01-18T01:53:29Z
UgyKH-FLF_MdQ5hz5FZ4AaABAg,,False,@Emilywsv,El video fue buenísimo!,1,2023-01-16T19:43:53Z,2023-01-16T19:43:53Z
UgzkCnTmbqLMoTAjkkJ4AaABAg,,False,@matiastrujillo3860,Feliz año Twice y espero que lo pasen que sean nuevas canciones y que Dios los bendiga,0,2023-01-16T15:46:33Z,2023-01-16T15:46:33Z
UgwBpDLlzdps4p8xVlt4AaABAg,,False,@dolly_angel_,Who needs a partner when we have twice wishing us a happy new year 🥺💝💝,0,2023-01-16T14:24:47Z,2023-01-16T14:24:47Z
UgxxGGBAt8aX6dt4n4x4AaABAg,,False,@dolly_angel_,We got it unnies lets goooooooo 🥺💝,0,2023-01-16T14:23:43Z,2023-01-16T14:23:43Z
UgzBr6yNhJLmAmjlxWN4AaABAg,,False,@dolly_angel_,"Woooo we're so excited for new year, fighting 👏🏻",0,2023-01-16T14:23:22Z,2023-01-16T14:23:22Z
Ugxty1fDHdvLboYySlt4AaABAg,,False,@khaladurrahman6631,Jeongyeon is looking better than before ig look at her face i think she's getting better 😭💗💗,0,2023-01-16T02:05:30Z,2023-01-16T02:05:30Z
UgwJHM5pMIAg_vb_zCZ4AaABAg,,False,@inggritpurnamasari161,Dahyun Very beautiful 😊,0,2023-01-15T14:46:57Z,2023-01-15T14:46:57Z
Ugx0B7p-VP6Wqu_eShh4AaABAg,,False,@jeremywest5677,so excited for moonlight sunrise ❤️,1,2023-01-15T14:13:02Z,2023-01-15T14:13:02Z
UgziWKv_O-KNUbhh6Qp4AaABAg,,False,@yoorussel,Finally! OT9 New Year! <3,0,2023-01-14T13:59:33Z,2023-01-14T13:59:33Z
UgwOd_gBDog9Joi-NyR4AaABAg,,False,@tharbt8050,Twice Forever ❤️👑,1,2023-01-14T03:00:59Z,2023-01-14T03:00:59Z
Ugz1LLXNQ9xPltih-b14AaABAg,,False,@SwithBuddy,Las amo chicas 💗💗,0,2023-01-14T02:10:44Z,2023-01-14T02:10:44Z
UgxSvgd9C2h6E-Lc-k94AaABAg,,False,@Strawberryly,las amooo ❤️,0,2023-01-13T18:40:00Z,2023-01-13T18:40:00Z
Ugz7QyY8U7H_3wplxs54AaABAg,,False,@kingdoge1164,WHY IS THERE SO MANY MOMOS!Momo's pov:MOMOMOMOMOMOMOMOMOMOMOMOMOMOMOMOMOMOMMOMMOMOMOMO.,0,2023-01-13T10:33:00Z,2023-01-13T10:33:00Z
UgzYFMqbxAUlXuF1Xgh4AaABAg,,False,@babitathakur5368,Jeongyeon is backkkkk in new year TTT,0,2023-01-13T09:55:29Z,2023-01-13T09:55:29Z
UgybVhoxJ8W76Kkeja14AaABAg,,False,@babitathakur5368,TTT is best,0,2023-01-13T09:55:08Z,2023-01-13T09:55:08Z
UgylJyRWn5AlAO4Pjjt4AaABAg,,False,@Djdjddhd-l3n,이제 곧 6시~~~,0,2023-01-13T08:53:01Z,2023-01-13T08:53:01Z
Ugw8cACkPC0s-DIF7Y54AaABAg,,False,@lisaguerrero8730,❤️❤️❤️❤️❤️1111¹,0,2023-01-13T08:04:01Z,2023-01-13T08:04:01Z
UgyEA6pMGqra3NnDisx4AaABAg,,False,@lisaguerrero8730,😭🎂🎂🎂🎂,0,2023-01-13T08:03:09Z,2023-01-13T08:03:09Z
UgweU2rYsXnS_ZAYOCx4AaABAg,,False,@oncebts4636,Love you twice 💗💗💗💗😘,0,2023-01-13T07:49:02Z,2023-01-13T07:49:02Z
UgyMO3zBJRuH4vGps7x4AaABAg,,False,@majomurilloo_,"feliz añooo, las amo 💗",0,2023-01-13T07:22:09Z,2023-01-13T07:22:09Z
UgwFpEdJVuMdVDBayFZ4AaABAg,,False,@cryformeisamasterpiece.1274,Finally it's TTT DAAYYY😭😍😭😍😭,0,2023-01-13T05:39:57Z,2023-01-13T05:39:57Z
UgyQQxjypRwe_xp5JiF4AaABAg,,False,@julie9337,dubchae looks so beautiful,0,2023-01-13T03:00:06Z,2023-01-13T03:00:06Z
UgwDCq4FAlR0tTBj1kh4AaABAg,,False,@DKB-hr5km,"0:50 自粛中のかなり落ちているであろう体力に喝を入れて下さるTWICEリーダージヒョ氏💓（この後ダヒョンちゃんもw）ジヒョさん休養明けから音楽番組とばしておられたなぁああなりたい🥳←何にでも一生懸命というOnceの皆様のお言葉の尊さ✨

（みんな可愛いんですが）ジョンヨンちゃん可愛かったヲー❤頑張るヲー💪

今晩（23/1/13 18:00）何かあるのかな👀",0,2023-01-13T02:52:30Z,2023-01-13T02:53:06Z
