comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugz_LpCM2UtTzTT34SJ4AaABAg,,False,@Its-only-meh,The pens 😭🫶,0,2025-02-24T13:32:43Z,2025-02-24T13:32:43Z
UgxHAc5DdpdPHQb2RVl4AaABAg,,False,@yunabraska4573,"I love this Guys so much! For me, the best Band in the World!
Forever Fantasy
Forever SF9 🩷🩷🩷🩷",0,2024-10-08T03:58:27Z,2024-10-08T03:58:27Z
Ugw_PXbFj4sj0PWAElB4AaABAg,,False,@MVPdreamerlight,Momento serio 😌,1,2024-09-13T21:41:04Z,2024-09-13T21:41:04Z
Ugx5mlCFZ6m1u1FvVRh4AaABAg,,False,@gyul2love,저도 태양씨가 좋아요❤,1,2024-09-13T16:03:10Z,2024-09-13T16:03:10Z
UgzQZfiLwbvM-1iA-sJ4AaABAg,,False,@XimenaArellano-e9l,❤😂😂😂😂,0,2024-09-13T04:27:19Z,2024-09-13T04:27:19Z
UgzXzeEhqCRraHNOdCR4AaABAg,,False,@하연-x9x,"찬이오빠
당신은 정말 매력적이고 귀엽습니다.
당신은 나의 별이다❤",0,2024-09-11T23:21:10Z,2024-09-11T23:21:10Z
UgyRRi27IZdZVvFCjP54AaABAg,,False,@하연-x9x,Fantasy🥹🥹🥹🥹,0,2024-09-11T23:21:04Z,2024-09-11T23:21:04Z
Ugzzx2ekQBPDS_H0LMB4AaABAg,,False,@하연-x9x,"찬이오빠
당신은 정말 매력적이고 귀엽습니다.
당신은 나의 별이다",0,2024-09-11T23:20:59Z,2024-09-11T23:20:59Z
Ugwzm8F5tdAVU5-QQth4AaABAg,,False,@yeseniahernandez8745,"Que seriedad,tratando de averiguar  que desayunaran❤❤❤😂😂😂",0,2024-09-11T14:31:35Z,2024-09-11T14:31:35Z
UgxkWGY6C6um6M--QH54AaABAg,,False,@exol6080,تايانق🤍,1,2024-09-10T13:33:04Z,2024-09-10T13:33:04Z
UgzXE6ITkf070H3VoPV4AaABAg,,False,@Bubbles-d7t,"Ahhh  breakfast, lunch, 😂dinner 😂😂😂",0,2024-09-10T13:28:44Z,2024-09-10T13:28:44Z
UgxaJnjnA3bSN0ZSgLR4AaABAg,,False,@sf9crumbs,They're discussing a very serious issue lol,6,2024-09-09T15:58:47Z,2024-09-09T15:58:47Z
UgyJkq2v-9qSue1auDJ4AaABAg,,False,@user_0712,ㅋㅋㅋㅋㅋㅋ과일빙고🍑🍑🍑🍑 귀여웡,2,2024-09-09T15:44:51Z,2024-09-09T15:44:51Z
Ugy29RgAkseDm2E-Vrl4AaABAg,,False,@enmaimii,Lol i thought they were listing some grocery needs 😂,0,2024-09-09T15:16:39Z,2024-09-09T15:16:39Z
Ugw2Qz31MBP-hGKmRdt4AaABAg,,False,@asyathedreamer171,"Damn 😎 how can SF9 be so handsome, hot, serious, confident and so cute playing bingo in the same time?!! 😍😍😍",1,2024-09-09T14:24:02Z,2024-09-09T14:24:02Z
UgxAGC_If21ARTF7cl94AaABAg,,False,@asyathedreamer171,빙고 게임의 기본 규칙은 검은색 정장을 입고 진지하고 섹시해 보이는 것입니다.,4,2024-09-09T14:20:26Z,2024-09-09T14:20:26Z
UgxHJkHoxJorbZ_nUGt4AaABAg,,False,@asyathedreamer171,The main rule of playing bingo is to wear black suits and look serious and sexy 😎,2,2024-09-09T14:20:12Z,2024-09-09T14:20:12Z
UgzEWyGoi7ZWDz4qFLN4AaABAg,,False,@Felixandiforever,Nice love you yoo tae-yang I miss you 😔,2,2024-09-09T12:11:48Z,2024-09-09T12:11:48Z
UgyIyXu5BMduBvOHl8x4AaABAg,,False,@nethminidewage7048,❤,0,2024-09-09T11:51:48Z,2024-09-09T11:51:48Z
Ugx5k4Bu4hw5YA7sgKJ4AaABAg,,False,@cynical_S,턍이 지방방송ㅋㅋㅋㅋㅋ아 얘들아 진짜 이런거하고 놀아ㅏ아앙??ㅋㅋㅋ,1,2024-09-09T10:32:17Z,2024-09-09T10:32:17Z
UgzxhCT6tsK8HyEcgWp4AaABAg,,False,@VainiaCake,Estaban jugando BINGO!!!! jajaja 🤭😂😂,1,2024-09-09T07:17:39Z,2024-09-09T07:17:39Z
Ugzo5KU5kAV3ezqglBh4AaABAg,,False,@sf9love_dwyty,ㅋㅋㅋㅋㅋ뭐하나했더니 진지하게 웃기네😂,3,2024-09-09T04:21:44Z,2024-09-09T04:21:44Z
UgyOpf9OBeF53nCO_MF4AaABAg,,False,@Mong289,같이 빙고하고 싶네요 아악 기여웡❤,0,2024-09-08T23:32:30Z,2024-09-08T23:32:30Z
UgzZmYQ15-B0ihD5Iu54AaABAg,,False,@하늘진-t4o,수트 입은 잘생긴 얼굴로 그런 귀여운 짓....해줘(??)❤❤,3,2024-09-08T22:57:32Z,2024-09-08T22:57:32Z
UgyKSQOtXZTcfeeh0gR4AaABAg,,False,@상어가나가신다,요즘 인성 왤케 귀엽냐ㅋㅋ,1,2024-09-08T22:19:14Z,2024-09-08T22:19:14Z
UgzW1lpYAXV31_vbcBR4AaABAg,,False,@Karen-b1z7l,Picking lunch,0,2024-09-08T22:10:10Z,2024-09-08T22:10:10Z
UgwzoZDPqoDb6tYMWXh4AaABAg,,False,@lindasalas3403,"All looking professional
And still beautiful and handsome
Taeyang  ❤❤❤❤",1,2024-09-08T20:43:50Z,2024-09-08T20:43:50Z
UgyoPmYAul7Z0qsyptB4AaABAg,,False,@cristalbabel4235,😅😅😅😅❤❤❤❤❤❤❤,0,2024-09-08T16:57:55Z,2024-09-08T16:57:55Z
UgwhWYVclIkEmxvu5QJ4AaABAg,,False,@onlyuloveu,❤😂❤😂,0,2024-09-08T16:39:14Z,2024-09-08T16:39:14Z
UgzvYuNsoO697GnX17x4AaABAg,,False,@adibehali8801,Watermelon is the most delicious thing in the summer. May you all be in good health and happiness.,1,2024-09-08T16:31:09Z,2024-09-08T16:31:09Z
UgwaiqyubIeUX6t-Ex14AaABAg,,False,@lovelybboy,하 진짜 초식공룡나인,1,2024-09-08T16:05:29Z,2024-09-08T16:05:29Z
UgzkWEp4CiNFrE6V-xF4AaABAg,,False,@Sally-qi9bn,Haha!,1,2024-09-08T16:02:43Z,2024-09-08T16:02:43Z
Ugw_GGjEUVd3MBlL3jF4AaABAg,,False,@CristabelGirl,Only SF9  can be this Seriously Funny  ! I love you guys  ! 😂 💙💙💙💙💙💙💙💙💙,5,2024-09-08T15:25:53Z,2024-09-08T15:25:53Z
Ugxd3mVpmlxJFV2TbyR4AaABAg,,False,@mcmerlla,"I love the way Inseong says,  ""Bahnahnah"". 😊❤😊",0,2024-09-08T15:19:47Z,2024-09-08T15:19:47Z
UgwfZ6Iz2Idnihqbg9l4AaABAg,,False,@distorsipikiran,The most serious things is the most unserious things in SF9 😂,2,2024-09-08T15:09:32Z,2024-09-08T15:09:32Z
UgzsOvi2U0fBjDLkXOd4AaABAg,,False,@Uuu734jg,😂,0,2024-09-08T14:56:21Z,2024-09-08T14:56:21Z
UgwHR5UNGxCiiM-IA_J4AaABAg,,False,@jafarzeynoddin,My cute boys❤,1,2024-09-08T14:38:14Z,2024-09-08T14:38:14Z
