comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyAEjj00Hmm6zcfoll4AaABAg,,False,@Andres1416tz,Tzuyu our baby ❤,0,2025-05-11T16:00:29Z,2025-05-11T16:00:29Z
Ugx0y04fFeZqzetyuCt4AaABAg,,False,@OnceTryTwiceDo,tzuyu blink if you need help,0,2025-04-30T16:44:51Z,2025-04-30T16:44:51Z
UgzmSUWzavkBipsGPk94AaABAg,,False,@OnceTryTwiceDo,maknae abuse,0,2025-04-30T16:44:21Z,2025-04-30T16:44:31Z
UgxobEe-n7FcUMDAA2t4AaABAg,,False,@May-n2f7w,ㅅ켜셔 ㅡㅅ ㅠㅑㅁㄴ 볃 ㅎㄷ그ㅐㄴㅁㄴ ㅡㅑㄱ무애 ㅁ ㅅ쿄ㅛㅕ,1,2025-03-15T01:04:27Z,2025-03-15T01:04:27Z
UgxGeekY31SnoMh3cl94AaABAg,,False,@Wave-r6c,My Tzuyu❤❤,0,2025-03-11T20:50:15Z,2025-03-11T20:50:15Z
UgzspxehOFoz1Y3jU5V4AaABAg,,False,@eito-m8m,3人とも可愛い😍🫶❤️💚💙💜,7,2025-02-01T08:59:14Z,2025-02-01T08:59:14Z
Ugx0tIpF3s9bajtrr-V4AaABAg,,False,@FAN_YUNO,I always look at them,1,2025-01-30T18:30:46Z,2025-01-30T18:30:46Z
UgzD7w8-1oGZMehuAS54AaABAg,,False,@emilianovilla6101,"I spy in my eyes, a Taiwanese woman's exotic belly button. 😍😍😍😍😍😍😍😍",0,2025-01-29T00:54:53Z,2025-01-29T00:54:53Z
UgyNwICKDlO48cHLh4F4AaABAg,,False,@さち-e4w,幸せそうです❤,0,2025-01-26T12:32:40Z,2025-01-26T12:32:40Z
UgwbzX332ji0j9ksj054AaABAg,,False,@Atiquahtahasina123,2yeon and their maknae❤❤❤,0,2025-01-15T17:20:19Z,2025-01-15T17:20:19Z
UgypxY0ckVT2ut-vfxV4AaABAg,,False,@snezanadimovic368,All eyes on mina,0,2025-01-15T14:32:28Z,2025-01-15T14:32:28Z
Ugz-2eTrTezs_9rFPEB4AaABAg,,False,@elcoporo9523,la 2 más grandes con la bebé del grupo ♥,1,2025-01-10T09:07:31Z,2025-01-10T09:07:31Z
UgzMyVxXS5R_pK9mE0B4AaABAg,,False,@sempaionichan3489,Aaaa beautiful tzuyu 😍😍😍🩷,3,2024-12-09T19:18:22Z,2024-12-09T19:18:22Z
Ugwnb6Q238TlB2tvTJF4AaABAg,,False,@laeticialana,Tzuyu and Nayeon’s smiles are soooo cute!,8,2024-10-16T22:04:48Z,2024-10-16T22:04:48Z
