comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzsbBVnzYA4TiEtxmZ4AaABAg,,False,@BLACKPINK,"JISOO - ‘꽃(FLOWER)’ M/V
https://youtu.be/YudHcBIxlYw",15448,2023-04-01T12:38:07Z,2023-04-01T12:38:07Z
UgzsbBVnzYA4TiEtxmZ4AaABAg.9ny6VsYzLuL9ny6ZR3ppZy,UgzsbBVnzYA4TiEtxmZ4AaABAg,True,@nikaysl,❤,70,2023-04-01T12:38:36Z,2023-04-01T12:38:36Z
UgzsbBVnzYA4TiEtxmZ4AaABAg.9ny6VsYzLuL9ny6aPRyCw3,UgzsbBVnzYA4TiEtxmZ4AaABAg,True,@priyankav3920,Love you jisoo!!!❤our white petal jisoo!!🖤💗Who will support our sooyaa 👇♡,81,2023-04-01T12:38:52Z,2023-04-01T16:40:40Z
UgzsbBVnzYA4TiEtxmZ4AaABAg.9ny6VsYzLuL9ny6aU1vUl0,UgzsbBVnzYA4TiEtxmZ4AaABAg,True,@jennierhbyjane,"JISOO OUR FLOWER QUEEN!❤ Flower was the song everyone needed!
Who will always support Jisoo
👇",82,2023-04-01T12:38:53Z,2023-04-01T12:48:26Z
UgzsbBVnzYA4TiEtxmZ4AaABAg.9ny6VsYzLuL9ny6aZ548vG,UgzsbBVnzYA4TiEtxmZ4AaABAg,True,@Jisoooo865,Jisoooo i love you soo muchhh from Lebanon<3,39,2023-04-01T12:38:53Z,2023-04-01T12:38:53Z
UgzsbBVnzYA4TiEtxmZ4AaABAg.9ny6VsYzLuL9ny6bNNKqMC,UgzsbBVnzYA4TiEtxmZ4AaABAg,True,@hyunjinnieee2000,AGAGAGAGGA,5,2023-04-01T12:39:00Z,2023-04-01T12:39:00Z
UgwdJJVsgU3RFzbd7SF4AaABAg,,False,@Dreamblink013,Jisoo in your area ❤,0,2025-05-15T12:51:38Z,2025-05-15T12:51:38Z
UgxvugsGzyoB3ECziFd4AaABAg,,False,@BLINKSUNITEDOFFICIAL,This is absolutely the most adorable thing I've ever seen 😍,1,2025-04-24T05:34:12Z,2025-04-24T05:34:12Z
Ugx9FvwEQolLo8tFZ4t4AaABAg,,False,@LoysleneSilvaTeles,❤❤❤❤❤❤,0,2025-04-13T16:15:05Z,2025-04-13T16:15:05Z
UgxWuyIHJ-QSL02Q2O14AaABAg,,False,@subirmanna5382,Here after earthquake❤❤,0,2025-04-06T02:36:26Z,2025-04-06T02:36:26Z
Ugw_UPODbmh1yPh9SL94AaABAg,,False,@nathan_hinjai,"Came back here for the LIGHTS, LOVE, ACTION Asian tour.❤❤❤❤❤❤",0,2025-03-22T14:45:22Z,2025-03-22T14:45:22Z
UgzMtcrfd6plRjVqY2d4AaABAg,,False,@lalisaaa0212,0:33,1,2025-03-14T18:06:13Z,2025-03-14T18:06:13Z
UgwjfhaYjjYSYZ-MVkt4AaABAg,,False,@mundojustdance,Who IS here in 2025???,2,2025-03-07T18:04:24Z,2025-03-07T18:04:24Z
Ugxet-LnsCX9FtXuz3h4AaABAg,,False,@thithuyenkhuat5640,Tôi yêu nhóm nhạc BLACKPINK❤❤❤❤❤❤❤❤❤❤,3,2025-02-19T05:03:47Z,2025-02-19T05:03:47Z
UgzS_pHdamcgPYlnU6V4AaABAg,,False,@melll-x5o,Who is here after earthquake?,4,2025-02-15T22:58:09Z,2025-02-15T22:58:09Z
UgzS_pHdamcgPYlnU6V4AaABAg.AE_bmLaf_46AGZAl23GLgx,UgzS_pHdamcgPYlnU6V4AaABAg,True,@subirmanna5382,Me,0,2025-04-06T02:36:51Z,2025-04-06T02:36:51Z
UgyJhf4TFnacfJ72kTN4AaABAg,,False,@yamillyz,Blinks are forever,0,2025-01-23T07:03:05Z,2025-01-23T07:03:05Z
UgxMTBGLbyyv9I-I-IJ4AaABAg,,False,@Aamna__x18,2025 anyone,1,2025-01-23T05:04:51Z,2025-01-23T05:04:51Z
UgzH3pYTcStfKW8bgdt4AaABAg,,False,@winnie9142,Ella es tan linda bastaaaaa😩❤,0,2025-01-13T20:01:36Z,2025-01-13T20:01:36Z
UgxFs23VJ7Nzj49ko1V4AaABAg,,False,@JISOOlamejor-666,Que guapa e?!!!,0,2024-12-24T03:45:01Z,2024-12-24T03:45:01Z
UgycB6AscDEnlV31bfp4AaABAg,,False,@thura8873,❤,0,2024-11-16T07:19:03Z,2024-11-16T07:19:03Z
UgwATNRMIL_HrNilu3F4AaABAg,,False,@Vortezero9,Queen Sooyaa ❤ the sweetest ever 🌹,1,2024-09-15T19:46:19Z,2024-09-15T19:46:19Z
UgyQKtHpYApDjEO12It4AaABAg,,False,@febrianWahyudijonisaputra87862,flower versi jepang,0,2024-09-04T14:06:17Z,2024-09-04T14:06:17Z
UgybVrqyN1dzDrHoUx14AaABAg,,False,@BLINKTARDIO,"Oh, so that is what they scream  when Jisoo is performing!... I was listening for the las month and now I know 🙌🙌❤",1,2024-08-20T16:57:13Z,2024-08-20T16:57:13Z
UgzceNjTPCBLkszDLFl4AaABAg,,False,@UniJimin-Park,Someone from 2024?,5,2024-08-05T13:55:20Z,2024-08-05T13:55:20Z
