comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugw6ILgCJiLHQWub8BJ4AaABAg,,False,@dulcemariaguzman422,Hermosas 💖,0,2025-01-12T19:49:30Z,2025-01-12T19:49:30Z
Ugym3N28unUcgTpO9v54AaABAg,,False,@Yoshiko-r7p,なんて美しいんだろう😩,4,2024-11-17T19:05:23Z,2024-11-17T19:05:23Z
Ugw191Ifz7XROWJKsf14AaABAg,,False,@Kanroji_owo,❤❤,0,2024-11-17T15:51:45Z,2024-11-17T15:51:45Z
UgwgJqhps7IjXCsZoBJ4AaABAg,,False,@mariatiburcio5915,💜💜💜💜💜💜💜💜💜🧡🧡🧡🧡🧡🧡🧡🧡🧡,0,2024-11-16T15:01:45Z,2024-11-16T15:01:45Z
Ugz-VnGCzsGLYvMqURF4AaABAg,,False,@mariatiburcio5915,🥰🥰🥰🥰🥰🥰🫶💐,0,2024-11-16T15:01:36Z,2024-11-16T15:01:36Z
UgzlmdAj0gSRehOF_tV4AaABAg,,False,@mariatiburcio5915,👸👸🧡💜,0,2024-11-16T15:01:28Z,2024-11-16T15:01:28Z
UgxCZ2zNIcqMdfble4l4AaABAg,,False,@mariatiburcio5915,Guapas❤,0,2024-11-16T15:01:21Z,2024-11-16T15:01:21Z
Ugwd3JvUhKuqrENguHJ4AaABAg,,False,@mariatiburcio5915,💜💜🧡🧡💜💜🧡🧡,0,2024-11-16T15:01:15Z,2024-11-16T15:01:15Z
UgzC-93_4snkcAKmJvB4AaABAg,,False,@rainbowpink8046,I LOVE TWICE i like Momo and sana,0,2024-11-16T01:49:00Z,2024-11-16T01:49:00Z
UgwYNHSquwxyYWzhFfJ4AaABAg,,False,@IvannaGadea,❤❤❤❤❤❤❤,0,2024-11-14T22:05:38Z,2024-11-14T22:05:38Z
UgyGkh56iW7_dJ-RCdV4AaABAg,,False,@simonfrost192,Both really pretty 💖💖🤗🤗,0,2024-11-14T20:52:16Z,2024-11-14T20:52:16Z
UgzH-4MAbmXlmWtgpG54AaABAg,,False,@miraculousmusic21,Sahyo ❤,0,2024-11-13T16:04:22Z,2024-11-13T16:04:22Z
Ugw40_KZ6_j4yD6e7gl4AaABAg,,False,@hassanshukor6956,Extrovert speciality,0,2024-11-13T02:09:05Z,2024-11-13T02:09:05Z
Ugw8sfpSQ-HfrO2_joB4AaABAg,,False,@viclizardi6152,I would have gone running to see them,0,2024-11-12T16:00:18Z,2024-11-12T16:00:18Z
UgxljRXBUJkMuOZaRNh4AaABAg,,False,@andreigil8186,Who can resist to Sana and jihyo,3,2024-11-11T23:03:40Z,2024-11-11T23:03:40Z
UgwqWZIWhLpfX3hsueF4AaABAg,,False,@Doxtaraktanha,SAHYO💜,2,2024-11-11T22:41:23Z,2024-11-11T22:41:23Z
Ugw3rZCh7es0lBGIQ0R4AaABAg,,False,@RKV1700,"YAAH! Our BEST EXTROVERTS PROMOTERS Were There For The Promotion Of The Café, Sana Switching To Japanese In An Instant So Smoothly, Promoting Cutely 🫠 & Our POWER GIRL JIHYO Promoting So Passionately Everywhere 😭...Also LITTLE SIGHTSEEING With Promotion Too 😂 Love My SaJi 💜🧡 So Much!",6,2024-11-11T20:26:53Z,2024-11-11T20:26:53Z
Ugy8DV3yCC6PXx7Mufl4AaABAg,,False,@hernandezhernandez9829,"🍭 I LOVE YOU TWICE 🍭
🐰💚💓💜🧡🐧🤍♥️💙",0,2024-11-11T17:28:37Z,2024-11-11T17:28:37Z
UgybNDxPSi19WP2iiFp4AaABAg,,False,@KeyzoTwenty-nine-qv8sp,Igyeonae ❤,0,2024-11-11T16:06:48Z,2024-11-11T16:06:48Z
Ugy8MqMS-HZhq8zx3Qt4AaABAg,,False,@KeyzoTwenty-nine-qv8sp,💐💐,0,2024-11-11T16:06:26Z,2024-11-11T16:06:26Z
Ugzh5nWTeS35PU4j7pd4AaABAg,,False,@Just_Ella.0.0.,SaHyo really suits outdoor job,2,2024-11-11T15:17:31Z,2024-11-11T15:17:31Z
UgwP-aoISNEAoBS-ULp4AaABAg,,False,@zyozyo-music-7,I love Twice very much ❤❤❤,0,2024-11-11T15:15:33Z,2024-11-11T15:15:33Z
UgxuqvcY3cdzRVIaaRF4AaABAg,,False,@zyozyo-music-7,"You are very very beautiful, Jihyo ❤❤❤❤❤❤❤",4,2024-11-11T15:13:51Z,2024-11-11T15:13:51Z
Ugw98PznANLuRx4oOkd4AaABAg,,False,@mansbillgren2305,Twice lvoe Måns Billgren ❤❤❤❤❤❤❤❤❤,1,2024-11-11T15:12:28Z,2024-11-11T15:12:28Z
Ugw3F2b3jBR1BozPzkt4AaABAg,,False,@andyle5716,SaHyo neomu yeppeuda.,1,2024-11-11T14:31:53Z,2024-11-11T14:31:53Z
UgznYiZ1zhiQu9OVdgh4AaABAg,,False,@N3matMestarihi,지휴와 조요 너가 제일 예뻐 많이 사랑해 ❤❤,2,2024-11-11T14:09:46Z,2024-11-11T14:09:46Z
UgxKJVZA0tJx7NtnLMB4AaABAg,,False,@ZX13-yg3gx,جيهيو و سانا ❤❤❤,1,2024-11-11T13:46:42Z,2024-11-11T13:46:42Z
Ugz1KV7Q1WyhKLMIcS94AaABAg,,False,@junfong4998,💜🧡,0,2024-11-11T12:53:01Z,2024-11-11T12:53:01Z
UgygWhYiST3pczZGElp4AaABAg,,False,@あかしん-y6d,カワイイ〜🥰💓💓💕💘💖💝💝,6,2024-11-11T12:42:34Z,2024-11-11T12:42:34Z
UgzFK9TdVwSULmlhlc54AaABAg,,False,@MinatozakiAegyo,Happy Sana💜 makes my life happier!🤗,8,2024-11-11T11:20:46Z,2024-11-11T11:20:46Z
Ugwr58Prl4aTVSjDPLN4AaABAg,,False,@Sir_Helik,"I really like that despite some awkwardness and embarrassment, my beloved Twice 💖 Angels ,showed themselves at the highest level!💖🤗",16,2024-11-11T11:10:33Z,2024-11-11T11:10:33Z
UgyJIW9gsO4vnE_w7114AaABAg,,False,@silvia91193,"I love Dahyun and Jeongyeon.
I love Twice.",1,2024-11-11T09:28:12Z,2024-11-11T09:28:12Z
UgyOe5nt6S_CCL4XOZ94AaABAg,,False,@liliy.10-l,they're so cute,3,2024-11-11T08:40:17Z,2024-11-11T08:40:17Z
Ugxw8NQxqC6C_Y7Zb7R4AaABAg,,False,@앞니요정,😘,0,2024-11-11T08:24:53Z,2024-11-11T08:24:53Z
UgzUaKBptjupwEXdFvN4AaABAg,,False,@Elfangor-Sirinial-Shamtul,SAHYO own these streets. 🚧,3,2024-11-11T08:20:32Z,2024-11-11T08:20:32Z
UgxYMLrzDlDBeI4sip94AaABAg,,False,@Marrysosoke,Time to Once 💗😅😅,8,2024-11-11T08:13:05Z,2024-11-11T08:13:05Z
UgyndOiWqxpvL7OhaZJ4AaABAg,,False,@motownstickman8959,"That was quite genius to just wait for people to gather, & then pass the flyers around all at once. It saved so much time from walking more.",11,2024-11-11T07:22:14Z,2024-11-11T07:22:14Z
UgzX1AWmOic8l3ZCNjt4AaABAg,,False,@I_LOVE_TWICE_9,TWICEEEEEEEE 💗💗💗,2,2024-11-11T07:09:38Z,2024-11-11T07:09:38Z
UgxCTQ1EJWpb1E9Jhl54AaABAg,,False,@mangwijaya,❤❤❤❤❤❤❤,1,2024-11-11T06:51:45Z,2024-11-11T06:51:45Z
UgwXSK5gkyTov_aJ_-F4AaABAg,,False,@Jirokun1337,"If I meet Sana down the street, I feel I've already won the lotto 😂",3,2024-11-11T06:51:26Z,2024-11-11T06:51:26Z
UgzM4QvElaJpLQBulUN4AaABAg,,False,@Wrumpy,TIME TO TWICE,5,2024-11-11T06:35:16Z,2024-11-11T06:35:16Z
UgzM4QvElaJpLQBulUN4AaABAg.AAgezZBwqMDAAhQgoB1-r5,UgzM4QvElaJpLQBulUN4AaABAg,True,@박기용-r8g,"ㄴㄱㅅㄴㆍㄴ
😊",0,2024-11-11T13:40:53Z,2024-11-11T13:40:53Z
UgwGwc0pqtkv_4Ikx7B4AaABAg,,False,@Arxz-lm5mn,Jihyo❤❤,8,2024-11-11T06:30:59Z,2024-11-11T06:30:59Z
UgzG_oyN-x_d3wD_kQ14AaABAg,,False,@ValeriaPerez-te8gz,💙💚💗💜💛💙🤍❤💙,1,2024-11-11T06:24:55Z,2024-11-11T06:24:55Z
Ugz9NBXXsRCBVRxGt1B4AaABAg,,False,@joalcozer652,I LOVE TWICE!  ❤,2,2024-11-11T06:23:36Z,2024-11-11T06:23:36Z
UgwR52cRm_NFAY6Hm3t4AaABAg,,False,@ヒ-e5i,スタージヒヨさん、美しいツウイ👑🍁宣伝用チラシを配付中てすね✨,1,2024-11-11T06:14:57Z,2024-11-11T06:14:57Z
Ugz8djFkuK_pAPPukKh4AaABAg,,False,@indijoe,❤,1,2024-11-11T06:12:35Z,2024-11-11T06:12:35Z
Ugx3KzJ288kazHoP5494AaABAg,,False,@TimeToTzuyu,"SaHyo are the best promoters!
I would go anywhere for them. 💜🧡",43,2024-11-11T06:11:14Z,2024-11-11T06:11:14Z
UgxNpN-6SyygdqZFrLl4AaABAg,,False,@Yel.desana,"Llege temprano y lo bueno es que lo subieron antes de irme a dormir, 😭💗voy a tener unos muy bueno sueños😻",1,2024-11-11T06:05:55Z,2024-11-11T06:05:55Z
UgxpLu5xINZrc3VhvQV4AaABAg,,False,@SUNG_SU1,목소리가 좋네요 사랑해요 😞🎀,5,2024-11-11T06:03:12Z,2024-11-11T06:03:12Z
UgyeagivldH7FE-evUJ4AaABAg,,False,@Wonyoung_officialaccount,TWICE💗💗💗💗💗💗💗💗,6,2024-11-11T06:03:06Z,2024-11-11T06:03:06Z
UgwnlP1RQ9VpgBGgO9J4AaABAg,,False,@RenataPastran,Love you twiceee❤❤❤❤,1,2024-11-11T06:03:00Z,2024-11-11T06:03:00Z
UgyFGSEnkYX_OdkPu_14AaABAg,,False,@guilleSeal,Super lindas,2,2024-11-11T06:02:42Z,2024-11-11T06:02:42Z
UgxRM8XdsMVYyy2MMNp4AaABAg,,False,@Kwnilinii,5th,1,2024-11-11T06:02:40Z,2024-11-11T06:02:40Z
UgyLNfXHIvbhU054mDt4AaABAg,,False,@tuamiguitalapeladita7535,I LOVE TWICE,6,2024-11-11T06:02:39Z,2024-11-11T06:02:39Z
UgwguwNNiCwvR6vdxHp4AaABAg,,False,@thinkaboutzu_25,Early!!!,1,2024-11-11T06:02:27Z,2024-11-11T06:02:27Z
UgxfeiETPvLnlQJxz5R4AaABAg,,False,@tuamiguitalapeladita7535,Temprano:Early,1,2024-11-11T06:02:26Z,2024-11-11T06:02:26Z
Ugx-gf4OKFvj-7w0IqB4AaABAg,,False,@LucianaMora-y1x,TWICEEE❤,1,2024-11-11T06:02:21Z,2024-11-11T06:02:21Z
UgzJk3KBp36PCokLfGx4AaABAg,,False,@m_o____r_e4084,TWICE ❤,1,2024-11-11T06:02:16Z,2024-11-11T06:02:16Z
