comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgziYvK80oLrIut3Cmt4AaABAg,,False,@suzannehan,I'm still here 😭😭,1,2025-04-16T16:35:02Z,2025-04-16T16:35:02Z
Ugy9zSuoJ4FdAqj87Bp4AaABAg,,False,@hazeleyes-me,i am here again,2,2025-04-16T14:30:59Z,2025-04-16T14:30:59Z
UgzBcVwjkWG_EfLUBFh4AaABAg,,False,@seohooob,I miss you 😢,3,2025-02-09T02:03:08Z,2025-02-09T02:03:08Z
UgwYMNTl0AezmCQhCbt4AaABAg,,False,@Kitten_830,"도영아 너무너무 사랑해
노래해줘서 고마워 🍀💚",2,2025-02-04T16:33:16Z,2025-02-04T16:33:16Z
UgyL0DyQ5bNqb-I3qz14AaABAg,,False,@127zone,Happy birthday Doyoung and Harry ❤💚,1,2025-02-02T00:11:39Z,2025-02-02T00:11:39Z
Ugwk47cmSjxoUlCWsxd4AaABAg,,False,@lee_markfriend,사랑해요,1,2025-01-31T18:18:54Z,2025-01-31T18:18:54Z
UgyIdKpURrFdaKjSkul4AaABAg,,False,@НатальяЩербитская,Чудесно  отдых для души,0,2025-01-27T16:08:58Z,2025-01-27T16:08:58Z
Ugyh8--lZEAPPa_8dTR4AaABAg,,False,@히히-u9y3q,"음색이 ㅈㅉ 미친것같음
앞으로도 계속 노래해 줘🥹🥹",2,2025-01-08T19:05:35Z,2025-01-08T19:05:35Z
UgwK4C7Xm4bvHKzadJ54AaABAg,,False,@henrychen1123,"soft version falling
it really hurts",3,2024-12-02T05:06:25Z,2024-12-02T05:06:25Z
UgxK1voQvKcH30Dfr354AaABAg,,False,@SmileyLalipop,I feel like Im heaven,0,2024-11-28T01:07:36Z,2024-11-28T01:07:36Z
UgweJAEndYjUqGrNIWJ4AaABAg,,False,@Moi-lj8uf,I can hear him sing over and over and over. His voice is undescribable and he sings with such intensity and emotion.,2,2024-11-13T07:20:12Z,2024-11-13T07:20:12Z
UgwBAqmj_iPMqKD55iF4AaABAg,,False,@도로롱-v9y,매년 너의 내년이 기대돼,0,2024-11-10T12:11:21Z,2024-11-10T12:11:21Z
UgwevqQcMfkP75jjIUp4AaABAg,,False,@Dkwociwkkkkk,"나 이거 아직도 들어 도영아
매해 발전하는 네가 너무 대단하고 닮고싶다
언제든 나는 너를 응원해 도영아",24,2024-11-05T14:18:11Z,2024-11-05T14:18:11Z
Ugx-0w5dJtrXSKhcE5t4AaABAg,,False,@mendozadiosalynd.1884,hey bub i love u so much,1,2024-11-02T05:55:40Z,2024-11-02T05:55:40Z
UgxiJp_AZeVRUFLWcF14AaABAg,,False,@DovregubbentheEMMAStan,aware,0,2024-10-23T04:49:59Z,2024-10-23T04:49:59Z
UgwPSJU_FyvsCQrYM994AaABAg,,False,@زینبرحمانی-ب9د,He's so sad why?💔💚,0,2024-10-02T00:56:03Z,2024-10-02T00:56:03Z
Ugz-WBM4j3u0wb8cbpd4AaABAg,,False,@haechanleemine,I LOVE U DOYOUNG,1,2024-10-01T18:22:30Z,2024-10-01T18:22:30Z
UgxNpR4CIta2ZSAR5WZ4AaABAg,,False,@miriamkookjapajeon3790,Beautiful cover ❤😊beauty guy,0,2024-09-21T04:12:02Z,2024-09-21T04:12:02Z
UgyKvOkOm4ptmz5kwNV4AaABAg,,False,@ALAYNAABRAR,❤❤,0,2024-09-20T11:02:37Z,2024-09-20T11:02:37Z
