comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzpdibF9eK9rXQ6XFh4AaABAg,,False,@SangsooLee-o4q,키 요새는 혓바닥 광고 안하니 ? 졸라 웃겼는데 !!,0,2025-05-11T09:07:07Z,2025-05-11T09:07:07Z
UgyUutKqrbC_iJ1M4IB4AaABAg,,False,@coenfflwife0115,안무킬러 키 ❤,0,2025-05-03T13:06:18Z,2025-05-03T13:06:18Z
Ugy8YUsjU3BEbXzJdxV4AaABAg,,False,@Jennysmom-f7m,키차이 ㄷ ㄷ 유진이가. 예쁘게 나온다♡♡,1,2025-04-29T12:32:54Z,2025-04-29T12:32:54Z
Ugx9DPNZUgilKQVqWtB4AaABAg,,False,@홍블리-k7f,유지니밑에 자리 빨개진4ㅓ...................😢😢😢😢😢😢😢😢😢😢😢😢😢,0,2025-04-29T09:46:40Z,2025-04-29T09:46:40Z
Ugx9mQt-o3Uu05xDd914AaABAg,,False,@전서윤-o9k,유진언니 짱이야ㅠㅠㅠㅠㅜ,0,2025-04-21T09:57:32Z,2025-04-21T09:57:32Z
UgylNrsWfIiE3vuWCGh4AaABAg,,False,@벨이7055,유진❤키,0,2025-04-20T03:55:26Z,2025-04-20T03:55:26Z
Ugx71IhrU50oDyYbGbZ4AaABAg,,False,@영희-q1b,#KI #IVE #ANYUJIN,0,2025-04-17T09:33:08Z,2025-04-17T09:33:08Z
UgwQ7LRPyI8jhOiZwUB4AaABAg,,False,@정봉연-b7w,대박 유진도 춤잘추는데 키도 춤잘춤!,0,2025-04-07T12:47:36Z,2025-04-07T12:47:36Z
UgwIAti1FXIdHEdsQQR4AaABAg,,False,@양현성-x1v,키잘추다❤,0,2025-04-07T11:14:50Z,2025-04-07T11:14:50Z
UgyIq0i8aRTzesx0Vx14AaABAg,,False,@ucle5379,Nhảy đẹp quá,0,2025-04-06T00:28:50Z,2025-04-06T00:28:50Z
UgyUDD59ctq__Dbq1wt4AaABAg,,False,@이선희-r6c2h,와나키오빠랑유진이어리둘다좋아하는데,0,2025-04-05T23:05:18Z,2025-04-05T23:05:18Z
Ugwdv0kf_jbsQf4lMkt4AaABAg,,False,@쨉삔히,뉴크라임씬 인연 계속되어줘... 보은하고 보답하고 너무 보기좋음🥰,0,2025-04-05T12:49:58Z,2025-04-05T12:49:58Z
Ugz8SStLwx1rz8GMTqt4AaABAg,,False,@Woofie-Floofies,Yujin is slaaaaayinggggg,0,2025-04-02T09:31:00Z,2025-04-02T09:31:00Z
UgxEUGTb8k6XYdXLGDx4AaABAg,,False,,"안유진키둘다
넘 예쁘고멋있어❤❤❤❤❤❤❤❤❤❤❤❤❤",0,2025-04-01T22:35:34Z,2025-04-01T22:35:34Z
UgxFALVbyUYD1tcSEGR4AaABAg,,False,@홍지연-c2q,"저때 처음에 키오빠가 신곡 안무 바로딴게 소름이었오욥
그리고 유진이언니 귀여워요",0,2025-04-01T10:21:23Z,2025-04-01T10:21:23Z
UgxXCM4xzhztgiPZySl4AaABAg,,False,@박인혁-c4t,역시 힙 돌아가는 안무는 키도 못살리는군요.,0,2025-03-31T16:52:27Z,2025-03-31T16:52:27Z
Ugzi7z0DzzNpEw0omG94AaABAg,,False,@서성민-f5j,키 게이 같,0,2025-03-31T15:16:05Z,2025-03-31T15:16:05Z
Ugy4q_Wrs7r1S54Z6Yl4AaABAg,,False,@소개폐인,키 ㅗ오오,0,2025-03-30T14:52:20Z,2025-03-30T14:52:20Z
UgwrZ265P8nPwYIaU_N4AaABAg,,False,@바부설릿이,헐 유진대박><❤,0,2025-03-30T05:49:37Z,2025-03-30T05:49:37Z
UgyYVYJf4CnyFZGMhFp4AaABAg,,False,@eunice669,키 설마 키가 170안되는게야? ㅋㅋ,0,2025-03-29T08:49:53Z,2025-03-29T08:49:53Z
UgxU3VF-wO3-E0CNupx4AaABAg,,False,@ママやす-r4o,ダンスのキレが本家と変わらないくらい完コピしててすごい！,0,2025-03-21T05:46:52Z,2025-03-21T05:46:52Z
Ugymhy07dhooQJuw6kd4AaABAg,,False,@아이브우유,그래도,0,2025-03-19T17:18:46Z,2025-03-19T17:18:46Z
Ugw1bSBidBzrSd1oHUt4AaABAg,,False,@냥냥핑-p87,유진이♡♡♡♡♡ㅋ❤,0,2025-03-19T12:06:03Z,2025-03-19T12:06:03Z
UgzOPlZadeHaHoupulF4AaABAg,,False,@고현진-q5p,유지니 ❤❤❤❤❤❤❤❤,0,2025-03-19T05:43:53Z,2025-03-19T05:43:53Z
Ugz-fcqqixVxpYamp8R4AaABAg,,False,@또이또이-b1k,안유진 키진짜크네,0,2025-03-11T19:20:06Z,2025-03-11T19:20:06Z
Ugy9tOfVTRQhuXsEOml4AaABAg,,False,@gamgam9374,유진이 키랑 미모가 너무 빛나 🙈,1,2025-03-08T05:42:02Z,2025-03-08T05:42:02Z
UgwGyXMxWU0VpGVkZ2V4AaABAg,,False,@옐린바라기_옐라,잘생김 + 예쁨 = 환상,2,2025-03-07T23:12:25Z,2025-03-07T23:12:25Z
Ugw8YLy019Toznl4Af94AaABAg,,False,@동동동-x2n,키는 키가 작은거임 머리가 큰거임 어깨가 좁은거임?,1,2025-03-07T04:40:02Z,2025-03-07T04:40:02Z
Ugw9_zwLXuMQJD8U1OV4AaABAg,,False,@에스엘도어메탈,키 잘추긴 하는데 원영턴 돌때 그냥 도는 느낌ㅋㅋ,0,2025-03-05T09:43:40Z,2025-03-05T09:43:40Z
UgwtD6wfMT8_BCKR_Yd4AaABAg,,False,@치즈fj,기범이졸귀🕶,0,2025-03-04T07:49:23Z,2025-03-04T07:49:23Z
Ugx-KeYCIfQb2fGNB4B4AaABAg,,False,@cytaap,여돌춤을 매번 왜이렇게까지 잘아는걸까,0,2025-03-03T17:56:58Z,2025-03-03T17:56:58Z
UgzWGPzQbD1PFQaIVFB4AaABAg,,False,@조근호-z5q,키는 잠옷입고왔냐?아니면 응답하라 2000년이냐,0,2025-03-03T15:46:49Z,2025-03-03T15:46:49Z
UgwcdxN_0aT5lNaH_XF4AaABAg,,False,@푸찡-o6e,"키 머리 진짜 좋은 거 같음
안무 외우는 것도 그렇고
가사 맞추는 것도 그렇고",7,2025-03-03T13:06:33Z,2025-03-03T13:06:33Z
Ugyxrtu-pgi2iIsLCQd4AaABAg,,False,@林-v5y2s,"지옥판결사건 ~강도징벌~

옛날에 나라가 전쟁 중이었을 때, 38명의 사람들과 함께 거대한 범죄 계획을 세웠던 도적 두목이 있었습니다. 당시 110명의 부유한 사람들이 전쟁 지역에서 탈출할 계획을 세웠는데, 탈출 과정에서 그들은 모두 이 강도 집단에 의해 살해되고 모든 소지품을 강탈당했습니다. 그 후 정부는 지도자와 다른 수감자들을 성공적으로 체포했고, 모두 사형을 선고받았습니다. 단 9명만이 탈출했습니다. 강도의 우두머리가 심판을 받으러 지옥에 갔을 때 그는 이 죄로 인해 120년 동안 지옥 형벌을 받는 엄중한 형을 받았습니다.",0,2025-03-03T11:23:19Z,2025-03-03T11:23:19Z
Ugy6Js2E8ST-YFWrB-d4AaABAg,,False,@Law-ji,크라임씬 멤버들이다,0,2025-03-03T06:36:57Z,2025-03-03T06:36:57Z
Ugzb-yz0TqLCXOhEMLp4AaABAg,,False,@픽셀러-y7m,키 끼미쳤네,0,2025-03-03T05:14:39Z,2025-03-03T05:14:39Z
Ugxz6CnYVRfMyhj2kfJ4AaABAg,,False,@user-vx3no6ib7b,유진이 ㅗㅜㅑ,0,2025-03-03T03:57:56Z,2025-03-03T03:57:56Z
UgyTgaJACfqOM_ymyhR4AaABAg,,False,@히히히-e5r6r,키ㅈㄴ 잘생겼다!!!~~~~~,2,2025-03-02T11:51:51Z,2025-03-02T11:51:51Z
Ugx0UBG35rYcbD38jZl4AaABAg,,False,@쁘이영리즈,마지막 동작 에 비밀이 자세히 보면 하트 같아요!!❤❤,0,2025-03-02T06:09:19Z,2025-03-02T06:09:19Z
Ugyc7t75C4XQXVPRumB4AaABAg,,False,@이광호-q8b1c,죄수복인줄,0,2025-03-01T15:34:53Z,2025-03-01T15:34:53Z
UgzKMOsrfKF64iiudZ14AaABAg,,False,@해-k2r,역시 안유진 예쁘다...,0,2025-03-01T04:23:28Z,2025-03-01T04:23:28Z
Ugx0m08fJDaaEQ7-w414AaABAg,,False,@쪼미-xy,이거ㄹㅇ 웃김ㅠㅋㅋ웃긴장면도 석여져이씀..❤❤,0,2025-02-28T12:16:02Z,2025-02-28T12:16:02Z
UgwbYgU5hteqwE-Hmdx4AaABAg,,False,@famafaoh,안유진너무보고싶고예뽀❤,0,2025-02-28T09:50:16Z,2025-02-28T09:50:16Z
UgyNWa83jRWAVEjw60N4AaABAg,,False,@이정임-m5q,"키가남지치고작고말라서인지유진이덩치
체격더좋네",1,2025-02-27T17:03:47Z,2025-02-27T17:03:47Z
UgxZRrnokW7vft6dhit4AaABAg,,False,@이세진-m5g8i,키 잘추는데 . .  옷은 환자복 같음 ㅋㅋㅋㅋㅋㅋ,0,2025-02-27T15:07:59Z,2025-02-27T15:07:59Z
UgwFw8aFJP9n3aB5woZ4AaABAg,,False,@진여자성,환자복 같네,0,2025-02-27T14:56:28Z,2025-02-27T14:56:28Z
Ugxyu7tN3iG1MxMLbDp4AaABAg,,False,@Presure903,남자애 키 존나작네,0,2025-02-27T14:53:22Z,2025-02-27T14:53:30Z
UgxrSIVoNp-TqL0rKDh4AaABAg,,False,@쇼da_x2,키 할때 채령 나오면 겁나 웃긴데 ㅋㅋ,0,2025-02-27T09:44:31Z,2025-02-27T09:44:31Z
UgxxgJ4lOBrwY_yuO394AaABAg,,False,@치이카와-s2s,"헙…내 예능계 최애들 다모여따.,.",0,2025-02-26T22:48:20Z,2025-02-26T22:48:20Z
UgwrTCMqLLta4YdwNot4AaABAg,,False,@치치데이,진짜 키는 챌린지 하나하나 정성임>< 넘모기여어❤❤,1,2025-02-26T13:17:28Z,2025-02-26T13:17:28Z
Ugy6LqyGV2F-voLE0L14AaABAg,,False,@조쩡,저것은 놀토!??❤,0,2025-02-26T09:22:59Z,2025-02-26T09:22:59Z
UgzMMcvjtC5yR2dUGsZ4AaABAg,,False,@워뇨-y5f,키가 원영턴 할때 너무 귀엽당😊,1,2025-02-25T04:48:19Z,2025-02-25T04:48:19Z
UgxijKL0Tu-lDThywop4AaABAg,,False,@thellasilva,"Key, the secret member of every GG ever ❤❤",1,2025-02-24T14:09:14Z,2025-02-24T14:09:14Z
UgxvHu5zLv3N4lEvKnJ4AaABAg,,False,@ruthangulo8034,Our powerful dancing machine!! The amazing Almighty Key 💎😎😍💖,1,2025-02-24T05:59:11Z,2025-02-24T05:59:11Z
UgwSPnX63981w8n0fUJ4AaABAg,,False,@멍뭉이-h8w,둘다 넘넘 잘춘당😮😮❤,1,2025-02-24T03:55:32Z,2025-02-24T03:55:32Z
UgwYAN9w0ATkRo4flUl4AaABAg,,False,@새싹이-x9o,놀토에 나온 유진이❤,0,2025-02-23T15:38:01Z,2025-02-23T15:38:01Z
Ugy6P077wa7RxAS3TwR4AaABAg,,False,@지민-g9d6i,지가 이쁜줄 아는 안팔리는 기갈끼순희,0,2025-02-23T13:44:26Z,2025-02-23T13:44:26Z
UgyKQdSXNj73hxWc8_F4AaABAg,,False,@wow-key,크씬조합 최고 ㅠㅠㅠㅠㅠㅠ 폭주기니 챌린지도 함께해주길..,2,2025-02-23T12:01:42Z,2025-02-23T12:01:42Z
UgwrFsKhTFQz467vWWl4AaABAg,,False,@이수훈원동,키는 댄스 복사기같아.ㅋ,1,2025-02-23T12:00:36Z,2025-02-23T12:00:36Z
Ugxrg9vfDimnQTpUzRJ4AaABAg,,False,@아기토끼-y7n,와😊,0,2025-02-23T07:23:32Z,2025-02-23T07:23:32Z
Ugy672GgkgRxykoFg-J4AaABAg,,False,@TV-cp8iw,넘나 이쁘구 잘생김 ㅎㅎ,0,2025-02-23T01:56:46Z,2025-02-23T01:56:46Z
UgybqXurFusRwdzWgvx4AaABAg,,False,@늘하늘-g1v,기버미 잠옷같..ㅋㅋㅋ애기같아 유진이보다 귀욤 우째😅,0,2025-02-22T16:09:32Z,2025-02-22T16:09:32Z
UgxJJNZemv9KbrjSHCh4AaABAg,,False,@jkidgza,키 키 정말 작네 175안되네,0,2025-02-22T12:35:13Z,2025-02-22T12:35:13Z
UgzmSjyt7Fi8aB1DjYJ4AaABAg,,False,@하아아로오,기범튜드 ❤️‍🔥,0,2025-02-22T10:41:13Z,2025-02-22T10:41:13Z
UgxWL3e0f36KlqU82q14AaABAg,,False,@딸기품냥,키는 안무 한번만 보면 한번에 외워서 진짜 신기함..둘다 넘 잘생기구 이뿌쟈냥❤,6,2025-02-22T08:44:38Z,2025-02-22T08:44:38Z
UgwVCPu7tJsIkQUJtNl4AaABAg,,False,@solivia3973,그냥 집에서 만들어 먹으면 되지 않나요? 왜 굳이 외식하면서 우는 건가,0,2025-02-22T07:15:10Z,2025-02-22T07:15:10Z
Ugx7wStSyxKg6UETaxF4AaABAg,,False,@주사랑-s6v,옹 유진잉 넘 이쁜 강아지❤,0,2025-02-22T04:49:12Z,2025-02-22T04:49:12Z
Ugx-CzMnXyaWghdQhq14AaABAg,,False,@Sagerji-24,"왼쪽분 왜 잠옷을 입고 계시죠







근데 춤 진짜잘추신다",0,2025-02-22T03:09:07Z,2025-02-22T03:09:07Z
UgzCTRQB7RNRa3lySM94AaABAg,,False,@강미진-t2m,"키 진짜 못하는게 뭐냐,,,
완벽 아이돌,,❤",0,2025-02-22T02:41:20Z,2025-02-22T02:41:20Z
UgwdTXjG4jWjfWiV8DB4AaABAg,,False,@레아리-r8k,하 나는 진짜 춤 추는 기범이가 제일 좋아...,0,2025-02-21T13:02:23Z,2025-02-21T13:02:23Z
