comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzOft7U8-koIPU8N5d4AaABAg,,False,@mms-x2d,Wer is french me speak french sorry,1,2025-05-07T15:40:57Z,2025-05-07T15:40:57Z
Ugwtf8gLPPDbDNMNIux4AaABAg,,False,@NusratJahaan-h5n,Rose in so so cute 😍🫶,0,2025-05-07T03:09:15Z,2025-05-07T03:09:15Z
UgzL1GOkrY9xey9RkHZ4AaABAg,,False,@kashafgaming2411,Hello India🇮🇳🇮🇳😊😊,0,2025-05-04T00:36:45Z,2025-05-04T00:36:45Z
UgwWDheQ8MzrbxfGk4N4AaABAg,,False,@MaryGarcias-p1b,🎉🎉,0,2025-05-01T23:04:24Z,2025-05-01T23:04:24Z
UgxooB6DTV76AuaWg1d4AaABAg,,False,@LutviaAzahra-b5t,jisoo rose ❤❤,0,2025-04-26T04:40:18Z,2025-04-26T04:40:18Z
Ugyx4Hs5kUdGt-smcfx4AaABAg,,False,@Yusuf-p6y6u,Is turkey blacpink türkiyede bukadar iyisi olmasada 2. Manifest,0,2025-04-25T22:05:26Z,2025-04-25T22:05:26Z
Ugzy6XTuKnuJaRU8_hB4AaABAg,,False,@Sara.M.F.L,"예수 그리스도께서는 당신과 당신의 가족을 사랑하시며, 당신 모두를 위한 영원한 구원을 가지고 계십니다. ❤️",0,2025-04-25T04:26:44Z,2025-04-25T04:26:44Z
UgwiO3elqzL-oSz1yAJ4AaABAg,,False,@ElifOğuzhan-l5p,"안녕하세요, 저는 터키 팬입니다, 저는 블랙핑크를 매우 좋아합니다, 터키에 많은 팬이 있는지 확인하십시오, 터키에서 콘서트를 해주세요❤❤",0,2025-04-24T15:33:16Z,2025-04-24T15:33:16Z
UgzTegOv2Xlmitlk8L54AaABAg,,False,@georgiavassilopoulou4377,블랙핑크 진짜 좋네요!!! 구독! 😮❤🎉🎉,0,2025-04-11T12:15:51Z,2025-04-11T12:15:51Z
UgwSyX7Gztso01SM1oV4AaABAg,,False,@Hgfdz9o,블핑 완전체 예능 기원ㅠㅜ,1,2025-04-02T00:58:31Z,2025-04-02T00:58:31Z
Ugzqx0Dc1dd-9zIKTN14AaABAg,,False,@Splitfacets,Ohhh gwenchana gwenchana🥹🥹🥹..,0,2025-03-31T18:01:42Z,2025-03-31T18:01:42Z
UgypUgKfPSOVuYMYVWJ4AaABAg,,False,@DemonLuciferX,What was Jisoo wearing?? I loved it so much. 41:08 are those black fur stripes on jisoo outfit? I love it so much if it is,0,2025-03-29T16:19:04Z,2025-03-29T16:19:04Z
UgzifRVG3y7CoDKbha54AaABAg,,False,@Almapro-h3s,Ho like koran,1,2025-03-19T10:54:48Z,2025-03-19T10:54:48Z
Ugw7YTFOZWVeR3PsRBt4AaABAg,,False,@lucéliaoliveira-u3p,Me perdoa porque eu não sei falar coreana,0,2025-03-16T14:58:45Z,2025-03-16T14:58:45Z
Ugxm3rTtNkwCGQuJYwt4AaABAg,,False,@Canarilele,Rewatching this and Lisa is really a dancer😭 she talked about the choreo the whole time they watched the mv I lover her🤣🫶,0,2025-03-16T01:59:10Z,2025-03-16T01:59:10Z
Ugzwvx921Y5X7muybgN4AaABAg,,False,@Маряшка-танюля,Мне по слышылос или он на руском сказал как всегда?,0,2025-03-14T15:54:56Z,2025-03-14T15:54:56Z
UgyJlzeabXGF1i_8EFl4AaABAg,,False,@RicardoCoronel-t6c,Amazing! The girls fue mi despertador durante un año 🥺❤️🇲🇽,0,2025-03-13T05:30:58Z,2025-03-13T05:30:58Z
Ugxefb5WPB1WIshT6pB4AaABAg,,False,@jairreal9702,Lisa Dile que te enseñe,0,2025-03-06T17:29:45Z,2025-03-06T17:29:45Z
UgzAqdt8sNCByfifKd54AaABAg,,False,@NewViva-t6o,น่ารัก,0,2025-03-06T01:21:00Z,2025-03-06T01:21:00Z
Ugyuy8ZI_1o_a7yz8c54AaABAg,,False,@mejanraj9054idjonaid,🤪🤪😜😝😛😐😛😝😝🤑🤑💩💩👎👎🖕🖕,0,2025-02-28T15:47:43Z,2025-02-28T15:47:43Z
UgzmUxK8_Ml_mKmPstN4AaABAg,,False,@Navya_blink,How preety they are looking !! ❤,0,2025-02-25T13:58:20Z,2025-02-25T13:58:20Z
Ugz1rDuzza-52byTYiJ4AaABAg,,False,@هلنا-ش4ق,Black pink❤❤love🥰🥰me iran🙃🇮🇷🇮🇷🇮🇷🇮🇷,0,2025-02-21T16:15:54Z,2025-02-21T16:15:54Z
UgxjlErhhNk9LG_oIvR4AaABAg,,False,@poojahuralikuppi5661,Lisa looks so beautiful ❤️❤️,0,2025-02-18T09:17:26Z,2025-02-18T09:17:26Z
UgweVdeVQTXfTC8FP1F4AaABAg,,False,@QadyraliAbylkasymov,Люблю пить Коллууу,0,2025-02-16T07:11:06Z,2025-02-16T07:11:06Z
UgyerNpTO8E92qEe5gd4AaABAg,,False,@QadyraliAbylkasymov,Roje Roje Rojee,1,2025-02-16T07:09:56Z,2025-02-16T07:09:56Z
Ugx0Wlp9FklrNw_jFGZ4AaABAg,,False,@raginivishwakarma9634,"Who is watching this video in 2025 
 like it

  👇🏻",1,2025-02-15T05:44:17Z,2025-02-15T05:44:17Z
Ugynrll2wHH4TAEr56t4AaABAg,,False,@Laurielegros,i love blackpink,0,2025-02-09T16:06:55Z,2025-02-09T16:06:55Z
Ugw70ey5e-a83ii7T_J4AaABAg,,False,@augustine4115,❤❤❤ i love  blackpink,0,2025-02-08T07:07:53Z,2025-02-08T07:07:53Z
Ugwj-lnkoBUKZ2I7se94AaABAg,,False,@paola.argento,27:16 COMO SE COMUNICABAN JDJSCKFKFK,0,2025-02-04T17:43:51Z,2025-02-04T17:43:51Z
UgxumP-GKGI21TVf7xR4AaABAg,,False,@paola.argento,24:04 como me hace cagar de risa toda esta rondaJSKDJDNSOAJDK las amo dios,0,2025-02-04T17:41:59Z,2025-02-04T17:41:59Z
UgyJDHowZTw5vlxzoTV4AaABAg,,False,@WulanSari-iy7rc,2025 ❤❤,0,2025-02-03T07:53:39Z,2025-02-03T07:53:39Z
