comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugy3-s0clS8Tu9_ocTp4AaABAg,,False,@비니-j1z,❤,0,2024-01-14T03:00:18Z,2024-01-14T03:00:18Z
Ugz9Wdk0MM9il3_ceyR4AaABAg,,False,@soomae527,WayV❤,0,2023-08-12T16:56:40Z,2023-08-12T16:56:40Z
UgwC0EvRWNbdRvqaJs14AaABAg,,False,@Mononona-T00,Ten's smile made the world brighter.,0,2023-06-11T14:59:16Z,2023-06-11T14:59:16Z
UgwLGMB7FcPSq_V4mHB4AaABAg,,False,@Mononona-T00,Tenlee,0,2023-06-11T14:58:10Z,2023-06-11T14:58:10Z
UgzcJLNnIUTXcF6xTIl4AaABAg,,False,@dassah6934,NCT dream sunbeam sounds really funny lol 😂,0,2023-06-08T20:23:05Z,2023-06-08T20:23:05Z
Ugwh_wI18pEvahgEKOp4AaABAg,,False,@spicycumcumber,Return TEN and WinWin to NCT where they belong! TEN was there at the beginning with the other iconic members of NCT and he should be with them again 💚,1,2023-06-01T23:30:52Z,2023-06-01T23:33:00Z
Ugzfwg3uRf9r8Iti7yF4AaABAg,,False,@Kami656,I wish I could teleport there the store looks so cool and so creative,1,2023-05-26T13:41:38Z,2023-05-26T13:41:38Z
UgzDFvG8xXR8mSxsY1p4AaABAg,,False,@gaby0496,"Please keep Sungtaro in NCT, bring them back 😭",2,2023-05-25T02:10:55Z,2023-05-25T02:10:55Z
UgyIw1QID4HBjJ6lIgN4AaABAg,,False,@sucirachmadani7952,Please Ten pngen kukarungin,0,2023-05-18T14:48:50Z,2023-05-18T14:48:50Z
UgztvIimHeYyssqxftV4AaABAg,,False,@mint._._,💚,0,2023-05-17T09:02:47Z,2023-05-17T09:02:47Z
UgzFo4eDEuv-15ZBn854AaABAg,,False,@yes_eu_can,HOW ELSE DO WE BUY THISSS I WANT TO GO,0,2023-05-14T17:54:04Z,2023-05-14T17:54:04Z
UgyFPtDz0kCA58TosGV4AaABAg,,False,@camillebeatriz03,💚💚💚💚💚💚💚,0,2023-05-13T14:19:55Z,2023-05-13T14:19:55Z
UgyyPy2BQN8-Ls1eaSJ4AaABAg,,False,@siriiik7662,น้องเตนล์หล่อมาก,0,2023-05-11T14:36:34Z,2023-05-11T14:36:34Z
UgxAos60QuXj6xsNH-J4AaABAg,,False,@MaGZZaide,WayV 💚 It’s refreshing to see youuu again! 🤩 Wanna visit the store. ☺️,1,2023-05-11T10:02:34Z,2023-05-11T10:02:34Z
UgyLM5nSOi_JA6fkPVJ4AaABAg,,False,@YunqiZhang-t6k,윈윈이 우쭈쭈 ~,0,2023-05-11T09:06:02Z,2023-05-11T09:06:02Z
UgzWxxzSobeg2zrZwZl4AaABAg,,False,@bernadethfebricia7022,NCT is the best home in the world,1,2023-05-11T02:25:16Z,2023-05-11T02:25:16Z
UgyR4_Ih7fxH09YkVid4AaABAg,,False,@wemarkzcl,mc xiao,1,2023-05-08T09:02:13Z,2023-05-08T09:02:13Z
Ugwl_01nsvCSSC0BWul4AaABAg,,False,@sinarimaydena9828,is this open forever? i hope someday can go there (❁´◡`❁),1,2023-05-07T10:21:40Z,2023-05-07T10:21:40Z
UgzVJ1DwHM5jq1-EIH94AaABAg,,False,@susanhawson17,"No eng subs?! Yeah, nope.",0,2023-05-06T02:33:58Z,2023-05-06T02:33:58Z
UgzIn3LDHk0ESeanRZl4AaABAg,,False,@sintiallamacponccachuquihu2409,Me encanta ver a WinWin,0,2023-05-05T16:16:56Z,2023-05-05T16:16:56Z
UgzNQ899s5wTcudpoOl4AaABAg,,False,@hanasumilee4847,I wanna go here sooo bad and go shopping with them 😫😫😫💚,0,2023-05-05T10:42:12Z,2023-05-05T10:42:12Z
UgzztnVah_GxJ67lQ314AaABAg,,False,@baekminha,"everytime wayv change language easily, it makes me jealous",0,2023-05-05T05:48:53Z,2023-05-05T05:48:53Z
UgwqjSU95ZUiB8quWzF4AaABAg,,False,@memaxxxc,Ten is so cute 🥺🥺,1,2023-05-05T03:46:54Z,2023-05-05T03:46:54Z
UgwPeIkon1TRA8YNPpx4AaABAg,,False,@windyrefiana6055,good to see winwin with the other wayv member,1,2023-05-05T01:07:41Z,2023-05-05T01:07:41Z
UgwMCNhY16yg2BL54x94AaABAg,,False,@Rina.2511,Yang yang so cuteee,0,2023-05-04T23:44:00Z,2023-05-04T23:44:00Z
UgyQcu3yn_lnEY0rFgV4AaABAg,,False,@vironichaa5741,Indah banget si dunia ku😭💌,0,2023-05-04T12:48:34Z,2023-05-04T12:48:34Z
UgzEaVP_B11NOXqq4cZ4AaABAg,,False,@soundsso1912,It's funny when they themselves are surprised their company sells a lot of weird stuff,2,2023-05-04T09:37:11Z,2023-05-04T09:37:11Z
UgyK8LTE617xGa_zd0d4AaABAg,,False,@Fullsunkeep,I just realised winwin there 🥹,0,2023-05-04T08:53:15Z,2023-05-04T08:53:15Z
Ugz-IV-neH8EqmgRIPN4AaABAg,,False,@sarahazka3182,they are so beautiful☹☹☹☹☹ i miss them,0,2023-05-04T08:21:05Z,2023-05-04T08:21:05Z
UgwukthCT2Rghgv611R4AaABAg,,False,@snooywoo3980,Babies ❤,0,2023-05-04T06:26:33Z,2023-05-04T06:26:33Z
UgwA-Q5MjTFQS4tkA654AaABAg,,False,@neoxdunnie,"Omg, I'm sick of comments saying wayv is complete, it's not!! stop pretending Lucas never existed.",1,2023-05-04T02:51:30Z,2023-05-04T02:51:30Z
UgwClm2JIF_G_I526_l4AaABAg,,False,@taetenism3543,wayvamilyy,0,2023-05-04T00:35:04Z,2023-05-04T00:35:04Z
UgwXbZVQ7TQ66n-ku-R4AaABAg,,False,@benjawanutthiya9472,Tenlee I miss you so much ❤❤❤,0,2023-05-03T17:25:12Z,2023-05-03T17:25:12Z
UgyaVZ2Yfse8tYEq1Ax4AaABAg,,False,@moon_sun4122,suddenly I dont feel sad lmaoo they are so cute together also visual team slayed with this concept yall,0,2023-05-03T09:23:10Z,2023-05-03T09:23:10Z
Ugw773qi8BT9hY1aF854AaABAg,,False,@味噌ラーメン-e4x,我爱你🫶🐻🐱🐥🦖🦄🐏,1,2023-05-03T09:06:13Z,2023-05-03T09:06:13Z
UgyD1Pc5fRn1_QsYYdt4AaABAg,,False,@teuzen38,"when xiaojun mentions the member names: Kun, Ten, winwin, xiaojun, hendery, Yangyang. Maybe I can wait for Lucas' name to be called",0,2023-05-03T02:37:24Z,2023-05-03T02:37:24Z
Ugygx4uNQGOURX0ZQ6d4AaABAg,,False,@susydutra2856,okay but wayv ot7 when?,1,2023-05-02T22:48:48Z,2023-05-02T22:48:48Z
Ugx4r6MZ98GrvapLPqN4AaABAg,,False,@femivalendianurfalisa,"I miss Lucas with them, when will there be 7 members in Wayv again?",2,2023-05-02T16:33:25Z,2023-05-02T16:33:25Z
Ugxz0xsqfdgd54jdlwF4AaABAg,,False,@femivalendianurfalisa,"just lacking Lucas, Lucas when are you coming back and when will there be even 7 members again",2,2023-05-02T16:32:15Z,2023-05-02T16:32:15Z
Ugyu9H-_5fuiw_NYs8x4AaABAg,,False,@영훈-z1q,엔시티 가자,0,2023-05-02T14:22:09Z,2023-05-02T14:22:09Z
UgwP09asaLnuGZe-ITJ4AaABAg,,False,@zhanglee6580,"Ten as the thumbnail is so pretty 🥺
Also xiaojun lmaooo he said ""Kun, Ten (((hyung))), Winwin, Xiaojun, Hendery, Yangyang..."" Man, your 10vely soul is showing 😂💜",0,2023-05-02T13:39:38Z,2023-05-02T13:39:38Z
UgzEFsL3Z8jPG9Jb1qN4AaABAg,,False,@biciuuf,<3,0,2023-05-02T12:48:48Z,2023-05-02T12:48:48Z
UgySQmWx3-9YbZrLSrh4AaABAg,,False,@ramitoey,Love them,0,2023-05-02T12:42:53Z,2023-05-02T12:42:53Z
UgzLmP3a_P8EvfQ-AdJ4AaABAg,,False,@나야25,Sayang kalian,0,2023-05-02T03:58:43Z,2023-05-02T03:58:43Z
Ugy81B3TMhiNlKmpjjl4AaABAg,,False,@pararu11,TEN AT  8:39 ❤,3,2023-05-02T00:12:12Z,2023-05-02T00:12:12Z
UgzMmOreOhXYhdAoOAF4AaABAg,,False,@adeyemoololade351,"WayV!!!, I need another comeback already😀. TEN looking YUM as always 😊",5,2023-05-01T23:48:02Z,2023-05-01T23:48:02Z
UgwTML5OdJLpamSEsax4AaABAg,,False,@abbykeating8469,I thought the dolls at the start were ot7 wayv 😢,0,2023-05-01T20:04:14Z,2023-05-01T20:04:14Z
UgzGuBAJDx20qZ3JxKx4AaABAg,,False,@becloud6210,Maaaauu,0,2023-05-01T17:51:37Z,2023-05-01T17:51:37Z
Ugx3GDjRDN2gL4DH9BR4AaABAg,,False,@becloud6210,Waaaaah,0,2023-05-01T17:47:46Z,2023-05-01T17:47:46Z
UgxcqKBTjns6QjJ-O3B4AaABAg,,False,@hazelvly,nice thumbnail yoo,0,2023-05-01T15:15:59Z,2023-05-01T15:15:59Z
UgydLUAbRC9eRnR16qV4AaABAg,,False,@putriayu5455,Wayv.yang terbaik,0,2023-05-01T12:26:22Z,2023-05-01T12:26:22Z
UgzqXLV4A4OFG_UikJx4AaABAg,,False,@Sarah-yt8ud,lucuuu banget wayv support semua member nct🥰🤍,0,2023-05-01T10:14:09Z,2023-05-01T10:14:09Z
Ugz9Qu53sPY_0GrFxX54AaABAg,,False,@QueenHela240,💚💚💚,0,2023-05-01T08:42:18Z,2023-05-01T08:42:18Z
UgyIOi6ONs3L9tX4ez54AaABAg,,False,@thachsophane2559,😂,0,2023-05-01T08:24:04Z,2023-05-01T08:24:04Z
Ugx0QMaoa9TWwrgAw9J4AaABAg,,False,@b.n.g.n.t7844,❤❤❤💙💙💙💚💚💚💛💛💛💜💜💜,0,2023-05-01T05:23:53Z,2023-05-01T05:23:53Z
UgxGggKgYt9_0u4Y8Zh4AaABAg,,False,@baejia125,yangyang nerbener kodein kudu harus 00l unit nih 🤣🤣🤣,0,2023-05-01T03:10:14Z,2023-05-01T03:10:14Z
Ugz-J4tu_RHMW_292Lh4AaABAg,,False,@aninurfadhillah1092,Wayv hwaiting👏🏻💚,0,2023-05-01T01:49:53Z,2023-05-01T01:49:53Z
Ugw3_F5AKvwrOo-kBGJ4AaABAg,,False,@gomifame6842,LUCAS !!!!!!,2,2023-05-01T01:35:56Z,2023-05-01T01:35:56Z
Ugx35kDAqmDPlZ41R8F4AaABAg,,False,@rynsdaily,"wayV, I love u",0,2023-05-01T01:27:46Z,2023-05-01T01:27:46Z
