comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzIiP5-DgtSGtHlWpx4AaABAg,,False,@javierleopoldomoralesespin77,Chaeyoung i love you,0,2025-05-15T20:55:54Z,2025-05-15T20:55:54Z
UgwxguB3n6Coa2eKYiN4AaABAg,,False,@eduarzita,❤,0,2025-05-13T18:50:33Z,2025-05-13T18:50:33Z
Ugxku2O9b9oI6dvgjnJ4AaABAg,,False,@JoseLani-k8p,The ending😮😮😮,2,2025-04-16T05:45:41Z,2025-04-16T05:45:41Z
UgxhaFMlvcCq_1URHlB4AaABAg,,False,@CiaraMutandiro,9 gorgeous women,1,2025-03-17T17:11:33Z,2025-03-17T17:11:33Z
UgyZMSbdKeaWJIPhL614AaABAg,,False,@Mariam-p6v7v,7•1 million let's go,0,2025-03-08T04:24:14Z,2025-03-08T04:24:14Z
UgwciyTdReZxgaXcL8N4AaABAg,,False,@Mariam-p6v7v,8 million let's go,0,2025-03-08T04:23:53Z,2025-03-08T04:23:53Z
UgwP3XA-sa-76V7KJ0R4AaABAg,,False,@SilvaDen3,Dahyun hair has so much stage presence,1,2025-01-24T14:44:11Z,2025-01-24T14:44:11Z
UgxBhU2bOO2I2cXx3-N4AaABAg,,False,@mansbillgren2305,TWICE CHEER UP MIV nayeon Jihyo Jeongyeon mina TZUYU DAHYUN Måns Billgren youtube ❤❤❤❤❤ 0:24,1,2025-01-17T21:32:31Z,2025-01-17T21:32:31Z
Ugy45_NK6q3nmm0fe4N4AaABAg,,False,@styxroasteris,Jeongyeon owned this dance fr,3,2025-01-17T19:10:40Z,2025-01-17T19:10:40Z
UgwGTReho2eGa6oE78Z4AaABAg,,False,@ainieerissa6878,twice’s dance practice is my addiction,0,2025-01-16T14:39:24Z,2025-01-16T14:39:24Z
UgzoTXyuSLmNj9RXxaV4AaABAg,,False,@eyow-he6gr,dahyun popped off,0,2025-01-13T16:21:50Z,2025-01-13T16:21:50Z
UgxhEs6cgjKlroay3It4AaABAg,,False,@tosiry22,일본어 많다,0,2025-01-05T03:07:29Z,2025-01-05T03:07:29Z
UgzoyxefWqd-L9xs1MZ4AaABAg,,False,@AaronAndrade-qz4yc,1:19,0,2024-12-27T04:48:17Z,2024-12-27T04:48:17Z
Ugw4xAyWC_zJ7t90yBl4AaABAg,,False,@shawnalim10,One of my fave choreos and dance practices!,1,2024-12-04T08:17:34Z,2024-12-04T08:17:34Z
Ugy8-WfwdGD2q_c_r0Z4AaABAg,,False,@Ameliagamer-o5o,I's cute twice twice,0,2024-12-01T17:53:35Z,2024-12-01T17:53:35Z
UgzAe1RVmpb7FZ6f5JR4AaABAg,,False,@kac2801,Twice never disappoints,0,2024-11-21T17:04:32Z,2024-11-21T17:04:32Z
UgzH_cslRNOBW7VQTOt4AaABAg,,False,@milky_quartz,"I love this ICONIC part of yhe choreography at 2:30 JYP said *FOREIGNERS* ON THE GROUND, *STAT* 😢😂🤣💀",1,2024-11-20T07:58:44Z,2024-11-20T07:58:44Z
Ugwx9Ek5DrOnd3ea7rt4AaABAg,,False,@Elfangor-Sirinial-Shamtul,The song itself is so sultry but in a subtle way. TWICE pre-release singles always hit different. 🤍,0,2024-11-18T23:19:36Z,2024-11-18T23:19:36Z
UgyZ4L_zWQ3z885qqWt4AaABAg,,False,@lv999-i1u,TWICEのダンス大好き♡♡,1,2024-11-15T22:15:51Z,2024-11-15T22:15:51Z
UgwkBftgs7wlZwAC3Ad4AaABAg,,False,@溜池律子,ダンスが、ダンサーにカッコイイ人ですね❤,1,2024-11-09T01:48:30Z,2024-11-09T01:48:30Z
UgwfibBFph4eefMoBnp4AaABAg,,False,@溜池律子,可愛い人ですね❤応援しますね❤頑張ってね❤スコイ人ですね❤ヤバイ過ぎるですね❤,1,2024-11-09T01:48:01Z,2024-11-09T01:48:01Z
UgxZq8EL9rYs2ZIikll4AaABAg,,False,@TzuyuRunaway,Tzuyu,0,2024-11-08T19:37:25Z,2024-11-08T19:37:25Z
Ugz-iUfOa4j0Y2ISZsZ4AaABAg,,False,@straytwice1090,Nayeon is so attractive!!,0,2024-11-02T03:50:59Z,2024-11-02T03:50:59Z
Ugzd_cEb2lninWCV2YZ4AaABAg,,False,@karlarodriguez6895,Alguien del 2024 aquí?,1,2024-10-27T20:57:56Z,2024-10-27T20:57:56Z
UgxSRdn0pZDqpBycx0d4AaABAg,,False,@наоки-чо,Я АФИГЕЛА 😭😭😭МОИ ДЕВОЧКИ,0,2024-10-17T13:30:36Z,2024-10-17T13:30:36Z
Ugzm2EtTJHAXhAOiG9p4AaABAg,,False,@tokoumaha,bening amat nengg,0,2024-09-30T12:58:39Z,2024-09-30T12:58:39Z
UgxuxwWP6U8iRFJtLHZ4AaABAg,,False,@Cashxlol,"""you guys lets wear black and dark gray pants and not tell Jihyo and Momo.""",0,2024-08-22T22:05:45Z,2024-08-22T22:05:45Z
UgzZq3WF5jsrjSxBvBh4AaABAg,,False,@ax7sah,0:34 Not Sana disappearing because of the synchronization 🤌,1,2024-08-09T17:57:54Z,2024-08-09T17:57:54Z
UgxpcU-jjXYKM08Zax54AaABAg,,False,@Fantastic-i5c,Amazing 🎉😊😊😊😊😊🎉😊🎉😊🎉😊🎉😊🎉😊,0,2024-08-03T08:07:02Z,2024-08-03T08:07:02Z
