comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugw_zXs96CaVYrMLKcB4AaABAg,,False,@emandamiche4948,love the song i can listen to it none stop and still want more💗,0,2025-05-08T17:31:19Z,2025-05-08T17:31:19Z
UgzdPxoqSXlLIb3gWVR4AaABAg,,False,@emandamiche4948,jaehyun looks so good with glasses on,0,2025-05-08T17:29:57Z,2025-05-08T17:29:57Z
UgxpqMLjxX4101sPOJ14AaABAg,,False,@emandamiche4948,yoo Jaehyun is a genius,0,2025-05-08T17:28:38Z,2025-05-08T17:28:38Z
UgyQ_hnB_lDR-k4vu3h4AaABAg,,False,@swjdhxepdhshakoqosmfa,안경 어디껀지 아시는 분~~ 넘 이뻐요,0,2025-05-06T15:49:58Z,2025-05-06T15:49:58Z
UgyLhDMcgPKeHsQTrO94AaABAg,,False,@인생-z9b,와 뭐녀 개잘한다 노래도잘하면안돠지,0,2025-04-25T06:44:53Z,2025-04-25T06:44:53Z
Ugz4j7o-OBnD_lmwvR14AaABAg,,False,@OakkieBeboy,แจฮยอนเก่งมาก,0,2025-04-15T07:44:30Z,2025-04-15T07:44:30Z
UgzwyJYsD8deslz3ANF4AaABAg,,False,@esyokt,"ngeliat jaehyun beneran senyum terus pas recording bikin gue jadi ngerasa bahagia jugaa huhu, jaehyun beneran definisi cinta mati sama nyanyi tuh",0,2025-04-02T21:44:14Z,2025-04-02T21:44:14Z
UgxUgwYLi7UGeBioylh4AaABAg,,False,@MamsiePien,"That you have discovered a very large pearl... 
And that he entered service on November 4, 2024... 
#sosad #JAEHYUN_J #재현 #JAEHYUN",0,2025-02-09T21:03:56Z,2025-02-09T21:03:56Z
Ugxq87dl_57DCkNtE1J4AaABAg,,False,@은서-i5q,16:04 랑이~ 이거진짜 ㅈㄴ웃겨…,0,2025-02-03T18:16:08Z,2025-02-03T18:16:08Z
Ugxvaa_-QZdYUvn57WV4AaABAg,,False,@pandoraspeachy_1150,My yuno is so talented,0,2025-01-25T17:32:06Z,2025-01-25T17:32:06Z
UgxtOc8NAj1JxfsXmDx4AaABAg,,False,@andreainchima2759,FIRE 🔥🔥🔥,0,2025-01-24T16:03:21Z,2025-01-24T16:03:21Z
Ugy99tHYmoMHlfJ8wyp4AaABAg,,False,@kiagnaw,"production staff going ""wow"" after every take is so me",3,2025-01-17T03:42:41Z,2025-01-17T03:42:41Z
UgxkRXZsv692SOitsK14AaABAg,,False,@댕댕-z7n,너무 좋고 아까워서 한 번에 못 보겠다 5초 보고 벅차 올라서 3분 진정하고 다시 5초 보고 깊생 들어가기…,1,2024-12-24T14:30:00Z,2024-12-24T14:30:00Z
Ugxic5e1DbUrDzZzgmR4AaABAg,,False,@댕댕-z7n,왜 너는 음악까지 잘하는거냐고 25분 50초 꽉 끼게 재현코어 감상 공짜로 해도 되는거에요?,1,2024-12-24T14:28:58Z,2024-12-24T14:28:58Z
UgxfG8z0nBrg7by9LPV4AaABAg,,False,@PalinPalinalinalin,17:17-17:19 that's super crazy,0,2024-12-20T08:11:20Z,2024-12-20T08:11:20Z
Ugzn2QoRxX6gzygxqrR4AaABAg,,False,@tinkerbellza007,เก่งมากกกกไออ้วนนนนนนน,0,2024-12-08T08:13:36Z,2024-12-08T08:13:36Z
Ugw7abkv6E5QOGCdVQh4AaABAg,,False,@gusto-s8l,still waiting for recording behind for the b sides @ neo center better late than nothing,1,2024-12-02T01:12:29Z,2024-12-02T01:12:29Z
Ugw7mB3QFF8iM0nSYqh4AaABAg,,False,@keepingupwithrefakim1910,Jaehyun has this sexy voices out of him. Very seductive and alluring and lingering around.,0,2024-12-01T05:40:28Z,2024-12-01T05:45:47Z
