comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxVpH8Dx8J3tvQB2qt4AaABAg,,False,@BigBlackMambasa,The pushes of that dude Jason compared to this girl lol she being pushed on a swing. And dude got whiplash,0,2025-05-07T09:24:29Z,2025-05-07T09:24:29Z
UgwVDG9wAf1H3eerLyl4AaABAg,,False,@K-popworld_14,We miss so much pls come back 😢❤ newjeans ❤,0,2025-05-04T03:45:59Z,2025-05-04T03:45:59Z
UgyTynJVk0RNn2rKU-94AaABAg,,False,@seunghae_woori,GOWONNNNN 🔥🔥💯,0,2025-05-03T09:40:18Z,2025-05-03T09:40:18Z
UgwOoQRlCAxiWvzz6YV4AaABAg,,False,@Macaroniii_7,E T A,0,2025-05-01T19:00:35Z,2025-05-01T19:00:35Z
UgwxZB-SX0OuajvBah94AaABAg,,False,@doramiiirsw,필요하다면 돌아와서 당신만의 노래를 써보세요.,1,2025-04-22T15:43:41Z,2025-04-22T15:43:41Z
Ugx9Lgrdj-6Ukskan4x4AaABAg,,False,@Safia-nf6gs,More like where's your fifth member? Where's your fifth member.,0,2025-04-13T23:35:39Z,2025-04-13T23:35:39Z
UgzanD_btCOar-FEYYp4AaABAg,,False,@ahyoen114,"What is ETA 

Nj fans tell me",1,2025-04-12T12:49:28Z,2025-04-12T12:49:28Z
UgyULs5XDeYU_a_pINh4AaABAg,,False,@callmekoff,Not tuff,0,2025-03-31T20:08:44Z,2025-03-31T20:08:44Z
UgxOSMucRiqxePC0w9l4AaABAg,,False,@Queenseditsssss,저는 한국어를 정말 못하지만 여러분을 사랑해요 저는 미국에 살고 있어요,0,2025-03-29T04:23:06Z,2025-03-29T04:23:06Z
UgzCtFHRKG0xwQfx4I94AaABAg,,False,@honeybaby6742,"하입보이 오엠지 이티에이 명곡이 너무 많고 
시간이 지나도 이느낌 안없어져",0,2025-03-18T09:37:27Z,2025-03-18T09:37:27Z
UgxMvhPeZix5KOyVTTV4AaABAg,,False,@Rajwa_crafts,what a party! I leave you with my wishes!,0,2025-03-15T06:02:22Z,2025-03-15T06:02:22Z
UgwRQAcumxQbNLuNgzp4AaABAg,,False,@Jenninha-m4f,Amoooo kk,0,2025-03-11T01:35:08Z,2025-03-11T01:35:08Z
UgzjIfbzPSD53z5_thp4AaABAg,,False,@nxinkxy,WHATS YOUR ETAA?? 🔥💗,0,2025-02-27T22:48:35Z,2025-02-27T22:48:35Z
Ugy1MduzwSQ8wI4KXSh4AaABAg,,False,@Rachel-11-yi,ETA!!!!!!!!!!,0,2025-02-25T04:45:15Z,2025-02-25T04:45:15Z
UgynEKEoVRgjP5UrNpF4AaABAg,,False,@blues_skys9209,The answer to question: whenever you let me through the door 😂😂,0,2025-02-19T04:51:52Z,2025-02-19T04:51:52Z
UgxY8IavOBL5Aq2C_7d4AaABAg,,False,@ShellClub,WHAT'S YOUR ETAA?!,0,2025-02-08T12:37:36Z,2025-02-08T12:37:36Z
UgwAQS1g-2RSoByc9lx4AaABAg,,False,@Naznar-23-Army,"♡ ⋆⁺₊⋆ ☾⋆⁺₊⋆ ♡̷̷̷ ⋆⁺₊⋆ ☾⋆⁺₊⋆
⠀ 𝙉𝙚𝙬𝙅𝙚𝙖𝙣𝙨 - 𝙃𝙮𝙥𝙚 𝙗𝙤𝙮
⠀0:58 ───♡─── 3:47
 ⠀⠀ ⇄ ◁ II ▷ ↻
♡ ⋆⁺₊⋆ ☾⋆⁺₊⋆ ♡̷̷̷ ⋆⁺₊⋆ ☾⋆⁺₊⋆",0,2025-02-05T06:47:39Z,2025-02-05T06:47:39Z
UgxMuFlCamWbNfDoFKN4AaABAg,,False,@Anna-gn1nm,That is literally me and my friends hanging out in the girls bathroom,0,2025-02-04T21:58:47Z,2025-02-04T21:58:47Z
Ugx2Ni94C2T6NYrZodx4AaABAg,,False,@matillotumatilou4555,WHATS YOUR ETA!!!!!!!,0,2025-01-30T17:21:43Z,2025-01-30T17:21:43Z
UgyM2uEvSOXzXaXTRHF4AaABAg,,False,@Andijanemakes,If this isn’t playing at the party I’m not going to,0,2025-01-26T03:05:31Z,2025-01-26T03:05:31Z
UgybrXer-Crne76ozdt4AaABAg,,False,@AmritRam-r1y,😂❤,0,2025-01-19T14:50:27Z,2025-01-19T14:50:27Z
UgxQq37lRkaQFsm-fpF4AaABAg,,False,@AnnaSophiaLuna,❤newjeans❤,1,2025-01-16T13:31:57Z,2025-01-16T13:31:57Z
