comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgymX4pkByTMZIiodI14AaABAg,,False,@wintersui,This was the video that made me want to start modeling,0,2025-01-17T01:12:59Z,2025-01-17T01:12:59Z
UgzFyI1ujiSHXTlt8Wl4AaABAg,,False,@SilverScarletSpider,just bite and never let go 😂,1,2024-12-18T16:01:25Z,2024-12-18T16:01:25Z
UgxvUfADAGNlt0Ex2o94AaABAg,,False,@LeePadakpadakKkokkio,민지누나 너무 예쁘다,1,2024-11-09T01:09:39Z,2024-11-09T01:09:39Z
Ugyo4ZZyIKxE3CwAiL14AaABAg,,False,@Ruby0773,I LOVE YOU SO MUCH MINJI,1,2024-09-17T22:21:17Z,2024-09-17T22:21:17Z
Ugx36z-4qhnGpWzH1e14AaABAg,,False,@lov1sng,귀티난다 김민지..,0,2024-09-16T02:05:32Z,2024-09-16T02:05:32Z
UgzRgnRZaE4jZkyZ3I54AaABAg,,False,@rnwl-ec7mf,사랑해❤️,0,2024-09-13T15:21:13Z,2024-09-13T15:21:13Z
UgwhsAQOr-UNPkAb0O54AaABAg,,False,@JeanzForFree_0325,Don’t be blue🩵,1,2024-08-31T19:09:00Z,2024-08-31T19:09:00Z
Ugx0lgHmwDcFI0X251d4AaABAg,,False,@katyasanchez1632,She looks like someones rich auntie,1,2024-07-24T00:51:51Z,2024-07-24T00:52:07Z
Ugypd8uTC7MsK5X3mAd4AaABAg,,False,@minhyuklory,Love you 😢,0,2024-07-22T19:50:18Z,2024-07-22T19:50:18Z
UgxQSPlGSAr2btGfKXl4AaABAg,,False,@김강-i5u,민지 너무 예뻐😊😊샤넬공주야,0,2024-07-19T10:25:58Z,2024-07-19T10:25:58Z
UgwQjeEHnNJm9i4U24p4AaABAg,,False,@realpeterkim,Minji's classic Korean beauty is timeless. Her sharp features and elegant aura make her a natural center for the group.,1,2024-06-14T10:20:09Z,2024-06-14T10:20:09Z
Ugzk2sXfQOlvWbNXe_d4AaABAg,,False,@user_f777fff,진짜 모든 각도에서 천상계 얼굴... 너무 재밌어 짜릿해 킴민지 최고,0,2024-05-24T18:04:26Z,2024-05-24T18:04:26Z
Ugx-PX2B11kz0O3STZR4AaABAg,,False,@user-br4dn3qy4f,"compare Mexican jeans and new jeans. plagiarism . The article about this was deleted by min hee jin, .Return the article and let everyone know. how incompetent is min hee jin",0,2024-05-21T08:21:55Z,2024-05-21T08:21:55Z
UgzHr8dgo52cRVyNt7B4AaABAg,,False,@AI-zj2gf,"민지 얼굴 엄청 예쁜 거 다 아는데, 성격까지 예쁘다는 거....",3,2024-05-10T14:41:13Z,2024-05-10T14:41:13Z
Ugx0urNgwoXu0lTF8SZ4AaABAg,,False,@breadsoon24,민지스 넘예❤,1,2024-05-09T08:05:34Z,2024-05-09T08:05:34Z
Ugwg8SSUWUpufNNngqd4AaABAg,,False,@iamsasha7195,Happy birthday to minji and me 🔥,2,2024-05-07T13:03:45Z,2024-05-07T15:21:33Z
UgzD67WWlLparqh7JAl4AaABAg,,False,@오토케나,몸부터가 특전사느낌이 난다 ㄹㅇ,1,2024-05-07T07:57:06Z,2024-05-07T07:57:06Z
UgzBwzgqmVOWdzQx0-h4AaABAg,,False,@Trishneilalalalaa,HAPPY BIRTHDAY KIM MINNJIIII!!!!!!! 🫶🫶,2,2024-05-07T06:29:47Z,2024-05-07T06:29:47Z
Ugwgq75Yz5DDiBMRecR4AaABAg,,False,@MadeWithCaree,Imo new jeans as a whole are among the best if not the best visuals in kpop rn.,0,2024-05-04T08:25:41Z,2024-05-04T08:25:41Z
UgzDTDZIhjCSJVo9ZNp4AaABAg,,False,@영훈-z1q,민지 누나 예뻐요 😊❤,1,2024-05-02T14:03:29Z,2024-05-02T14:03:29Z
Ugw6Zn3xSi3L_q1SDXt4AaABAg,,False,@bottlef,내게 민지는 뉴진스를 알게 해준 멤버. 아직도 하입보이 민지 썸네일을 처음 봤던 날을 못잊겠어.....,2,2024-05-02T12:53:37Z,2024-05-02T12:53:37Z
UgzS16CpOuW-ZK1Z2Gt4AaABAg,,False,@sonaki666,민지 대단히 이쁘다,1,2024-05-02T10:35:53Z,2024-05-02T10:35:53Z
UgyAwiK3dze8pHGJ9dN4AaABAg,,False,@bibica0_o,the most beautiful person in the world,4,2024-05-01T21:38:42Z,2024-05-01T21:38:42Z
UgzbtZoxRRrwGYdoe8V4AaABAg,,False,@jeromebautista2708,NAPAKAGANDA,2,2024-05-01T16:25:52Z,2024-05-01T16:25:52Z
UgziBsUlBgr18j6tkmR4AaABAg,,False,@L00KT,ตกหลุมรักรอบที่ล้านนนนน🥰❤️✨,1,2024-05-01T15:34:16Z,2024-05-01T15:34:16Z
Ugysg4ndXetCy7yLMXV4AaABAg,,False,@KaiHink-n1h,너무 예쁘다❤😊,1,2024-05-01T01:39:42Z,2024-05-01T01:39:42Z
UgzwEyJBBDShIYX6Xhh4AaABAg,,False,@윰찌기,민지야~~이번에 팬된 언닌데 응원한당,1,2024-04-30T22:50:02Z,2024-04-30T22:50:02Z
Ugw7UTU9bLds9citGe54AaABAg,,False,@Seeunmiji,Wwwow,0,2024-04-30T15:59:56Z,2024-04-30T15:59:56Z
UgxO95VGEkgsO1XshZF4AaABAg,,False,@이스크라,"나의 최애이면서 내 아이의 아이돌이 사치품 브랜드 모델을 하지 않았으면 하는 바람은 욕심일까요..? 민지양의 인성과 열정, 아름다움은 이미 충분히 넘쳐서, 그 모든걸 보고 따라하려는 아이들에게 미칠 영향도 생각해줬으면 좋겠어요.",0,2024-04-27T11:30:46Z,2024-04-27T11:30:46Z
UgzEM7tqTP5JqKcFBMB4AaABAg,,False,@Chokodal,아이뻐,1,2024-04-27T08:58:54Z,2024-04-27T08:58:54Z
UgyvqW4OpM24FgaV9xt4AaABAg,,False,@miniralarian6317,Minji looks majestic and beautiful to me ❤❤❤,0,2024-04-26T20:22:48Z,2024-04-26T20:22:48Z
Ugz6NmAQmDQLTCyHVE14AaABAg,,False,@varamistudio2760,"la belleza de minji es simplemente irreal, wow",1,2024-04-26T16:54:22Z,2024-04-26T16:54:22Z
UgwDclTLyvElDIA2SGR4AaABAg,,False,@sunnyh7175,love her personality！,1,2024-04-26T16:43:39Z,2024-04-26T16:43:39Z
UgwSz5GdkglpNUGF4ip4AaABAg,,False,@Nemo-t5o,"민지야, 네 모든 걸 좋아해🩵💙",1,2024-04-26T13:30:18Z,2024-04-26T13:30:18Z
Ugxw9H1sPrK8NG8l5cB4AaABAg,,False,@ASFZ-zy1ro,تجننن هل بنت 🤭🤍,0,2024-04-25T22:33:04Z,2024-04-25T22:33:04Z
Ugy3DRI53tlaFY_Vsg94AaABAg,,False,@Outcryzcb,Minji yaa,0,2024-04-25T16:19:56Z,2024-04-25T16:19:56Z
Ugx4ZWPnPfiRI702fm54AaABAg,,False,@Radiya05,"Boycott min hee jin 
Vote all armys",0,2024-04-25T08:06:32Z,2024-04-25T08:06:32Z
UgxpNMZK_NN7XCpsmeZ4AaABAg,,False,@eden_cheeseu,Minji looks very classy,3,2024-04-25T04:39:18Z,2024-04-25T04:39:18Z
Ugx5TytavkHLALS_LHh4AaABAg,,False,@반희수-c1f,너무기여워느무기여워,1,2024-04-24T16:06:08Z,2024-04-24T16:06:08Z
UgzQbru7ubR5HaxrpqB4AaABAg,,False,@피파-n3c,민지 너무 사랑스러워❤❤❤❤❤😍😍,4,2024-04-24T10:16:54Z,2024-04-24T10:16:54Z
Ugw8Zgy-UNTsJYkAIwh4AaABAg,,False,@ENHYPEN_fan7,She is so pretty❤❤❤,8,2024-04-24T08:21:38Z,2024-04-24T08:21:38Z
Ugw8Zgy-UNTsJYkAIwh4AaABAg.A2bINgDjfF1A3HPNyyrZ9B,Ugw8Zgy-UNTsJYkAIwh4AaABAg,True,@mrstacyj9496,a beautiful young woman,0,2024-05-11T02:10:11Z,2024-05-11T02:10:11Z
UgxgHDgHWut0NiLcUY54AaABAg,,False,@mk77an,My bae,0,2024-04-23T16:36:56Z,2024-04-23T16:36:56Z
UgwIzBzCVXsLSBzyfNl4AaABAg,,False,@pekayellowflash7852,"""Love this BTS look, Minji! Your hard work pays off",2,2024-04-22T21:25:31Z,2024-04-22T21:25:31Z
UgwIzBzCVXsLSBzyfNl4AaABAg.A2YYVFiHFx2A2YZMsBVGx2,UgwIzBzCVXsLSBzyfNl4AaABAg,True,@pekayellowflash7852,"""Your pose is perfection Minji!""",0,2024-04-22T21:33:07Z,2024-04-22T21:33:07Z
Ugx67_QYe4kLQfJM9tV4AaABAg,,False,@midijena6053,beautiful girl,2,2024-04-22T15:40:23Z,2024-04-22T15:40:23Z
UgwsjBWZZU8bgATR4eh4AaABAg,,False,@nessa3663,Her speaking voice is my weakness 🫠,1,2024-04-22T04:08:00Z,2024-04-22T04:08:00Z
UgwaUJVNpP_-1NQ6KUB4AaABAg,,False,@nessa3663,She’s so bubbly and sweet 🥰,0,2024-04-22T04:07:42Z,2024-04-22T04:07:42Z
UgxfV9Y1F2ozrHciS_Z4AaABAg,,False,@nessa3663,Minji really loves NewJeans ❤,1,2024-04-22T04:07:26Z,2024-04-22T04:07:26Z
UgzcyJ5vHPZxmGU24jJ4AaABAg,,False,@nessa3663,I find so adorable how she’s wondering about her members whereabouts half the video 🥺,0,2024-04-22T04:06:18Z,2024-04-22T04:06:18Z
UgxIPUqcs2kwXlkaMN94AaABAg,,False,@nessa3663,Minji is gorgeous,1,2024-04-22T03:56:50Z,2024-04-22T03:56:50Z
Ugw4-VMS7syrRz9qcAh4AaABAg,,False,@Haerin_luv21,Minji is so beautiful,1,2024-04-20T20:26:32Z,2024-04-20T20:26:32Z
UgxJQZfmFRoO6W66-i94AaABAg,,False,@Freed.eric1994,Minji you look so cool! 😍,1,2024-04-20T16:48:59Z,2024-04-20T16:48:59Z
UgyWrWGtY3QVp5UWcxd4AaABAg,,False,@ミャクミャク希少種,本当に可愛すぎる,0,2024-04-20T16:10:32Z,2024-04-20T16:10:32Z
UgzmknZUhFsjRDYphhZ4AaABAg,,False,@kitten_cat327,"Ahhhh minji is soo pretty and elegant, she is perfect to be a model!!!I love you so much minji!!!",0,2024-04-20T14:45:18Z,2024-04-20T14:45:18Z
UgwuO7nAelneTKE_u654AaABAg,,False,@tfbssendurepotr,완전한 잘생김이랄까 .. 동시대를 살면서 이런 미인을 보게 되는 것도 행운인 듯,1,2024-04-20T07:09:47Z,2024-04-20T07:09:47Z
Ugxwc1wh_42b9_oJjyx4AaABAg,,False,@Urixx637,Lindaaa,1,2024-04-18T23:19:33Z,2024-04-18T23:19:33Z
