comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzWA-1Rsu_joxIUw-14AaABAg,,False,@zhangsmall1233,彩源沒有瀏海也是好可愛,1,2023-10-13T12:26:06Z,2023-10-13T12:26:06Z
UgwyhBY2jvwEXmcUPhZ4AaABAg,,False,@TszLongLee-d9k,這是什麼節目？,0,2023-10-06T23:50:33Z,2023-10-06T23:50:33Z
UgwyhBY2jvwEXmcUPhZ4AaABAg.9vYOuNc0MwL9zJmXionW_s,UgwyhBY2jvwEXmcUPhZ4AaABAg,True,@pledy,LE SSERAFIM的Day Off,0,2024-01-08T17:42:44Z,2024-01-08T17:42:44Z
UgwyhBY2jvwEXmcUPhZ4AaABAg.9vYOuNc0MwLA0g5R6VNvwq,UgwyhBY2jvwEXmcUPhZ4AaABAg,True,@Inmi636,https://youtu.be/PuE5tgJsimA?si=_62fANU0mq-Us3wz,0,2024-03-07T12:01:55Z,2024-03-07T12:01:55Z
Ugzg2Oak7mA-xOet64V4AaABAg,,False,@YOJIA0108,洪恩採……………………    麥克風很貴欸還不拆,1,2023-09-18T03:51:08Z,2023-09-18T03:51:07Z
UgwgI8HfqGs1MbHr0t14AaABAg,,False,@維尼好-q8w,恩採好可愛❤她玩的好開心,2,2023-08-29T16:42:36Z,2023-08-29T16:43:01Z
UgwVeNrf_kr9ZAQ7LId4AaABAg,,False,@iiivy_.0329,我相信採採是在幫舒華姐姐報嗨逼的仇,0,2023-08-29T02:09:46Z,2023-08-29T02:09:46Z
Ugy2OPupaILVzLXHOo94AaABAg,,False,@945-justin,開始期待下一集了😂,8,2023-08-25T00:45:06Z,2023-08-25T00:45:06Z
UgxdPPynHyOlekG2zxN4AaABAg,,False,@40Panda,最後大姐跟忙內做完壞事的小惡魔笑容 😈😈,26,2023-08-24T18:27:39Z,2023-08-24T18:28:08Z
UgyjYjNgl-04jYVFEUJ4AaABAg,,False,@mimikillua,罰她綁雙馬尾一個月😂,83,2023-08-24T14:46:41Z,2023-08-24T14:46:41Z
UgyQIubqbyqSy-X4Bsx4AaABAg,,False,@keroppi.q,這兩集真的超爆好笑🤣超級推薦大家去看😘😘,32,2023-08-24T14:20:31Z,2023-08-24T14:20:31Z
UgyQIubqbyqSy-X4Bsx4AaABAg.9tneUj_l_VT9vYOvfnzNXD,UgyQIubqbyqSy-X4Bsx4AaABAg,True,@TszLongLee-d9k,這是什麼節目？🙏🏼,0,2023-10-06T23:50:44Z,2023-10-06T23:50:44Z
UgyQIubqbyqSy-X4Bsx4AaABAg.9tneUj_l_VT9vaOCo1VAY4,UgyQIubqbyqSy-X4Bsx4AaABAg,True,@keroppi.q,@@TszLongLee-d9k le sserafim 的團綜喔💖,0,2023-10-08T03:42:11Z,2024-06-13T21:48:17Z
UgyQIubqbyqSy-X4Bsx4AaABAg.9tneUj_l_VT9wjQFVCLD0j,UgyQIubqbyqSy-X4Bsx4AaABAg,True,@cyz_sxh,@@TszLongLee-d9k 我也想問！,0,2023-11-05T12:24:35Z,2024-06-13T21:48:17Z
Ugxe1Vvqa_fEUH2Acs14AaABAg,,False,@7hxuny,mic：沒惹..😢,27,2023-08-24T14:12:57Z,2023-08-24T14:12:57Z
Ugxe1Vvqa_fEUH2Acs14AaABAg.9tndcLizaJb9u1Z4uAwOo1,Ugxe1Vvqa_fEUH2Acs14AaABAg,True,@LSF_Kura_520,mic:死而無憾！,1,2023-08-30T09:13:10Z,2023-08-30T09:13:09Z
UgwuO6vqd9OtP9-4hRp4AaABAg,,False,@zisosmsr,洪恩採 no mic out😂,45,2023-08-24T14:06:28Z,2023-08-24T14:06:28Z
UgxOqV0LaUadymzrfhB4AaABAg,,False,@moostse2508,所以mic out 是很重要的！不要再笑彩源了🤣🤣🤣,196,2023-08-24T14:04:25Z,2023-08-24T14:04:25Z
UgxOqV0LaUadymzrfhB4AaABAg.9tncdktO6JwA-saqX99zQW,UgxOqV0LaUadymzrfhB4AaABAg,True,@Miyeon-hk3qp,"是采源！
沒拿掉麥克風的是妹寶恩採😅",0,2024-02-16T12:04:38Z,2024-02-16T12:04:38Z
UgxOqV0LaUadymzrfhB4AaABAg.9tncdktO6JwA0RfgN9_Mls,UgxOqV0LaUadymzrfhB4AaABAg,True,@amber_hsin,@@Miyeon-hk3qp 他的意思應該是 如果說了mic out 妹寶說不定就不會忘記拿掉麥克風了😅😅😅😅😅😅,2,2024-03-01T12:19:36Z,2024-06-14T00:19:31Z
UgxOqV0LaUadymzrfhB4AaABAg.9tncdktO6JwA0RrWzlTYuS,UgxOqV0LaUadymzrfhB4AaABAg,True,@Miyeon-hk3qp,@@amber_hsin 哦～🤣,0,2024-03-01T14:03:03Z,2024-06-14T00:19:31Z
UgxOqV0LaUadymzrfhB4AaABAg.9tncdktO6JwA0RrZ8_mAR3,UgxOqV0LaUadymzrfhB4AaABAg,True,@Miyeon-hk3qp,@@amber_hsin 但打錯字🥹,0,2024-03-01T14:03:20Z,2024-06-14T00:19:31Z
UgxS_4RiD8rtG0uRJ0R4AaABAg,,False,@daydayvlog,恩採真的超好笑😂😂😂😂😂,71,2023-08-24T13:50:00Z,2023-08-24T13:50:00Z
UgxS_4RiD8rtG0uRJ0R4AaABAg.9tnb-GQ2MY19v9q65hYZTq,UgxS_4RiD8rtG0uRJ0R4AaABAg,True,@user-edison0724,小心刷到你夢裡找你麻煩,0,2023-09-27T10:55:57Z,2023-09-27T10:55:57Z
UgxS_4RiD8rtG0uRJ0R4AaABAg.9tnb-GQ2MY19vj--wmYDdH,UgxS_4RiD8rtG0uRJ0R4AaABAg,True,@papyrus4265,​@@user-edison0724意外的聽起來還不錯 (?,0,2023-10-11T11:55:08Z,2024-06-14T00:32:38Z
