comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugzmt6u_5WpSdc2JrlJ4AaABAg,,False,@Callmealsss,Chaewon drawing of that butterfly was cute<3 love her,0,2025-05-06T16:52:12Z,2025-05-06T16:52:12Z
UgxMy-I0FRf-_HByVb94AaABAg,,False,@yuanyou17,"My eyes are always drawn to Eunchae. She seems so independent and calm. At the same time, she's so cute and her visual's definitely ethereal 😍 My heart is happy watching her just be herself.",0,2025-04-30T09:53:36Z,2025-04-30T09:53:36Z
UgyoSTq2SVaSvX6E76F4AaABAg,,False,@xsh_err24,"""Circle to search "" 
MIYAWAKI SAKURA ,
2025  .",1,2025-04-25T14:42:04Z,2025-04-25T14:42:04Z
UgybNMyRdfHWA1PFkHd4AaABAg,,False,@mackingu,"Anyone notice that at 18:00 into the video, they started playing Deck the Halls as background music? 🎅🏻",1,2025-04-24T20:03:14Z,2025-04-24T20:03:14Z
UgyEDR36rtE8f2Kgttl4AaABAg,,False,@user-ik9sh8ve1q,27:51 everyones custom android bots were so cute..very artistic❤,1,2025-04-24T12:58:14Z,2025-04-24T12:58:14Z
UgyKEDpBL796r7m44fN4AaABAg,,False,@繩雨,"7:52
8:17 xd
9:52 xd",1,2025-04-23T01:59:08Z,2025-04-23T02:02:32Z
UgxLtNrynmtjOjDJw2Z4AaABAg,,False,@FFx120,"10:20 the way they end up with radish wrap(Chaewon) is so funny,lol",1,2025-04-20T14:46:04Z,2025-04-20T14:46:04Z
UgxbzUqJd-Xv8TtarYF4AaABAg,,False,@DanielAngelGalvan-jf5di,"Sakura ,defendiendo a las niñas, para que no perdan el juego!! Se pasan!! 😂😂😂😂👍💗💗💗💗💗",0,2025-04-14T09:55:36Z,2025-04-14T09:55:36Z
UgxIuNnq9Qu2sL7zEuB4AaABAg,,False,@힐링-g8p,얘들이 순둥순둥해,1,2025-03-31T08:45:55Z,2025-03-31T08:45:55Z
Ugwt-AmHXSA2ibFXedp4AaABAg,,False,@zxcvbnmasdfghj35cc70,아이고야... 스케쥴이 얼마나 타이트하면 저녁까지 먹고서 저기서 자지도 못하고 바로 엔딩찍고 올라가니..,0,2025-03-31T03:36:58Z,2025-03-31T03:36:58Z
Ugxv01WJT6xjb8Oqrg94AaABAg,,False,@대게먹을거야,❤❤❤,1,2025-03-25T12:44:47Z,2025-03-25T12:44:47Z
UgxX918OOcSImiN0NE14AaABAg,,False,@malcomk,I am changing to Samsung. Not because of circle to search but because of Lesserafim,0,2025-03-24T02:23:34Z,2025-03-24T02:23:34Z
UgyXyZbR8r-QnLxmr7l4AaABAg,,False,@kyo-tyan,ご飯作ってる時の咲良のビジュアルえぐい,0,2025-03-22T10:32:45Z,2025-03-22T10:32:45Z
UgzxMmbD70bdnz_xQbp4AaABAg,,False,@사모-e4z,시즌2까지는 그래도 참하고 얌전했던 즈하가 한국말 잘하게 되면서 점점 개구쟁이가 되는게 너무 귀여움ㅋㅋ,1,2025-02-13T15:46:56Z,2025-02-13T15:46:56Z
UgxEuVTtLbGiHF2fpOh4AaABAg,,False,@1008hyj,"Love it when they cook, now I’m hungry",1,2025-01-26T00:24:41Z,2025-01-26T00:24:41Z
Ugze9JPuXaK55KAJ7F94AaABAg,,False,@ash_moonchild,17:17 the lost child 😂 she's funny unintentionally,2,2025-01-22T13:26:56Z,2025-01-22T13:26:56Z
UgyMJdjNv0jPCrTTJ_d4AaABAg,,False,@loyalkaysana,29:04 the cute part,2,2025-01-15T07:55:59Z,2025-01-15T07:56:24Z
Ugx1Tv09pwBQQOwBmK54AaABAg,,False,@avanishranjit8204,Yunjin 🩷🩷🩷😭😭😭😂,1,2025-01-08T16:31:17Z,2025-01-08T16:31:17Z
UgzlE6OIVCJgFojWZ814AaABAg,,False,@Sarablink12,Para cuando una presentación en Colombia 🥺🇨🇴❤️?,1,2025-01-07T05:13:50Z,2025-01-07T05:13:50Z
UgzLk2oKIgp03zPziAh4AaABAg,,False,@Maryam-h3v1k,Yunjin❤zuha❤eunchae ❤,1,2025-01-06T22:44:19Z,2025-01-06T22:44:19Z
UgwAJ5zZwR3RMJM-6f94AaABAg,,False,@MrZattack101,decorating bugdroids lol,0,2025-01-06T11:17:25Z,2025-01-06T11:17:25Z
UgzbhglZ_5muyL7H9Sp4AaABAg,,False,@hhy7128,오늘 눈왔는데. 여긴 여름이라좋다❤,1,2025-01-05T05:49:25Z,2025-01-05T05:49:25Z
UgwR5e3TZepG72i5BrZ4AaABAg,,False,@GGININD-d4g,2:53POP POP POP😂😂😂,1,2025-01-05T02:50:15Z,2025-01-05T02:50:15Z
UgwtoGEHqV-Ihj5OeRR4AaABAg,,False,@meirperezpastor4454,I Want Leniverse In Machu Pichu,0,2024-12-31T04:59:17Z,2024-12-31T04:59:17Z
UgynU6TmtI0DK2bADzp4AaABAg,,False,@Yunjin-alex,텍사스에서 사랑을 보냅니다,1,2024-12-25T05:12:29Z,2024-12-25T05:12:29Z
UgymB-A5jrX8VQY7VMd4AaABAg,,False,@znd1znd2,우르르나오는거 댕웃기넼ㅋㅋㅋㅋㅋ,1,2024-12-22T15:09:27Z,2024-12-22T15:09:27Z
UgzqK6ZGLGQOigx6gO14AaABAg,,False,@victoriacen3401,Best episodes when they are happy playing forgetting about being idols  😂😂😂😂,1,2024-12-22T11:42:53Z,2024-12-22T11:42:53Z
UgwQ-h3qaB4JTlUK0Ft4AaABAg,,False,@Zuha-rw6pq,"I had never seen this episode of leniverse and I'm dying of laughter, I love Le sserafim so much, I had never loved a Kpop group, but they simply won my heart.",2,2024-12-15T01:19:23Z,2024-12-15T01:19:23Z
