comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxLw5WZZCupRJ-vnXJ4AaABAg,,False,@Arinn1e,I miss Bernice,0,2025-05-14T16:38:53Z,2025-05-14T16:38:53Z
UgwR8llL5YS_3ObhSsd4AaABAg,,False,@정서현-i9j,너희가하고싶은거 다해 혜인아 아직 미성년자인데도 잘 더텨줘서 고마워💜,0,2025-05-13T12:42:27Z,2025-05-13T12:42:27Z
Ugz40eXFMUJg6a_-jMt4AaABAg,,False,@Cherryhannal,"I hate hybe ,i love newjeans",0,2025-05-13T06:38:16Z,2025-05-13T06:38:16Z
Ugy7Q0fJuT0Wll18dOR4AaABAg,,False,@laetitiayun885,Le pape est des ile la mienne,0,2025-05-11T13:55:05Z,2025-05-11T13:55:05Z
Ugxf0UnWbCcb0iiqKyB4AaABAg,,False,@nasdaqbus,11:32 여기 왜이렇게 웃기지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이부분 애들 힘들어보여요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-05-11T02:33:15Z,2025-05-11T02:33:15Z
UgywphpH-yVM-bks7hB4AaABAg,,False,@돌로랜드,지금의 시간이 가장 소중할 거라 생각해. 너희들의 능력을 깊고 폭넓게 발전해 나갈 시간이라 생각해. 곧 볼 수 있길.,0,2025-05-10T12:27:08Z,2025-05-10T12:27:08Z
UgwSsZq0rvU65YdAv1t4AaABAg,,False,@Gailbnsy,I miss these girls,0,2025-05-10T02:43:10Z,2025-05-10T02:43:10Z
UgylqyyRRSrsgMi_4UR4AaABAg,,False,@Pinkgirl-r4u,Lol imagine what other kpop groups heard😂,0,2025-05-09T21:14:07Z,2025-05-09T21:14:07Z
UgxRL_YtsyIZZpyyN754AaABAg,,False,@mamamememoo,Just coming back for nostalgia. So sad that things have come to this.,0,2025-05-09T19:08:55Z,2025-05-09T19:08:55Z
UgxoJmEwJNc9hEMiKa94AaABAg,,False,@brocolee6118,One of my wishes of life is watching new jeans concert/performance on live..,1,2025-05-08T17:48:26Z,2025-05-08T17:48:26Z
Ugyy6g7E7Xf8K3Cr4WZ4AaABAg,,False,@shortsizzletv,제발 노래좀 나와주면..대체할 가수들이없는듯..,2,2025-05-05T08:17:37Z,2025-05-05T08:17:37Z
UgwuPeewqXXBaPAJwc14AaABAg,,False,@sayu.457,かわいい！,2,2025-05-04T12:09:50Z,2025-05-04T12:09:50Z
Ugww5lliuwh5si0kOB14AaABAg,,False,@funkpistol1470,just missing njz today. i really enjoy watching their house dance break,2,2025-05-02T18:53:12Z,2025-05-02T18:53:12Z
Ugy376l4LQ8ed0rUtWR4AaABAg,,False,@gabrielmoreirabr,"I miss you, NJ 🐰",1,2025-05-01T13:29:56Z,2025-05-01T13:29:56Z
UgyO3L4LWLoWsegAD8d4AaABAg,,False,@deniss-k3c,PANTALONAS LAS EXTRAÑO WOMMMM,3,2025-04-28T00:15:58Z,2025-04-28T00:15:58Z
UgzG6WZi3aGtlAJzERp4AaABAg,,False,@FrankPaco-c1q,this performance was dope,2,2025-04-27T17:53:45Z,2025-04-27T17:53:45Z
Ugw4hkFfgd0bCoOM18J4AaABAg,,False,@Siot-t7l,얘들아 지금이 너무 힘들어도 포기하지않고 밝은미래를 향해 달려가는 너희의 모습은 케이팝 역사에 기록될 엄청난 일이야 작은 파도들 때문에 자신이 큰 바다라는걸 잊지마렴 너희의 빛나는 청춘을 많은 사람들이 응원하고 있어 잘하고 있으니까 뒤돌아 보지말고 앞으로 나아가길,13,2025-04-24T16:21:26Z,2025-04-24T16:21:26Z
UgwGoRDYn7y1I1g5GRB4AaABAg,,False,@user-fo1rm5fo9w,"왜 굳이 힘든길로 갈까 이해 못하는건 아니지만 팬으로서는 마음이 아퍼 ㅠㅠ
좀 더 냉정하게 현실을 뵜으면 좋겠어..",1,2025-04-23T10:11:57Z,2025-04-23T10:11:57Z
UgxrPSWdD9GeX4X121h4AaABAg,,False,@5kro-u5o,NewJeans戻ってきて😢,4,2025-04-22T21:20:38Z,2025-04-22T21:20:38Z
Ugx0uS9Lo7WvNPK6C2Z4AaABAg,,False,@yoonchaeupdates,ever even when their not newjeans were stil going to remember them as ot5 NEWJEANS! ‼‼,2,2025-04-22T06:02:43Z,2025-04-22T06:02:43Z
Ugw_SompQQMif0M8vc14AaABAg,,False,@쉐끼루x2,혜인이 보고싶다,4,2025-04-21T17:38:14Z,2025-04-21T17:38:14Z
UgxlTjlgtddVgu3EcJJ4AaABAg,,False,@skoh7424,결국 짭진스에서 뒤진스가 되었구나... 에휴~~,0,2025-04-21T11:19:30Z,2025-04-21T11:19:30Z
UgxlTjlgtddVgu3EcJJ4AaABAg.AHAjV9654GcAHhdC2ENSZh,UgxlTjlgtddVgu3EcJJ4AaABAg,True,@웨이노,"뒤짐ㅅ,ㅇ ㅈㄹㅋㅋ",0,2025-05-04T15:18:38Z,2025-05-04T15:18:38Z
UgyUSiK87cQayzUSmXV4AaABAg,,False,@민지-b7p,디엘이엇구요 모지헤 가 해요,0,2025-04-18T13:04:12Z,2025-04-18T13:04:12Z
UgyUSiK87cQayzUSmXV4AaABAg.AH3C5Ucr_qsAH3C6rrK0Sc,UgyUSiK87cQayzUSmXV4AaABAg,True,@민지-b7p,ㅏㅏㅏㅏㄱ,1,2025-04-18T13:04:24Z,2025-04-18T13:04:24Z
UgyUSiK87cQayzUSmXV4AaABAg.AH3C5Ucr_qsAH3CBZZdH4D,UgyUSiK87cQayzUSmXV4AaABAg,True,@민지-b7p,착한거다,1,2025-04-18T13:05:02Z,2025-04-18T13:05:02Z
UgzoVU-ZHTxnFTjKYL54AaABAg,,False,@Dudneh2h,니들은 진짜 인생이 힘든거구나를 느껴봐야 그동안이 똥인지 된장인지 구분할거다,0,2025-04-18T01:05:25Z,2025-04-18T01:05:25Z
UgzoVU-ZHTxnFTjKYL54AaABAg.AH1upwIcOyBAHhdInG1V7u,UgzoVU-ZHTxnFTjKYL54AaABAg,True,@웨이노,알아서하것지~ㅋㅋ 니 똥 된장 구분이나,0,2025-05-04T15:19:33Z,2025-05-04T15:19:33Z
UgzKFEhe34YNG0pDvX14AaABAg,,False,@laetitiayun885,Je veux un zelensky,0,2025-04-16T08:21:21Z,2025-04-16T08:21:21Z
UgyR0WrpCcnhPA6WucN4AaABAg,,False,@laetitiayun885,Je sais peut-être trouver un jour oui,0,2025-04-16T08:21:06Z,2025-04-16T08:21:06Z
UgzJ8LODQMvc3deYemB4AaABAg,,False,@laetitiayun885,Perso mon rêve un monde où jungkook verra c’est rêve  et pour moi je veux un soldat grand coeur,0,2025-04-16T08:20:44Z,2025-04-16T08:20:44Z
UgwgEmeqL-HqX6LGaHh4AaABAg,,False,@laetitiayun885,Jungkook pourquoi aucune peine amende,0,2025-04-16T07:59:56Z,2025-04-16T07:59:56Z
UgyBwrCiGThT1cK-hzN4AaABAg,,False,@laetitiayun885,Courage,0,2025-04-16T07:57:51Z,2025-04-16T07:57:51Z
UgwVKVLo3mliMy_va4R4AaABAg,,False,@laetitiayun885,Je veux commenter la,0,2025-04-16T07:57:41Z,2025-04-16T07:57:41Z
Ugy29EiizdOXA9eVZrp4AaABAg,,False,@민지-b7p,2 200 ㅁㅈ 응.,1,2025-04-15T08:55:52Z,2025-04-15T08:55:52Z
UgwsvlJzR_i4x4VDFFR4AaABAg,,False,@Ariiariiariiyuu,i Miss them😢,4,2025-04-14T13:11:30Z,2025-04-14T13:11:30Z
UgwjbncnYhpalJbK5zJ4AaABAg,,False,@mwalkerl,Gosh do I miss them.  I pray that their fight against the entrenched kpop industry and its disproportionate and draconian contracts will make the lives and well-being of the idols to come after be more reasonable,3,2025-04-14T04:58:03Z,2025-04-14T04:58:03Z
UgwjbncnYhpalJbK5zJ4AaABAg.AGt1HE0saYYAGt1ghY7tTi,UgwjbncnYhpalJbK5zJ4AaABAg,True,@mwalkerl,Even if they were misguided and misled. The direction is true,0,2025-04-14T05:01:40Z,2025-04-14T05:01:40Z
Ugx9tH6D1Jkc_bIub7l4AaABAg,,False,@컨실e,"뉴진스.항상.필이.소름돋음.
차원이.다름.이런.개성이.뚜렷함.",3,2025-04-12T11:44:59Z,2025-04-12T11:44:59Z
UgyhlukXGTQH8OoIlzt4AaABAg,,False,@durgamajhi3150,❤,1,2025-04-10T13:22:47Z,2025-04-10T13:22:47Z
Ugz9HZhstJV96yRAEn54AaABAg,,False,@muhdfahim2966,HAERINNNNNNNNNNNNNN,0,2025-04-08T19:05:03Z,2025-04-08T19:05:03Z
UgxC-Ci7haZyogfk-od4AaABAg,,False,@파란시민,"#케이팝_브로커_안성일_민희진_퇴출
#삼프티_뉴진스_퇴출
#뉴피트_퇴출",0,2025-04-08T16:08:12Z,2025-04-08T16:08:12Z
UgwAGE_m-jJFC6Uo5wB4AaABAg,,False,@cho2726,댓글 관리 안되는거 봐라 어휴 팬튜브 보다 못하는 소속사 관리..,5,2025-04-08T05:54:10Z,2025-04-08T05:54:10Z
Ugy9k7oL2eLm2AeLwNJ4AaABAg,,False,@태희김-x2r,유진 스  멤버 여러분 변호사에서 줬다고 슬퍼하지 마요 사람들은 다 한번 떨어지고 다시 크게 일어나요 그러니까 활동 중단하지 마세요,0,2025-04-07T23:07:32Z,2025-04-07T23:07:32Z
UgzosyP6ktYPWTWnZg14AaABAg,,False,@IluvwooonhakSKKKKR,No one will ever make me hate NewJeans.,2,2025-04-07T22:23:10Z,2025-04-07T22:23:10Z
UgzplILKbBpb7MKjKbV4AaABAg,,False,@JosuexxG,I miss you NewJeans,3,2025-04-07T06:46:30Z,2025-04-07T06:46:30Z
UgzBUblUHUUQlALjZRx4AaABAg,,False,@coco-zx9iw,NJZ never dies 🐰💜💙💚💛💖,3,2025-04-06T17:39:43Z,2025-04-06T17:50:40Z
UgxkTMxDllXnvxyVls54AaABAg,,False,@babsuasd-gt3ol,그 와중에 하이브사옥 연습실은 또 야무지게 이용했었노ㅋㅋㅋ 양심진짜없다 얘넨,2,2025-04-06T04:59:07Z,2025-04-06T04:59:07Z
UgzpZwbKsFWhMO6oyqB4AaABAg,,False,@tiramisya,💙💙💙💙💙💙💙💙💙💙,2,2025-04-06T03:04:56Z,2025-04-06T03:04:56Z
UgwB2YUmgEK8ivH6huN4AaABAg,,False,@長澤征範,"事務所の顔が立ち、問題が解決し、
何よりも、あなたがたの
望む形の幸せな人生でありますように。",0,2025-04-05T07:53:51Z,2025-04-05T07:53:51Z
UgwyybEbdfYoFp0wFZd4AaABAg,,False,@화산고-s6z,뉴진스 누나들 음악 최고예요! ❤(7살 이안이가),0,2025-04-04T12:30:30Z,2025-04-04T12:30:30Z
Ugy0Y3kSsfZTJ7MyB3V4AaABAg,,False,@rere.s,I love them,1,2025-04-04T02:16:44Z,2025-04-04T02:16:44Z
Ugz-0uao3HuxPreYOX54AaABAg,,False,@Dhytfhkhfdssxv,"어떻게 지들 기분 뒤틀린다고 해외나가 우리나라가 이뤄놓은 문화를 욕하는 무지한 그룹.
이렇게 이루기까지 노력했던 이 분야의 모든 사람들을 욕보인 만행들. 그동안 응원했던 내가 한심하다",2,2025-04-04T00:56:21Z,2025-04-04T00:56:21Z
UgxbOzx5XZG4YZj5aiJ4AaABAg,,False,@tyutyu4244,혐한세력 척결❤,0,2025-04-03T15:50:37Z,2025-04-03T15:50:37Z
Ugzjtc_Dq9iaffaj9Sp4AaABAg,,False,@CHICO-u2y,これイヤホンで聴いたらえぐかった,1,2025-03-31T07:38:25Z,2025-03-31T07:38:25Z
UgyE8_dmeDEqYZwdjcl4AaABAg,,False,@쭌-v8x,"기자 : 니네 진짜 ㅈ될 수도 있는데 괜찮은거야?
뉴진스 : 알빠야~?",2,2025-03-30T07:29:12Z,2025-03-30T07:29:12Z
UgzWnq3Mr-8dC0mFk2F4AaABAg,,False,@maynunal,they set a new standard on how not to take crap from anybody...including a company!!!,2,2025-03-30T04:51:17Z,2025-03-30T04:51:17Z
UgzWnq3Mr-8dC0mFk2F4AaABAg.AGHO_XYKVFPAH69GuReumX,UgzWnq3Mr-8dC0mFk2F4AaABAg,True,@quid2616,they are crap themselves,0,2025-04-19T16:37:16Z,2025-04-19T16:37:16Z
UgzWnq3Mr-8dC0mFk2F4AaABAg.AGHO_XYKVFPAH99B3dMjyF,UgzWnq3Mr-8dC0mFk2F4AaABAg,True,@phuongdo-og4ie,@quid2616 golden crap,0,2025-04-20T20:34:12Z,2025-04-20T20:34:12Z
UgwdLWnUjilwV0JfNZp4AaABAg,,False,@maynunal,they are too powerful to just disappear .....,2,2025-03-30T04:50:23Z,2025-03-30T04:50:23Z
UgwNmjlAc_gBonoOsvR4AaABAg,,False,@momomoni-j1i,"힘내..인생은 있쟎아 길면 길고 짧으면 짧단다
이게 끝이 아니야 
그 누군가는 긴줄 알고 웃겠지만 짧다는 걸 모르고 왕처럼 굴림한단다
너희는 길게 보고 지금 못한다고 속상해 할 필요도 없고 인생 안 끝난단다.
누가 뭐래도 너희는 뉴진스였으니까 그리고
미래를 준비하렴
29년? 금방 가고 
그때까지 차곡차곡 반격과 복수를 쌓아 올리며 
너희의 의무와 권리를 잘 이용해 가는 게 좋지않을까 하는 생각이란다. 
힘내렴~ 다시 싸워 이겨내렴~~ 항상 꽃바람만 불지도 않고 항상 비바람만 불지도 않으니까
너희를 그대로 내버려 두지않을 거야 그렇게 생각이 든다 왠지",1,2025-03-30T03:48:34Z,2025-03-30T03:49:26Z
UgwkjYX-bnz5PKeRPNJ4AaABAg,,False,@jedunboxing4127,im the English comment you've been looking for hahaha,2,2025-03-29T16:21:58Z,2025-03-29T16:21:58Z
Ugzhz70Drsacp0GxZ454AaABAg,,False,@최효은-d7l,뉴진스는 건강한 인식을 가진 아이돌팀으로 센스와 여러 감각을 가진 존재들이 될 수 있도록 옆에서 함께한 민희진 대표와 따로 길을 걷는다는 건 말도 안돼는 일이지. 참 계약 계약 거리는데. 창작에 도움안되는 하이브 귀속 어도어에 있는 건 법적 효력이 어떻던간 이 창작자들에게 안좋은 상황이다. 뉴진스 혼자 창작하냐 라는 말 하는 사람들은 웃긴게.. 뉴진스 친구들이 혼자 창작해왔다고 생각해서 이렇게 선택한게 아니라 귀중하고 소중한 사람들과 함께 해야 좋은 작품이 나온다는 걸 알아서 이런 선택을 한거야. 이 썩어 늙어빠진 자본주의 괴물들아.,5,2025-03-28T17:04:36Z,2025-03-28T17:04:36Z
