comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugz0QH_SA4jDNnKHaqd4AaABAg,,False,@jorgechucolaureano458,❤❤❤❤❤❤,0,2025-05-07T20:08:22Z,2025-05-07T20:08:22Z
UgzK1cvh06VSlMuOuZF4AaABAg,,False,@MiamiLive,アルバイト体験　流石にバイトはしたことないよね、,0,2025-05-07T02:30:41Z,2025-05-07T02:30:41Z
UgxRsRyZq56E0rbFiUR4AaABAg,,False,@Education4future09,배추는 피부에 좋습니다 독일연구결과,0,2025-05-04T21:26:36Z,2025-05-04T21:26:36Z
UgwpeyVkZM_RBV8jgWp4AaABAg,,False,@알파구구,카즈하 진짜 이쁘다ㅠㅠ,5,2025-04-22T11:03:46Z,2025-04-22T11:03:46Z
UgztY9mox1qIWnwR6Hh4AaABAg,,False,@謝福成-i8b,kazuha😙😙,0,2025-04-17T14:57:38Z,2025-04-17T14:57:38Z
UgxjZCnvKr0eVOG4FGh4AaABAg,,False,@MominButt-ke2fj,Why they're all so look alike 😭😅,0,2025-04-15T07:03:51Z,2025-04-15T07:03:51Z
UgzHtQ07RXEJ0gC1HGh4AaABAg,,False,@LifehelfTV,왜 잘추는데요 ㅎㅎ,0,2025-04-13T05:33:26Z,2025-04-13T05:33:26Z
UgwcNpItBzraMYkgaIl4AaABAg,,False,@PhiVaGoo,❤,1,2025-04-02T09:21:13Z,2025-04-02T09:21:13Z
UgxnmRH4Q9114FOfQQZ4AaABAg,,False,@matteohenryyi6189,사꾸라는 완벽해 착하고 이쁘고 겸손하고 자본주의같이 선진국답워,0,2025-03-31T02:08:49Z,2025-03-31T02:08:49Z
UgzucyPH9gpFXNgMvm94AaABAg,,False,@recaei,Love you too baby boy I think it is si and you can come over to see the rain in a few minutes and I think I can do the rain ❤,0,2025-03-30T00:35:32Z,2025-03-30T00:35:32Z
UgwCv1TBMxE1KJUlwUh4AaABAg,,False,@StephenHoward-l2w,They are great ❤❤❤,0,2025-03-26T18:03:44Z,2025-03-26T18:03:44Z
UgwvXewG7c3BEN7qEt14AaABAg,,False,@ねぎまるまる,"今思ったけどサクラってめっちゃ成長したよね
ダンス力もだけどルセラ最初はかっこいい系だったけど今では雰囲気が変わったおかげで今の雰囲気の方のサクラが美しすぎて好き
そして私の推しカズハは相変わらず美しい
顔ちっっさ、、、",1,2025-03-25T21:37:51Z,2025-03-25T21:40:53Z
Ugz_6y13243EOcKJNcd4AaABAg,,False,@seungberryenstayyyyy,Zuha looks so pretty in the casual outfit and her hair ✨✨,0,2025-03-24T10:52:28Z,2025-03-24T10:52:28Z
UgxvIKwpHqfLXJiyFod4AaABAg,,False,@폴스미스-s7c,장성규쓰레기랑놀지마,2,2025-03-23T03:41:16Z,2025-03-23T03:41:16Z
UgzBnNzdiBiDaDE58SN4AaABAg,,False,@KittiKatPOP,❤❤,0,2025-03-22T19:10:26Z,2025-03-22T19:10:26Z
UgyHe_ed0RdnK0WQqsV4AaABAg,,False,@이호병-c1b,아 마지막 성규옹 치명적인척 HOT받넼ㅋㅋㅋㅋ,0,2025-03-21T11:17:38Z,2025-03-21T11:17:38Z
Ugw-lvI4Kc1ce9y5OLd4AaABAg,,False,@越す模す,サクラキレイになった？😊,0,2025-03-20T06:33:57Z,2025-03-20T06:33:57Z
Ugyx_IUsHMOQD6VsGlF4AaABAg,,False,@Universe_99999,Sakura and Kazuha are too cute and sweet ❤❤,0,2025-03-19T04:57:59Z,2025-03-19T04:57:59Z
UgzOiBk_gfpSdwynw1N4AaABAg,,False,@Bhabanglfc3a,"𝐠achor bg𝙩, m𝐚in d𝙞 D𝑂𝘙А7𝟽",0,2025-03-18T15:13:14Z,2025-03-18T15:13:14Z
Ugz70yExqB1RzHwov6N4AaABAg,,False,@Bheartm3llm,D𝘖𝐑A7𝟽 b𝘦neran maxwi𝐧 te𝙧us,0,2025-03-18T15:12:31Z,2025-03-18T15:12:31Z
UgwukZK2GzDAXuJk4lh4AaABAg,,False,@Bintoroamafl,"Maіn di D𝘖𝙍A𝟽𝟩, mekswi𝘯 u𝙙ah 𝐚uto gas",0,2025-03-18T15:12:21Z,2025-03-18T15:12:21Z
Ugz0GgAspTi5R5sPuht4AaABAg,,False,@Bilafasaf,"gachor bangеt d𝘪 𝐷O𝑅A𝟽𝟳, langsung je𝐩ey",0,2025-03-18T15:12:21Z,2025-03-18T15:12:21Z
UgwtVA4rOYlW2m1LZuJ4AaABAg,,False,@Bng4llml,"𝘿𝘖𝑅А7𝟳 𝐠acor poⅼ, j𝙙 nagih",0,2025-03-18T15:12:18Z,2025-03-18T15:12:18Z
UgwKfDs1lAvjxljhOCV4AaABAg,,False,@Bogiacam34,j𝐞pey la𝐧gsung maіn 𝙙i D𝑂𝘙𝐀𝟽𝟩,0,2025-03-18T15:12:18Z,2025-03-18T15:12:18Z
Ugw6GKHv1G-5oi2TPAR4AaABAg,,False,@Blasczkowskyclfss,"S𝘪tus κaya D𝑂𝑅𝐴77 𝐭uh lan𝘨ka, dе 𝙥o r𝐞ceh bi𝐬a jadi kay𝘢",0,2025-03-18T15:12:17Z,2025-03-18T15:12:17Z
UgwHMTayTT6pDVhgLJp4AaABAg,,False,@Bolil3ls4,Ba𝘳u мain lang𝐬ung max𝘸in d𝙞 𝘋𝘖R𝘼𝟩𝟩,0,2025-03-18T15:12:15Z,2025-03-18T15:12:15Z
UgwYfkifYtIgOo5h91Z4AaABAg,,False,@Blinkdmddc,"Depo CEP𝙀K, langsυng meks𝘸in di 𝐷ОR𝘈𝟽𝟩",0,2025-03-18T15:12:14Z,2025-03-18T15:12:14Z
UgwEbFEF34W8CvP2p4B4AaABAg,,False,@Bolo34dms,"Dar𝘪 peгtama maiп sampe 𝐬krg, ԁi 𝐷𝙊𝘙𝘼𝟽7 ɡa pern𝐚h zоnk",0,2025-03-18T15:12:13Z,2025-03-18T15:12:13Z
UgxKc-18o8OjUar4t5F4AaABAg,,False,@taekook_forever-iy7nv,TO MUCH BEAUTIFUL GIRLS ❤❤❤❤❤❤,0,2025-03-18T10:53:56Z,2025-03-18T10:53:56Z
UgwDd9z7OV7c2nLGfgl4AaABAg,,False,@luv_le_sserafim,아 킹받아,0,2025-03-18T06:52:21Z,2025-03-18T06:52:21Z
UgwmXtwByrw7GSNXzml4AaABAg,,False,@KenasaRoslet,Also it's just that ur too cute ❤❤❤❤❤❤,0,2025-03-18T04:43:46Z,2025-03-18T04:43:46Z
UgyjfOEvyD2ANdjAaLx4AaABAg,,False,@KenasaRoslet,Also it's just that ur too cute ❤❤❤❤❤❤,0,2025-03-18T04:43:12Z,2025-03-18T04:43:12Z
Ugx_4svZAlb7cyubHSB4AaABAg,,False,@KenasaRoslet,Hey sakura can u dance hot challenge with a male kpop idol,0,2025-03-18T04:42:24Z,2025-03-18T04:42:24Z
UgzZJQ4ZnFbkSki8ghp4AaABAg,,False,@おいしい菜,🌸🍒💕さくら,0,2025-03-18T00:49:20Z,2025-03-18T00:49:20Z
UgwB41VaQXq2pWohhQd4AaABAg,,False,@heechile,Help I thought zuha was liz from IVE for a second 😭 she's soo pretty in blonde hair ❤,0,2025-03-17T15:40:55Z,2025-03-17T15:40:55Z
UgyLP9unUU3cvMQ2yGN4AaABAg,,False,@rafaellaৎ,SAKURA LINDAAA,0,2025-03-17T14:52:16Z,2025-03-17T14:52:16Z
UgxPa1ZVt_HqMNqXMEF4AaABAg,,False,@rafaellaৎ,LINDOOSS,0,2025-03-17T14:52:09Z,2025-03-17T14:52:09Z
UgzUC6Lj6Ufh3LT8nzJ4AaABAg,,False,@ガンダムおもちゃんねる,ソウルの？魂ネイション？,0,2025-03-17T13:51:09Z,2025-03-17T13:51:09Z
Ugwzue1XIh3vdtO8QUp4AaABAg,,False,@SteveLewis-o7m,"Just love the knee high white socks, so cute looking xx",0,2025-03-17T12:46:31Z,2025-03-17T12:46:31Z
UgxM7sDcnNUHAmMxFU14AaABAg,,False,@TheTribler,Hot and Almond Chocolate dance challenge with ILLIT please~ 🙏🥺,1,2025-03-17T10:42:49Z,2025-03-17T10:42:49Z
UgyEcgr6910PWvcaKWN4AaABAg,,False,@イトウミサキ-o1m,さくら可愛すぎる❤,40,2025-03-17T08:46:13Z,2025-03-17T08:46:13Z
Ugx1C6GhF8Wyp2tStU14AaABAg,,False,@Zuzuming89,꽃잎즈가 좋아요💙,0,2025-03-17T08:45:04Z,2025-03-17T08:45:04Z
UgwxXe_QEk-kWAHx5714AaABAg,,False,@しっぽ-u2w,かわいい😻,12,2025-03-17T08:01:31Z,2025-03-17T08:01:31Z
