comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzVMCK1kTDmPbNg5kp4AaABAg,,False,@firstrunnerup1675,"i really miss my early years of stanning TWICE... like i can still remember those vivid memories of blissful innocent wacky and morning bright light feeling of stanning them, gosh what a memory.",0,2025-05-13T11:07:37Z,2025-05-13T11:07:37Z
UgyMpGAmrnS7QwDg2gF4AaABAg,,False,@juanmurillo5435,Solo vine por mina en el minuto 2:50 JAJAJAJAJAJ,0,2025-05-12T04:54:14Z,2025-05-12T04:54:14Z
UgzkGAiSDqQIYbgjV5h4AaABAg,,False,@Lian-jn7knk,Who here in 2025 ?,1,2025-05-11T02:33:33Z,2025-05-11T02:33:33Z
UgzTmJsHwDXqw89Emj14AaABAg,,False,@RominasaraaiRamerez,"안녕하세요 두 번, 인사를 전해주시길 바랍니다. 저는 멕시코 출신이에요 🇰🇷",0,2025-05-10T18:54:49Z,2025-05-10T18:54:49Z
UgxyB9nW7vYl6fg-bMB4AaABAg,,False,@Lu.seung-hyun._vigevani,Shy shy shy shy,0,2025-05-10T18:43:30Z,2025-05-10T18:43:30Z
Ugy8ySNHxuPZSww8yud4AaABAg,,False,@조용준jfhuieh,와 진짜 지효누나 예쁜데 ❤❤❤,0,2025-05-09T07:17:02Z,2025-05-09T07:17:02Z
UgyX4dhkYY0Ya92jNK94AaABAg,,False,@LissangePV,"May, 2025 ❤",1,2025-05-03T15:54:25Z,2025-05-03T15:54:25Z
UgyZ-4pfj0QGaxEVGkJ4AaABAg,,False,@ZahraaWeli-b8x,Who is in 2025🎉❤❤❤,1,2025-05-02T15:40:01Z,2025-05-02T15:40:01Z
UgwwYNNqhUbQHLigZLp4AaABAg,,False,@chiokatt,9 YEARS !!!,0,2025-05-01T22:35:27Z,2025-05-01T22:35:27Z
UgyC2ltefRv7ILtI0At4AaABAg,,False,@MayYoo-ug4xu,TWICE forever,1,2025-05-01T02:07:36Z,2025-05-01T02:07:36Z
