comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugzg_2XJry8nt9At53l4AaABAg,,False,@JoeyYarpaz,EXCELENTE SU VOZ ES GRANDIOSA 🎉,1,2025-05-11T00:36:37Z,2025-05-11T00:36:37Z
Ugy7hfxfzktDX8pM6qJ4AaABAg,,False,@prettyxiaojunstream4363,one of his best covers!,1,2025-04-27T12:01:33Z,2025-04-27T12:01:33Z
Ugz4MZhWI-bXbFntr3t4AaABAg,,False,@ruthclark8680,Xiaojun fills my heart when he sings,0,2025-04-21T14:53:17Z,2025-04-21T14:53:17Z
UgyEl3V33YJ-Rgaepwl4AaABAg,,False,@LuziandrapereirFreitas,I love you xiaojun,0,2025-04-21T05:58:26Z,2025-04-21T05:58:26Z
UgxxrNLunF_OL9RXiJ14AaABAg,,False,@요미-x1q,종종 찾아와서 듣게 되는 노래,0,2025-04-20T16:34:35Z,2025-04-20T16:34:35Z
UgwFTl1HL1IhkVTJ4lp4AaABAg,,False,@AstrinaLyra,kaka inlove,4,2025-04-12T14:39:46Z,2025-04-12T14:39:46Z
UgzaKHjM74lRxY1OLIZ4AaABAg,,False,@SUIKA799,홀리,5,2025-03-03T17:14:00Z,2025-03-03T17:14:00Z
UgwCQC6AP9Fi8S1esZt4AaABAg,,False,@MaedaRiku-j7h,Dejunnn,5,2025-02-18T09:40:09Z,2025-02-18T09:40:09Z
UgxHacjrxiITBlgE4rF4AaABAg,,False,@dayeshkk,"such a soft and healing voice 💕 i adore you, xiao dejun",5,2025-02-16T14:39:41Z,2025-02-16T14:39:41Z
UgztjxFGA5A3X2nQOEl4AaABAg,,False,@malikadifa9721,love his vocal so much,5,2025-02-07T10:35:53Z,2025-02-07T10:35:53Z
UgwEnq6e9ogUZeKt2l14AaABAg,,False,@betababy66115,"Ka-Kui is 5'8"" I saw a lookalike in my former college.",2,2025-02-05T12:33:35Z,2025-02-05T12:33:35Z
UgzItRfmM8SZfq0gGJl4AaABAg,,False,@betababy66115,Ka-Kui somehow makes the song sad but Dejun makes it hopeful.,1,2025-02-05T04:11:30Z,2025-02-05T04:11:30Z
UgxE-3Mu72PlN7G_qaN4AaABAg,,False,@LauraAf-d3d,Xiaojun I always happy when I hear your voice,4,2025-01-27T01:38:17Z,2025-01-27T01:38:17Z
UgwTfazOy8xDIlv-Yft4AaABAg,,False,@방토-b1r,너무 좋음,5,2025-01-23T17:43:04Z,2025-01-23T17:43:04Z
UgwsI_E0IVuiVdb_yEV4AaABAg,,False,@loseweightordie2025,You are not 31 Dejun!,1,2025-01-16T16:13:02Z,2025-01-16T16:13:02Z
UgyTKjZoFvLAfJK0EHF4AaABAg,,False,@angelMeNme,👏🥰,2,2025-01-07T17:03:52Z,2025-01-07T17:03:52Z
Ugyr_hz8qlaivBWlqNt4AaABAg,,False,@yijinmi,❤❤❤want to cry,3,2024-12-20T12:44:41Z,2024-12-20T12:44:41Z
Ugw9dKdy92e52kKOTrd4AaABAg,,False,@FuccgirlIrene,just me being inlove for xiaojun everydayyyy,6,2024-12-12T13:36:29Z,2024-12-12T13:36:29Z
