comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzgxDdGfQWyyYMFQtF4AaABAg,,False,@이어야-t1u,손나은 옷정보좀......,0,2025-05-05T00:32:16Z,2025-05-05T00:32:16Z
UgyiGfuhu1F_Wy8xEOp4AaABAg,,False,@뇽an-y,손낭니 사랑해,1,2025-05-01T13:46:45Z,2025-05-01T13:46:45Z
UgwhOe3ot2PSeFNPy-h4AaABAg,,False,@cvvshb5410,"나은이 챌린지도 찍어주는 사람이었구나~~
몰랐네",1,2025-04-23T11:34:37Z,2025-04-23T11:34:37Z
Ugz4vKB0KuXDF9k2oRV4AaABAg,,False,@권다-d7m,"손나이쁘다 진짜,,",1,2025-03-29T08:58:12Z,2025-03-29T08:58:12Z
UgzjRb3fDLouPsFrHDN4AaABAg,,False,@JulianaExoNaeunBts,I want to see Naeun eonnie interaction with other seventeen members🥹,1,2025-03-27T12:10:52Z,2025-03-27T12:11:01Z
Ugw6f8j3II045wHc80h4AaABAg,,False,@JulianaExoNaeunBts,I really love their friendship❤❤❤,0,2025-03-27T12:09:13Z,2025-03-27T12:09:13Z
UgzuYEQsOeyDW-KqiYF4AaABAg,,False,@maingo318,❤❤❤❤son nauen,0,2025-02-02T10:43:03Z,2025-02-02T10:43:03Z
UgwkNCP3fW49yV4riWV4AaABAg,,False,@지우지우-l3v,"저 해외 와서 손나은 아버지 만남요 
어떤분이 아빠한테 골프 아빠가 왕년에 프로여서 
물어봤는데 아빠레요",0,2025-01-30T14:24:54Z,2025-01-30T14:24:54Z
UgyQBoz12x_htGwoiBV4AaABAg,,False,@YVESN1NG,حبيبتيييي 💕💕💕,1,2025-01-13T12:20:32Z,2025-01-13T12:20:32Z
UgwYLFgLKakWTlSsXt54AaABAg,,False,@LelyBenigno,🥰🫶🏽💛🐯💛🫶🏽,1,2025-01-12T03:30:41Z,2025-01-12T03:30:41Z
UgybSINUeNOCzQckyNB4AaABAg,,False,@nurulsyifa12,😻😻,0,2025-01-09T12:06:12Z,2025-01-09T12:06:12Z
UgxgmbdgJ3gtim7pOkJ4AaABAg,,False,@sunflowersandroses2521,The girlfriend of his friend lee soohyuk😂,2,2024-12-11T23:00:08Z,2024-12-11T23:00:08Z
Ugz3SSJTe7esd_j2MFN4AaABAg,,False,@gabbyb.4313,Naeun is so so cute,3,2024-12-10T14:38:46Z,2024-12-10T14:38:46Z
UgyVqTdxVb7q_09BqEF4AaABAg,,False,@mousmisonkar7402,Hosi always so cuteeeiiii cool 😎 🐯,1,2024-12-05T21:08:57Z,2024-12-05T21:08:57Z
UgyuNNtW7iyVA6H9kYF4AaABAg,,False,@SolaisJustSola.,My seventeenpink crumbs 😭💗💗💗💗💗,0,2024-12-05T14:51:31Z,2024-12-05T14:51:31Z
