comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzMBqsgWDLPu3QAaFN4AaABAg,,False,@Ju.lizeari,liz..!❤,1,2025-04-05T08:05:24Z,2025-04-05T08:05:24Z
UgzU-g7pb_Mqu790IGJ4AaABAg,,False,@wdr4599,가을이가 처음부터 끝까지 행복해해서 기쁨,0,2025-03-15T07:23:15Z,2025-03-15T07:23:15Z
UgwyHgF9XmG9FpEecQZ4AaABAg,,False,@SaintMilitant,Where can I watch this,0,2025-03-08T23:16:48Z,2025-03-08T23:16:48Z
Ugz01niwnOhUKSw7uo14AaABAg,,False,@음-v1n,타팬인데 자컨은 아이브가 젤 재밋음..,1,2025-02-14T13:23:12Z,2025-02-14T13:23:12Z
Ugxt9nepOuN0sDb3q6J4AaABAg,,False,@You-ii2uq,아이브 가자 가자❤❤❤,1,2025-01-26T15:49:15Z,2025-01-26T15:49:15Z
UgxbYJBENaK5ZyMuSol4AaABAg,,False,@サハラ-z8r,これってどこで見れますか？,1,2025-01-24T10:29:15Z,2025-01-24T10:29:15Z
UgwJVstwecPskW2n66B4AaABAg,,False,@노연실-v8f,25분남았다!!!❤❤,0,2025-01-24T10:06:19Z,2025-01-24T10:06:19Z
UgwsI9yCByib2no8izR4AaABAg,,False,@아나라가가라sk,리즈 너무 좋아 ㅠㅠㅠ,0,2025-01-24T08:40:34Z,2025-01-24T08:40:34Z
UgwsI9yCByib2no8izR4AaABAg.ADfR92Fa7MBADfRFBe0wrS,UgwsI9yCByib2no8izR4AaABAg,True,@아나라가가라sk,리즈 기대된다!!,0,2025-01-24T08:41:24Z,2025-01-24T08:41:24Z
Ugz-RJIdlcRh65WVBCV4AaABAg,,False,@개추배추피카추,오늘 나오는구나... 이날만을 기다렸다,0,2025-01-23T18:23:51Z,2025-01-23T18:23:51Z
Ugzd6ySKYOh88irciDF4AaABAg,,False,@devil_ive,今天就能看了😀,0,2025-01-23T17:13:40Z,2025-01-23T17:13:40Z
UgzaKg9FCE9qIYSbrTJ4AaABAg,,False,@StudyGroup.LIZ.LEESEO,"하~팬밋업 당첨 실패라니😔 뭐,기회는 언제든지 많으니까 다음번에 하겠지 ...그때는 꼭 당첨 성공한다 !",0,2025-01-23T13:06:39Z,2025-01-23T13:06:39Z
Ugxo2qNjKOCvb17h4Qt4AaABAg,,False,@노연실-v8f,드뎌 내일이당!!!,0,2025-01-23T11:56:04Z,2025-01-23T11:56:04Z
UgxcJ0Iuk4rqAqj3w054AaABAg,,False,@깅뿌엥이되,헐 내일 바로 봐야지!!,1,2025-01-23T10:30:09Z,2025-01-23T10:30:09Z
Ugxc4uscFSV9GksaKnZ4AaABAg,,False,@여어느,끝난지 얼마 안돼서 안 할거라고 생각 했는데 시즌5가 이어 지는구나,1,2025-01-23T10:04:43Z,2025-01-23T10:04:43Z
UgyKyDFmB-RqN9dJIlJ4AaABAg,,False,@Divehan6,So excited,0,2025-01-22T19:42:18Z,2025-01-22T19:42:18Z
UgzevF9__ORgq4fDh2t4AaABAg,,False,@zeeeep-t7k,나폴리가 이렇게 행복해지길 바라진 않았는데…,0,2025-01-21T10:40:06Z,2025-01-21T10:40:06Z
UgwB8fT3zspJfdJY8Gt4AaABAg,,False,@SaidEbrahim-g3z,I'm so excited!!!,1,2025-01-21T08:58:21Z,2025-01-21T08:58:21Z
UgwYJsNLNeylN3BHzGV4AaABAg,,False,@hrt.sunoo_03,YAYY I CAN'T WAIT,0,2025-01-20T22:45:00Z,2025-01-20T22:45:00Z
Ugw-LBqUgAVa8oyDUwJ4AaABAg,,False,@mansbillgren2305,Måns Billgren youtube ❤❤❤❤❤❤❤❤ 0:24,1,2025-01-20T14:38:19Z,2025-01-20T14:38:19Z
Ugx54EK__0VRYinztv94AaABAg,,False,@tiffany7823,YOU WILL NEVER NEVER NEVER BE MMMMMMMEEEE,0,2025-01-19T14:38:59Z,2025-01-19T14:38:59Z
UgzXNcOVEnb6HAw_U2J4AaABAg,,False,@Po_yyan,얼른 보고싶어ㅓㅓㅓㅓ,0,2025-01-19T11:31:19Z,2025-01-19T11:31:19Z
UgxPV9N5k6HSWnTV3gx4AaABAg,,False,@jennyliemajorenos4597,So cutieeeee❤,0,2025-01-19T00:10:51Z,2025-01-19T00:10:51Z
UgzY_A1TIMzizNplrVx4AaABAg,,False,@MikkyLanCinema,Always a pleasure with IVE! 😄💖,0,2025-01-18T22:00:56Z,2025-01-18T22:00:56Z
UgwEeR48WEsDQBqgsaF4AaABAg,,False,@sarayasmin1936,you guys are so beautiful ❤,0,2025-01-18T16:40:08Z,2025-01-18T16:40:08Z
UgxgAYMsWCdAPRzguGt4AaABAg,,False,@KAVIYA120,아 너무 기대된다 안녕즈가 얼마나 놀릴짘ㅋㅋㅋㅋㅋㅋㅋㅋ 가을 맥없이 웃기는 거랑 리즈 띠용??? 으어???할 거 너무 기대돼ㅋㅋㅋㅋㅋ,0,2025-01-18T16:09:40Z,2025-01-18T16:09:40Z
UgzZbztvtn7un3edE1t4AaABAg,,False,@chw001996,"롤,피파,에스파에 이어 아이브까지 다가진놈",0,2025-01-18T14:53:08Z,2025-01-18T14:53:08Z
Ugz5swsJ45W9si95kgN4AaABAg,,False,@IVEfighting,예고편이 이렇게 재밌다니 더 기대가 되군..,1,2025-01-18T14:30:11Z,2025-01-18T14:30:11Z
Ugz8Y8sFvV9v-tc0sJR4AaABAg,,False,@상민이-i6o,레블하트 1위시키고 기쁜 마음으로 봅시다,0,2025-01-18T14:00:54Z,2025-01-18T14:00:54Z
Ugyr6SycUrXPeZVEsr14AaABAg,,False,@Divehan6,Perfect,0,2025-01-18T13:49:54Z,2025-01-18T13:49:54Z
UgzboH9q10Pe8h5wwJN4AaABAg,,False,@Divehan6,Perfect,0,2025-01-18T13:49:49Z,2025-01-18T13:49:49Z
Ugz9O4buY2aBH5hQYCx4AaABAg,,False,@Divehan6,Perfect,0,2025-01-18T13:49:21Z,2025-01-18T13:49:21Z
UgxYfSOtibuoNOSstTV4AaABAg,,False,@Divehan6,Gorgeous,0,2025-01-18T13:49:17Z,2025-01-18T13:49:17Z
UgxntMuoIOvgei-0Obt4AaABAg,,False,@Divehan6,Love you all,0,2025-01-18T13:49:10Z,2025-01-18T13:49:10Z
UgyKB6syFMVExoisjiJ4AaABAg,,False,@Divehan6,Dive into ive,0,2025-01-18T13:49:02Z,2025-01-18T13:49:02Z
UgzCRLfxH6ij6_j0x9R4AaABAg,,False,@Divehan6,Dive,0,2025-01-18T13:48:52Z,2025-01-18T13:48:52Z
Ugyy73urKtwVYFJkWiF4AaABAg,,False,@Divehan6,IVE,0,2025-01-18T13:48:46Z,2025-01-18T13:48:46Z
UgwoCYJw8IIlwvWKU3F4AaABAg,,False,@Divehan6,Rei,0,2025-01-18T13:48:37Z,2025-01-18T13:48:37Z
UgzZ67O4XYQWAw5D7cB4AaABAg,,False,@Divehan6,Gaeul,0,2025-01-18T13:48:30Z,2025-01-18T13:48:30Z
UgzMbTCNJXbTcgEgXA14AaABAg,,False,@Divehan6,Yujin,0,2025-01-18T13:48:25Z,2025-01-18T13:48:25Z
UgxA42OdYSTgSpFAoyt4AaABAg,,False,@Divehan6,Wonyoung,0,2025-01-18T13:48:20Z,2025-01-18T13:48:20Z
Ugyo-WM9KjzEmySzO_14AaABAg,,False,@Divehan6,Leesoe,0,2025-01-18T13:48:16Z,2025-01-18T13:48:16Z
UgyyS4IaRU8OxYRJ6jt4AaABAg,,False,@Divehan6,Liz,0,2025-01-18T13:48:11Z,2025-01-18T13:48:11Z
Ugxq5gu8fXd2swamoKt4AaABAg,,False,@vuwkwif1770,이거 원본 어디서 봐요?,0,2025-01-18T13:10:10Z,2025-01-18T13:10:10Z
UgwPOsAdsUEbUOoHu1t4AaABAg,,False,@mochihaerin-uz2sn,We need the dance practice of rebel heart ❤,0,2025-01-18T13:00:17Z,2025-01-18T13:00:17Z
Ugz8uPJR6Cu2nMdFsCp4AaABAg,,False,@로블업고튀는민찌씨,"미모 지렸다ㅏ,,,❤",0,2025-01-18T12:35:20Z,2025-01-18T12:35:20Z
UgxG_Z35lmIePDwUeAV4AaABAg,,False,@유애나-f6b,진짜 스페셜 하네~ ㅋㅋㅋㅋㅋ,0,2025-01-18T12:18:36Z,2025-01-18T12:18:36Z
UgwCWGNcOODv5Qpnc_R4AaABAg,,False,@RidhalDiveBDG96,"Aku tidak Sabar Banget liat Episode Spesialnya 1,2,3 IVE!!!!!!!
특집 1,2,3 아이브도 너무 기대됩니다!!!!!",0,2025-01-18T12:15:57Z,2025-01-18T12:15:57Z
UgzDB8Ckw7Y97AtQhoB4AaABAg,,False,@happy_hacho,아이브 언니들 공식채널 400만 구독자 축하행!!!!❤❤❤❤ 아이브 영원하자❤❤❤❤,0,2025-01-18T10:57:00Z,2025-01-18T10:57:00Z
UgwFsBl0qzVpq7PLf1x4AaABAg,,False,@렝프-r1h,"언니들 넘 예뻐요❤❤
역시 아이브야❤❤",0,2025-01-18T10:29:02Z,2025-01-18T10:29:02Z
UgwyxrNtZuYasrPwwNF4AaABAg,,False,@L.exn9,오아앙❤,1,2025-01-18T10:01:59Z,2025-01-18T10:01:59Z
UgyQiCVQ5sYcbDR1gGR4AaABAg,,False,@유콩인데요,"아이브 구독자 400만명 축하해😊
응원할게",1,2025-01-18T09:30:56Z,2025-01-18T09:30:56Z
