comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyXKKuQef7_8M9OuRl4AaABAg,,False,@meryembel4670,HIS GIRLLL IS THE LUCKIST GIRL ALIVE,1,2025-05-01T00:02:27Z,2025-05-01T00:02:27Z
UgzeRKCIM-7tPciFs0F4AaABAg,,False,@twoae4751,돌아와,0,2025-04-28T00:21:45Z,2025-04-28T00:21:45Z
Ugxmqh748i0Shl1ksF54AaABAg,,False,@butterps,두두지야 보규싶다….,0,2025-04-11T16:47:54Z,2025-04-11T16:47:54Z
Ugya2jUTw4xy2sszVjJ4AaABAg,,False,@cat-u8m9o,Miss you,0,2025-04-08T06:01:41Z,2025-04-08T06:01:41Z
Ugxt0MGb0XNVQ8JTMjR4AaABAg,,False,@luaramachado5123,Que delícia de homem 🫦🫦🫦🫦,0,2025-02-17T13:48:05Z,2025-02-17T13:48:05Z
Ugz-0allZj3ODIltb4J4AaABAg,,False,@fifyyynnn,MISSING THIS FINE MAN 😭😭😭😭,1,2025-02-17T06:19:51Z,2025-02-17T06:19:51Z
UgyX3ye4ic0nLzcETZJ4AaABAg,,False,@이리와서안겨우리칠,"느좋코어 선두주자 재현님이시다 증말,,",0,2025-02-16T17:55:43Z,2025-02-16T17:55:43Z
Ugx2B9ahGaf5EOLCSUt4AaABAg,,False,@PurpleHuv,Ahhhhhhhhhhh my heartuuu ❤,0,2025-02-13T19:29:40Z,2025-02-13T19:29:48Z
UgzDeg6VuY5UnJU2H_d4AaABAg,,False,@pinkbunnie9741,Happy Birthday sayangkuuuu!!!,0,2025-02-13T17:40:26Z,2025-02-13T17:40:26Z
UgyQYdyJBillNoOQpJF4AaABAg,,False,@천재강아지주인,보고싶다 재현아,0,2025-01-30T11:47:26Z,2025-01-30T11:47:26Z
UgwbWy4RO85SugCC4cF4AaABAg,,False,@harvestmoon_autumnsky,He really is a stunning looking human being.,4,2025-01-26T21:11:31Z,2025-01-26T21:11:31Z
UgzioaelPB1zYWrj-iV4AaABAg,,False,@dearmy214,재현아 보고싶어,0,2025-01-25T16:47:54Z,2025-01-25T16:47:54Z
Ugz5Wwd_QNiAALYkh1B4AaABAg,,False,@bc_lalala95,"Jae, i miss you so much 🥺",1,2025-01-10T08:16:45Z,2025-01-10T08:16:45Z
Ugxt5Bw8rz1H8CoIRH94AaABAg,,False,@jaeloml,صحتتت اشتقت لهههه 😭💔😭💔,0,2025-01-09T16:22:15Z,2025-01-09T16:22:15Z
Ugxz4gCaAxbPuTZknvZ4AaABAg,,False,@LemonCake_B00,어떻게 일상이 뮤비?? 이 남자는 무료로 화보를 제공합니다,0,2024-12-27T09:27:22Z,2024-12-27T09:27:22Z
UgzKus0NORHV2cC1B314AaABAg,,False,@JAEMINATION,I miss Jaehyun,0,2024-12-25T23:37:13Z,2024-12-25T23:37:13Z
UgxH3dTG6e0aRdQ2QON4AaABAg,,False,@healing_smile_yuta,JAEHYUNNIEEEE U MISS ME SOOOO MUCHHHH UR TOO FINE FOR THIS WORLDDDD,1,2024-12-24T07:06:13Z,2024-12-24T07:06:13Z
UgxbOBSWBKM6YKlTUnF4AaABAg,,False,@lavenderthecrystalfury4808,She fine She mine🗣️🗣️🗣️🗣️🔊🔊🔊💚💚💚💚🔥🔥🔥🔥🔥🔥🔥,4,2024-12-21T18:34:35Z,2024-12-21T18:34:35Z
Ugy9sfGT00GMs7Jl6np4AaABAg,,False,@Brunattpd,ESSA É TÃO VICIANTE,1,2024-12-15T16:12:49Z,2024-12-15T16:12:49Z
