comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzNpnfnGN4XPNFNp894AaABAg,,False,@matiasdelarosa7338,"He escuchado muchisimo esta canción y no puedo parar, una de mis canciones favoritas del 2025, Le Sserafim la rompio con este Mini Album!! Eunchae, Chaewon y Yunjin participaron en la creacion de la letra ❤❤❤❤❤",0,2025-05-13T04:13:59Z,2025-05-13T04:13:59Z
UgzI2GbBYI1X6o_w2vN4AaABAg,,False,@manchae0885,♡,1,2025-05-09T11:09:08Z,2025-05-09T11:09:08Z
UgwRXsnc_yoVH_ZXPlN4AaABAg,,False,@sliviazk,2:10 favvvv part ❤❤❤❤,2,2025-05-06T19:41:53Z,2025-05-06T19:41:53Z
UgxXpYUc_kizVTpnOKR4AaABAg,,False,@hnnyins,I LOVE THIS SSOOSOSOSOSI MUCHHH,2,2025-05-05T14:46:35Z,2025-05-05T14:46:35Z
UgxXjiok74WgzxV9GoJ4AaABAg,,False,@FernandoLoya-em6pg,This song ❤wow !,1,2025-05-04T13:57:16Z,2025-05-04T13:57:16Z
UgzWSit3xuajxXWuSvx4AaABAg,,False,@user-tu3bw3fq1c,サムネのウンチェに目が止まって聞いたら神曲✨,1,2025-05-04T11:45:27Z,2025-05-04T11:45:27Z
UgyHVldlA3jg46onK6N4AaABAg,,False,@WEIRDBOYYS,I really need English,1,2025-05-03T21:41:23Z,2025-05-03T21:41:23Z
UgyNo23Mj6PlQC7uPNF4AaABAg,,False,@inory5460,missed the collab but the song is fire.,1,2025-05-03T19:23:10Z,2025-05-03T19:23:10Z
Ugy8bImhgGUKEB9mXCR4AaABAg,,False,@kai.pudding0814,como te amo so cynical,1,2025-05-02T23:35:54Z,2025-05-02T23:35:54Z
UgxK2nlQoqriqEpdcmx4AaABAg,,False,@Darkcustic54,Eunchae visual is so .... just wow .. Someone got obsessed with this song?,11,2025-05-01T06:01:28Z,2025-05-01T06:01:28Z
