comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwRNr5vF7kx7UGXjuR4AaABAg,,False,@MariamWaleed-l2z,"❤❤❤❤❤그들의 명성이 전 세계적으로 높아지기를 바라며, 좋은 미래가 있기를 바랍니다.",0,2025-05-11T21:07:43Z,2025-05-11T21:07:43Z
UgzoEBsh069c9kuhrkt4AaABAg,,False,@MariamWaleed-l2z,اتمنى ان يكون لديكم مستقبلا كبيرا❤❤❤❤,0,2025-05-11T21:06:17Z,2025-05-11T21:06:17Z
UgzkQdAeNnNvbcpGKDV4AaABAg,,False,@blkbrbi3,yunjin….. oh my,0,2025-05-09T23:14:10Z,2025-05-09T23:14:10Z
UgzkQdAeNnNvbcpGKDV4AaABAg.AHvMaJmd-K-AHvMqmDvlXV,UgzkQdAeNnNvbcpGKDV4AaABAg,True,@blkbrbi3,so cool. marry me,0,2025-05-09T23:16:25Z,2025-05-09T23:16:25Z
UgyV_P_TOzU2c4q8RqZ4AaABAg,,False,@codymb15,Jen in the glasses is next level,0,2025-05-09T12:21:20Z,2025-05-09T12:21:20Z
UgzkgFBJecbN0oGH5CV4AaABAg,,False,@Niki-riki-o5m,Chaewon with this cap is everything,0,2025-05-05T16:32:04Z,2025-05-05T16:32:04Z
UgzaqdB0vqO5otCARJR4AaABAg,,False,@Niki-riki-o5m,Eunchae hair slayed,0,2025-05-05T16:31:07Z,2025-05-05T16:31:07Z
UgykqZInEPftEselC3F4AaABAg,,False,@Niki-riki-o5m,Us burning hot with them,0,2025-05-05T16:30:51Z,2025-05-05T16:30:51Z
UgwMiQSuS9I3lov1RwZ4AaABAg,,False,@Niki-riki-o5m,Yunjin looking sauur hot in thses glasses 💅💅💅,0,2025-05-05T16:30:27Z,2025-05-05T16:30:27Z
UgyVKmydYrxbWW7MUKJ4AaABAg,,False,@Niki-riki-o5m,All pretty girls in one group,0,2025-05-05T16:29:51Z,2025-05-05T16:29:51Z
UgxqtDMGdEDQZTJPb-x4AaABAg,,False,@shimarisucipmilkurumi,"ユンジンの踊り方好き🧡
これはユンジンに惚れる！

ユンジンとズハが並んで踊ってるところもすごく好き‪🧡🧡",2,2025-05-01T18:07:02Z,2025-05-01T18:11:59Z
UgxqtDMGdEDQZTJPb-x4AaABAg.AHaD4oQdqpWAHlhZMw5hCd,UgxqtDMGdEDQZTJPb-x4AaABAg,True,@わがままなおにぎり300万,それな！ユンジンもダンス上手くなったよね。,0,2025-05-06T05:13:44Z,2025-05-06T05:13:44Z
UgzVrUcpVB7nnlkqNmt4AaABAg,,False,@sakura-cl6fc,ユンジンのメガネ可愛いすぎ💕,0,2025-04-29T12:25:22Z,2025-04-29T12:25:22Z
UgxKu15upnZhMRDT4YF4AaABAg,,False,@やっちゃん-q8s9v,チェウォンちゃんめちゃめちゃ可愛い過ぎる✨️︎💕︎✨️ダンスめっちゃ最高過ぎる✨️皆んなダンスめっちゃとても素敵✨️︎💕︎✨️,2,2025-04-28T17:36:52Z,2025-04-28T17:36:52Z
UgyJFT4jknK3vUH3Rsh4AaABAg,,False,@imfearless-j5e,Eunchae is even more attractive with her short blonde hair,0,2025-04-28T15:06:47Z,2025-04-28T15:06:47Z
Ugz4kmeDWX7-oHQKMul4AaABAg,,False,@Editz-songz,CHAEWONIEEE❤️❤️❤️❤️❤️❤️❤️,0,2025-04-26T04:42:47Z,2025-04-26T04:42:47Z
UgzIDjNhXaiNhdj2mQx4AaABAg,,False,@びんとろんぐさん,この曲はサクラさんの髪型が活きるね。顔にかかる感じが意志の強い女性の物憂げな一瞬、みたいに見える。大人の女性の美しさがある。,0,2025-04-20T12:22:06Z,2025-04-20T12:22:06Z
Ugw-AtuKeaL65sVvgGl4AaABAg,,False,@JosephWilliams-r1m4d,Chaewon is SMOKIN Hot! And drop dead gorgeous.,0,2025-04-17T18:15:39Z,2025-04-17T18:15:39Z
UgynB5m1dQmZX5apBP14AaABAg,,False,@yujingirlz,WHY DID I THINK THIS WAS THE CUBE BUILDING-,0,2025-04-17T14:48:46Z,2025-04-17T14:48:46Z
Ugztk-UeyC6jBDblKT54AaABAg,,False,@NaufalRehan-x9e,Halo,0,2025-04-16T07:03:23Z,2025-04-16T07:03:23Z
