comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgycQzh9OWVHW_i8ERR4AaABAg,,False,@love-qq3ji,"ジョンヨンがめちゃくちゃ可愛い🩷
この髪型好き❤️",0,2025-05-15T12:12:13Z,2025-05-15T12:12:13Z
Ugxxhma6ZXZMfkF-c5V4AaABAg,,False,@こなつ-b9f,ド陽キャが日の出選ぶの良いなあ,0,2025-05-09T14:39:03Z,2025-05-09T14:39:03Z
UgwWIIh4s3kpK7WsFvV4AaABAg,,False,@AreebaAli-f1g,😂😂❤,0,2025-03-29T00:46:25Z,2025-03-29T00:46:25Z
UgxPkzIBS_u8WIAdZ194AaABAg,,False,@ForsakenSanityGaming,Sana IS the sunrise 😂,0,2025-03-19T12:14:22Z,2025-03-19T12:14:29Z
UgyPojWrv6jeOw8WrqF4AaABAg,,False,@Fuzzylunpkins,I would love to watch the sunrise with J.,0,2025-02-18T18:25:11Z,2025-02-18T18:25:11Z
UgzC5kkviiVhHcS-kpx4AaABAg,,False,@lastdistinction,100💗🙌,0,2025-02-12T03:13:24Z,2025-02-12T03:13:24Z
UgxM860SW6g7ohl-Ehh4AaABAg,,False,@Elfangor-Sirinial-Shamtul,I really can't pick...but if I had to I'd pick Sunset. 🌅,1,2024-11-28T20:50:06Z,2024-11-28T20:50:06Z
Ugzib6nJn514TfE8qhh4AaABAg,,False,@Alicesmart.oncetwice,CHAEYOUNG 🔥🔥,1,2024-11-17T14:35:31Z,2024-11-17T14:35:31Z
Ugwz-Apyril1Z6u6Rtl4AaABAg,,False,@no.bysana,Watching sunset,0,2024-10-16T16:26:11Z,2024-10-16T16:26:11Z
UgwkMwOFXfDvlvITzep4AaABAg,,False,@Chromiumsenble,"Why not watching sunrise?
Can’t wake up.😂",0,2024-09-28T06:16:07Z,2024-09-28T06:16:07Z
Ugx6QKWW_ft51TofI-54AaABAg,,False,@mercedesalderete5093,❤❤,0,2024-09-12T00:43:08Z,2024-09-12T00:43:08Z
UgxFcmjmUmrYW_IGMDx4AaABAg,,False,@HakThay00,Nayeon confused 😂,0,2024-08-12T01:21:23Z,2024-08-12T01:21:23Z
UgzkC0b3zMAfH2JzD9x4AaABAg,,False,@kja85,"해뜨는걸 왜보는지 모르겠어 ㅋㅋㅋㅋㅋㅋㅋㅋ😂
나연이 t야?ㅋㅋ",0,2024-06-27T03:53:11Z,2024-06-27T03:53:11Z
UgxYLZ3Db7hiLJyyhv54AaABAg,,False,@tuimio9957,ジョンヨンさんの脚の美しいこと！！,0,2024-05-08T17:45:26Z,2024-05-08T17:45:26Z
Ugzml99HZsBlUv329wx4AaABAg,,False,@robinhong3599,❤❤❤,0,2024-05-02T15:41:56Z,2024-05-02T15:41:56Z
UgxoiXCiZPsHDnWXws54AaABAg,,False,@LoganVermeulen-ue6vn,Twice 😂😂 Jeongyeon,0,2024-04-14T08:26:37Z,2024-04-14T08:26:37Z
UgyUnHC3fOTKtudNIRB4AaABAg,,False,@耀源裝修工程行,TZUYU really really really soooo beautiful and cute ❤,0,2024-04-04T12:47:21Z,2024-04-04T12:47:21Z
UgyndVwWKhfPXL4wl614AaABAg,,False,@No_soy-nadie_xdd,Tzuyu it's sooo cute❤,52,2024-03-14T20:34:02Z,2024-03-14T20:34:02Z
UgwRUqPbyYZG_hlVfi14AaABAg,,False,@닭가슴살좋아하는남자,지효누님은 해 뜨는걸 보실줄 알았음 부지런의 표본인데 ㅋㅋ,0,2024-01-25T11:27:16Z,2024-01-25T11:27:16Z
UgzQWxxuZZtHKcmysWl4AaABAg,,False,@SamuelRuiz-to1qm,Somuel RUZ photo to the most of us are the most of us are the most of us are,0,2024-01-24T04:00:23Z,2024-01-24T04:00:23Z
UgwwKV49vMdAIgsed0R4AaABAg,,False,@모래요정777,오늘 눈이 호강하네 내 눈 고맙지?,0,2024-01-23T10:31:20Z,2024-01-23T10:31:20Z
Ugxgc3JJBov37IiiZ794AaABAg,,False,@MarvinSutton-e5h,❤❤❤❤❤❤❤❤❤sunset darlings sunrise is to early love ya all let's watch the sunset together 🎉🎉🎉🎉🎉🎉🎉🎉🎉🙋💥🐧🦋❤️🌎,0,2024-01-15T05:20:46Z,2024-01-15T05:20:46Z
Ugyzj506cvGuJpPPnuV4AaABAg,,False,@chl3171,💕💗💗,1,2024-01-05T14:37:36Z,2024-01-05T14:37:36Z
Ugz26ztmomX_IFxvCTF4AaABAg,,False,@danialkim3390,사랑해 트와이스!,0,2024-01-01T04:20:28Z,2024-01-01T04:20:28Z
Ugy9VcPUk-LpuNeO6LF4AaABAg,,False,@simsimsim7209,정연많이 빠져네,0,2023-12-30T15:23:00Z,2023-12-30T15:23:00Z
UgzjylxFTqb3mM9aGGF4AaABAg,,False,@MohammedCompuse,"Mina cute voice when she said ""sunset"" she's effortlessly attractive",0,2023-12-05T15:15:07Z,2023-12-05T15:15:07Z
Ugx6hgpH6smwzb4muLp4AaABAg,,False,@user-jn2ph4hk6g,트와이스짱이에요민지가,0,2023-11-18T02:50:31Z,2023-11-18T02:50:31Z
Ugw8qMCMeIyJ7pnmbKF4AaABAg,,False,@quit4everxx,they’re all so pretty 😭🤭💖,1,2023-11-11T22:58:06Z,2023-11-11T22:58:06Z
Ugy3Iq1WsCRhnTyxadV4AaABAg,,False,@Varvara-ow8tc,КАКИЕ ОНИ КРАСИВЫЕ,0,2023-10-24T13:34:06Z,2023-10-24T13:34:06Z
UgyRpmzSS5fw0gxHeKx4AaABAg,,False,@에혀-o9d,와… 나연이는 진챠 나랑 너무 비슷한듯 항상 ㅠㅠㅠ mbti 집착하는거 추종하는거 시러하는데 … 역시 속일수가 없나? 개똑같음 개신기 istp,0,2023-09-25T20:03:28Z,2023-09-25T20:03:28Z
Ugwyt8A43PxaemusDmx4AaABAg,,False,@さむむらん,"ジヒョの顔は姉と顔似てるから見飽きてんだなー
兄はもっと目でかい、自分は姉と兄の中間",0,2023-08-30T18:56:39Z,2023-08-30T18:56:38Z
Ugy2vZHEbnkwDnECQ4R4AaABAg,,False,@My_angela_world45,I love jeongyeon,0,2023-08-26T05:15:59Z,2023-08-26T05:15:59Z
UgzWEXhyXLRUtTUVqId4AaABAg,,False,@My_angela_world45,Why nayeon looks like black pink jennie,0,2023-08-26T05:15:11Z,2023-08-26T05:15:11Z
UgxEkfd_3PXfSgK1RDZ4AaABAg,,False,@mikeem8302,Jeongyeon got me bout to act up,1,2023-07-21T01:10:15Z,2023-07-21T01:10:15Z
UgwtiO0hTZjdBy4il_t4AaABAg,,False,@ayuwandirq617,No ada jongkook,0,2023-06-28T14:47:09Z,2023-06-28T14:47:09Z
Ugzsz8VY_XsCmOQLiyV4AaABAg,,False,@sofiaaaa28,Amo vcs ❤,0,2023-05-14T23:14:02Z,2023-05-14T23:14:02Z
UgxRTKMPawGHvwfxdPx4AaABAg,,False,@chaeryoungdeservesbetter6450,same Jihyo same,0,2023-05-09T12:25:38Z,2023-05-09T12:25:38Z
UgzIuzLOXMtSV8zxP5t4AaABAg,,False,@SunshineAdviser,Sana love you,0,2023-05-08T01:49:12Z,2023-05-08T01:49:12Z
UgwcJmLg8Z1X7N0hAip4AaABAg,,False,@-Jensetter,Yerim sizi asklarim,0,2023-05-01T12:00:24Z,2023-05-01T12:00:24Z
Ugy2oOJBEhbzaqKPuOl4AaABAg,,False,@tracyyarbrough4491,Watching sunset,0,2023-04-20T15:18:18Z,2023-04-20T15:18:18Z
UgyjJXeo4fyDnN4k3VB4AaABAg,,False,@mariaaguirre7404,❤I love to watch the sunset,0,2023-04-06T03:53:17Z,2023-04-06T03:53:17Z
UgzlqQgpPpu3WzDzoxd4AaABAg,,False,@devyanielectricals7819,Momo slays low waist bottom ❤,0,2023-03-24T06:48:05Z,2023-03-24T06:48:05Z
Ugzb2f92__Mh05h2zbV4AaABAg,,False,@mystic9926,I read in the Little Prince...sad people like sunsets more than sunrise..just a random thought..,0,2023-03-20T17:53:28Z,2023-03-20T17:53:28Z
UgxnviQjUzZKUwXrFuR4AaABAg,,False,@이강원-g3o,전체적문답보면 혼자만의 휴식들이 필요해보이네요.,0,2023-03-19T00:25:08Z,2023-03-19T00:25:08Z
Ugysb8FTHfY28Oq8sRN4AaABAg,,False,@sahilbhallaa,"Mina, would you like to watch the sunset with me. ❤",0,2023-03-18T18:13:13Z,2023-03-18T18:13:36Z
UgyjPpItmHjHxICbO454AaABAg,,False,@ongyinjin1942,Mina’s face expressions was so pretty while she turn to back❤,0,2023-03-13T19:45:22Z,2023-03-13T19:45:22Z
UgwrikjOs0Bh9ILWZUt4AaABAg,,False,@karencarpenter8002,The way nayeon was so confused,10,2023-03-12T07:01:53Z,2023-03-12T07:01:53Z
UgzzLNq-nYF9eyO8SLt4AaABAg,,False,@ありさ吉永-j4i,可愛すぎた世界一。,0,2023-03-08T15:06:03Z,2023-03-08T15:06:03Z
UgwoGmm2VxGeU8pGWA54AaABAg,,False,@pandeykrishna4689,Sana so cute,0,2023-03-07T10:23:11Z,2023-03-07T10:23:11Z
UgxAxd9an6Jx3K3OqIB4AaABAg,,False,@cHinitocHunk,Sunset ftw👍. Kinda hard to wake up at 5am to watch the sunrise 🌅,0,2023-03-06T17:57:07Z,2023-03-06T17:57:07Z
UgyxsfEAJUjMFxnOQO94AaABAg,,False,@Grass-Buddy_Na.V,Dahyun😍,0,2023-03-01T18:30:07Z,2023-03-01T18:30:07Z
UgwfIVQUYyfAiMK7bVx4AaABAg,,False,@Axanda5761,Sunset Sunrise? What if that’s what they were gonna name moonlight sunrise instead-,0,2023-02-25T05:47:35Z,2023-02-25T05:47:35Z
UgxDVIXnWzdFp6H8cjd4AaABAg,,False,@JackieAhn2000,정연이 요즘 제일 섹시함. 무르익었음,0,2023-02-23T12:04:16Z,2023-02-23T12:04:16Z
UgzrzcJBCNcYaCKGUlh4AaABAg,,False,@dineekathayath6265,honestly tzuyu knows every jeongyeon answer 😆,1,2023-02-21T04:11:17Z,2023-02-21T04:11:17Z
UgyNXcYqFW3umTFOhct4AaABAg,,False,@amhaichmohamed265,EXCELLENT TOP❤🌼❤🌼❤🌼👏👏👈,1,2023-02-19T14:35:25Z,2023-02-19T14:35:25Z
UgzEl03mJyblZmQgn1p4AaABAg,,False,@넘어진돼지-s2r,정연양  와~~~😊  아름답습니다,0,2023-02-17T16:02:35Z,2023-02-17T16:02:35Z
UgyQ2jyauENUtX24cyN4AaABAg,,False,@m1ns3lek48,I choose what dubu chooses,0,2023-02-17T12:31:45Z,2023-02-17T12:31:45Z
UgzyQfKKx1ICpTJY9pR4AaABAg,,False,@tlqdbrtpscl,사나짱,0,2023-02-17T04:09:03Z,2023-02-17T04:09:03Z
UgwSOh8PMk5qwXCRcmB4AaABAg,,False,@samzer2911,Sunset,0,2023-02-15T16:50:01Z,2023-02-15T16:50:01Z
Ugxgg_9DjAOEf2wXiqN4AaABAg,,False,@ww濫用の凪子,ジヒョ転びそうになってるの可愛いすぎて泣けてきた,1,2023-02-15T06:29:09Z,2023-02-15T06:29:09Z
UgxmMJj5Q_OuP8PsHph4AaABAg,,False,@khinnn7,정연이 진짜 많이 나아졌다 원래 모습 되찾아서 너무 좋다,1,2023-02-14T06:32:35Z,2023-02-14T06:32:35Z
UgwiMVcVFTj71Tp33mR4AaABAg,,False,@milizeTT,Hepsi çok güzel ve dahyun çok tatli🤩😍,0,2023-02-12T08:03:51Z,2023-02-12T08:03:51Z
UgzrCEG02Wk-C6YIxnV4AaABAg,,False,@almot3205,❤️ ❤️ ❤️,1,2023-02-11T20:43:52Z,2023-02-11T20:43:52Z
UgzO46s7EvqWl07z2914AaABAg,,False,@노랑후드mP,"사나 일 끝났을때도 해 뜬다는거..
진짜 아이돌들 열심히 사는거 확 느낀다",4,2023-02-11T13:51:04Z,2023-02-11T13:51:04Z
UgzO46s7EvqWl07z2914AaABAg.9m-3uHiCeH59y_sW2-4AUc,UgzO46s7EvqWl07z2914AaABAg,True,@user-th3tl9yn6t,ㄹㅇ,0,2023-12-21T12:30:38Z,2023-12-21T12:30:38Z
Ugy6HWaSIbyFBnc1FcF4AaABAg,,False,@MO-LOL,جمالها 🤍✨,0,2023-02-10T09:27:17Z,2023-02-10T09:27:17Z
UgxZ4TafRKMGKcld2oR4AaABAg,,False,@boomingbob1579,Tzuyu trying to split,0,2023-02-09T16:51:40Z,2023-02-09T16:51:40Z
UgxLkxX8DOuiHn6rdsZ4AaABAg,,False,@후드-x6z,노래 못하는 그룹,0,2023-02-09T09:18:31Z,2023-02-09T09:18:31Z
UgyMo4WfOfVDznYavKt4AaABAg,,False,@miyaaa33,"너무 사랑해 지금 한국에 있었으면 좋겠는데 터키에 있어
나는 너를 너무 사랑해 ❤❤",0,2023-02-08T21:21:16Z,2023-02-08T21:21:16Z
UgwISDsCCzK9JWOk89Z4AaABAg,,False,@farhinrahmanreeda3055,MINA 😮😍 that outfit with those visuals ouffff 🔥💯,0,2023-02-08T18:48:11Z,2023-02-08T18:48:20Z
Ugx41QkNOWZdfXB4NNd4AaABAg,,False,@ulka_ceryil,Я одна русская?,0,2023-02-08T15:02:31Z,2023-02-08T15:02:31Z
UgyryFXpz4WqnJ-uuS94AaABAg,,False,@N2nyoo,🇮🇱🇰🇷🇮🇱🇰🇷🇮🇱❤❤,1,2023-02-08T04:37:31Z,2023-02-08T04:37:31Z
UgyE5HOvdzH0aMZvMKp4AaABAg,,False,@prajwalm3011,💖💖💖,0,2023-02-08T04:18:05Z,2023-02-08T04:18:05Z
UgwD5oX_Vs8_olqfeyt4AaABAg,,False,@JxtæGurl,Tzuyu just follows chaeyoung,0,2023-02-07T21:25:26Z,2023-02-07T21:25:26Z
UgxggX2ONnAovbxWi3p4AaABAg,,False,@JIMJUNK-mb9hf,they are great and beautiful twice I love them,0,2023-02-07T01:25:43Z,2023-02-07T01:25:43Z
UgydU21BRUkrcPXJkBh4AaABAg,,False,@TiTiDe971,Heureux de voir Jihyo et Jeongyeon sont du même avis que moi 😜🥰🤩😍🥰,0,2023-02-06T17:07:07Z,2023-02-06T17:07:07Z
Ugx7VDkn2Cv3qdGGkzZ4AaABAg,,False,@Jennieunnie164,TWİCE come to turkey pls,0,2023-02-06T15:25:47Z,2023-02-06T15:25:47Z
Ugzeh8atdV_HB-yAFbB4AaABAg,,False,@cts0423,NO SANA NO LIFE! 💜🌼🌸🧡💛😊🌞🦋🌟,1,2023-02-06T13:30:20Z,2023-02-06T13:30:20Z
UgwEAobfaU4i5uhPwA54AaABAg,,False,@PAULOCOSTA-rl7tp,">>=====> GIRLS TWICE ... VERY,VERY CUTE !
           1 CUTE💙 + 2 CUTE💙 + 3 CUTE💙 + 4 CUTE💙 +
           5 CUTE💙 + 6 CUTE💙 + 7 CUTE💙 + 8 CUTE💙 + 9 CUTE💙 =
           WHAT LOVE,A STORM OF LOVE !!!      >>=====> 06/02/2023",0,2023-02-06T13:15:52Z,2023-02-06T13:15:52Z
Ugx9qTWsK6TR1h4bmXZ4AaABAg,,False,@twiceonce9019,They’re so pretty,2,2023-02-06T11:27:49Z,2023-02-06T11:27:49Z
Ugwf4hffxNqu4mqP7Lx4AaABAg,,False,@Fattchae,Chaeyoung Is so beautiful 💗,1,2023-02-06T05:25:23Z,2023-02-06T05:25:23Z
Ugztid9jjkzMnXqSTzN4AaABAg,,False,@Fxcarree,T AMO JEONGYEON 😿💗,1,2023-02-06T03:53:51Z,2023-02-06T03:56:07Z
Ugyp5stvDIqj8LaUr1R4AaABAg,,False,@由香村上-f8q,英語が読めない。,1,2023-02-06T03:46:13Z,2023-02-06T03:46:13Z
UgxNwEwMLTwUNIRC__R4AaABAg,,False,@peachdayodayo,私の推しツウィたんも輝いている,7,2023-02-05T22:42:01Z,2023-02-05T22:42:01Z
Ugz9NyivzkGeWCjyZHt4AaABAg,,False,@eunchae-y2o,https://media.tenor.com/NyhYYxpnkdYAAAAM/kpop-kpop-happy.gif,1,2023-02-05T20:38:10Z,2023-02-05T20:38:10Z
Ugwv5jAmZLllcjRx8AJ4AaABAg,,False,@eunchae-y2o,💕𝐓𝐖𝐈𝐂𝐄🍭,1,2023-02-05T20:37:44Z,2023-02-05T20:37:44Z
UgxDdH3DzjtJZYYBMnt4AaABAg,,False,@lovinbh5817,Watching Sunrise for suree☺️,5,2023-02-05T18:22:46Z,2023-02-05T18:22:46Z
Ugz2Tq_F8IHrhs-DUIV4AaABAg,,False,@argielynobenario8028,Jeongyeon🥺❤️❤️,1,2023-02-05T13:47:38Z,2023-02-05T13:47:38Z
Ugxr9kZeDF51RhM3Fjx4AaABAg,,False,@jasmitkaur8596,Pls dance practice,2,2023-02-05T12:59:23Z,2023-02-05T12:59:23Z
UgyhQ0kqnk3pBVe3T8N4AaABAg,,False,@mauriciopereirabitencourt1534,AS NOSSAS DIVAS DO TWICE SÃO MARAVILHOSAS HEHE.,2,2023-02-05T12:55:46Z,2023-02-05T12:55:46Z
UgwnxcR3PXEfFY9jYUN4AaABAg,,False,@祐太冨塚,とても可愛いです好きです,6,2023-02-05T10:28:04Z,2023-02-05T10:28:04Z
Ugx9sY7f2lIiw2AqiA54AaABAg,,False,@Joediq,Jihyo i saw that,0,2023-02-05T09:35:20Z,2023-02-05T09:35:20Z
UgzxVu3AivjWvYU6b6l4AaABAg,,False,@김주영마카롱,이쁘다,0,2023-02-05T08:14:37Z,2023-02-05T08:14:37Z
UgygsioxEptyervPxJ54AaABAg,,False,@Cathybnineteencute,Pretty✨,7,2023-02-05T07:38:17Z,2023-02-05T07:38:17Z
UgwvLQZ3IEK7yuAgvoR4AaABAg,,False,@Mr.GIAN2601,え、待って久しぶりに見たらめっちゃジョンヨン痩せてる！すごい！,3,2023-02-05T05:54:53Z,2023-02-05T05:54:53Z
