comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxAL0yXS_0-AOf3mDh4AaABAg,,False,@user-hn8ov9mm5r,하오 이때 진짜 개존잘임...  사쿠라님도 너무 예쁘고ㅠㅠㅠㅠ,12,2025-04-27T15:59:05Z,2025-04-27T15:59:05Z
Ugy-PZzXLRSM094nBXR4AaABAg,,False,@momoslayedtbh,my lsf bias and my zb1 bias,1,2025-04-22T23:54:15Z,2025-04-22T23:54:15Z
UgxK-GGL2OP7klQT4DN4AaABAg,,False,@Kayla-e2h8f,My two gays❤,0,2025-04-11T07:08:27Z,2025-04-11T07:08:27Z
UgwNZUhdPsgdkqXpBId4AaABAg,,False,@Lilice-Wonnie,My favorite duo ❤,1,2025-04-10T21:51:39Z,2025-04-10T21:51:39Z
Ugxt28S2HKQ91H8A51V4AaABAg,,False,@ミナミちゃん-w6f,ハオくんの夢のルセラのメンバーに慣れた瞬間✨,2,2025-04-09T06:22:00Z,2025-04-09T06:22:00Z
UgxdTzCpoOKwiRu2uw54AaABAg,,False,@cassadie-k5o,That outfit reminds me of all of us are dead❤ (y'all excited our season 3😭),0,2025-04-09T00:29:33Z,2025-04-09T00:29:33Z
UgyNhUVyH3Rng8EjR2t4AaABAg,,False,@폴유폴링,아는 외고 다시 해줘요…ㅠㅠ,1,2025-04-08T11:54:38Z,2025-04-08T11:54:38Z
UgwDbNYqsWHV2CgzQOB4AaABAg,,False,@thanatchaponsiringam0012,💙🥰,1,2025-04-07T11:50:55Z,2025-04-07T11:50:55Z
Ugwug4jZmSDDTRMO6HN4AaABAg,,False,@DianaPolishchuk-g2r,BRO IS LITERLLY TAEHYUNGS SON!!!!,1,2025-04-04T17:38:13Z,2025-04-04T17:38:13Z
Ugz7hQQP1KhlyMU4-Ix4AaABAg,,False,@샤프리버풀,우왕 ㅋㅋ슬리데린 학생들같아,1,2025-04-02T14:10:36Z,2025-04-02T14:10:36Z
UgyWKkik8sy3C8Iuxbd4AaABAg,,False,@ZefronZaynZarif,The drama will be super hit if these two play the roles..the vibe matches so smoothly,24,2025-04-02T01:56:27Z,2025-04-02T01:56:27Z
Ugx_1cticlfa6h7fHRx4AaABAg,,False,@Joy3-z5z,lol the pants under the skirt is so real when dancing,0,2025-03-30T02:49:13Z,2025-03-30T02:49:13Z
UgwZKGs0nIbQgtlaY0R4AaABAg,,False,@KimNasa-e3x,❤❤,0,2025-03-29T13:36:05Z,2025-03-29T13:36:05Z
Ugx_InZDrwrAgfQi4T54AaABAg,,False,@animeedit1493,It's all of us are dead uniform 😮,1,2025-03-29T13:27:26Z,2025-03-29T13:27:26Z
Ugw8GHyHVYC2skYXAT54AaABAg,,False,@ishaprashanth5295,Why does Zhang kinda look like V from Bts am I the only one?😂😂😅,2,2025-03-29T10:32:49Z,2025-03-29T10:32:49Z
UgyU8SW2iZ31bW9RLjB4AaABAg,,False,@말랑뽀쨕상큼러블리사,장하오 잘한다,1,2025-03-28T07:23:55Z,2025-03-28T07:23:55Z
UgxFlc4Ii4-DpLC08_94AaABAg,,False,@LNDCL16,My favourite duo 💚,1,2025-03-27T01:31:07Z,2025-03-27T01:31:07Z
UgyoYKwR7V3iDbq4ed14AaABAg,,False,@渡辺蓮-m2t,"男の人の名前、なんて読むんですか？？
あとグループ名知りたいです！",0,2025-03-26T09:22:38Z,2025-03-26T09:22:38Z
UgyoYKwR7V3iDbq4ed14AaABAg.AG7_SVmjDO5AGJy0Tn1tjD,UgyoYKwR7V3iDbq4ed14AaABAg,True,@Random-papaya,Zerobaseone ジャンハオ ❤️,0,2025-03-31T04:48:09Z,2025-03-31T04:48:09Z
UgyoYKwR7V3iDbq4ed14AaABAg.AG7_SVmjDO5AGKLDS4aXRs,UgyoYKwR7V3iDbq4ed14AaABAg,True,@渡辺蓮-m2t,"​@@Random-papaya

ありがとうございます❤",0,2025-03-31T08:19:38Z,2025-03-31T08:19:38Z
Ugw10Qu6jR0F86V_rcN4AaABAg,,False,@CanhcanhTruong,"Sakura is burning hot >>>
Zhang Hao is being cute >.<",0,2025-03-26T05:57:07Z,2025-03-26T05:57:07Z
UgyURKAHhct0MIN3n5F4AaABAg,,False,@샤이니그린,장하오 정말 이쁘네❤❤☺️,6,2025-03-26T00:03:04Z,2025-03-26T00:03:04Z
UgxLVDn4iM5Rwj4h3CJ4AaABAg,,False,@darlenemelanievivancolopez5205,ZHANG HAO ❤ KKURA,3,2025-03-25T21:15:26Z,2025-03-25T21:15:26Z
UgyR_u3t7GUDBMEk--B4AaABAg,,False,@하오츠-k8c,两人都好可爱❤,6,2025-03-25T00:39:46Z,2025-03-25T00:39:46Z
UgzB6jSQj8LcONrz_ad4AaABAg,,False,@Cooper20077,Why are they making them dance in the corner? No-one should put those babies in the corner!,0,2025-03-24T14:53:15Z,2025-03-24T14:53:15Z
UgyqkqNYGp_UI1ik7IB4AaABAg,,False,@Hania_ain,なんて美しい２人😍,9,2025-03-24T12:36:10Z,2025-03-24T12:36:10Z
UgxUKqEwkqwT_hayFkt4AaABAg,,False,@L3wdAnimeLife,Why do they wear uniforms when they’re over 20 😂,0,2025-03-24T12:15:35Z,2025-03-24T12:15:35Z
UgxB67wlLLgBAy6fuhZ4AaABAg,,False,@Mpatel1217,Why he looks like taehyung 😮i almost thought that was him 😅😂,1,2025-03-24T09:40:07Z,2025-03-24T09:40:07Z
UgzWyvCG7lolxBdyp7t4AaABAg,,False,@aadyamishra2362,Hai is so sassy 😂❤,0,2025-03-24T05:54:33Z,2025-03-24T05:54:33Z
UgwkXzycbaEfvzC0jrR4AaABAg,,False,@Hanniiiiph,All of us are dead.?,0,2025-03-24T04:11:56Z,2025-03-24T04:11:56Z
UgyKhAPC8T3Fk7Jhl2J4AaABAg,,False,@Blinknumber1-s6d,Slayyyyyyyyyyyy 💅💅💅💅💅💅💅💅💅💅💅💅💅💅💅💅💅,2,2025-03-23T23:43:56Z,2025-03-23T23:43:56Z
UgwcIgOzUi99ddlQG594AaABAg,,False,@miiimiiieee,haokura visual centers,2,2025-03-23T23:01:49Z,2025-03-23T23:01:49Z
UgyuoppW1u8wH55qxTd4AaABAg,,False,@Berol-ne9wf,All of us are dead sakura uniform ❤,3,2025-03-23T20:33:37Z,2025-03-23T20:33:37Z
