comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzO7NVAYGH6C4Ac2Nl4AaABAg,,False,@BLACKPINK,"Pink Venom. Out Now.

https://youtu.be/gQlMMD8auMs",90650,2022-08-24T15:01:58Z,2022-08-24T15:01:58Z
UgzO7NVAYGH6C4Ac2Nl4AaABAg.9f6t53T12uV9f6t67XR-JO,UgzO7NVAYGH6C4Ac2Nl4AaABAg,True,@zazraaa,"Love from Turkey and Azerbaijan <3
I hope you can come Turkey :)",1905,2022-08-24T15:02:07Z,2022-08-24T15:14:10Z
UgzO7NVAYGH6C4Ac2Nl4AaABAg.9f6t53T12uV9f6t6elc-h-,UgzO7NVAYGH6C4Ac2Nl4AaABAg,True,@Shhh_x99,ٕ,456,2022-08-24T15:02:11Z,2024-06-21T07:44:53Z
UgzO7NVAYGH6C4Ac2Nl4AaABAg.9f6t53T12uV9f6t6hKYps0,UgzO7NVAYGH6C4Ac2Nl4AaABAg,True,@SLKPOPMASHUP,"BLACKPINK INTERNATIONAL FANS 
👇👇👇👇💖💖💖💖",1034,2022-08-24T15:02:12Z,2022-08-27T16:11:58Z
UgzO7NVAYGH6C4Ac2Nl4AaABAg.9f6t53T12uV9f6t6isp8_x,UgzO7NVAYGH6C4Ac2Nl4AaABAg,True,@dububerry1412,First reply 😭,271,2022-08-24T15:02:12Z,2022-08-24T15:02:12Z
UgzO7NVAYGH6C4Ac2Nl4AaABAg.9f6t53T12uV9f6t71cP43v,UgzO7NVAYGH6C4Ac2Nl4AaABAg,True,@tuanaa_k,Turkish blinks love you queens!!🖤💖,514,2022-08-24T15:02:15Z,2022-08-24T15:03:43Z
UgyR-Tr8KQF5b29KiYJ4AaABAg,,False,@RobertaCristina-r1k,Amei,0,2025-05-15T09:58:44Z,2025-05-15T09:58:44Z
UgyOan3QU1pCVQ7FHWR4AaABAg,,False,@arifnasCipon-v2c,hotam,0,2025-05-15T09:35:47Z,2025-05-15T09:35:47Z
UgyFsDPUrqXm5aDhLnV4AaABAg,,False,@arifnasCipon-v2c,putih,0,2025-05-15T09:35:33Z,2025-05-15T09:35:33Z
UgxypmVERsdOwcNJe6R4AaABAg,,False,@arifnasCipon-v2c,pink,0,2025-05-15T09:35:26Z,2025-05-15T09:35:26Z
UgwAv1GtmKYFXLO4EwZ4AaABAg,,False,@arifnasCipon-v2c,chocolate,0,2025-05-15T09:35:20Z,2025-05-15T09:35:20Z
UgzaoIEN_oUKF38vsm14AaABAg,,False,@leobeyilopez73,❤❤❤❤ BLak pink,0,2025-05-14T18:03:18Z,2025-05-14T18:03:18Z
UgzuDEofpnyvGW-vQGN4AaABAg,,False,@NatalieZeng2025,I love your videos blackpink I love you,0,2025-05-14T08:16:23Z,2025-05-14T08:16:23Z
UgzA1ASxnD1LT4HGPRp4AaABAg,,False,@Dreamblink013,Blackpink❤,0,2025-05-14T06:24:37Z,2025-05-14T06:24:37Z
UgxvFaFSoWO7O8cB3BR4AaABAg,,False,@Ramelsypayano,Anyone in May 2025 ?,0,2025-05-14T02:15:30Z,2025-05-14T02:15:30Z
Ugxa5jPVv-H7aGOIDMt4AaABAg,,False,@JuanaRodríguezCastaño,Hola las amo,0,2025-05-14T00:41:32Z,2025-05-14T00:41:32Z
Ugw7ojAJaRaj7nSwztJ4AaABAg,,False,@JuanaRodríguezCastaño,Hola las amo,0,2025-05-14T00:41:14Z,2025-05-14T00:41:14Z
Ugwgu9xyFmW8psDaKKV4AaABAg,,False,@gulraizkhan1432,WHAEN LIS OR JISSO SAY STOP DROP IN THE STAGE LISE SAYS COCELLA,0,2025-05-13T18:04:29Z,2025-05-13T18:04:29Z
UgxLxCMXhtd4WlOwlWx4AaABAg,,False,@dilekusta6810,🎉❤🎉❤🎉❤🎉🎉❤çok güzel lisa jennie rose jisoooooo❤❤❤❤,0,2025-05-13T16:08:30Z,2025-05-13T16:08:30Z
UgwdOEK7V4HhPbYCmjx4AaABAg,,False,@NurAfrin-u7u,❤❤❤❤❤❤❤,0,2025-05-13T03:39:26Z,2025-05-13T03:39:26Z
Ugw5JqPOZNe6BYZL_Td4AaABAg,,False,@JOAOot4,Poderosas,0,2025-05-13T01:25:26Z,2025-05-13T01:25:26Z
UgyvodK7VBjgD5m4L_J4AaABAg,,False,@KIYOTAKA_11,I'm trying to dance it 55 times to burn more than 1000 calories 🥲🤷🏻‍♀️,0,2025-05-12T19:08:40Z,2025-05-12T19:08:40Z
UgyJYo0Dg3jGxQO5iGV4AaABAg,,False,@lucileneoliveira9297,I♡ Lisa,0,2025-05-12T14:19:34Z,2025-05-12T14:19:34Z
Ugx3AqC_7HwxDGeJPaJ4AaABAg,,False,@Blak.pink629,3:00❤,0,2025-05-12T04:57:41Z,2025-05-12T04:57:41Z
Ugx1F2ZmTbfliqh8Klp4AaABAg,,False,@4Security-j7e,The ability to learn each step and time it perfectly with every member including backup dancers. That's hard work turned into skill.,1,2025-05-11T23:40:47Z,2025-05-11T23:40:47Z
Ugzto608ZvzLevPwqUh4AaABAg,,False,@paulmusyoka1150,Why are you comparing with rose,0,2025-05-11T19:15:59Z,2025-05-11T19:15:59Z
UgySE40gZD30YCijaNh4AaABAg,,False,@asteriosstathis3708,Please blackpink  come to Greece 😢😢😢😢,0,2025-05-11T17:33:50Z,2025-05-11T17:33:50Z
UgyWgvshd2ZRykwzUGh4AaABAg,,False,@YamnaJamoumeb,ان عندي في المدرسة شهر وانا اتدرب بي الاخير سرت اتقنها بي حرفي ادعولي بتوفيق❤,1,2025-05-11T16:47:39Z,2025-05-11T16:47:39Z
UgyWgvshd2ZRykwzUGh4AaABAg.AHzoxA32ZxTAHzp48GL0Xo,UgyWgvshd2ZRykwzUGh4AaABAg,True,@YamnaJamoumeb,لاكن في عرب عشان يفهموني 😅,0,2025-05-11T16:48:45Z,2025-05-11T16:48:45Z
Ugy1uORxjML1y0sCCSB4AaABAg,,False,@رحيقالورد-ظ1ظ,Rose ❤❤❤❤🎉,0,2025-05-11T15:48:04Z,2025-05-11T15:48:04Z
UgxqHCzRXOzbtizg7FF4AaABAg,,False,@KhoaNguyen-me7lf,Whao! They are so Perfect when standing with 4 members!,1,2025-05-11T09:55:01Z,2025-05-11T09:55:01Z
UgxYFE9fIyqrD66-wtV4AaABAg,,False,@MdAmmar-x5c,Love❤,0,2025-05-11T05:40:24Z,2025-05-11T05:40:24Z
UgxxpFuCZuocQwRZBEN4AaABAg,,False,@HulkarTogayeva-i3j,Hello.very amazing girl😊😊 2:47 2:48 2:48 2:48 2:48 2:48 2:48 2:49 2:49 2:49 2:49 2:49,0,2025-05-11T04:22:40Z,2025-05-11T04:22:40Z
UgyIUDV4QHMnylsJbsV4AaABAg,,False,@user-ke5oe8wf8d,❤❤❤❤❤🎉,0,2025-05-10T21:14:34Z,2025-05-10T21:14:34Z
UgyIppRpkpwtFNfzf-p4AaABAg,,False,@AqahuseinArmizayev,❤❤❤❤❤❤❤,0,2025-05-10T21:09:39Z,2025-05-10T21:09:39Z
Ugx_Vjpk0srTjDk01lR4AaABAg,,False,@سونهبكتاش-ن6ش,واو. 😮😮😮,1,2025-05-10T20:08:03Z,2025-05-10T20:08:03Z
Ugz60z--X0n_i3pTuHV4AaABAg,,False,@ranjithanayak2770,❤ I bring the pain like hits me differently,0,2025-05-10T17:29:45Z,2025-05-10T17:29:45Z
Ugzq3N2hWJvhf-gWOtl4AaABAg,,False,@muhamedoddi217,Blackpink i love you Lisa Rosie  Jenny,1,2025-05-10T16:39:46Z,2025-05-10T16:39:46Z
Ugy3ouaCVVGnd9H3KHN4AaABAg,,False,@muhamedoddi217,I'm a real Blink blackpink in your are,2,2025-05-10T16:38:33Z,2025-05-10T16:38:33Z
UgwnAyiQCrOVUK-ZiUZ4AaABAg,,False,@muhamedoddi217,I love blackpink,2,2025-05-10T16:37:20Z,2025-05-10T16:37:20Z
UgzqEhScgkLsFwmwJlx4AaABAg,,False,@KubranurIsk-xq4ol,Blakpink,1,2025-05-10T15:44:37Z,2025-05-10T15:44:37Z
UgxH3TkoIp0qqDbB9tJ4AaABAg,,False,@duckbufflehead6294,Rose really stands out here,2,2025-05-10T11:25:44Z,2025-05-10T11:25:44Z
UgyO3Iz7Vfq7z-2SBsd4AaABAg,,False,@duckbufflehead6294,Rose stands out here,1,2025-05-10T11:25:24Z,2025-05-10T11:25:24Z
UgylVqxjE1uge7_j-k14AaABAg,,False,@duckbufflehead6294,Stream Rosé’s Messy track for F1 movie!!!,1,2025-05-10T11:25:14Z,2025-05-10T11:25:14Z
UgwK9lgmler47EIBXL14AaABAg,,False,@ElifSöyleyici-e2u,Ay lovesssss❤,1,2025-05-10T10:34:06Z,2025-05-10T10:34:06Z
UgzjUXSrMubXvYeFrKx4AaABAg,,False,@RomeoIllescas-s5x,❤❤❤❤❤❤❤👏👏👏👏👏👏👏⭐⭐⭐⭐⭐⭐⭐👑👑👑👑👑👑👑2025.,0,2025-05-10T09:59:40Z,2025-05-10T09:59:40Z
Ugy2sKH8uZ1sxTTKg_94AaABAg,,False,@MaryamaCambe,Pink venom .out now,2,2025-05-10T08:01:30Z,2025-05-10T08:01:30Z
Ugzh2ZBGREoAKIQTqtt4AaABAg,,False,@TubatuMoa0,"Lass amoo pinkss,son muy genialess",1,2025-05-10T03:32:02Z,2025-05-10T03:32:02Z
Ugwm-9gY3O6oKzoaIMB4AaABAg,,False,@victoribfr,Love 😊🪡💻🖱,0,2025-05-09T23:52:36Z,2025-05-09T23:52:36Z
UgwIqStmRrJpiz_TCWJ4AaABAg,,False,@MetinMetin-u7l,Koma sungurlar koparsa Kasım ama japonyalı,0,2025-05-09T18:42:11Z,2025-05-09T18:42:11Z
UgycvOx4YLhzvX6yQnt4AaABAg,,False,@robloxneseliparti,有土耳其人嗎？🤔,0,2025-05-09T17:27:40Z,2025-05-09T17:27:40Z
UgzIC2WlW2WXrw7hEft4AaABAg,,False,@Tamjaicu,🎉🎉,0,2025-05-09T17:04:36Z,2025-05-09T17:04:36Z
Ugwiz3NPq76cRg2VpXh4AaABAg,,False,@Lovebusandbabymonter,I'm here 2025❤,2,2025-05-09T10:27:09Z,2025-05-09T10:27:09Z
UgyaiJOV6HHn2Ib73Zx4AaABAg,,False,@TaylorDestanSwift,❤♡Selena Denisa Sasha Delevingne 31.12.2056♡❤,1,2025-05-09T08:11:33Z,2025-05-09T08:11:33Z
Ugy1XEog_8AjQXHfZOt4AaABAg,,False,@petronelakrezelhigi,❤❤❤,0,2025-05-08T16:54:00Z,2025-05-08T16:54:00Z
Ugw8cy0hrcyxAcC0UD14AaABAg,,False,@Yumna-gt1qr,كل مسلم هنا رح يفهم ليش جني في النار,0,2025-05-08T12:34:47Z,2025-05-08T12:34:47Z
UgyZOeofaYmA_qFPCet4AaABAg,,False,@reperf13,каким надо быть гением чтобы девочки танцевали в черных штанах на черном фоне!?,0,2025-05-08T11:48:12Z,2025-05-08T11:48:12Z
Ugy5LhJdiajK4FbS6hZ4AaABAg,,False,@RiniRahayu-hj7hq,I like black pink,0,2025-05-08T11:39:18Z,2025-05-08T11:39:18Z
Ugy78OJBS_binelIhyt4AaABAg,,False,@ترف-ش1خ,محمود ❤ اناترف 😅٣,0,2025-05-08T08:42:11Z,2025-05-08T08:42:11Z
UgwBb279Qj9CJuqjGV14AaABAg,,False,@Uzairking-e1l,Jisoo lisa is so beautiful in this dress❤❤,0,2025-05-08T01:01:27Z,2025-05-08T01:01:27Z
UgzCaRe-HJxkneRD_cZ4AaABAg,,False,@555fai7,Who else is seeing in London,0,2025-05-08T01:01:08Z,2025-05-08T01:01:08Z
UgyPHtpocmaJYqxuhLN4AaABAg,,False,@beenasharma9532,❤❤❤❤❤i am your very very big fan ❤❤❤❤❤❤,0,2025-05-07T17:51:41Z,2025-05-07T17:51:41Z
UgxXgakvBdYYp06ku794AaABAg,,False,@cattysubliminals,Everyone’s a great dancer here but Lisa 😍❤ Love her moves the most and her attitude while dancing.,0,2025-05-07T11:22:08Z,2025-05-07T11:22:08Z
