comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyTPOrbks-6BZNo6Lh4AaABAg,,False,@Karakat-p4e,?,0,2025-05-11T11:43:17Z,2025-05-11T11:43:17Z
Ugwb8qdyrNg-vwyvh1t4AaABAg,,False,@jeraa_xoxo95,Let's go for 1M !!,0,2025-05-03T14:05:14Z,2025-05-03T14:05:14Z
UgzORg-lFkftt9FJJpl4AaABAg,,False,@shurruistaken,REMEMBER ME! FOR CENTURIES 🗣️🗣️🗣️🗣️🗣️🗣️,0,2025-05-02T17:15:06Z,2025-05-02T17:15:06Z
UgzxkQbdw4w98iHAlbN4AaABAg,,False,@Jrox721,My dumbass be like: FOR CENTURIES! REMEMBER ME FOR CENTURIES!,1,2025-04-29T18:49:41Z,2025-04-29T18:49:41Z
UgyL21q3X6fws217Szh4AaABAg,,False,@user-ko7ke6gp8z,"この曲もI AMみたいに素敵で自然な日本語訳で歌って欲しい
今までの中で一番を争うくらい好きPVも
幸運はいつも私の味方って歌詞が一番好き",0,2025-04-27T16:32:38Z,2025-04-27T16:32:38Z
Ugwsb5vR7e87_1vEkpx4AaABAg,,False,@moka20-w1u,"이 노래가 발매된 지 두 달이 지났지만, 저는 매일 이 노래를 듣고 있는데, 아직도 이 멋진 노래를 잊을 수가 없습니다. ❤",1,2025-04-25T10:59:02Z,2025-04-25T10:59:02Z
UgyLLV31pYABjuaYT5V4AaABAg,,False,@mariofan939,0:31 it said the N word offensive song,0,2025-04-24T02:37:30Z,2025-04-24T02:37:30Z
UgyLLV31pYABjuaYT5V4AaABAg.AHHX8dz5C_oAHItJFU0p1k,UgyLLV31pYABjuaYT5V4AaABAg,True,@paradiseof13,K,0,2025-04-24T15:19:10Z,2025-04-24T15:19:10Z
UgyLLV31pYABjuaYT5V4AaABAg.AHHX8dz5C_oAHhcGqq14zO,UgyLLV31pYABjuaYT5V4AaABAg,True,@_nana_nana,"It's a word in korean not english 
Before saying such things you should check offical lyrics,not what your heard",0,2025-05-04T15:10:33Z,2025-05-04T15:10:33Z
UgyHDmem-25uKUY2Kph4AaABAg,,False,@Stinkystinky_official,https://youtu.be/YeFcy2elo9U?si=2kCPaSW5n-F0vm_j,0,2025-04-15T21:13:56Z,2025-04-15T21:13:56Z
UgyNTtP8fcP6_hsGFIF4AaABAg,,False,@Stinkystinky_official,https://youtu.be/YeFcy2elo9U?si=i9ukZ1DSRAOyZsB5,0,2025-04-14T21:49:43Z,2025-04-14T21:49:43Z
UgxWioUGkAa2F2OV4pN4AaABAg,,False,@Stinkystinky_official,https://youtu.be/YeFcy2elo9U?si=A-MMXAGIz292TWTm,0,2025-04-13T20:54:27Z,2025-04-13T20:54:27Z
Ugw1G5L75VgPTaMNopR4AaABAg,,False,@MariaMarilala,I love IVE💗💗💗💗💗💗💗,0,2025-04-11T20:43:26Z,2025-04-11T20:43:26Z
UgxeYQAUNAopSgARlKp4AaABAg,,False,@Mya.x_2,0:28,0,2025-04-11T09:09:39Z,2025-04-11T09:09:39Z
UgyQ2Labs7gqcKOCJlB4AaABAg,,False,@Stinkystinky_official,https://youtu.be/YeFcy2elo9U?si=lNqlYdG8bOUPP9JV,0,2025-04-09T20:45:20Z,2025-04-09T20:45:20Z
Ugwpm9EIpbyEGQUfO1F4AaABAg,,False,@Stinkystinky_official,https://youtu.be/YeFcy2elo9U?si=Iwkou9Qij2x7dtnQ,0,2025-04-08T21:43:11Z,2025-04-08T21:43:11Z
Ugzu5O4c2P44DIvJ5Zh4AaABAg,,False,@초록이-j5q,🎉😮,1,2025-04-08T01:30:09Z,2025-04-08T01:30:09Z
UgyPVliBrcL0zDxUfJZ4AaABAg,,False,@Stinkystinky_official,https://youtu.be/YeFcy2elo9U?si=OfpbLkDLCOEarGRp,0,2025-04-06T22:00:21Z,2025-04-06T22:00:21Z
UgzRbu4ur5OHC6eIZut4AaABAg,,False,@bi11lietsuki,y'all people don't get how GOOD this song is like it EATSSSS DEOWNNNNNN,1,2025-04-05T22:40:57Z,2025-04-05T22:40:57Z
UgyOrPOzBKOHZnKsfxh4AaABAg,,False,@themostbeautifultheyintheworld,Tom's Diner,0,2025-04-05T13:20:36Z,2025-04-05T13:20:36Z
Ugyg4vrZ2OUTjqPjbSZ4AaABAg,,False,@Stinkystinky_official,https://youtu.be/YeFcy2elo9U?si=ElPooUz34pmpMZNj,0,2025-04-03T20:09:29Z,2025-04-03T20:09:29Z
UgxKsnIiKp9BNbYJSgR4AaABAg,,False,@Stinkystinky_official,https://youtu.be/YeFcy2elo9U?si=eOw4baQcKyyj111Q,0,2025-04-02T20:32:46Z,2025-04-02T20:32:46Z
Ugz7jMzu-ueM1dW-jeN4AaABAg,,False,@vale-y9j,I love this song 💗💗💗💗,0,2025-04-02T20:24:59Z,2025-04-02T20:24:59Z
Ugzg6n97z1UflbbiINN4AaABAg,,False,@Stinkystinky_official,https://youtu.be/YeFcy2elo9U?si=k5yiH1W0j53B8tNK,0,2025-04-01T21:07:02Z,2025-04-01T21:07:02Z
UgzkKdQTasu_12NWnqN4AaABAg,,False,@김평묵-f9v4x,아이브장원영너무에뻐요래이생일축아해🎉🎉,1,2025-03-29T02:41:56Z,2025-03-29T02:41:56Z
UgwpmZi9Hp32mdgxCyx4AaABAg,,False,@전재숙-u1s,😅😊🎉❤,0,2025-03-28T05:49:34Z,2025-03-28T05:49:34Z
Ugwcz3uFokPHOn3_zqJ4AaABAg,,False,@MikaelaDeLeon-i2l,Wheres lizzz high noteeeee😢,0,2025-03-27T21:20:18Z,2025-03-27T21:20:18Z
UgxlWtyEnHK4C__ZoWl4AaABAg,,False,@SweetMickey,0:36 ❤,0,2025-03-22T16:31:32Z,2025-03-22T16:31:32Z
Ugy0tC5WM5X86B_vW0J4AaABAg,,False,@ZeroBBS,중독성 확실한 폭주기니,0,2025-03-20T17:55:02Z,2025-03-20T17:55:02Z
Ugw1FJgHH7sk26krq8F4AaABAg,,False,@유링만바라보는뽀링,이고 이제 내꺼😊,0,2025-03-20T12:03:10Z,2025-03-20T12:03:10Z
Ugy8YneYrzinFl1ZQZh4AaABAg,,False,@朱里-r5h,サビ前のリズの高音パート最高するぎる👀‼️,1,2025-03-20T09:01:34Z,2025-03-23T04:04:34Z
UgyI6AbjP6orsBzWSTZ4AaABAg,,False,@Stinkystinky_official,https://youtu.be/YeFcy2elo9U?si=EurLnFSudUMZ0plK,1,2025-03-19T16:01:41Z,2025-03-19T16:01:41Z
UgwX1jD3Qw7UPQCbTgx4AaABAg,,False,@MINJU我愛霸軒小美,I like 1:52,0,2025-03-18T12:46:12Z,2025-03-18T12:46:12Z
UgzR-KbU0fiIb7nPL6J4AaABAg,,False,@Lena0728love,이곡으로 학예외  동생이랑 그친구랑 하기로했어요 곡 만들어주셔서 감삼당 ㅍㅎㅎ,1,2025-03-18T12:09:30Z,2025-03-18T12:09:30Z
