comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwHNHRY-WGRbbJyRPx4AaABAg,,False,@helpimstuckintaesansbasement,wild taeil,5,2024-08-29T23:20:58Z,2024-08-29T23:20:58Z
UgwHNHRY-WGRbbJyRPx4AaABAg.A7jvFnPzoyPA7mmXDZT_W3,UgwHNHRY-WGRbbJyRPx4AaABAg,True,@hawaiivibes1339,Frr,0,2024-08-31T02:02:26Z,2024-08-31T02:02:26Z
UgyAhhQCF_CUFpgUIul4AaABAg,,False,@blue70033,OMG! YangYang and Kun are so sexy here. I love how they dance this.,0,2024-02-08T01:57:35Z,2024-02-08T01:57:35Z
UgwXGT4ZjiC3DZmtoch4AaABAg,,False,@보경김-q8k,이노래 제 알람이랑 벨소리에용,0,2024-02-02T13:50:19Z,2024-02-02T13:50:19Z
Ugwi3AJ0FfDzrxa4V3V4AaABAg,,False,@error0281,Two oldest one maknae,0,2024-01-06T08:38:43Z,2024-01-06T08:38:43Z
Ugy2ucBJVXLgCI4RUlZ4AaABAg,,False,@anvc1910,"Taeil handsome, pretty eyes",0,2023-06-23T07:31:05Z,2023-06-23T07:31:05Z
Ugw9c4YLo5ANqAHbaot4AaABAg,,False,@khen4925,Moon Taeil ❤❤❤,1,2023-06-15T13:10:43Z,2023-06-15T13:10:43Z
UgzCItBKUi3HnXUW1S54AaABAg,,False,@yunovalentine,taeil looks so handsome and tall,2,2023-05-13T18:39:09Z,2023-05-13T18:39:09Z
UgwlWavymg7Zag2OSqh4AaABAg,,False,@mwtg1687,テイリぴょんに会いたい😢,1,2023-05-13T00:14:27Z,2023-05-13T00:14:27Z
UgzAANAISWsr-0uEIK14AaABAg,,False,@hdh020406,뭐 때문인지 모르겠는데 왜 이리 우리 이모들같냐..ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2023-04-27T08:46:46Z,2023-04-27T08:46:46Z
UgzYeqUiImXut-pRLdN4AaABAg,,False,@ЛюдаРыженкова-ю8н,"парни, рубашки заправляйте правильно
полностью,выПАРНИ!!!",0,2023-04-17T06:19:09Z,2023-04-17T06:19:09Z
UgzoYOL2Zeh36kozFf54AaABAg,,False,@wayvislife,Yangyang omg so cute,1,2023-04-01T22:21:31Z,2023-04-01T22:21:31Z
UgwKj35KJILkZzUAiJZ4AaABAg,,False,@youmyumyy,Wahh Kerennnnn,0,2023-03-09T13:20:01Z,2023-03-09T13:20:01Z
Ugy3GNQLh-XkFzMvSnd4AaABAg,,False,@xdivaax,cおおl,0,2023-02-23T06:46:02Z,2023-02-23T06:46:02Z
Ugy4rAm2zn0PvPhrDc94AaABAg,,False,@ersindurmusoglu6292,woow,0,2023-02-09T06:30:28Z,2023-02-09T06:30:28Z
Ugw3EuZQkWwnIj8HKX54AaABAg,,False,@keshianagaria3849,Cuteee,0,2023-02-07T14:56:46Z,2023-02-07T14:56:46Z
UgwSyAq5Niy8OeTXgjZ4AaABAg,,False,@EnhypenxEngene_forever,Whos the one with the white shirt,0,2023-02-06T12:45:41Z,2023-02-06T12:45:41Z
UgwSyAq5Niy8OeTXgjZ4AaABAg.9ln4S4Ic0TT9mqTY2S1HMs,UgwSyAq5Niy8OeTXgjZ4AaABAg,True,@laendriastudio,Yangyang WAYV,0,2023-03-04T16:54:04Z,2023-03-04T16:54:04Z
UgysmJ1NE8VE4Hi9S_J4AaABAg,,False,@miapram9377,OmG,0,2023-02-02T09:22:04Z,2023-02-02T09:22:04Z
UgwJ0E1iDVayKQIk-vh4AaABAg,,False,@bfbf7464,"NCT: Let´s party
Taeil: Let´s take it easy boys **vibe in oldest**",0,2023-02-01T19:43:09Z,2023-02-01T19:43:09Z
UgycyCfuWOr8S3CTQa14AaABAg,,False,@vishal0522,Yang Yang really got the vibe,0,2023-01-23T14:13:32Z,2023-01-23T14:13:32Z
UgxtkWusSDj5RJoXZF54AaABAg,,False,@云平暮,锟哥啊！,0,2023-01-21T11:51:02Z,2023-01-21T11:51:02Z
UgxduLCNGnkpjjZAsaV4AaABAg,,False,@jaymaebel777,🥰🥰💗,0,2023-01-12T09:03:41Z,2023-01-12T09:03:41Z
UgzZg9u0wjKLe-eyqdp4AaABAg,,False,@HENDERRRRY,Gaypop idolleri sizin köpeğiniz olsun. Yaşiom sizin için,0,2022-12-27T19:56:19Z,2022-12-27T19:56:19Z
UgxO9hiipnki6ZEoSpV4AaABAg,,False,@teumenctzen2190,Lmao the energy to youngest to oldest 😭😂,0,2022-12-22T20:08:49Z,2022-12-22T20:08:57Z
Ugy0jZyH5WIlS9jY-iF4AaABAg,,False,@creativeunnie9916,Cute,0,2022-12-22T19:47:19Z,2022-12-22T19:47:19Z
Ugx-CCu9eeh3xmTZdBF4AaABAg,,False,@wayonosrc7943,Sangat kiyowook Sekali,0,2022-12-05T10:02:08Z,2022-12-05T10:02:08Z
UgxGfxWkm001UbGrH994AaABAg,,False,@user-thsunydy_Carat_teume_18,Kun ge senyumnya manis,0,2022-12-03T11:49:28Z,2022-12-03T11:49:28Z
UgyWvPZE9tuQ-3Fk_AR4AaABAg,,False,@user-thsunydy_Carat_teume_18,Bang taeil gak kalah gemes dari kamu yang..haha,0,2022-12-03T11:49:07Z,2022-12-03T11:49:07Z
UgzYZGqEuAFwl8cp0QN4AaABAg,,False,@user-thsunydy_Carat_teume_18,Yangyang emang gemes kok,0,2022-12-03T11:48:53Z,2022-12-03T11:48:53Z
UgyKwEMpmaL3fjDEpMZ4AaABAg,,False,@김하연여행유튜버,문태일 춤진짜잘춰,1,2022-12-03T02:41:42Z,2022-12-03T02:41:42Z
Ugzvu3FYVhi9B4n7V-d4AaABAg,,False,@wooyes99,문태일💛,1,2022-11-21T09:26:40Z,2022-11-21T09:26:40Z
Ugy7Z316oDNQ8gsCZm54AaABAg,,False,@essiegould_ex.v9700,Duo Hyung yang sedang ngemong bayi nya Ten ❤️ ❤️👏😂,0,2022-11-13T13:35:07Z,2022-11-13T13:35:07Z
Ugx_06luCIxDtjEx9XN4AaABAg,,False,@hikinikudesu,"やる気
>>>>>",0,2022-11-03T15:33:50Z,2022-11-03T15:33:50Z
UgzMcl52kzH1yH6neyh4AaABAg,,False,@bulanbintang7493,I love you so much for following,1,2022-11-03T13:18:40Z,2022-11-03T13:18:40Z
UgxqwdOQi8QBL2AnlO94AaABAg,,False,@jarassrichaisiri1480,love all,0,2022-11-01T15:07:50Z,2022-11-01T15:07:50Z
Ugx5fknVKq83A3bqJ1B4AaABAg,,False,@mamidiniramalia,Nice dance,0,2022-11-01T14:59:09Z,2022-11-01T14:59:09Z
Ugw5bN3gbEA4wm8xb4l4AaABAg,,False,@chanhun6194,"Baca komentar"" malah makin ngakak 😂😂",0,2022-10-08T22:23:34Z,2022-10-08T22:23:34Z
