comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzzmNvr_NwcaT2_nCB4AaABAg,,False,@nastehoJamma,Bro all of them were a 10000 out 10 not ONLY eunchae,0,2025-05-20T13:53:43Z,2025-05-20T13:53:43Z
UgzwzMMg0OjvmGHKmeB4AaABAg,,False,@6akce9,Yunjin is a 10/10 to me,0,2025-05-20T07:40:56Z,2025-05-20T07:40:56Z
Ugy7-9B6fTuk-g_m4XF4AaABAg,,False,@arpitasharma8955,EUNCHAE 😘😍🥰😻❤💟,0,2025-05-18T18:09:32Z,2025-05-18T18:09:32Z
Ugy77qBpo_2h45g9CkJ4AaABAg,,False,@StevieB-123,"Haha, I choose 🚪#3! 😊",0,2025-05-17T14:25:21Z,2025-05-17T14:25:21Z
UgxGY2X3vPjuvMVjr5J4AaABAg,,False,@newtonukiszfiszfawnv,Your consistency is inspiring—keep going,0,2025-05-17T13:17:43Z,2025-05-17T13:17:43Z
Ugy5GNnGelJ01JfPckZ4AaABAg,,False,@shinichimochimaru7768,히죽거리다😂,0,2025-05-16T16:35:13Z,2025-05-16T16:35:13Z
Ugz2m1bMNczg3Ga0fIZ4AaABAg,,False,@PospaRaj-o7g,Who else is here before this blows up,0,2025-05-16T12:45:53Z,2025-05-16T12:45:53Z
UgzTqn_FvBCuI3-pWvh4AaABAg,,False,@KimYuri-e1l,"YUNJIN: twirling 
Chaewon : sliding 
Eunchae: so come over come over and -",0,2025-05-15T05:44:40Z,2025-05-15T05:44:40Z
UgxxMUmuzjOlCjF69Ul4AaABAg,,False,@TimmyWeinreich,This deserves way more views. Absolutely underrated,0,2025-05-15T04:44:22Z,2025-05-15T04:44:22Z
UgxyqCVT67RMXXm7QVt4AaABAg,,False,@jrus1782,❤️,0,2025-05-14T17:22:15Z,2025-05-14T17:22:15Z
UgyEbvP1JOjuMTf0GdJ4AaABAg,,False,@RenzoFoteza,❤❤❤❤,0,2025-05-14T16:49:24Z,2025-05-14T16:49:24Z
UgwUZSDsfV_PHlZcBTt4AaABAg,,False,@michaelmunno,Chaewon best IMO,0,2025-05-12T23:34:05Z,2025-05-12T23:34:05Z
UgxajmsymTQMGzbGQ8d4AaABAg,,False,@midshipsport,Are they discriminating against the Jap girls?!,0,2025-05-12T13:11:02Z,2025-05-12T13:11:02Z
