comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyMgfv7h5FeRUzx0tx4AaABAg,,False,@khen4925,Moon Taeil ❤,0,2023-06-15T13:10:20Z,2023-06-15T13:10:20Z
UgwhNaoX-buDJ7WHqoR4AaABAg,,False,@martyanaekyfirdausi1797,Nonton dimana sih acara ini ada subindo nya gaa?,0,2023-05-24T02:05:08Z,2023-05-24T02:05:08Z
UgwhNaoX-buDJ7WHqoR4AaABAg.9q4SC9JHDX59qYjCubmp75,UgwhNaoX-buDJ7WHqoR4AaABAg,True,@neonotcultured,"There are 3 parts
Here is the 1st one: https://youtu.be/OSs8RokO4nM",0,2023-06-04T20:19:44Z,2023-06-04T20:19:44Z
UgzpZOWV4XATxzOVfAh4AaABAg,,False,@nitanita2380,푸마 NCT 응원해주세요,0,2023-05-02T06:41:16Z,2023-05-02T06:41:16Z
Ugwpe0siOfw9mZw-NL14AaABAg,,False,@ЛюдаРыженкова-ю8н,"НКТ В ВЫСТУПЛЕНИЯХ
МОЛОДЦЫ!!!",0,2023-04-17T06:31:07Z,2023-04-17T06:31:07Z
UgwUruDqwQnnwPzxFb54AaABAg,,False,@여름-u9n,"Puma either be super proud or be regretting their choices after watching this nct show 😆
Go PUMA x NCT!!! 💚💚💚",0,2023-03-30T13:04:37Z,2023-03-30T13:04:37Z
UgwqaGX48NHXZET5eTJ4AaABAg,,False,@여름-u9n,This whole episode was so iconic 😭i was laughing my stomach 😭😭🤣. I just love them so much. They're all rounder,0,2023-03-30T13:04:31Z,2023-03-30T13:04:31Z
UgwKjPoQLr3GoSdyg8p4AaABAg,,False,@ersindurmusoglu6292,👟👟💼NCT,0,2023-02-09T06:28:32Z,2023-02-09T06:28:32Z
Ugx7URIDb4EtAUfwA1h4AaABAg,,False,@SM-lg3mn,"I was laughing so much watching this, I didn't realize then it was an ad",0,2023-01-31T15:57:44Z,2023-01-31T15:57:44Z
UgzwwN9lwk6O6nM9kJN4AaABAg,,False,@ray5994,i haven’t seen a better marketing strategy since,0,2023-01-24T23:11:35Z,2023-01-24T23:11:35Z
