comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugx0AUl5Ckq3pebf8cJ4AaABAg,,False,@Haerin-v5i,Winter,0,2025-02-05T22:35:30Z,2025-02-05T22:35:30Z
UgyUKoxwNSTAhBn2SAh4AaABAg,,False,@Haerin-v5i,❤,0,2025-02-05T22:35:22Z,2025-02-05T22:35:22Z
UgyHfgYbpKfkRdparh54AaABAg,,False,@PPKarreola,🌹🖤🌹,0,2025-01-21T21:28:38Z,2025-01-21T21:28:38Z
UgyOyIAPzmnwWy81L754AaABAg,,False,@Moonphoria97,Who's that? That's not Winter lol,0,2025-01-17T02:57:27Z,2025-01-17T02:57:27Z
Ugwk77ghNbMPyW4-rLB4AaABAg,,False,@えええ20,"Whisplash is having a y3k concept(outfits and other stuff), and i LOVE IT. This outfit from winter matches also the vibe to it.",3,2025-01-05T13:28:31Z,2025-01-05T13:28:54Z
UgwPMTCk1NqpIYz3mcF4AaABAg,,False,@lesiguezianat.2770,Wishing they can turn their ae as digital assistant like siri hahahaha,0,2025-01-02T05:29:26Z,2025-01-02T05:29:26Z
UgysbizPg_5J-2r4CVt4AaABAg,,False,@nguyenvannghia324,Đùa game này mà chỉ 1.2gb,0,2025-01-01T18:24:25Z,2025-01-01T18:24:25Z
Ugyujp0IxgBK_nc1R114AaABAg,,False,@Itz_roxanne12345,Happy new year🎉,0,2024-12-31T22:50:14Z,2024-12-31T22:50:14Z
UgywUcYgRJfsp2ZvMR54AaABAg,,False,@ohwhatsarcasm,my garry's mod model seconds before flying into the stratosphere,0,2024-12-31T05:53:01Z,2024-12-31T05:53:01Z
Ugx_D9f4fGOUVnc8S1N4AaABAg,,False,@aqua2767,THATS SO UNREAL WTH,0,2024-12-29T20:31:16Z,2024-12-29T20:31:16Z
Ugzrj3VTgrQpaULbPIN4AaABAg,,False,@loveulovely-1,А теперь покажите такие пропорции в реальности,0,2024-12-29T14:45:43Z,2024-12-29T14:45:43Z
UgyEI7Brz02yo-nG7U94AaABAg,,False,@KAMK_2.0,"Me if I have children:
-Dad dad, is it Barbie ?
-Nah darling, it's Winter",0,2024-12-26T01:35:34Z,2024-12-26T01:35:34Z
UgzcJlGA05xfmQDgFeZ4AaABAg,,False,@MinSoyeonPC,The real AI concept,0,2024-12-22T11:35:57Z,2024-12-22T11:36:11Z
UgyIiIyVpwPqyfqJNhR4AaABAg,,False,@oooo-g6v4q,اخرة لبس واخرة جسم، مع احترامي. ❤❤,0,2024-12-20T19:02:26Z,2024-12-20T19:02:26Z
Ugw1WA-V0BCZaFCc6ch4AaABAg,,False,@munch4ice,let winter wear her winter suit,0,2024-12-20T00:07:26Z,2024-12-20T00:07:26Z
Ugysq9M7Kr-toPPkcsZ4AaABAg,,False,@umbra268,the popcorn back in the microwave:,0,2024-12-18T13:12:24Z,2024-12-18T13:12:24Z
UgxhEGy9cHzPdnlXnKJ4AaABAg,,False,@三枚おろし-v5z,フォートナイトで使いたい,0,2024-12-18T05:21:25Z,2024-12-18T05:21:25Z
UgyOOTSZTqXhRiTdcx14AaABAg,,False,@ALG.BLAZ3,Bro what' the .... What is that,0,2024-12-14T13:53:23Z,2024-12-14T13:53:23Z
Ugw7tD625asggASig_x4AaABAg,,False,@FlavioSantosSousa,TOP demais ❤❤❤❤❤❤❤,0,2024-12-14T00:05:51Z,2024-12-14T00:05:51Z
Ugxo70uwyytdbIOQJ9R4AaABAg,,False,@handlemywayouttahere,Not me thinking this was ae-giselle 😭,0,2024-12-05T04:17:53Z,2024-12-05T04:17:53Z
Ugz8MK4-w45OBYdSKG54AaABAg,,False,@ICONIC_OLIVA,ITS GIVING BODY ATE,2,2024-12-03T07:48:52Z,2024-12-03T07:48:52Z
UgyKaUSNrrJk7SPbWi54AaABAg,,False,@moreamour2869,Why are they making her look so unhealthy thin 😭,2,2024-12-02T09:57:03Z,2024-12-02T09:57:03Z
UgwVPZCYERvYLx0XB8R4AaABAg,,False,@サラサラ-g3w,この人は誰？,0,2024-11-30T22:03:12Z,2024-11-30T22:03:12Z
UgwVPZCYERvYLx0XB8R4AaABAg.ABUFHSYBq3rABcXxFQUs2S,UgwVPZCYERvYLx0XB8R4AaABAg,True,@lokesh_0805,æ-Winter,0,2024-12-04T12:39:29Z,2024-12-04T12:39:29Z
UgwV14Nq8ZB3nKjfKxl4AaABAg,,False,@AugustiaMbon,"Wouah trop bien le design,on Sens bien l'énergie de la chanson j'aime beaucoup 😍, là vous avez 1000 d'aura respect 💯",1,2024-11-25T21:53:36Z,2024-11-25T21:53:36Z
UgwhmlONz4wV07uUOGV4AaABAg,,False,@micabryant4513,Is that a doll or cg?,0,2024-11-24T20:54:37Z,2024-11-24T20:54:37Z
UgzVwKCkOb2sc8eVt4t4AaABAg,,False,@masarfaisal4267,Why am I scared,1,2024-11-24T14:29:34Z,2024-11-24T14:29:34Z
UgzpqtFMrkj-o7sKVb94AaABAg,,False,@Navysell9,로봇같다,1,2024-11-24T11:42:19Z,2024-11-24T11:42:19Z
UgzF3dljx74FOpThJmp4AaABAg,,False,@user-niconiiii,美しすぎて回ってる間ずっと息できなかった,1,2024-11-24T04:48:23Z,2024-11-24T04:48:23Z
Ugwm-ceMck0iZ8HF92p4AaABAg,,False,@robmain6921,WINTER ARC 🥶🥶🥶🥶 THOSE WHO SNOW: 🗿🗿🗿,2,2024-11-24T01:57:26Z,2024-11-24T01:57:26Z
Ugzx0mggXB2cqfto82x4AaABAg,,False,@user-ql8wf5fs9o,ち,0,2024-11-23T12:08:27Z,2024-11-23T12:08:27Z
Ugx--XB_joc8WZe3nDp4AaABAg,,False,@쉑뤡,쇠맛 최고야 짜릿해!,0,2024-11-13T14:18:06Z,2024-11-13T14:18:06Z
UgycXPUeolX5qS63biJ4AaABAg,,False,@mini_zzi,"미래적
내스탈 ❤",1,2024-11-08T12:48:17Z,2024-11-08T12:48:17Z
UgxkfxvwA3f60izhmGh4AaABAg,,False,@hailey.yuyuha,THIS IS SO ICONIC,65,2024-11-07T18:39:41Z,2024-11-07T18:39:41Z
Ugyp42db7OF8icQ76qZ4AaABAg,,False,@mnasic-vb4hn,🫅⛵️🦋,0,2024-11-06T18:53:30Z,2024-11-06T18:53:30Z
UgxT78mKZItAhR29BBd4AaABAg,,False,@SainKail,Winter Prime pack 1200plat,1,2024-11-03T12:45:33Z,2024-11-03T12:45:33Z
UgyS98Dpbu6OHykmuZV4AaABAg,,False,@syasol8131,Loreen ❤😅,1,2024-11-02T16:34:17Z,2024-11-02T16:34:17Z
UgzEmfPPzhAGwA7GvQJ4AaABAg,,False,@lvancity,갑자기 달려올까봐 개쫄음,0,2024-11-01T16:46:11Z,2024-11-01T16:46:11Z
UgxZmw67Bwcg8cU3uat4AaABAg,,False,@LeylaNamazova-q8f,Winter❤❤❤,1,2024-11-01T10:05:58Z,2024-11-01T10:05:58Z
UgyBwuoH00zkRvp5Gpl4AaABAg,,False,@Agshudjjajsixcvoovqndiw,와...............,0,2024-11-01T06:21:10Z,2024-11-01T06:21:10Z
UgyLgIR5m5sEAFIQ-1d4AaABAg,,False,@1lovaespa,THE OUTFIT❤,13,2024-10-31T20:55:10Z,2024-10-31T20:55:10Z
UgxMiqjPWQeUeK7tK-J4AaABAg,,False,@bebika_0,Are they human or AI??,0,2024-10-31T11:37:54Z,2024-10-31T11:37:54Z
Ugzwy9Lmd-10-prjeEl4AaABAg,,False,@markusgibson2791,"WINTER, HAS A POWER HOUSE VOICE AND AMAIZING DANCE MOVES, AND WITH THIS FUTURISTIC LOOK!, SHE'S AN ALIEN SUPER BEING COMING TO EARTH TO SHARE HER ABILITIES WITH THE WORLD. AND HER VOCAL RANGE IS ANGELIC AND HEAVEN SENT. ABSOLUTELY BEAUTIFUL WITH THIS LOOK. ENOUGH SAID!..🎉🎉❤❤❤",3,2024-10-31T06:53:28Z,2024-10-31T06:53:28Z
UgyqKYkE-5IGDKfLvAd4AaABAg,,False,@Birimonsuta,They really caked up the ae-winter😂😂❤❤❤❤,1,2024-10-30T00:53:09Z,2024-10-30T00:53:09Z
UgyqKYkE-5IGDKfLvAd4AaABAg.AAC9IGXT8buABCdVEVmtWU,UgyqKYkE-5IGDKfLvAd4AaABAg,True,@robmain6921,WINTER ARC 🥶🥶🥶🥶 THOSE WHO SNOW: 🗿🗿🗿,0,2024-11-24T01:57:12Z,2024-11-24T01:57:12Z
UgyqKYkE-5IGDKfLvAd4AaABAg.AAC9IGXT8buABCdVkqoUra,UgyqKYkE-5IGDKfLvAd4AaABAg,True,@robmain6921,WINTER ARC 🥶🥶🥶🥶 THOSE WHO SNOW: 🗿🗿🗿,0,2024-11-24T01:57:16Z,2024-11-24T01:57:16Z
UgyqKYkE-5IGDKfLvAd4AaABAg.AAC9IGXT8buABCdWPfO9Ve,UgyqKYkE-5IGDKfLvAd4AaABAg,True,@robmain6921,WINTER ARC 🥶🥶🥶🥶 THOSE WHO SNOW: 🗿🗿🗿,0,2024-11-24T01:57:21Z,2024-11-24T01:57:21Z
UgyoR5UuHR5_-dgPg914AaABAg,,False,@ernestoraulrojasrumrrill5383,que buen oufit para winter le va a quedar super bien,0,2024-10-26T22:19:47Z,2024-10-26T22:19:47Z
Ugyo3sfihZib1dazY994AaABAg,,False,@ebenezer8058,What in the Holy cringe is this.,0,2024-10-26T10:40:41Z,2024-10-26T10:40:41Z
UgyPsoVVc6TnaCTvJXp4AaABAg,,False,@nehirsdansworld,Funny😂,0,2024-10-26T07:49:34Z,2024-10-26T07:49:34Z
UgzC9VuqisD7GY7J9WV4AaABAg,,False,@Animalcrossinglover1,Ew wtf,0,2024-10-26T07:39:47Z,2024-10-26T07:39:47Z
UgxzJtXUvwmy3RRFREV4AaABAg,,False,@단츄랑_결혼한_셔츠,진짜 단발로 컴백한거 상상도 못했다…,1,2024-10-25T18:15:04Z,2024-10-25T18:15:04Z
UgyxZ-jG-IJWaSPsOll4AaABAg,,False,@vasilichke,"Мама: что ты делаешь?
Смотрю на крутящиеся карину",0,2024-10-25T14:01:40Z,2024-10-25T14:01:40Z
UgzTcssHE1VrrYDjR0d4AaABAg,,False,@makankuyy.8162,Wow winter,0,2024-10-25T13:54:18Z,2024-10-25T13:54:18Z
UgyR73cCEGEZcELn2fJ4AaABAg,,False,@됴하-s2u,와 근데잘보면 멤버별로 신체 비율 같은 디테일이 다 다름 ㅋㅋ 윈터 허리 제일 얇은거랑 지젤 다리 제일 긴거 얼굴 사이즈 어깨라인 다리 두께 이런거 다 다름;; 소름이다,0,2024-10-23T19:07:42Z,2024-10-23T19:07:42Z
UgwuurihOJQRfp73YBl4AaABAg,,False,@maneater3491,Ai not supporting 😅,0,2024-10-23T18:48:41Z,2024-10-23T18:48:41Z
UgwLa9EdXU_AOLmo_Bp4AaABAg,,False,@erikad0511,Mugler?  Looks exactly like Zendaya's red carpet look from awhile back😊....,0,2024-10-22T03:35:54Z,2024-10-22T03:35:54Z
UgxliA-Kh7Gd96H2dbJ4AaABAg,,False,@bunnylae6702,"Comment n° 500
Winter's look is so legendary",1,2024-10-21T06:52:42Z,2024-10-21T06:52:42Z
UgykgvRYmjj8AhVxduF4AaABAg,,False,@Dyzcana,Wow,0,2024-10-19T16:28:54Z,2024-10-19T16:28:54Z
Ugz265Ca5TReGa83hj14AaABAg,,False,@VuokkizA,500th comment!!,1,2024-10-18T13:41:51Z,2024-10-18T13:41:51Z
UgxDlYePE9iVgd-SSgZ4AaABAg,,False,@미니몰-k5z,윈터 사랑해❤❤,2,2024-10-18T08:51:10Z,2024-10-18T08:51:10Z
Ugzhsyuxf_Mczi58zdB4AaABAg,,False,@longwolf1945,"Vestimenta color plateado reluciente, donde lo habia visto antes",0,2024-10-17T17:24:52Z,2024-10-17T17:24:52Z
Ugwt1GDIVHCaChAsRyR4AaABAg,,False,@jinni8219,This suits microwave trend,0,2024-10-17T11:00:27Z,2024-10-17T11:00:27Z
UgwZEUBT7iS6232alEF4AaABAg,,False,@Nugget4baemon,WOW SO STUNNING!😻,3,2024-10-16T17:33:05Z,2024-10-16T17:33:12Z
UgzjpOESOYVqf2MnuQF4AaABAg,,False,@Adritaanita4,who gave software update?,0,2024-10-16T17:11:39Z,2024-10-16T17:11:39Z
