comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugzys1hhm-a9Gc00B8R4AaABAg,,False,@KalineFlor,Eu amo essa música muito 😢😊😊😊❤🇧🇷,0,2025-04-17T15:35:02Z,2025-04-17T15:35:02Z
Ugy-vDU-nKtU77TEeV94AaABAg,,False,@nelcpgln,17 seventeen svt 2025 hp,0,2025-04-17T09:24:48Z,2025-04-17T09:24:48Z
Ugw0RHB5EZ3UzI3WXoN4AaABAg,,False,@Kpop_Stan_05,1:10 Jeonghan laughed when mingyu did the hand wave choreo but as soon as he turned towards the camera he smiled gently again. I came here to watch the choreo but I think I watched their acting skills too. It's admirable. (Waiting for Hannie & Wonu),1,2025-04-10T20:57:04Z,2025-04-10T20:57:04Z
UgwEzKXQ9rr3FC_A_NZ4AaABAg,,False,@hiqdfgwe,tbh that speaker looks like it could fall I'm scared,0,2025-03-25T14:36:35Z,2025-03-25T14:36:35Z
UgysK1-M8eg2efKFfpR4AaABAg,,False,@hiqdfgwe,1:25 Joshua: 🧍,0,2025-03-25T14:35:56Z,2025-03-25T14:35:56Z
Ugz1qJoPPYRxU7L-wxV4AaABAg,,False,@hiqdfgwe,1:21 vernon and joshua 🧍‍♂🧍‍♂ edit: wait is the wall broken help is it a curtain,0,2025-03-25T14:34:12Z,2025-03-25T14:34:45Z
UgyLSoNoGv2j6hzuykh4AaABAg,,False,@hiqdfgwe,2:50 i find that really funny help-,0,2025-03-24T03:01:06Z,2025-03-24T03:01:06Z
Ugz9rq1wiGR7m4R4jol4AaABAg,,False,@hiqdfgwe,the silence before the chorus is rlly funny bro gave us time to think about it lmaoooooooooooooooooooooooooo,1,2025-03-24T03:00:09Z,2025-03-24T03:00:09Z
UgxjguaDWBqsVk60S8l4AaABAg,,False,@hiqdfgwe,i find the random beat change at the bridge really funny cause it jumpscared me lmao but also enjoyable not saying I don't like it tho I think its good its cool hoshi slayed,0,2025-03-24T02:58:44Z,2025-03-24T02:59:23Z
Ugyw42PZYJZxfG3GG0x4AaABAg,,False,@dokjah,jeonghan's outfit is so nice ,0,2025-03-10T00:45:08Z,2025-03-10T00:45:08Z
UgxTn21VxRYnRuFkdlN4AaABAg,,False,@tiashapaul1871,2:27 that slide :⁠-⁠),0,2025-02-04T06:17:28Z,2025-02-04T06:17:28Z
UgwBg3Dsyb1fRZ3AQnN4AaABAg,,False,@luciahelenaoliveira9818,Birds of feather Billie elish combina mto com essa MSC 00:1,0,2025-01-26T11:06:21Z,2025-01-26T11:06:21Z
Ugzw9qORB_dTKE2-UT54AaABAg,,False,@loveadnarim,me who's literally going back to their old vids cuz im a baby carat 😇😇,0,2024-12-26T15:32:06Z,2024-12-26T15:32:06Z
