comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugwh3KgcdzxXlmhZXKt4AaABAg,,False,@NCTsmtown,"✨ '샤랄라 (SHALALA)' MV https://youtu.be/aO5DPf0vebc
🎧 'SHALALA' Album https://TAEYONG.lnk.to/SHALALA",74,2023-06-14T12:04:37Z,2023-06-14T12:04:37Z
Ugwh3KgcdzxXlmhZXKt4AaABAg.9qwaVCVoPMu9qwidfCMfzF,Ugwh3KgcdzxXlmhZXKt4AaABAg,True,@taleenSTAY,I love words and music 💚💚💚,1,2023-06-14T13:15:48Z,2023-06-14T13:15:48Z
Ugwh3KgcdzxXlmhZXKt4AaABAg.9qwaVCVoPMu9qzOAAJfhGP,Ugwh3KgcdzxXlmhZXKt4AaABAg,True,@chillchillsday6611,ทยงงี่~ ของเราช่างน่ารักไม่มีที่สิ้นสุด 🤩,0,2023-06-15T14:05:51Z,2023-06-15T14:05:51Z
UgzJQ5h06x0b2z0jKvd4AaABAg,,False,@kfajbcsshhihti,Cute bubu,0,2023-11-02T08:04:54Z,2023-11-02T08:04:54Z
UgzMCbEya25jVrSu88p4AaABAg,,False,@hanna4177,Everything is relatable... But not the home alone moment... As an asocial introvert person when they leave me at home it feels like HEAVEN,0,2023-09-06T11:49:17Z,2023-09-06T11:49:17Z
Ugxvz98z7PsXLAUMC4V4AaABAg,,False,@انيوشا_عمك_حياتي,❤❤,0,2023-09-05T20:07:20Z,2023-09-05T20:07:20Z
UgxyyhwVxvgivPpEGJ14AaABAg,,False,@JW23411,So cute ❤❤❤❤,0,2023-09-05T17:14:26Z,2023-09-05T17:14:25Z
Ugy38KJEcLdrJit4Ynx4AaABAg,,False,@るるる-q3e6t,毎秒かわいい,0,2023-09-05T15:08:20Z,2023-09-05T15:08:20Z
Ugwqag8npNVqbHuwn2B4AaABAg,,False,@oudy2819,손에 안약..ㅋㅋㅋ,0,2023-08-05T13:05:50Z,2023-08-05T13:05:50Z
UgxFO2V8Z03Gre-j6oh4AaABAg,,False,@cynthiasnyder3770,Big fan😊😊😊😊,1,2023-07-16T18:42:29Z,2023-07-16T18:42:29Z
UgwvSF9wcXie_Wxfn6J4AaABAg,,False,@jullialiv3943,When they leave me home alone I'm like: 🥳🎉😃,0,2023-07-08T16:41:16Z,2023-07-08T16:41:16Z
Ugy83rGgc1bnttofQZR4AaABAg,,False,@yukihana23,i came to like him after  his interactions  with felix as am a stay. now i find him cute every single thing he does. he's  too precious 💗💗.,5,2023-07-08T04:26:16Z,2023-07-08T04:26:16Z
UgxKKh1Cdcp6Z9eCNJh4AaABAg,,False,@Jennaa_82,Cuteeeee,0,2023-06-25T05:11:14Z,2023-06-25T05:11:14Z
Ugw9Drfbw8u69BslADV4AaABAg,,False,@sunnyl972,아 넘웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 귀여워 귀여워 ㅋㅋㅋㅋㅋ,1,2023-06-23T04:57:33Z,2023-06-23T04:57:33Z
UgzwgY16Tv71NVagEI14AaABAg,,False,@Taglifegozlukluhyunjin,Capcut kullanıyor valla,0,2023-06-22T07:57:27Z,2023-06-22T07:57:27Z
Ugy-gudApM_oWnQv-uN4AaABAg,,False,@soojung3924,I want to eat Taeyong,1,2023-06-21T14:10:37Z,2023-06-21T14:10:37Z
UgwPnRPRjE2htjm9COp4AaABAg,,False,@chamchilee,이태용 큐트라고 지금,0,2023-06-21T04:03:01Z,2023-06-21T04:03:01Z
Ugzg5dHDYxzpXvIH7tJ4AaABAg,,False,@AngelaHendrickson-o2h,Taeyong is sooo Adorable 😍😍😍🌸🌸🌸🥰🥰🥰💋💋💚💚💚💚🔥🔥🔥💯💯💯💯!!!!  I would stay with him 💚💚😘😘😘Soo Handsome and Gorgeous Looking 💖💚,0,2023-06-20T20:26:13Z,2023-06-20T20:26:13Z
UgzOHxQmufjfFXgZYOB4AaABAg,,False,@rommiyatun1,hahahhaa,0,2023-06-20T00:57:02Z,2023-06-20T00:57:02Z
UgytgouwWptCXv7qblh4AaABAg,,False,@itsmyboygd,태용아 나 심장 아파......,0,2023-06-19T23:04:38Z,2023-06-19T23:04:38Z
UgxIfFX1UD2_dCfzKTp4AaABAg,,False,@nastynat2002,So adorable😊😊😊,0,2023-06-19T21:28:45Z,2023-06-19T21:28:45Z
UgxUhESxoEjauMoh_Hl4AaABAg,,False,@Anslee_partyanimalsfan,Aww he is so precious,1,2023-06-18T22:36:43Z,2023-06-18T22:36:43Z
UgzPmPLFf01Y6Z-PuyN4AaABAg,,False,@czennie_bora3,Your not alone we are here nctzens,0,2023-06-18T13:46:53Z,2023-06-18T13:46:53Z
Ugylz0BnvWiUOyOdkP94AaABAg,,False,@riskaamelia1164,Emng boleh sekiyowow ini???😢😢,0,2023-06-18T02:27:00Z,2023-06-18T02:27:00Z
UgxwyAE8GsonkGZagS54AaABAg,,False,@elfnctzen4924,The cutest,0,2023-06-17T13:45:39Z,2023-06-17T13:45:39Z
Ugymn1MSr45_EbhiEFV4AaABAg,,False,@sanitasikaltim1905,CUTIEE,0,2023-06-16T07:07:52Z,2023-06-16T07:07:52Z
UgzV4Txb4axLsqN6yK54AaABAg,,False,@ritavelasquez7919,😊😊😊,0,2023-06-16T02:27:59Z,2023-06-16T02:27:59Z
UgyVbYmWBnX4A1PWDDJ4AaABAg,,False,@purpleberryjun395,Zo-r-r-r  please so adorable 🤧💚💚,1,2023-06-15T19:04:29Z,2023-06-15T19:04:29Z
UgyC6-4t8CxBnrE8kNF4AaABAg,,False,@user-ievr-wo,툥이 너무 귀여워서 몹시 곤란하다🥹💖,1,2023-06-15T18:32:46Z,2023-06-15T18:32:46Z
Ugz27hBZYXgfLB_fhs14AaABAg,,False,@rubybu8215,cutie Yong 😍,0,2023-06-15T17:11:39Z,2023-06-15T17:11:39Z
Ugx3XsAo5JL4HGIPm_R4AaABAg,,False,@priyankarao9812,"Our Bubu is so cute, thank you for different shorts contents. We are loving it.",1,2023-06-15T14:52:55Z,2023-06-15T14:52:55Z
UgwgJJwNwTPZl1TibjR4AaABAg,,False,@norhidayah_lty40,don't play with my heart😣,0,2023-06-15T14:29:43Z,2023-06-15T14:29:43Z
UgyvF8cihwuicoj45Ap4AaABAg,,False,@JUNGKOOKIE700,These all the same cases with me😂,1,2023-06-15T13:53:18Z,2023-06-15T13:53:18Z
Ugwprt8_XEh6cyqKduN4AaABAg,,False,@ppxls9589,ฟันน่ารักอ่ะ5555555555,1,2023-06-15T13:00:10Z,2023-06-15T13:00:10Z
UgwWmx3UXnQrpPO_vgZ4AaABAg,,False,@orangiwuyu,너무너무너무 귀여워 태용아,1,2023-06-15T12:31:43Z,2023-06-15T12:31:43Z
UgxnH9i2CMKVG_S2ARF4AaABAg,,False,@Eunseok_silverstone,So bubu ☺🌹💚I love you Taeyong,0,2023-06-15T11:38:27Z,2023-06-15T11:38:27Z
UgwoVoLdNP7R4AD0RqJ4AaABAg,,False,@carolechaney2830,They left him home alone??? Shame!🤗,0,2023-06-15T11:00:24Z,2023-06-15T11:00:24Z
UgyL0leV9o7-4Y9jHFF4AaABAg,,False,@nazlakeisya9447,LUCUU SEKALII BUBUU,0,2023-06-15T10:19:44Z,2023-06-15T10:19:44Z
UgwOvJTeHnG0tIw7MEB4AaABAg,,False,@novisugiarti1004,Cute :),0,2023-06-15T10:09:41Z,2023-06-15T10:09:41Z
UgxpxdquU_Yd3moLlEp4AaABAg,,False,@yeinggg,ㅋㅌㅋㅌㅋㅌㅋㅌㅋㅌㅋㅋㅋㅋ 💚💚💚,0,2023-06-15T10:05:57Z,2023-06-15T10:05:57Z
UgwLUG5je0XHBnGE7pl4AaABAg,,False,@arsalee,LUCU BANGET HADUH,0,2023-06-15T08:18:27Z,2023-06-15T08:18:27Z
UgziN_ciWbtrrF1UJxV4AaABAg,,False,@kikeiisya,LUCUU BGTT BUBUUU😭😭🤩🤩🤩,0,2023-06-15T07:59:24Z,2023-06-15T07:59:24Z
UgxK8c4TPqz5n-t30qp4AaABAg,,False,@cvxye228,bubu kamu lucu sekaliii,0,2023-06-15T07:32:37Z,2023-06-15T07:32:37Z
Ugwa6Il-kM22DbsbTtF4AaABAg,,False,@rasi3625,CUTE,0,2023-06-15T06:01:28Z,2023-06-15T06:01:28Z
UgyHcTDzLBskfMXt4nR4AaABAg,,False,@salsabila2300l,Lucuuu😆,0,2023-06-15T05:16:04Z,2023-06-15T05:16:04Z
UgxmaChineZ1JAbzzB14AaABAg,,False,@kuuraa20,Taeyong is so cat,1,2023-06-15T04:56:14Z,2023-06-15T04:56:14Z
Ugy8seUOAXibiklLgox4AaABAg,,False,@easyteh4getperson,the eye drops in the last one! lmao,0,2023-06-15T04:56:04Z,2023-06-15T04:56:04Z
Ugzm3p9GcigrvabddJd4AaABAg,,False,@FaIqa-w5d,Kiyowooooooook 😭😭😭😭😭😭😭😭,0,2023-06-15T04:49:39Z,2023-06-15T04:49:39Z
Ugzt7emtTHxm56Bm_6h4AaABAg,,False,@ayunovi3124,kiyowoo...,0,2023-06-15T04:21:24Z,2023-06-15T04:21:24Z
