comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugz3rpPXgi3sf3kbp2d4AaABAg,,False,@간지폭풍한태산0810,이 고양이 모야 개기여웡ㅠ,1,2025-03-23T09:54:21Z,2025-03-23T09:54:21Z
UgwfsaFAjpcE39eCsep4AaABAg,,False,@ronlee56,♡,0,2025-03-22T18:29:01Z,2025-03-22T18:29:01Z
UgzggQs8ydb-f0KHGRR4AaABAg,,False,@pablovidela583,HAERIN IS SO BEAUTIFUL AND PRETTY I LOVE HAERINN,0,2025-03-02T18:59:27Z,2025-03-02T18:59:27Z
UgygI87TVwjNgrraYt14AaABAg,,False,@NEWJEANS_HAERINLOVER,BAFTA TE RE AMOO❤❤,0,2025-03-02T16:27:21Z,2025-03-02T16:27:21Z
UgwWoALS76VmKzBq65B4AaABAg,,False,@NEWJEANS_HAERINLOVER,HERMOSAAA,0,2025-03-02T16:27:07Z,2025-03-02T16:27:07Z
UgxqU2yl4qiUirBLK1t4AaABAg,,False,@NEWJEANS_HAERINLOVER,Mi preciosaa,0,2025-03-02T16:26:56Z,2025-03-02T16:26:56Z
UgzxH6juyhLYmJUAyLV4AaABAg,,False,@ShellClub,Haerin is so beautiful oml! I love you <3,1,2025-02-08T12:55:19Z,2025-02-08T12:55:19Z
Ugzq7TynUS0ABBZ2RI94AaABAg,,False,@kaerinaup,My kitty is in her tomboy era💙,0,2025-01-20T19:03:58Z,2025-01-20T19:03:58Z
UgxFSwgH_ROEpCJYzn54AaABAg,,False,@HRH-l4v,❤,0,2024-12-17T02:35:46Z,2024-12-17T02:35:46Z
UgwVSx8BIS_RkCs1RBN4AaABAg,,False,@minjiz.notforsale,"beautiful, pretty, cute, gorgeous, ethereal, fascinating, breathtaking, that's kang haerin",0,2024-12-07T08:47:35Z,2024-12-07T08:47:35Z
Ugzp8ATK9Rau2_JuMod4AaABAg,,False,@MiyoungKim-r5b,해린짱,0,2024-12-03T14:05:03Z,2024-12-03T14:05:03Z
Ugw2IWmwdkpy6FA1zYt4AaABAg,,False,@Diáriodeumagirl,Haerin my love ! 😭💓,0,2024-11-28T20:04:39Z,2024-11-28T20:04:39Z
UgwaiGBoRuGWryygV254AaABAg,,False,@Innie_fox1,Haerin utt♡♡♡♡,0,2024-11-28T00:19:23Z,2024-11-28T00:19:23Z
