comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgyxPBNgh1LJrXoT9PN4AaABAg,,False,@BLACKPINK,"Pink Venom. Out Now.

https://youtu.be/gQlMMD8auMs",31039,2022-08-20T03:28:50Z,2022-08-20T03:28:50Z
UgyxPBNgh1LJrXoT9PN4AaABAg.9ewL_uQtk299ewLh-RnzUK,UgyxPBNgh1LJrXoT9PN4AaABAg,True,@Adle_griffin,Black pink🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗 best best 👍👍👍👍👍👍👍👍👍😍😍🥰😍😍🥰🥰😍😍😍❤❤❤❤❤,3,2022-08-20T03:29:48Z,2022-08-20T03:29:48Z
UgyxPBNgh1LJrXoT9PN4AaABAg.9ewL_uQtk299ewLt-n0ubS,UgyxPBNgh1LJrXoT9PN4AaABAg,True,@Kpopmultifandomm,😭😭🥹❤️❤️❤️,2,2022-08-20T03:31:27Z,2022-08-20T03:31:27Z
UgyxPBNgh1LJrXoT9PN4AaABAg.9ewL_uQtk299ewLvWx_zPU,UgyxPBNgh1LJrXoT9PN4AaABAg,True,@الشيختومأريلارميبلينك,ياخي والله احبكم,446,2022-08-20T03:31:48Z,2022-08-20T03:31:48Z
UgyxPBNgh1LJrXoT9PN4AaABAg.9ewL_uQtk299ewM4eUTiqo,UgyxPBNgh1LJrXoT9PN4AaABAg,True,@rocioblink5956,AMOO,146,2022-08-20T03:33:11Z,2022-08-20T03:33:11Z
UgyxPBNgh1LJrXoT9PN4AaABAg.9ewL_uQtk299ewM5C2WYZ2,UgyxPBNgh1LJrXoT9PN4AaABAg,True,@rocioblink5956,Las amo,138,2022-08-20T03:33:15Z,2022-08-20T03:33:15Z
UgyELtRXYp7gp8oZa6t4AaABAg,,False,@Kaifa_M_645,I really love From black pink others members but my bais for lisa i really love for lalisamanoban i love you so much😊❤,1,2025-05-12T15:04:07Z,2025-05-12T15:04:07Z
UgyY-ostwdOENXKiBFt4AaABAg,,False,@vrushalikandge5687,Yay!!,0,2025-05-12T14:44:22Z,2025-05-12T14:44:22Z
Ugyab8jC6489FUjS1yh4AaABAg,,False,@hugoarmandoarriagalopez1501,I love you blackpink!❤🎉,0,2025-05-10T20:31:38Z,2025-05-10T20:31:38Z
Ugyab8jC6489FUjS1yh4AaABAg.AHxdmfqG4gLAHxe4Gmnu7I,Ugyab8jC6489FUjS1yh4AaABAg,True,@ririgunter1565,I’ve seen you in a lot of BP shorts,0,2025-05-10T20:34:10Z,2025-05-10T20:34:10Z
UgyORLgF0-vDNIaZD0N4AaABAg,,False,@LanaArmyGirl,Anyone 2025 waiting for comeback❤,0,2025-05-10T16:36:59Z,2025-05-10T16:36:59Z
UgyORLgF0-vDNIaZD0N4AaABAg.AHxDw4aafvLAI0KqQFyFZl,UgyORLgF0-vDNIaZD0N4AaABAg,True,@Neslihanatagul9220,Ofc here,1,2025-05-12T06:54:20Z,2025-05-12T06:54:20Z
UgwJU_lvNxZqSPzn-Lt4AaABAg,,False,@daily_tina_ofc,Amooo,0,2025-05-09T22:14:07Z,2025-05-09T22:14:07Z
Ugy3gCDkYpYf5rBqMGF4AaABAg,,False,@MAMA_TAM-KOT-p5r,LISAAAA❤,1,2025-05-09T07:42:07Z,2025-05-09T07:42:07Z
UgyV7ILuye96GENz5id4AaABAg,,False,@안댕댕덕후,❤❤❤❤❤로제 넘 넘넘 사랑해❤❤❤❤❤,1,2025-05-09T05:27:25Z,2025-05-09T05:27:25Z
Ugyhr9Yj28eX116wDHl4AaABAg,,False,@HussainMohmmadHussain,I love you so much black pink ❤❤❤❤😊,0,2025-05-06T19:19:56Z,2025-05-06T19:19:56Z
Ugz-tBtt7kk9IFJbCXl4AaABAg,,False,@HussainMohmmadHussain,I love you Rose 🌹 unnei ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😍🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹😊,0,2025-05-06T19:19:35Z,2025-05-06T19:19:35Z
