comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxrCKIsDF9qrLhLWqp4AaABAg,,False,@슈뢰딩거의고양이-o8b,벌써이건 몇번째 보는거지?😂😂,1,2025-05-11T07:44:23Z,2025-05-11T07:44:23Z
UgwcDjxSFluc15FY4iF4AaABAg,,False,@kookiekookie6692,"Minji
Hanni 
Danielle 
Haerin 
Hyein 
New Jeans (NJZ) 🩵🩵🩵💙💙💙",1,2025-04-08T06:58:00Z,2025-04-08T06:58:00Z
UgxlkxyQIw6K0UnnBG94AaABAg,,False,@kookiekookie6692,NEW JEANS FOREVER 🩵💙,1,2025-04-08T06:57:28Z,2025-04-08T06:57:28Z
UgwHYtl5DiutploeYgx4AaABAg,,False,@justicehopkins2806,Dani so funny bro😂😂😂😂,0,2025-04-07T13:39:15Z,2025-04-07T13:39:15Z
UgxMnxwBxvUaj8zPn4l4AaABAg,,False,@Rachel-11-yi,12:02에 다니엘 넘 귀여웡!!!,1,2025-03-29T12:33:11Z,2025-03-29T12:33:11Z
UgxolUHvnZo1KJ5pMt54AaABAg,,False,@bananachips-u9x,11:25 11:25 11:25 11:25 11:25 11:25,0,2025-03-22T17:38:05Z,2025-03-22T17:38:44Z
Ugx0YR7EtS9dxkb1ZfF4AaABAg,,False,@LookxmaxxingAndFitness,insane visuals😮🥶😍😍,0,2025-03-19T10:26:23Z,2025-03-19T10:26:23Z
Ugx3WH5rAOLWhpqp4bV4AaABAg,,False,@shoseitaniguchi0930,11:00,1,2025-03-04T12:15:12Z,2025-03-04T12:15:12Z
UgzZGWiGrCwMFzEYlMt4AaABAg,,False,@themugglexxx,"I know how happy hyein is teaming up with her unnie, MINJI KIM!!! #LeeKimz",1,2025-02-26T07:51:29Z,2025-02-26T07:51:29Z
UgyCCN0wWmz3VYlTBA94AaABAg,,False,@십대의종합게임방송,"혜륀!
하니이이
다니다니
완전 귀여미 트리오",0,2025-02-05T07:15:03Z,2025-02-05T07:15:03Z
UgzuclLTqZgX3f_RHn94AaABAg,,False,@mainlyjun,ミンジかわいすぎる,0,2025-01-28T15:17:03Z,2025-01-28T15:17:03Z
UgzuQCJnyYhNUVDmnhx4AaABAg,,False,@Hy-ye1mw,16:45 신난거봐 ㅋㅌㅋㅋㅋ,0,2025-01-26T16:57:34Z,2025-01-26T16:57:34Z
UgxoBYiaw2uHYznKuSd4AaABAg,,False,@jina-1875,🥰🥰🥰🥰🥰🥰🥰,0,2025-01-16T14:31:44Z,2025-01-16T14:31:44Z
UgxlcS7BV_mn88nEW2Z4AaABAg,,False,@belanew-wt5vq,13:57 Haerin..haerin😂,1,2025-01-11T15:18:16Z,2025-01-11T15:18:33Z
Ugxhtgw8-PAn9es9tjt4AaABAg,,False,@mikimmarquez26,I swear they’re the perfect mix of chaotic and cute HAHAHAH I LOVE THESE ZINES! KANG HAERIN MY MVP,1,2025-01-06T15:49:25Z,2025-01-06T15:49:25Z
UgxEp0BhRTioh4vo3ep4AaABAg,,False,@user-smilefox1892,"11:01
13:00
14:23",1,2025-01-03T13:05:10Z,2025-01-06T08:52:57Z
UgxEp0BhRTioh4vo3ep4AaABAg.ACppjcCyelJADKbLTpq7bt,UgxEp0BhRTioh4vo3ep4AaABAg,True,@jsy0630,하니,1,2025-01-15T21:15:06Z,2025-01-15T21:15:06Z
Ugw5D42LoGyPkxqHJx94AaABAg,,False,@oksong1962,11.06,0,2024-12-31T05:51:43Z,2024-12-31T05:51:43Z
Ugzm4v8Bkbwu-CldhzF4AaABAg,,False,@티비티비요,역시 실력파 걍이겨팀!!!,0,2024-12-29T16:16:19Z,2024-12-29T16:16:19Z
Ugy60AkIFjvrBYpgZdJ4AaABAg,,False,@queencruz779,9:28 hanni pham so cutee,0,2024-12-27T01:27:55Z,2024-12-27T01:27:55Z
UgxkyKZCCPjw5_77cHd4AaABAg,,False,@queencruz779,Hanni~ You're so kawaii~,0,2024-12-24T13:00:45Z,2024-12-24T13:00:45Z
Ugx_Q3jF_t-fWrotpYx4AaABAg,,False,@Adrianaxxzz..,Can we talk about the rainbow friends plushies 😭,0,2024-12-23T23:09:52Z,2024-12-23T23:09:52Z
UgwTFUu_Kd-gE3YUMGB4AaABAg,,False,@phamphamrin,"XD haerin makan apa nih, aktif banget dia",0,2024-12-16T15:52:10Z,2024-12-16T15:52:10Z
UgxdMF_fhaQaeRzGrqp4AaABAg,,False,@6301-i3n,15:19 밍지! 밍지! 개귀엽네 진짜..,0,2024-12-15T13:37:19Z,2024-12-15T13:37:19Z
Ugzvy6ELjkvDp4pt2P54AaABAg,,False,@jocikaaudry2660,😍😍😍,1,2024-12-09T17:58:52Z,2024-12-09T17:58:52Z
Ugzvy6ELjkvDp4pt2P54AaABAg.ABpzTsu2_bKADpPlb0QVOV,Ugzvy6ELjkvDp4pt2P54AaABAg,True,@jocikaaudry2660,Gemeccc,0,2025-01-28T05:40:54Z,2025-01-28T05:40:54Z
Ugw7IZHFyl6pf_O4HTF4AaABAg,,False,@user-jn7cl3sd8m,可愛いすぎる〜！！,0,2024-12-09T12:05:57Z,2024-12-09T12:05:57Z
UgyCKFXo4vHWgEJoHqt4AaABAg,,False,@seooyoons,ngakakkk bangett ketawa mulu🤣🤣🤣,2,2024-11-25T15:21:35Z,2024-11-25T15:21:35Z
UgwTrQSYfun5ArGRp5F4AaABAg,,False,@biggy-03,Hyein was so funny in this episode 😭😭,1,2024-11-23T20:17:33Z,2024-11-23T20:17:33Z
UgyzKCprAD7gU_bmAW14AaABAg,,False,@kakeru09,全員の魅力が出て最高！,1,2024-11-23T08:59:11Z,2024-11-23T08:59:11Z
UgxmeIxi8UKk9d2xsRV4AaABAg,,False,@user-nt6pr4qx8f,💙💖💛💚💜,0,2024-11-21T15:44:06Z,2024-11-21T15:44:06Z
UgyqW6JOqUSIR_TkJYB4AaABAg,,False,@jayk4985,Hi NJ記得休息😴,0,2024-11-17T22:51:56Z,2024-11-17T22:51:56Z
UgzqFNkiMJBSyzKD_q54AaABAg,,False,@우헤헤-c1n,함번쯤 뉴진스 펜미팅 가보고싶다 뉴진스 좋아하는 사람 손 일딴 난 손🐰,1,2024-11-10T12:26:44Z,2024-11-10T12:26:44Z
UgzV-DMo_dg2hOPupn94AaABAg,,False,@CrystalclearComcom,Haerin being a turtle 😂😂😂😂😂,1,2024-11-08T15:29:30Z,2024-11-08T15:29:30Z
Ugx0TCeHuanQAp-_nSR4AaABAg,,False,@jonghankim1452,전부 6개월 전이야.현재 뭐하니.,1,2024-10-29T03:23:00Z,2024-10-29T03:23:00Z
Ugx0TCeHuanQAp-_nSR4AaABAg.AA9qdtosjg-AAL7UF1T3oS,Ugx0TCeHuanQAp-_nSR4AaABAg,True,@유리-유리-k6p,그러니까요 ❤😂,1,2024-11-02T12:30:28Z,2024-11-02T12:30:28Z
UgxbgS2h0YbTq5SYhbx4AaABAg,,False,@emilysmellimy,I love how purple from Roblox was just sat there😭,1,2024-10-21T11:21:32Z,2024-10-21T11:21:32Z
UgzUKnmEo0pFGAFbTMd4AaABAg,,False,@8.991-q3p,15:11,1,2024-10-19T17:21:27Z,2024-10-19T17:21:27Z
UgxjoQWeCP2xJo8MzF94AaABAg,,False,@CrystalclearComcom,Hyein literally pointed Danielle... Cus she knew Danielle was a veggie lover😂😂😂😂❤❤❤,2,2024-10-18T15:43:20Z,2024-10-18T15:43:20Z
Ugy403h9flc_ujrVCHl4AaABAg,,False,@CrystalclearComcom,Hae hae haerinn😂😂😂😂😂😂,2,2024-10-18T13:09:08Z,2024-10-18T13:09:08Z
UgyUhX6S4xxHRxWoOg54AaABAg,,False,@CrystalclearComcom,Haerin crawl like a turtle 🐢🐢😂😂😂😂😂,1,2024-10-18T13:02:25Z,2024-10-18T13:02:25Z
Ugz70hMrZ0TIj-An4FJ4AaABAg,,False,@CrystalclearComcom,Hyein was too cute while introduce her name 😂😂😂😂😂,2,2024-10-18T12:49:22Z,2024-10-18T12:49:22Z
UgymJxItaN_HUY0OvaV4AaABAg,,False,@WHY_YOU_READ_THIS_BRO,강해린 방어력에 몰빵하다...,0,2024-10-11T07:27:21Z,2024-10-11T07:27:21Z
Ugw5ZxcVzvPh2fJtanR4AaABAg,,False,@RxlredE,W episode.  Loved it even more than dinosaaurrs. Especially haerin. And hyein.😂 14:42 wth😂😂,0,2024-10-10T19:07:16Z,2024-10-10T19:07:16Z
UgzXO7Dc8usu7X8RoA14AaABAg,,False,@d히터펑순기p,13:42 다니엘 귀여워ㅋㅋㅋㅋ 파닥파닥 모야?!!,1,2024-10-10T11:30:11Z,2024-10-10T11:30:11Z
UgxmmROPI5BOgTLZMF94AaABAg,,False,@kitestrada1807,MINJIS look here is so ethereal. Minji SARANGAHEEEEEEE!!!!!!,0,2024-09-21T04:35:23Z,2024-09-21T04:35:23Z
UgxenOHcgh5D4Xbud2B4AaABAg,,False,@Repability,5:08 다니 목소리 생각보다 굵네 매력있다,1,2024-09-20T19:43:33Z,2024-09-20T19:43:33Z
UgwRWMeEft2VOy7ncpt4AaABAg,,False,@DanielJohnson-p2j,0377 Ullrich Stream,0,2024-09-18T10:39:50Z,2024-09-18T10:39:50Z
Ugzf_p-NNa0uCwk0bg14AaABAg,,False,@뿌엥-lee,하... 다니엘 ㄱㅇㅇ ㅜㅜㅜㅜ,1,2024-09-18T06:23:01Z,2024-09-18T06:23:01Z
UgxLMXP0XDlAElrFjo54AaABAg,,False,@이지아-p4t,대퓨님 돌려내 …,1,2024-09-16T08:47:54Z,2024-09-16T08:47:54Z
UgzJb3NhtFTgxdstmYF4AaABAg,,False,@뿝뿝-y5e,11:02 여기서 무너짐,1,2024-09-15T03:12:12Z,2024-09-15T03:12:12Z
UgyIBJATk6trx0J-_B54AaABAg,,False,@뿝뿝-y5e,"너무 재밌다 💙🩷💛💚💜
웃는 날이 많아져라 애두라",2,2024-09-15T02:44:39Z,2024-09-15T02:44:39Z
Ugwu-SdlzHnDCeSzrTp4AaABAg,,False,@urchoerb,이전꺼 역대급이다,2,2024-09-12T22:33:02Z,2024-09-12T22:33:02Z
UgxerCyllSKpaoOcfFR4AaABAg,,False,@Rothana-kk6mv,Zip zip,0,2024-09-11T16:28:13Z,2024-09-11T16:28:13Z
UgwFHvuUMqOmBVJqy-94AaABAg,,False,@Brsss11,11:01 cutie 😭,1,2024-09-09T20:53:16Z,2024-09-09T20:53:16Z
Ugx3jdJDE9Omy2sumNh4AaABAg,,False,@jensha-mq3ud,"they are so cute , i love hanni when hanni demonstrates the expression happy, SOO CUTEE PHAM HANNI❤❤",6,2024-09-04T13:43:44Z,2024-09-04T13:44:12Z
UgzpYcucP7X6ajvMKYt4AaABAg,,False,@user-hhs3426,뉴진스버니즈손들어줘,1,2024-09-03T22:49:12Z,2024-09-03T22:49:12Z
Ugwi9I8nVgIPZvFii_R4AaABAg,,False,@lkswindsky,Hyein is always the best❤,1,2024-08-31T04:13:33Z,2024-08-31T04:13:33Z
UgwsnBxa5_XC53uMxE14AaABAg,,False,@nanny_xxl,"""Hanni😊"""" Hae-hae-hae-rin-rin""So cute😭💗❕",1,2024-08-30T21:46:09Z,2024-08-30T21:46:09Z
Ugys7BJxEo1cAOTdQzl4AaABAg,,False,@쑤연-p8w,왜이렇게 사랑스럽나요❤❤,0,2024-08-26T11:58:13Z,2024-08-26T11:58:13Z
UgxJg31lvVrccZ1-gG54AaABAg,,False,@JeanzForFree_0325,Hanni❤,2,2024-08-26T07:17:49Z,2024-08-26T07:17:49Z
UgxhAYun9-EnZE5UqYR4AaABAg,,False,@이은재-s8x,하니ㅣ!!!!,3,2024-08-25T14:44:26Z,2024-08-25T14:44:26Z
UgzuxFoc5__SW_gK4-94AaABAg,,False,@LeePadakpadakKkokkio,하니누나 너무 귀여워,1,2024-08-22T23:15:34Z,2024-08-22T23:15:34Z
Ugy741DKCOLus0BQQId4AaABAg,,False,@BlackScorpioBlack,13:52 오 나쁘지 X ㅋㅋㅋ 여기도 나왔었당 🤣,2,2024-08-22T14:22:37Z,2024-08-22T14:23:36Z
UgxDFXNOFOCBVxzWzPl4AaABAg,,False,@JeanzForFree_0325,NJ❤,1,2024-08-21T06:59:04Z,2024-08-21T06:59:04Z
