comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwQtx2npgX8rBEOdoZ4AaABAg,,False,@world_btsv,DEJUN!!??? 🥵,0,2025-05-11T00:35:59Z,2025-05-11T00:35:59Z
Ugwl8O7JXVsFfwyy8394AaABAg,,False,@tinailangevin2614,I'll be anything you want 😳,0,2025-03-27T07:38:48Z,2025-03-27T07:38:48Z
UgzDLZhFDwPa2cEekkN4AaABAg,,False,@carmenhampton2946,😊❤❤❤,0,2025-03-15T06:00:55Z,2025-03-15T06:00:55Z
Ugx2Seh31VDGFVMNUyt4AaABAg,,False,@MULTUSTANERRRR,MY THREE BIASESSSSS ♥️,0,2024-09-16T04:01:42Z,2024-09-16T04:01:42Z
Ugwm-9AfxguSuohg2XF4AaABAg,,False,@tens-nonexistent-shirt,They’re literally Ten’s biggest fanboys istg 😭,0,2024-06-25T19:05:48Z,2024-06-25T19:05:48Z
UgxmWiKCzEIe1SX2pNB4AaABAg,,False,@katygradova-qx3zl,So cute❤❤❤,0,2024-06-15T21:00:54Z,2024-06-15T21:01:01Z
UgzFVwv8a_XCfqYXENN4AaABAg,,False,@afreen0107,Aye aye who's the guy on the right in black pants who just SLID HIS PALMS FROM HIS CHEST ALL THE WAY DOWN TO HIS WAIST WITH THAT SEXY LIL BODY ROLLS?,0,2024-04-29T10:41:21Z,2024-04-29T10:41:21Z
UgzFVwv8a_XCfqYXENN4AaABAg.A2oQLKzuXQYAFA2ucap-Gl,UgzFVwv8a_XCfqYXENN4AaABAg,True,@Alice2011-,Xiaojun from NCT,0,2025-03-02T11:55:50Z,2025-03-02T11:55:50Z
UgzVQrTQfrUJYsoTmLJ4AaABAg,,False,@Urapunya,"Maknae kita udahhh jantan kaliiiii, liat tuh ketiaknyaa (●♡∀♡)
Terpampang jelass",0,2024-04-28T15:06:38Z,2024-04-28T15:06:38Z
Ugwq7J0IlXWKqGYkUKt4AaABAg,,False,@momomimiu,Yang yang.. 😲😲😲,0,2024-04-22T23:54:19Z,2024-04-22T23:54:19Z
UgyvgZo86Mb4l5HEez14AaABAg,,False,@DrSimpleBeauty,Xiaojun’s hips don’t lie,0,2024-04-20T11:21:52Z,2024-04-20T11:21:52Z
UgzbFOqU5-gJpbOtXLx4AaABAg,,False,@elsanikita2531,😊😊✌️✌️✌️,0,2024-04-18T03:39:50Z,2024-04-18T03:39:50Z
UgxRFlkct0MV0hKT8LB4AaABAg,,False,@Mia-yj5bs,My boyss slayed ayyyyye,0,2024-04-17T15:53:17Z,2024-04-17T15:53:17Z
UgyHbujNCu7uaPKkCyt4AaABAg,,False,@ttyiy8613,หนุ่มเสื้อกล้ามที่จริงใจ,0,2024-04-17T09:50:46Z,2024-04-17T09:50:46Z
Ugx5KQUkkvvy9UsRxCR4AaABAg,,False,@lyoness6,Ten flows like water.,0,2024-04-16T02:04:54Z,2024-04-16T02:04:54Z
UgxrBzVlcnE52OB59iV4AaABAg,,False,@Dustmitebunnie,Haven’t stopped listening since this came out,1,2024-04-14T02:45:41Z,2024-04-14T02:45:41Z
UgzjHUdVDmRWOX332NN4AaABAg,,False,@awawawawaaaygae,Where do they get their jeans DAMNN they look so good,0,2024-04-13T21:44:12Z,2024-04-13T21:44:12Z
UgzK5aOxMJw414ig-5t4AaABAg,,False,@babbles4139,"This was the first time I heard this song and I thought it was a unit song, they all owned that dance",0,2024-04-11T12:16:44Z,2024-04-11T12:16:44Z
UgyStTh_L7I8v8PBblV4AaABAg,,False,@AyuNanda-y9x,kwangya forest is back,2,2024-04-11T08:52:09Z,2024-04-11T08:52:09Z
UgwdJRqKM8ybLsfxQUR4AaABAg,,False,@1001tenlee,Ten chan,5,2024-04-11T07:07:18Z,2024-04-11T07:07:18Z
Ugz2tO49YRG0e_ocY194AaABAg,,False,@Diya-lm6lt,You guys are so talented in dancing and you guys stole my heart with your handsome looks ❤❤❤❤❤❤,0,2024-04-10T19:09:04Z,2024-04-10T19:09:04Z
Ugzk9mRfpaR1B-AEulR4AaABAg,,False,@b10_anaasiyyasitiluthfiah97,So smoooth,0,2024-04-10T11:59:32Z,2024-04-10T11:59:32Z
UgxALh7lZS87RjGS3CZ4AaABAg,,False,@natnichanatisut3742,❤️,0,2024-04-09T15:37:24Z,2024-04-09T15:37:24Z
