comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxHnh3-BI8GyHoq3ZJ4AaABAg,,False,@jameso4053,sm사랑해ㅠㅠ 똘똘님이랑 석천님을 초대해주다니...!,1,2025-02-21T18:03:42Z,2025-02-21T18:03:42Z
Ugzfp0e2O12x8qJ1zJN4AaABAg,,False,@user-xv5bv3zh4jRAGANDA,Девочки доржали..,0,2024-04-29T09:38:18Z,2024-04-29T09:38:18Z
UgxangRnSk4OIgg0wGp4AaABAg,,False,@Sweet.Suli10,Jesus loves you.,2,2024-04-28T08:17:40Z,2024-04-28T08:17:40Z
Ugx-wRaS9QbNiT7cHeV4AaABAg,,False,@윤서우,이태용 ㅜ,0,2024-04-24T11:48:15Z,2024-04-24T11:48:15Z
UgzodarG0tzy8QXFNsh4AaABAg,,False,@Roza__08-vx6gu,🤣🤣🤣,0,2024-04-20T16:50:58Z,2024-04-20T16:50:58Z
UgydVZ6cudt2K-cwB7h4AaABAg,,False,@nubuju631,So the suit guys are gay gay right? Or am i missing cultural context?,2,2024-04-17T13:12:22Z,2024-04-17T13:12:22Z
Ugx5cEZ6ACKZ1uyh-Lp4AaABAg,,False,@mihyunkim786,진짜 너무 웃겨서 스탭분들도 웃는거봐...,2,2024-04-13T12:09:03Z,2024-04-13T12:09:03Z
UgwChtVtrwIqf1H3IQB4AaABAg,,False,@nonchiilant,Is he tony?! The bald one!,0,2024-03-23T08:40:11Z,2024-03-23T08:40:11Z
UgwChtVtrwIqf1H3IQB4AaABAg.A1Jw3WZLV1nA1SCXNivPz4,UgwChtVtrwIqf1H3IQB4AaABAg,True,@svteenostalgia,it's hong seokcheon,0,2024-03-26T13:46:44Z,2024-03-26T13:46:44Z
UgxQfZy5t9YEVleUtPJ4AaABAg,,False,@NeoGirl_,Te amo Taeyonggie 💚🇧🇷,0,2024-03-22T16:58:57Z,2024-03-22T16:58:57Z
Ugzkxu0wVGydErNCjjZ4AaABAg,,False,@Rosella._.24,Oh my god I'm losing my mind how is this possible Taeyong🥲🙎,0,2024-03-22T07:49:15Z,2024-03-22T07:49:15Z
UgzKW3hWh64xlIpsdph4AaABAg,,False,@HaAg_izzz,아진짜태용이만보고싶어요ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-03-20T14:23:53Z,2024-03-20T14:23:53Z
Ugxc6wDwiMx7hQ9fTel4AaABAg,,False,@MayaAurora-vp6sy,😄😄😄💟💟💟💟💟💟,0,2024-03-19T15:01:28Z,2024-03-19T15:01:28Z
UgyLlkgetc1ta3wwy8d4AaABAg,,False,@ThiagoRodrigues-om8sv,Taeyong e rei e lindo tem voz perfeita 😊 ❤👑,0,2024-03-16T22:16:39Z,2024-03-16T22:16:55Z
