comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugw1F-cfpJqIFRpK6HJ4AaABAg,,False,@Education4future09,인기 많겟네 한국에서도 미국에서 평가가 괜찮네,0,2025-05-13T22:50:24Z,2025-05-13T22:50:40Z
UgzKApoQMl06Quk52pt4AaABAg,,False,@K-pop-monster2013,Big love ❤❤❤,1,2025-05-12T07:59:50Z,2025-05-12T07:59:50Z
UgyfgXnf9dX_wkTjMrp4AaABAg,,False,@marcelaalejandrasalazarsua7266,Kazuha's visuals are no joke. She's so pretty. 😍💅,4,2025-05-08T22:24:06Z,2025-05-08T22:24:06Z
UgyWmaZ3CYUWHAdjQTF4AaABAg,,False,@Liyaxcookies,그녀는 정말 훌륭해요 🔥 I'M A FEARNOT,3,2025-05-08T16:59:23Z,2025-05-08T16:59:23Z
UgwrCxYE_ZRXrHzQve94AaABAg,,False,@luv_le_sserafim,즈하 넘나 이뿌당,0,2025-05-04T07:28:19Z,2025-05-04T07:28:19Z
UgxQhfnhUWEcRJ1xdsJ4AaABAg,,False,@謝福成-i8b,"kazuha,😙😙",0,2025-05-02T20:30:36Z,2025-05-02T20:30:36Z
Ugyj03TiwKAV6uhvuGJ4AaABAg,,False,@결-s3i,진짜 천상 여자다❤,1,2025-05-01T15:43:09Z,2025-05-01T15:43:09Z
Ugyx9tWy5SEUuF6RXLN4AaABAg,,False,@Wooyami,즈하 표정천재야ㅋㅋ 0:10 너무 내맘에 들어,0,2025-05-01T09:41:19Z,2025-05-01T09:41:19Z
Ugwk_hHEfQHMGFrYHKB4AaABAg,,False,@MatDuwe-h9s,Habis kerja buka beg melihat Kazuha yang comel sangat lovely 💞💘💞😘😘🌹💐🌹💐🌹,1,2025-05-01T09:09:48Z,2025-05-01T09:09:48Z
Ugy68DK3sFkN-Ukj5M94AaABAg,,False,@TitaniaErzaScarlet,카즈하너무이쁘다,3,2025-04-19T16:48:12Z,2025-04-19T16:48:12Z
UgwtZSTzqKPPcoGiXZF4AaABAg,,False,@LsfrmItzySkzIznaLovelyzTxt,ILY ZUHAAA YOUR VISUALS NEVER FAIL TO IMPRESS MEER,2,2025-04-16T23:07:57Z,2025-04-16T23:07:57Z
Ugz-9djuHL2Bkk5mMnh4AaABAg,,False,@beelegend1694,Marry me,0,2025-03-29T11:01:42Z,2025-03-29T11:01:42Z
Ugwm618y_URmGOXGzR94AaABAg,,False,@miguelgouveia9082,"I love the third appearance 🥲🥲🥲

The black Kazuha conquer me 

Definitely ❤❤❤

You are my type 🥲🥲🥲",1,2025-03-25T20:08:34Z,2025-03-25T20:09:38Z
Ugzs3JAUwiHlGifm0L54AaABAg,,False,@Lilliess27,Omg Kazuha has FEARNOTS in her bag!!!!!! 😍😍😍😍😍😍😍👏🏻👏🏻👏🏻👏🏻👏🏻,2,2025-03-09T16:34:03Z,2025-03-09T16:34:03Z
UgzIijqWgZBMqhorsOd4AaABAg,,False,@MrsDodie,They are crazy cute❤❤,0,2025-03-09T06:16:28Z,2025-03-09T06:16:28Z
Ugwi0YPZK2GtNcSqdtp4AaABAg,,False,@gnvtwhp1218,Kazuha.,0,2025-03-06T15:38:25Z,2025-03-06T15:38:25Z
UgzCc2g88FGhMNUgrB14AaABAg,,False,@serraaksu7072,DOCHİİİ,0,2025-03-04T09:37:33Z,2025-03-04T09:37:33Z
UgxTEajOmejI2G1Fz9R4AaABAg,,False,@user-yv5bz3yv8t,可愛すぎて目が幸せﾝｺﾞッ❤,3,2025-03-02T09:14:29Z,2025-03-02T09:14:29Z
UgyWsuP12W7jTn_liYF4AaABAg,,False,@ValentinoRomano-z9y,Kazuha is super bauty,0,2025-02-23T01:34:10Z,2025-02-23T01:34:10Z
Ugybf7OvLrZNUG4_HaB4AaABAg,,False,@peterc1218,❤❤❤❤❤❤,0,2025-02-22T23:14:51Z,2025-02-22T23:14:51Z
UgyFVpMFvw9hTVYPsd94AaABAg,,False,@lindseydelgado525,lol why is the caption saying pov ur a joint in her bag,0,2025-02-22T15:55:21Z,2025-02-22T15:55:21Z
UgzIHDCDpC03b7NLwqR4AaABAg,,False,@LongDrive-ze9jw,❤❤❤,0,2025-02-19T22:57:49Z,2025-02-19T22:57:49Z
