comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgzwCZVTPkGUl0_bLaJ4AaABAg,,False,@liyanamariz3130,winter looks like sonic fanart vibes 💙🦔✨💫😏🥺,0,2025-05-11T04:26:02Z,2025-05-11T04:26:02Z
Ugy4tQH6mOGzp6BKFO94AaABAg,,False,@brbrbyz,❤,0,2025-04-26T18:07:00Z,2025-04-26T18:07:00Z
UgxrMxwCdFnLTDwsinR4AaABAg,,False,@TheodoreDahmer,Beautiful 🥵🥵🥵😍😍😍😍😍😍,0,2025-04-24T11:22:34Z,2025-04-24T11:22:34Z
UgyLbDi908oqsE6FB2N4AaABAg,,False,@Mhwyim,"언젠가는 슬기로울 전공의생활 OST Part 3
윈터 of aespa - 그런 날",0,2025-04-19T09:58:23Z,2025-04-19T09:58:23Z
Ugza9tkG4-OV-FjcOhJ4AaABAg,,False,@youerasedme,1 MILLION VIEWS SOON,1,2025-04-10T22:49:41Z,2025-04-10T22:49:41Z
UgzY-mkJGqs3KZil1dp4AaABAg,,False,@brbrbyz,Keren,0,2025-02-23T06:16:21Z,2025-02-23T06:16:21Z
UgxLpiWn_NI8-d6XZXl4AaABAg,,False,@hmmur,ウタ,0,2025-02-19T13:16:40Z,2025-02-19T13:16:40Z
Ugxenz37tp7bNRYqBil4AaABAg,,False,@너말은틀렸다,민정아 열애설 아니라고 해명해줘 제발,0,2024-12-10T20:21:09Z,2024-12-10T20:21:09Z
Ugxenz37tp7bNRYqBil4AaABAg.ABsoYoLNPs1ABwuuPJpE4a,Ugxenz37tp7bNRYqBil4AaABAg,True,@KhushiAgrawal-i6j,It is not dating rumour they where not together,0,2024-12-12T10:33:37Z,2024-12-12T10:33:37Z
UgySioa025x8_dS5anN4AaABAg,,False,@brbrbyz,Bro,0,2024-12-08T15:48:47Z,2024-12-08T15:48:47Z
UgzyxnVTgc-hmg9Z_cx4AaABAg,,False,@nikauru,EMERGENCY SHE'S MAKING ME DOUBT MY SEXUALITY,1,2024-12-02T12:46:43Z,2024-12-02T12:46:43Z
Ugz_SoKIqlwBl4qktph4AaABAg,,False,@ghkdwls,oh mother,0,2024-11-26T23:40:41Z,2024-11-26T23:40:41Z
UgxfU1q8ZRJjXi_04LZ4AaABAg,,False,@timirohihukuda,"黒髪ショートもう最高😍
もう一番好き！やっぱ推しはウィンターですね！",1,2024-11-24T23:30:39Z,2024-11-24T23:30:39Z
UgzicNleKs06N12yeFx4AaABAg,,False,@itomikazuki8590,I like her hairstyle but I don't know the name can someone tell me pretty please,0,2024-11-12T11:10:41Z,2024-11-12T11:10:41Z
