comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgxOhJDKZwMr-Yn_Nsx4AaABAg,,False,@謝福成-i8b,kazuha😙😙,0,2025-04-21T13:58:01Z,2025-04-21T13:58:01Z
UgwNR5RHuvdNCuamLdp4AaABAg,,False,@Figo_Amigo,Big ❤for our girls. Keep fighting! We are in it together. We have to love and support them as a group and not only individually.,0,2025-03-31T19:39:35Z,2025-03-31T19:39:35Z
Ugyy_pTgjVajBVWJ7T54AaABAg,,False,@ak4-,"Still waiting for the next line of the ""LSF PANTY!""",1,2025-03-30T00:24:23Z,2025-03-30T00:24:23Z
Ugyaten4pGYCze80D-l4AaABAg,,False,@FEARNOT_FEARLESS,"I would really like to go there, do it in Switzerland please",0,2025-03-27T16:23:23Z,2025-03-27T16:23:23Z
UgzMIIjZ_-eP9r46PwN4AaABAg,,False,@wilwon,Can you guys make moka and sakura please I wanna see them dance and look like twin,0,2025-03-26T12:24:07Z,2025-03-26T12:24:07Z
UgxdtC_KmxxLabMRW5F4AaABAg,,False,@Sujin_edits,Kazuha's hair is slayed❤,0,2025-03-24T03:44:04Z,2025-03-24T03:44:04Z
UgzzhYdNIR0p2CLQ4tZ4AaABAg,,False,@lizethmoran6449,"Cool n hot. I'm working to be there one day, wait for me!!! haha",0,2025-03-24T03:03:37Z,2025-03-24T03:03:37Z
Ugx-BmGR17HDpkkPhb54AaABAg,,False,@YUNJINIE-8,I WISH...,0,2025-03-23T18:19:23Z,2025-03-23T18:19:23Z
Ugx6lZVa4V9f20t8OCh4AaABAg,,False,@NarinaKaewpakdee,คนสวยภาพดีสดใสสินค้าปังทุกอย่งเลิฟหมดทุกแผง❤❤🎉,0,2025-03-23T13:35:50Z,2025-03-23T13:35:50Z
UgxW9NYn9KsKiQJ-57l4AaABAg,,False,@footwork17,마지막 손 브이할때 만화 손같아…ㅋㅋㅋㅋ 허당윤진귀욥❤❤❤,0,2025-03-23T10:51:28Z,2025-03-23T10:51:28Z
UgyvvpSEuZ2X_X05Bad4AaABAg,,False,@footwork17,마지막 손 브이할때 만화 손같아…ㅋㅋㅋㅋ 허당윤진귀욥❤❤❤,0,2025-03-23T10:51:22Z,2025-03-23T10:51:22Z
UgxQt2SpYuvXRL-W_B14AaABAg,,False,@korosuke-k1g,❤みんなオーラがあってバリ可愛い⤴❤,8,2025-03-22T14:30:25Z,2025-03-22T14:30:25Z
Ugz6OfI86mB3gbst0qx4AaABAg,,False,@CanhcanhTruong,Kazuha with blonde is truly angel🥰,2,2025-03-22T12:52:03Z,2025-03-22T12:52:03Z
UgxVDAEVFCuG64Cdpwt4AaABAg,,False,@FlecheDeFer,That hairstyle should become Eunchae' signature,0,2025-03-22T08:14:27Z,2025-03-22T08:14:27Z
UgzcPQsMfAoqkcm609J4AaABAg,,False,@jackieffan,Eunchae so pretty and cute <3,3,2025-03-22T01:09:48Z,2025-03-22T01:09:48Z
Ugyo9d0VP6o1fcy7ZWV4AaABAg,,False,@michaelmitchell7350,I'm so proud of the girls let's keep it going ❤,4,2025-03-22T00:04:22Z,2025-03-22T00:04:22Z
UgwvMe0ub01ozyMkDMd4AaABAg,,False,@shimerkuo,漂亮,0,2025-03-21T16:26:21Z,2025-03-21T16:26:21Z
Ugwhquc7A6s5ZJPn7cJ4AaABAg,,False,@Main_Lesserafimsfan,LE SSERAFIM FIGHTING! ♥︎,5,2025-03-21T11:56:02Z,2025-03-21T11:56:02Z
UgwsCUuIC9-A3Nq9mBF4AaABAg,,False,@Main_Lesserafimsfan,"정말 아쉬워, 내가 거기 있을 수 없어서. 😭 그들의 손이 닿은 모든 것을 키스하고 싶어. 💋",0,2025-03-21T11:55:04Z,2025-03-21T11:55:04Z
UgwJF5KDk6CEcjBDKgN4AaABAg,,False,@illit_life,oh I  wish I could come to this store~,0,2025-03-21T10:50:36Z,2025-03-21T10:50:36Z
UgznybPPettAoBSV8Jl4AaABAg,,False,@higamix,yunjnの天然振りが愛おしい‼️,0,2025-03-21T04:24:59Z,2025-03-21T04:24:59Z
Ugwwvhgg3hTOi8DbdGt4AaABAg,,False,@JadwigaDobrowolska-e1o,❤️,0,2025-03-21T03:27:33Z,2025-03-21T03:27:33Z
UgwepST2ro0bpVPuf694AaABAg,,False,@MariamMostafa-o4c,Why were they confused 😭,0,2025-03-21T01:37:19Z,2025-03-21T01:37:19Z
UgytQdmpuX6XATFc4fd4AaABAg,,False,@__LALISA__WORLDWIDENUMBERONE,They always makes us smiles,2,2025-03-20T21:45:19Z,2025-03-20T21:45:19Z
UgzhT0S7USd0cSxjb-14AaABAg,,False,@LESSERAFIMLove5,俺が行った後に行くなんて🥲🥲,1,2025-03-20T18:46:37Z,2025-03-20T18:46:37Z
Ugx0UasczlIH8d_wuPZ4AaABAg,,False,@12300-q,르세라핌  이번 앨범 최고입니다 🎉🎉🎉,3,2025-03-20T17:04:58Z,2025-03-20T17:04:58Z
UgzigpuHxD8lCip3L3F4AaABAg,,False,@LimarMestarihi,용인 너 너무 아름다워 ❤,1,2025-03-20T16:31:33Z,2025-03-20T16:31:33Z
UgwO91dzgZGLWlrJ3il4AaABAg,,False,@Angelicdiablo2004,아니 다들 왜케 이뻐??🥰🥰🥰🥰🥰 자꾸 반해버리잖아??😍😍😍😍😍,0,2025-03-20T15:23:16Z,2025-03-20T15:23:16Z
Ugx2W8ZJajGXsmF4Xld4AaABAg,,False,@Hira-bestjisoo,Yunjin's hair color::))))),3,2025-03-20T14:33:30Z,2025-03-20T14:33:30Z
Ugzv1DdfO__9cUWKvqF4AaABAg,,False,@茜茜-n4b,普段感のあるのがいい❤,0,2025-03-20T13:31:26Z,2025-03-20T13:31:26Z
