comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwDO-u8qAKdk1k_cfx4AaABAg,,False,@weareoneEXO,"🏍 'Rover' MV https://youtu.be/zlTIextYnyQ
🎧 'Rover' Album http://KAI.lnk.to/Rover",824,2023-03-23T12:45:24Z,2023-03-23T12:45:24Z
UgwDO-u8qAKdk1k_cfx4AaABAg.9naxBMDD7Pj9nb7fO-trUG,UgwDO-u8qAKdk1k_cfx4AaABAg,True,@ОльгаЗарипова-ь3о,Девочка Кхаи беременная Кхаи станет папой Зарипова Анна Алексеевна,0,2023-03-23T14:25:45Z,2023-03-23T14:25:45Z
UgwDO-u8qAKdk1k_cfx4AaABAg.9naxBMDD7Pj9nbMwNphKnP,UgwDO-u8qAKdk1k_cfx4AaABAg,True,@SOSO_69.69,I love you Kay I hope to meet you one day and I am from Egypt and I hope you reply to my comment💥✨✨💗💗,4,2023-03-23T16:39:09Z,2023-03-23T16:39:09Z
UgwDO-u8qAKdk1k_cfx4AaABAg.9naxBMDD7Pj9nbNv-f8Fh_,UgwDO-u8qAKdk1k_cfx4AaABAg,True,@erizen.s143,Khyungsoo 🔥🔥🔥,2,2023-03-23T16:47:42Z,2023-03-23T16:47:42Z
UgwDO-u8qAKdk1k_cfx4AaABAg.9naxBMDD7Pj9nbmpQ2yY-C,UgwDO-u8qAKdk1k_cfx4AaABAg,True,@SOSO_69.69,@Mr Rover فانبوي اي,1,2023-03-23T20:34:07Z,2024-03-17T09:37:20Z
UgwDO-u8qAKdk1k_cfx4AaABAg.9naxBMDD7Pj9nc1zrnuyJ1,UgwDO-u8qAKdk1k_cfx4AaABAg,True,@ateezatiny1180,Kai we are waiting for san from Ateez,2,2023-03-23T22:55:21Z,2023-03-23T22:55:21Z
UgyPRN4mhids8DxX6bx4AaABAg,,False,@plumc0kee,how cute the caption with 👧 emoji for miyeon 😂❤,0,2025-05-07T03:56:33Z,2025-05-07T03:56:33Z
UgzXDOVAwZSNnEuuOZd4AaABAg,,False,@RithinVijayan,She doesn't match kai 's energy 😅,1,2025-05-04T09:03:36Z,2025-05-04T09:03:36Z
UgyD0QG1GYn8RBfgimZ4AaABAg,,False,@Drbyun-x7q,❤️‍🔥kai,0,2025-04-21T14:23:00Z,2025-04-21T14:23:00Z
UgyEeVXZWwn8x-4iBZh4AaABAg,,False,@asfirstsnoww,Jennie love kai,0,2025-04-17T12:20:12Z,2025-04-17T12:20:12Z
UgzEJkYYR-y0YcCAl294AaABAg,,False,@aynurbaharofficial0035,Tek şarkıyla adam piyasayı salladı akım oluyor  yaptığı şarkı. Kai çok yetenekli bugünlere gelmeyi çok hak ediyordu. 😎😎😎😎😎,0,2025-04-03T08:38:33Z,2025-04-03T23:15:50Z
UgxBSGRqHfHd_nFO_YN4AaABAg,,False,@PanchamsinghThakur-o4e,I love kai ❤exo,1,2025-03-29T09:40:04Z,2025-03-29T09:40:04Z
UgzTVK5utTPqz05IgbZ4AaABAg,,False,@riritan4652,Mr. Rover Kai,0,2025-03-20T09:30:22Z,2025-03-20T09:30:22Z
UgySKwvRE2EDMhWjkFd4AaABAg,,False,@riritan4652,King Kai,0,2025-03-20T09:30:15Z,2025-03-20T09:30:15Z
UgyfN_5PUY8MmtASdDd4AaABAg,,False,@Cloudylovesforever,"Mr rover rover rover
I'm coming over over over
Call me rover rover rover",0,2025-03-17T21:48:54Z,2025-03-17T21:48:54Z
UgzK7GKxcxDU0Ca642F4AaABAg,,False,@Nishimura_nishimura,"He is Won-old’s hubby 
(Those who understand
👇)",0,2025-02-17T18:13:49Z,2025-02-17T18:13:49Z
Ugzytmt6npT0kVMtj6l4AaABAg,,False,@lamourgarnet,OUR DANCE KING IS HOME ❤,0,2025-02-17T10:12:15Z,2025-02-17T10:12:15Z
Ugwl8bA5Jk7RqW6ehMN4AaABAg,,False,@the_opposite,"I love you, baby Miyeon.❤",0,2025-02-02T19:14:13Z,2025-02-02T19:14:13Z
UgwKifqVUYviWZC9OYd4AaABAg,,False,@anggitadinda5328,Aaaaa lewat lagi ini😭 makin ngga sabar Bentar lagi selesai wamil dia 😭,0,2025-01-28T04:04:22Z,2025-01-28T04:04:22Z
UgwZZ6jQP9qIEGIHevh4AaABAg,,False,@muntatingah8785,"aron really hate me, dito never hate me, but fight bcs we both like each other but i reject him bcs i need to time to finisged college",0,2025-01-17T21:16:04Z,2025-01-17T21:16:04Z
UgzD220CWkmcajIE1b14AaABAg,,False,@inciozturk7467,They are amazing duo,0,2025-01-06T15:41:50Z,2025-01-06T15:41:50Z
UgwdKYCMXB1oYUTPXAp4AaABAg,,False,@rosesharom-wm3ej,Yes Kai,0,2025-01-05T17:57:00Z,2025-01-05T17:57:00Z
UgwDWQaBN241K9FUkOt4AaABAg,,False,@almaconception8270,Dancing King Kai,0,2024-12-23T17:25:21Z,2024-12-23T17:25:21Z
UgwCcaOg13ZIWMfBwuN4AaABAg,,False,@almaconception8270,Mr. Rover KAI,0,2024-12-23T17:24:47Z,2024-12-23T17:24:47Z
UgyA5oFNpzwZlLoUhfV4AaABAg,,False,@almaconception8270,D-48,0,2024-12-23T17:24:39Z,2024-12-23T17:24:39Z
UgzfCQVmyQWLoNMZaFJ4AaABAg,,False,@Tan.may12083,Why is this appearing in my fyp after a year-,2,2024-12-23T04:32:37Z,2024-12-23T04:32:37Z
UgzLUoMNSHRJUwn2_wN4AaABAg,,False,@bantupreethipreethi3166,Mr.bad boy of kpop title deserves this man kai,0,2024-12-07T12:07:37Z,2024-12-07T12:07:37Z
Ugy2srDxRFicfkAj9JZ4AaABAg,,False,@marinamayor5518,❤️🎊🌹🌹🤟👍🏆,0,2024-11-28T05:03:02Z,2024-11-28T05:03:02Z
Ugyscivq-xvpMshlUZl4AaABAg,,False,@HibeAla-t7y,❤❤❤❤❤❤❤,0,2024-11-23T15:46:55Z,2024-11-23T15:46:55Z
UgzKtS7CRXqxR5Vh9UR4AaABAg,,False,@sanjanachennoju4391,Kai damn perfect with body movement,0,2024-11-05T15:30:06Z,2024-11-05T15:30:06Z
UgzYEOChRgbVzmhsVCl4AaABAg,,False,@tunmgaye3777,Kai😊,3,2024-10-31T01:59:29Z,2024-10-31T01:59:29Z
UgzimpL9wDOLpj5U0W14AaABAg,,False,@diane8585,Kai and Lay are literally the group’s best dancers,0,2024-10-28T21:23:21Z,2024-10-28T21:23:21Z
Ugy2V8LaOxFmtFSHbKl4AaABAg,,False,@ziyafatima2485,Yoooooo kaiiiii 😀😀😀,0,2024-10-22T17:36:12Z,2024-10-22T17:36:12Z
Ugz7MozbCPHAIDoonyh4AaABAg,,False,@azile9367,KAI ganteng banget,0,2024-10-15T22:04:58Z,2024-10-15T22:04:58Z
UgxU6NbgnH4NqZo3Hbh4AaABAg,,False,@Coco-bv5vl,Princess <3,0,2024-10-04T18:23:38Z,2024-10-04T18:23:38Z
UgzsVImHQ6U52LlXfaB4AaABAg,,False,@sultanceylan5480,❤❤❤❤❤❤,0,2024-10-04T17:32:19Z,2024-10-04T17:32:19Z
UgzXZdIjcepNgJm7NoV4AaABAg,,False,@SalluKumari-ck5ps,니 사랑해 엑소💜💜💜💜,0,2024-10-04T03:38:13Z,2024-10-04T03:38:13Z
UgyUlGHr0M8T8qL_8fV4AaABAg,,False,@IsmailRunza,I really love this beautiful girl😅😂❤❤❤,0,2024-10-01T01:58:12Z,2024-10-01T01:58:12Z
Ugwi5NAH2mijPM65DXp4AaABAg,,False,@DarthRevanLordOfTheSith,plzz come to dubai,0,2024-09-24T11:18:46Z,2024-09-24T11:18:46Z
Ugzzs5PrB7X3AAZMskx4AaABAg,,False,@DarthRevanLordOfTheSith,i wanna see tzuyuuuuuu,0,2024-09-24T11:18:07Z,2024-09-24T11:18:07Z
Ugzzs5PrB7X3AAZMskx4AaABAg.A8l_C8BYvUOA9SKJQ5ASHw,Ugzzs5PrB7X3AAZMskx4AaABAg,True,@DarthRevanLordOfTheSith,Plz do one with tzuyuu,0,2024-10-11T11:05:53Z,2024-10-11T11:05:53Z
Ugxk9sntsUz_KlEQxaF4AaABAg,,False,@Alien_247,Why the camera angles are making me laugh💀💀💀,0,2024-09-20T07:47:59Z,2024-09-20T07:47:59Z
UgzLZH_oQk8fKnNx4CJ4AaABAg,,False,@hyo_yi,오빠 보고싶다... 그냥 탈영하자~~~~~^^^^^^^,0,2024-08-31T13:49:06Z,2024-08-31T13:49:06Z
UgxPjbO9PkQhVBf3MNp4AaABAg,,False,@K-popstan672,Stawhp she girlified it so much it's too cute ❤😭😍,0,2024-08-26T13:42:50Z,2024-08-26T13:42:50Z
UgwSCUlNiZ6K_r0uLDB4AaABAg,,False,@EvaRb00Eva,Что….Что тут делает Миён????И я этого не видела год назад????,2,2024-08-23T15:52:29Z,2024-08-23T15:52:29Z
UgyX-1YHKHbjhDVHUCt4AaABAg,,False,@Yuriiii_channel,❤💖,0,2024-08-23T05:05:12Z,2024-08-23T05:05:12Z
UgzQ85AS5dXPeFw4zN94AaABAg,,False,@sundasfrancis7047,Kai Rover is a wholesome vibe addictious,0,2024-08-22T19:20:34Z,2024-08-22T19:20:34Z
Ugx6-ehvoO09mQLcAOB4AaABAg,,False,@Samsam-56-,"See how miyeon did it? Very demure, very cutesy, very mindful",1,2024-08-21T01:20:28Z,2024-08-21T01:20:28Z
Ugww5omAPqxBmAzgu_t4AaABAg,,False,@Winn209,The tie understood the assignment,1,2024-08-20T07:02:14Z,2024-08-20T07:02:14Z
Ugy_yQntpj87QYq4Rk14AaABAg,,False,@WITFITMAN.,LOVE MIYEON 🤟🏻💟💟💟💟💟💟💟💟💟,0,2024-08-10T23:00:04Z,2024-08-10T23:00:04Z
UgyXRCKB9DRFpIHTpg94AaABAg,,False,@sening-wm6sv,Call him rover,1,2024-08-10T05:46:35Z,2024-08-10T05:46:35Z
UgxB4tFGm8FbQlxto654AaABAg,,False,@waddTikil,Love you too much kay❤❤❤❤ lmiss you too ❤❤❤❤❤,0,2024-07-26T12:46:18Z,2024-07-26T12:46:18Z
Ugy3T3SpzZ8tTCFiQWx4AaABAg,,False,@kim9yu_k,Kai makes it too hot and difficult meanwhile miyeon makes it too cute with the girliest way ever 😭😭,0,2024-07-24T17:44:14Z,2024-07-24T17:44:14Z
Ugw2tLQT6iUw48Fwa_14AaABAg,,False,@Soyeoniification,Miyeon the girl ver. Of changbin,0,2024-07-19T13:52:45Z,2024-07-19T13:52:45Z
UgycREl6utMfWn1Oanx4AaABAg,,False,@F_A_i_R_O_U_Z-y2d,❤❤❤❤❤,0,2024-07-18T14:28:11Z,2024-07-18T14:28:11Z
UgyEsSMZoNXKh6K4bWx4AaABAg,,False,@이준희-q4v4q,카이 존멋,5,2024-07-10T19:42:48Z,2024-07-10T19:42:48Z
UgzyFADuULbb58OKCNR4AaABAg,,False,@EmanMaryam-l3z,Kari is best 🥰,0,2024-07-03T19:32:41Z,2024-07-03T19:32:41Z
UgxfIgK_QUe0mU7OvdR4AaABAg,,False,@Ivy107v,So pretty Miyeon,0,2024-07-02T15:20:32Z,2024-07-02T15:20:32Z
UgzduhbqGqHgnEoPgd94AaABAg,,False,@VARENKPOPKURDISH,Yahhhh,0,2024-06-24T15:12:14Z,2024-06-24T15:12:14Z
UgzUDbskYfrPs10lk_94AaABAg,,False,@kim_aera_9508,Jennie😅,1,2024-06-18T07:42:33Z,2024-06-18T07:42:33Z
UgzUDbskYfrPs10lk_94AaABAg.A4oqc_EWGlmA64Kj3buy-7,UgzUDbskYfrPs10lk_94AaABAg,True,@Soyeoniification,??,1,2024-07-19T13:53:34Z,2024-07-19T13:53:34Z
UgzVlv_uLVpzsbIYjbR4AaABAg,,False,@ME-sq9vf,Ilikedance❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-06-14T23:47:38Z,2024-06-14T23:47:38Z
UgzrCzM8x3-BSJv0tBB4AaABAg,,False,@SailorUwU,Kai is usually more sharp and energetic but the gentleman slowed himself a but for Miyoen 😭❤,0,2024-06-14T12:27:26Z,2024-06-14T12:27:35Z
UgwF9MMj6SqkRLi7gqZ4AaABAg,,False,@Han_Lino_Chan_Hyun_Chanb_Feli_,❤,0,2024-06-14T02:08:36Z,2024-06-14T02:08:36Z
UgyOiQpQPQ8GddbgiRB4AaABAg,,False,@st1llwu,يمة معصعص,0,2024-06-03T12:09:39Z,2024-06-03T12:09:39Z
UgzFrlU8e9yrHbGqEd14AaABAg,,False,@rosangeladelimafragosovian2405,Não me canso de escutar essa música,0,2024-05-28T22:31:36Z,2024-05-28T22:31:36Z
UgxSKWp_YXV0VhQOlcR4AaABAg,,False,@DulcecieloVelasquesDiaz,❤❤❤❤,0,2024-05-25T00:55:39Z,2024-05-25T00:55:39Z
UgyPeaHHj54l6388PwR4AaABAg,,False,@Blink56557,Jennie straing at the corner😅,0,2024-05-24T15:08:16Z,2024-05-24T15:08:16Z
Ugzozu8v1PXFFAYqK-N4AaABAg,,False,@blackbangtan3635,Miyeon be girlifying every boy group choreo,1,2024-05-23T18:54:16Z,2024-05-23T18:54:16Z
Ugzc24bOHT6EAMvX1Bp4AaABAg,,False,@ROBANORY271,Kai☺️,0,2024-05-21T12:32:20Z,2024-05-21T12:32:20Z
UgwJqNFdw3Lyg6p1de94AaABAg,,False,@Оленинанина,Kai❤ i miss you❤❤❤❤❤❤❤❤❤,0,2024-04-27T00:01:39Z,2024-04-27T00:01:39Z
UgyfHZOYjn82gxHf0Ch4AaABAg,,False,@user-rc9nc1kq7d,ي ربي قد م رقص على الأغنية,0,2024-04-25T15:25:39Z,2024-04-25T15:25:39Z
UgzpB5sPMTxsxZBKd1F4AaABAg,,False,@Reenarijin1420,So sweet ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🎉🎉🎉,0,2024-04-19T11:23:26Z,2024-04-19T11:23:26Z
Ugy8eIuCOqt4bnir5cp4AaABAg,,False,@Fearless_black_swan,I want Jennie and Kai's challenge,2,2024-04-18T09:42:43Z,2024-04-18T09:42:43Z
UgyW992ZX9W14geqWkp4AaABAg,,False,@jengrcx,She just girlified the whole dance lol🩷💖☠️,0,2024-04-17T12:56:42Z,2024-04-17T12:56:42Z
UgyyKVBHFW9btsUGRkF4AaABAg,,False,@Armygirl_673,I am an army but I respect and love all kpop idols 🥰💜💜💜💜💜💜💜💜💜💜💜💜,0,2024-04-07T17:12:29Z,2024-04-07T17:12:29Z
Ugxw5sIsjG7LCSasTaF4AaABAg,,False,@an-kc7hf,Miyeon is so bad in dances. Thats fact,0,2024-04-07T14:44:31Z,2024-04-07T14:44:31Z
Ugxc_Q3Z8CBntZL9iyN4AaABAg,,False,@Unknow_1578,momo and kai better,2,2024-04-04T15:13:00Z,2024-04-04T15:13:00Z
Ugza41okIjo58JMpMrl4AaABAg,,False,@smitapawar7739,❤❤I like both🫶🫶,0,2024-04-02T05:49:35Z,2024-04-02T05:49:35Z
Ugwzj7ZAzCSZEA2kjI14AaABAg,,False,@sayimsahinhan8378,Miyeon dance 😮😮,0,2024-03-23T18:57:07Z,2024-03-23T18:57:07Z
UgwBHSK9BNG2r1U7hSR4AaABAg,,False,@nini_88114,카이 얼굴 자극 심하네,2,2024-03-20T12:03:33Z,2024-03-20T12:03:33Z
Ugwves-xnjLLRoHOXuh4AaABAg,,False,@Sugas23,❤❤❤❤❤❤❤❤❤ Kai.......❤❤😊,4,2024-03-14T07:43:20Z,2024-03-14T07:43:20Z
UgwXbYgG7wxs5mLj-Vl4AaABAg,,False,@justaboutmeork,miss you so much😢,3,2024-03-08T10:30:32Z,2024-03-08T10:30:32Z
UgxR2x3Zf50erpF87-14AaABAg,,False,@lukacabrera4275,I don't get tired of watching this dancing. Just love it!,0,2024-02-25T16:43:27Z,2024-02-25T16:43:27Z
Ugy-t00qi_8s5bOX9C94AaABAg,,False,@ڪلنفسنذائقهالموت,🈺🈺🈺🈺❤❤,1,2024-02-04T16:02:37Z,2024-02-04T16:02:37Z
UgxwiQdwT-J9J5wRI4x4AaABAg,,False,@nanakim7035,Так легко и естественно он двигается 😍,1,2024-01-25T09:44:37Z,2024-01-25T09:44:37Z
Ugw7rZCbBY6Ei-Xz1d14AaABAg,,False,@rockybhai_gaming_ff,Kai king of my heart he is looking so fine 🙈🙈🤭☺️🤭😳😫😩😩,2,2024-01-12T14:07:37Z,2024-01-12T14:07:37Z
UgyFZOBxHpoBybL2EWB4AaABAg,,False,@KhalidMbarak-re6me,I love you so much River ❤❤❤❤,0,2023-12-28T15:13:49Z,2023-12-28T15:13:49Z
UgxbOU0OXWL4F-m98Pl4AaABAg,,False,@zupacup7809,I can't dance but this reels keep popping out now i can do it properly 😂,0,2023-12-20T02:07:46Z,2023-12-20T02:07:46Z
Ugz2UogkihFuacnWwMl4AaABAg,,False,@zoonashhashmi-y1h,They are looking cute together❤❤,0,2023-12-12T10:28:58Z,2023-12-12T10:28:58Z
UgzZVHMKJzXXqDFkuw94AaABAg,,False,@sharmin-cy1eG,"Kai,ILO ve.YOU 😊😊😊😊",0,2023-12-11T13:09:20Z,2023-12-11T13:09:20Z
Ugx2RTFAchNF8M4wGp94AaABAg,,False,@MobinaExo-hn4jz,I miss you mr.ROVER(((:,0,2023-12-01T15:33:25Z,2023-12-01T15:33:25Z
UgwuKleve4JH7-3ygq54AaABAg,,False,@marintriel1409,❤💃💃💃❤,0,2023-11-22T08:37:05Z,2023-11-22T08:37:05Z
UgxOmg3akXdNKOuq4UV4AaABAg,,False,@KaiKimNini88,Dancing Machine Kim Kai,0,2023-11-15T15:28:06Z,2023-11-15T15:28:06Z
UgzkgnFuZzlT9cqV3H94AaABAg,,False,@KaiKimNini88,King Kai,0,2023-11-15T15:27:49Z,2023-11-15T15:27:49Z
UgynzyBhzzE4iCoyaI94AaABAg,,False,@jennycal9871,Miss you Mr. Rover Kai,0,2023-11-04T20:04:18Z,2023-11-04T20:04:18Z
UgzCzA-PTeQXaeqQk_x4AaABAg,,False,@jennycal9871,Dancing Machine Kim Kai,0,2023-11-04T20:03:58Z,2023-11-04T20:03:58Z
