comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
Ugy9mwksuIFlHeUlgqp4AaABAg,,False,@gracigg349,"Así nos sentimos cuando os vemos en los conciertos, igual que tu al estar ahí con tus jugadores favoritos 😅",0,2025-05-11T17:25:24Z,2025-05-11T17:25:24Z
UgyNeIZImdn04iXBYg14AaABAg,,False,@k-kashvi,My puppy❤❤❤,2,2025-05-09T19:40:04Z,2025-05-09T19:40:04Z
UgzcyLHMDOiOAfNqu_F4AaABAg,,False,@ЗилараШакирова,Seungmin i'm so proud of you❤,1,2025-05-08T17:36:22Z,2025-05-08T17:36:22Z
UgyuqmXbP6XlEvqCqlZ4AaABAg,,False,@STAY_ALWAYS,"봐도 봐도 승민이 기특해
야구 좋아하는 연예인 많은데
우리 승민이한테 기회가 와서
너무 감사하고 뿌듯하다",1,2025-05-03T16:01:02Z,2025-05-03T16:01:02Z
UgzynCkfn0yu0d_xQF94AaABAg,,False,@marycardenas12,"Amo su pasión por el deporte, muy talentoso mi Minni❤",1,2025-04-21T04:19:56Z,2025-04-21T04:19:56Z
UgxuZs1GD_VBi_TZY954AaABAg,,False,@Djenka-t1d,Aaaww his happiness is making me happy! He's so precious it's insane!!,0,2025-04-20T01:14:36Z,2025-04-20T01:14:36Z
UgxLkVpNVPjOP5cY-eh4AaABAg,,False,@luana-f18,I was so proud and happy for Seungmin. I smiled the whole time watching how excited he was 🥹🥹🥹,2,2025-04-19T05:07:20Z,2025-04-19T05:07:20Z
UgwuR3NgNnFF4t6e2NR4AaABAg,,False,@everythingebee3483,❤,1,2025-04-18T20:35:05Z,2025-04-18T20:35:05Z
UgyXM4hfn9n9VJDaNFx4AaABAg,,False,@Pooja_khurana388,Lots of love to the member of stray kids ❣️❣️❣️❣️❣️❣️❣️,1,2025-04-18T17:30:42Z,2025-04-18T17:30:42Z
UgyZO_oonV37vjatrgx4AaABAg,,False,@min.inthebuilding,"God damn, i want hım.",1,2025-04-11T18:33:24Z,2025-04-11T18:33:24Z
UgyLoKJZYtcRaMk7pK14AaABAg,,False,@PpTt-z1b,เขาเก่งทุกด้านไอดอลที่ดีที่สุด,1,2025-04-05T13:12:31Z,2025-04-05T13:12:31Z
UgyE40rLj-wIfbYqEYp4AaABAg,,False,@รุจิภาสศิลาลอย,เสียงดี กีฬาก็้เก่งแถมน่ารักมากๆ❤,1,2025-04-03T03:34:02Z,2025-04-03T03:34:02Z
UgwuWCTYX9yyQlRsEH54AaABAg,,False,@IngridCHI,Our Seungmin is good at everything  💙❤️⚾🧢🎤,1,2025-03-30T15:30:35Z,2025-03-30T15:30:35Z
UgyVbwYc6nj0s5HeZKN4AaABAg,,False,@dyanc8139,OMG im so happy for our Puppym,2,2025-03-28T17:38:10Z,2025-03-28T17:38:10Z
UgzaXkGHrXcIRcxCxvB4AaABAg,,False,@xfeverx747xdreamx,"i just know the rest of the members were watching screaming ""THATS OUR BOY!""",0,2025-03-25T09:23:26Z,2025-03-25T09:23:26Z
UgyZERlC2gEeElf1vz14AaABAg,,False,@ピーナッツ-l8s,始球式から1年が経ちました！,1,2025-03-18T04:07:33Z,2025-03-18T04:07:33Z
Ugx1Jwa-8jYDp4wXf5F4AaABAg,,False,@zaiaisastay9421,You don't understand how precious this is for me 😭❤️‍🩹,0,2025-03-17T08:47:35Z,2025-03-17T08:47:35Z
Ugy0CR0fdFd7vYyIoH94AaABAg,,False,@MeenaKim-sr5es,I’m very easy going. I see Seungmin. I click to watch and never get disappointed. Love ur humor seungminniee,1,2025-03-14T05:37:14Z,2025-03-14T05:46:26Z
UgxX-mSPFooyNBMUOPF4AaABAg,,False,@akira2.536,김승민의 설렘과 행복이 담긴 표정이 참 예쁘네요 너무 좋아요 ❤️❤️❤️❤️,1,2025-03-14T03:31:03Z,2025-03-14T03:31:03Z
UgyZGq7xojn87nqHmAd4AaABAg,,False,@haruka2496,スンミン、本当にかっこいいよ〜〜〜多才ですごい男。。,1,2025-03-09T04:44:38Z,2025-03-09T04:44:38Z
Ugx4MGjvsMFrYx4o1f94AaABAg,,False,@michu__25,"Las reacciones, mi vida que tierno 😭💖",0,2025-02-27T19:41:17Z,2025-02-27T19:41:17Z
UgzLuWQy8cc8yeNIDYd4AaABAg,,False,@yeojinjang8931,"연예인 시구 당일에 한두번 연습하고 끝인데
5일전부터 연습이라니 ㅠㅠㅠ 
어릴적 포기했던 꿈을 k-pop 가수 탑을 찍고
시구하러 오는 서사 뭔데.. ㅠㅠ",1,2025-02-26T15:52:19Z,2025-02-26T15:52:19Z
Ugw9Vf78QByPBGWHC-x4AaABAg,,False,@Seungmin_Micasita,No entiendo ni el ingles Y menos Coreano Pero igual miro los videos De stray kids xd Saludos desde argentina 😼,0,2025-02-25T22:32:20Z,2025-02-25T22:32:20Z
Ugxqwcx5diZF7XMV3F14AaABAg,,False,@soniaacopio467,How come this 20+ kids be this cute …. His reaction and his laugh always be the cutest😍,0,2025-02-25T12:16:23Z,2025-02-25T12:16:23Z
UgwmbYg5-yELLNS4dF54AaABAg,,False,@hearteater2013,so glad to see seungmin met his idol :p,0,2025-02-24T08:06:07Z,2025-02-24T08:06:07Z
Ugy3C5z5DOHh2ZKX2p94AaABAg,,False,@hearteater2013,I LOVE THE WAY SEUNGMIN WAS SO EXCITED TO WATCH :P,0,2025-02-24T08:02:33Z,2025-02-24T08:02:33Z
UgyEGI5v24EKdj4b-wp4AaABAg,,False,@hearteater2013,OMG THE DODGERS ? I LOVE THEMMMM IM SO GLAD SEUNGMIN GOT THIS OPPURTIONUTY ( idk how to spell it ),0,2025-02-24T08:01:17Z,2025-02-24T08:01:17Z
Ugz2cuFMDt3oqjuE5VR4AaABAg,,False,@Andrea_Alvarez324,Tan lindo 💗,0,2025-02-13T02:43:09Z,2025-02-13T02:43:09Z
