comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwG_vCwyfx7H7_3Nr54AaABAg,,False,@jlmrnl,"filler, lezgaur 13.9M!!!",0,2025-05-11T05:05:59Z,2025-05-11T05:05:59Z
Ugy32SCPk_wnqbZJUwZ4AaABAg,,False,@fadelarroyan,me in 2025❤,0,2025-05-06T06:46:43Z,2025-05-06T06:46:43Z
UgyrQhM7JtmFLah-xUR4AaABAg,,False,@kristineclairepepito3857,No way ❤😮,0,2025-05-05T08:43:41Z,2025-05-05T08:43:55Z
UgzAsgXJmkKaRtwkLNd4AaABAg,,False,@tesshyung,"Siempre me sorprende lo coqueto que es dino frente a una cámara, y comprobé que en persona también es así, me encanta su personalidad en el escenario ❤",0,2025-05-02T15:04:57Z,2025-05-02T15:04:57Z
UgyFaOB2JDKdeyQI6fB4AaABAg,,False,@laylacahyar4708,"the original version is good, this one is also good❤❤❤",0,2025-05-01T15:45:06Z,2025-05-01T15:45:06Z
Ugz3l5gf6DTHFEWygIh4AaABAg,,False,@17carat_enhaenhypen,Watching all of 17 live performances for a good luck. Needing a little bit luck now 😢,0,2025-05-01T08:45:28Z,2025-05-01T08:45:28Z
UgzUDcwSGX6PBlNYUCx4AaABAg,,False,@wonwoo的小红花,so beautiful❤,1,2025-04-29T08:35:06Z,2025-04-29T08:35:06Z
UgxWO4f1Vq3zMIFEA1l4AaABAg,,False,@SVT-13-3-1-j2q,벤드 버전 _WORLD 듣기 너무 좋고 도겸이 파트 고음 올릴때 좋아~~😍,0,2025-04-28T12:14:12Z,2025-04-28T12:14:12Z
UgwUp_nruJIpoqoiBjZ4AaABAg,,False,@myam5875,에이사….명호야…으아….,0,2025-04-27T16:05:14Z,2025-04-27T16:05:14Z
Ugyo70RS3U9LdwXWlFt4AaABAg,,False,@melodytuan5588,Jeon wonwoo eyes🫨🫨,0,2025-04-27T15:51:12Z,2025-04-27T15:51:12Z
UgyV_SPPDgMipbSsl594AaABAg,,False,@sdsss-ryxxx,❤,1,2025-04-25T12:18:22Z,2025-04-25T12:18:22Z
UgybkSPKXhN2YjobxN54AaABAg,,False,@onlyfoolsfall9249,"What I love about this aside from them staying true to their original sound is how meaningful the whole concept and song are. It’s something most fans can genuinely relate to. These days, a lot of songs focus more on sounding cool and end up compromising on the depth of the lyrics. I really hope more songs like this come out not necessarily the same style, but ones that are both meaningful and enjoyable at the same time.",4,2025-04-21T12:23:30Z,2025-04-21T12:23:30Z
UgyLHx9bXVuwQ0kyhsh4AaABAg,,False,@ericathegoddess6025,I love it❤❤❤,0,2025-04-19T14:07:11Z,2025-04-19T14:07:11Z
Ugz9To1epnmPrPZkktR4AaABAg,,False,@nana1017nana,디노는인제 보컬팀 가야되는거아님?노래잘한다,0,2025-04-17T06:13:38Z,2025-04-17T06:13:38Z
UgwTueeAIuFd2s1WMn54AaABAg,,False,@Sandi2002-r9x,I love DK voice❤,2,2025-04-11T19:16:56Z,2025-04-11T19:16:56Z
UgyMkZ-ZKcbWMxaOabZ4AaABAg,,False,@regithaoctaviola7431,01:44 im in love with joshua's in ear monitor 🥹☺,2,2025-04-04T16:43:58Z,2025-04-04T16:43:58Z
Ugyi639w6h7saXPIDiB4AaABAg,,False,@nurrabiatuladawiahabyazani8682,Love them so much❤,1,2025-04-04T08:47:07Z,2025-04-04T08:47:07Z
Ugwc0ZOE8Z5bOheAdDp4AaABAg,,False,@mbb.svtlove92_99,홍프면서 준픈데 원우 미모가 미쳤다❤(최애 둘),1,2025-04-02T13:39:56Z,2025-04-02T13:39:56Z
UgwSHQgxCk6vBpGpSit4AaABAg,,False,@galihrahmawati4835,"All i remember just woozi and Vernon, but i know seventeen since 2016. IM 40 and seventeen is my child fav 😂",0,2025-04-02T04:01:05Z,2025-04-02T04:01:05Z
Ugx5b39SLQBZhEAUcOl4AaABAg,,False,@user-lm7vz4do2x,Gosh. That's live!,2,2025-04-01T21:09:46Z,2025-04-01T21:09:46Z
Ugy2uBCfsQxaxxAMr1J4AaABAg,,False,@Cahyarahma-y3s,jun ganteng ❤,1,2025-04-01T05:42:31Z,2025-04-01T05:42:31Z
UgxSKIOWmZJNYu_J5sx4AaABAg,,False,@Cahyarahma-y3s,s.coups and dk ❤,1,2025-04-01T05:41:19Z,2025-04-01T05:41:19Z
Ugzct-DpK5g3LxdPtsR4AaABAg,,False,@yuqi-z8j,"This is a real talent right here, Enhypen's ACE!",0,2025-03-28T13:02:13Z,2025-03-28T13:02:13Z
UgwsYfe6HLKd2rJcbYp4AaABAg,,False,@nahis06,Imagine watching this live 😍,1,2025-03-28T12:39:02Z,2025-03-28T12:39:02Z
UgwsqRO0riH_azAxcFN4AaABAg,,False,@myrianparedes1848,Escuchando ésta canción y mirando el video comence a seguirlos.. Los quiero mucho Seventeen ❤❤🇦🇷🇦🇷✨,0,2025-03-26T17:03:41Z,2025-03-26T17:03:41Z
UgzaqdOmoX51F5aZChl4AaABAg,,False,@yomnaalgndi3130,❤❤❤❤,0,2025-03-22T00:49:23Z,2025-03-22T00:49:23Z
UgzSjeLsS803GfUuKet4AaABAg,,False,@kidult2107,"SEVENTEEN - _WORLD (Romanized) Lyrics

[Verse 1: S.COUPS, Mingyu]
Hey, akkabuteo neol bwasseo
Urin cheoeumijiman modeun jaemireul neukkil su isseo deo algo sipeo
Hey, utjiman malgo mariya (Yuh)
Gabon jeogi eomneun gose neoreul deryeoga julge

[Pre-Chorus: Wonwoo, Hoshi]
Come with me
Put it on, put it on me
You got this
Put it on, put it on me
Gyeolguk nae soneul jabeul geoya
'Cause I know that you've been dreaming



[Chorus: DK, SeungKwan, Vernon]
Machi cheongugui déjà vu
Jigeumbuteo nan neol manna interview
Nega wonhan modeun geol da jul suga isseo
Neoui eoduun moseupkkajido
Come, come into my world

[Post-Chorus: Dino, THE 8]
Won't let you down
Won't let you down
Naegero wa
In my, in my, in my new world

[Verse 2: Vernon, S.COUPS]
Knock, knock, knockin' on heaven's door
Whipped cream gureum sonkkeuteuro sseureo
Nae all star mite ditgo nara sunset
Neom ppareum? I'ma take it slow
Seulpeumi eomneun goseseo idaero chumeul chwo
Bakjae matchwo baksu
Neon yeongwoneul naege jwo gippeumui maseul deo
Yeongwone yeongwoneul deo, deo, deo, deo

[Pre-Chorus: THE 8, Jeonghan]
Come with me
Put it on, put it on me
You got this
Put it on, put it on me
Gyeolguk nae soneul jabeul geoya
'Cause I know that you've been dreaming

[Chorus: WOOZI, Joshua, Jeonghan]
Machi cheongugui déjà vu
Jigeumbuteo nan neol manna interview
Nega wonhan modeun geol da jul suga isseo
Neoui eoduun moseupkkajido
Come, come into my world

[Post-Chorus: Jun, Dino]
Won't let you down
Won't let you down
Naegero wa
In my, in my, in my new world

[Bridge: Mingyu, SeungKwan, Joshua]
We got the heart, we got the soul
Idaero uri mameul yeoreo
Neoege neon naege
Saeroun miraereul yeoreojwo na soneul nochi aneulge
Trust in me, baby, I can see

[Chorus: Hoshi, DK, Wonwoo]
Machi cheongugui déjà vu
Jigeumbuteo nan neol manna interview
Nega wonhan modeun geol da jul suga isseo
Neoui eoduun moseupkkajido
Come, come into my world

[Post-Chorus: WOOZI, Jun]
Won't let you down
Won't let you down
Naegero wa
In my, in my, in my new world",0,2025-03-21T07:20:51Z,2025-03-21T07:20:51Z
Ugwj2Uk5M0n601clsah4AaABAg,,False,@vonalysongreg2780,couldn't say enough how much i appreciate performances without the dance part but all singing!  I get to lovingly stare and listen to them sing their parts and appreciate their vocals and all <3,1,2025-03-19T14:16:00Z,2025-03-19T14:16:00Z
UgxqWtzSlHnO-ntDJ9t4AaABAg,,False,@lynn00007,My 13 My World My sebongs.,0,2025-03-16T14:19:10Z,2025-03-16T14:19:10Z
Ugx8PwcunywqFH2bWqF4AaABAg,,False,@8naa.684,omg. I'm crying because of founding the video in 2025😭 I was too young to use Internet so couldn't find it on time. That's favourite performance in my life❤ Thank you Adam and algorithm!,0,2025-03-13T18:06:06Z,2025-03-13T18:06:06Z
UgyxpUgtE_NiHeN0abp4AaABAg,,False,@bizarrelivingsshipanchal7152,My most favourite song of seventeen❤,0,2025-03-11T16:46:36Z,2025-03-11T16:48:28Z
UgyUekUCfdNUWwUJrUt4AaABAg,,False,@jazmin8242,"Next song ""Wait"" by Dino, please Carat",0,2025-03-11T05:26:13Z,2025-03-11T05:26:13Z
UgzkciSQ1carY9ryw-R4AaABAg,,False,@Oduukeuzle,Wuaaaaa firs💎❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,0,2025-03-10T09:13:21Z,2025-03-10T09:13:21Z
UgzTMb09bLa4bqxSla54AaABAg,,False,@myinfinitylove_bts,Dino part is ...waaaaaaaoooowww,0,2025-03-08T17:07:26Z,2025-03-08T17:07:26Z
UgxtwX9zdqW7dOiMy0Z4AaABAg,,False,@Xochi_Wolf22,Jun looks so beautiful and has such a sweet voice!😭💕,3,2025-03-06T19:36:18Z,2025-03-06T19:36:18Z
UgwcsX_3VsRjlFg7xPJ4AaABAg,,False,@Cjenough,:((,0,2025-03-05T15:35:31Z,2025-03-05T15:35:31Z
Ugy1hwZq5LQPzYP1aNN4AaABAg,,False,@fritzjoytejada6052,DK and woozi's voice are crystal clear. ❤,0,2025-03-04T06:38:48Z,2025-03-04T06:38:48Z
UgygD7ZnCiTskNt8i6N4AaABAg,,False,@jlmrnl,"filler, lezgaur 13.3M!!!",1,2025-03-03T10:36:24Z,2025-03-03T10:36:24Z
UgxNVPt1BYdjdW5vZ914AaABAg,,False,@leezziii,0:29 1:41 2:28 🎤🐯✨,0,2025-03-02T11:37:14Z,2025-03-02T11:37:14Z
UgwKBpIMSI-0W-tJTap4AaABAg,,False,@체리쥬빌레123,미쳐진짜,0,2025-03-02T07:55:37Z,2025-03-02T07:55:37Z
Ugz0hZd622r6vAIvFWZ4AaABAg,,False,@QuizCrafterK,진짜 이 영상은 13명 다 너무 예쁘고 잘생기고 귀여움 ㅜㅜㅜㅜ 보면서 입틀막..,0,2025-02-28T02:58:30Z,2025-02-28T02:58:30Z
UgxQWOTf54AVCkD7MuB4AaABAg,,False,@scoupsii,I miss this area,0,2025-02-27T15:43:22Z,2025-02-27T15:43:22Z
Ugyjf9igdTHhQ5D9PuN4AaABAg,,False,@verzeeno,oh my god i love this,0,2025-02-27T15:41:01Z,2025-02-27T15:41:01Z
UgwBtNZxa8Mn9ycYwQF4AaABAg,,False,@shingiibangiii,Here in 2025,3,2025-02-25T01:04:00Z,2025-02-25T01:04:00Z
Ugwr-OZ7WHwK35m1H6p4AaABAg,,False,@beluaquino.,SE PUSO SOLA... QUE CANCION DEL BIEN 🥰 Los amo 🫶🏻🇦🇷,1,2025-02-24T18:43:10Z,2025-02-24T18:43:10Z
UgxgRFL0cqiqJNdZ_M94AaABAg,,False,@andrea-uq3ur,They're so fineeeeee❤,1,2025-02-24T15:26:19Z,2025-02-24T15:26:19Z
UgznC0m4Q66aV8jpcdd4AaABAg,,False,@user-nk3zn5tr4o,"最近１日に１回みる動画です🐈🍃みなさんの歌ってる表情が柔らかくて好きです♡♡
癒されます〜✨",2,2025-02-24T12:48:43Z,2025-02-24T12:48:43Z
Ugwv-IwxLAa1-pxaQml4AaABAg,,False,@AndreaLee-u3h,wonwoo pls u r killing me,1,2025-02-21T07:51:55Z,2025-02-21T07:51:55Z
UgyPDZ27rN2jCSSiLF14AaABAg,,False,@Xenirine,The live band sounds crazy good! Blown away from 0:26,5,2025-02-19T00:28:41Z,2025-04-29T07:15:20Z
UgwFwbkv7sxk-CHMnyV4AaABAg,,False,@keylacalixtomunoz2866,loved!!!!!!!! 🤩,1,2025-02-18T18:30:46Z,2025-02-18T18:30:46Z
UgxTFHi0XwlrUzVUkkl4AaABAg,,False,@AmaltheJane-e1d,i love you all ❤️,1,2025-02-15T15:56:33Z,2025-02-15T15:56:33Z
Ugx5Rv4TUUkK40B-Y_p4AaABAg,,False,@Babybear-b3q,Hi ek is by die hys kom more metag so 13:00uur my name is Corney,1,2025-02-15T15:51:00Z,2025-02-15T15:51:00Z
Ugy_ShUTbFkdqNw_dDl4AaABAg,,False,@zaskiafaza8618,in my new world💎🩷,2,2025-02-15T10:01:29Z,2025-02-15T10:01:29Z
UgwViTChnxncuVv8pGZ4AaABAg,,False,@ynagabay5258,SEVENTEEN has a virtuouso skills!,1,2025-02-13T06:17:22Z,2025-02-13T06:17:22Z
Ugyzn2m6uwLoA8_B7PB4AaABAg,,False,@staycarat6537,The song that made me fall for these beautiful humans❤❤ and the guy who made me fall harder 0:54,8,2025-02-10T15:30:14Z,2025-02-10T15:30:14Z
Ugyzn2m6uwLoA8_B7PB4AaABAg.AEMwYPWC7RKAH6J9PBGB-X,Ugyzn2m6uwLoA8_B7PB4AaABAg,True,@sneha8502,Dinonara!❤️🥹✨,0,2025-04-19T18:03:38Z,2025-04-19T18:03:38Z
UgxNNzPf89EvwVOtYmZ4AaABAg,,False,@ナンプレ-w6p,原曲よりこちらが好きです😆,0,2025-02-04T14:13:05Z,2025-02-04T14:13:05Z
UgwZscTvJ-4BMVnVggp4AaABAg,,False,@nadinear11,happy 13M,0,2025-02-03T13:26:13Z,2025-02-03T13:26:13Z
Ugzagb6NqH_evi_koI54AaABAg,,False,@Avocadobubble,Junpiiii gantengg bangetttt❤❤❤,0,2025-02-02T14:18:02Z,2025-02-02T14:18:02Z
Ugx9t9a4dv52ZwHWOW14AaABAg,,False,@habungangkha6080,ahhh Dk's voice is so refreshing.....🍃🍃🍃🍃🍃,0,2025-01-30T17:10:12Z,2025-01-30T17:10:12Z
UgzgkTnHP-vnyHfB7E94AaABAg,,False,@fellysiataha4596,Favourite song❤❤❤,0,2025-01-29T05:17:31Z,2025-01-29T05:17:31Z
UgzaQjv3WhtAOdjaGEF4AaABAg,,False,@Babybear-b3q,Hi ek is by die hys kom more metag is by die torp😢😢😢😢😢😢😢❤❤❤❤❤❤❤,0,2025-01-26T19:16:13Z,2025-01-26T19:16:13Z
UgzhhrolX5qUe9MqdVR4AaABAg,,False,@ChristiaGoles,Amazing guys!,0,2025-01-23T16:14:48Z,2025-01-23T16:14:48Z
UgxC6w1gkOhbBpOp4hV4AaABAg,,False,@ChristiaGoles,❤❤❤....,0,2025-01-23T16:14:32Z,2025-01-23T16:14:32Z
Ugw5dxBUSfRPzfzwq1J4AaABAg,,False,@anastashaf6662,2025?🩷,0,2025-01-23T14:48:17Z,2025-01-23T14:48:17Z
UgwFmFtGD9Rt-zY9PY14AaABAg,,False,@shingiibangiii,Seventeen is just COMFORT AND PERFECTION,0,2025-01-22T08:57:35Z,2025-01-22T08:57:35Z
UgwJgbzL1BaqmL21XAp4AaABAg,,False,@lucifero7134,2025 anyone?,3,2025-01-21T07:36:34Z,2025-01-21T07:36:34Z
UgwRb6X3HpfWkhZvmTJ4AaABAg,,False,@hienmy9920,2025?,1,2025-01-20T19:48:46Z,2025-01-20T19:48:46Z
UgxqMDfMCnbt_ZBr6tB4AaABAg,,False,@nonthawatkatip7528,❤️❤️⭐⭐❤️,0,2025-01-17T08:06:34Z,2025-01-17T08:06:34Z
